UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21.711;20.784;1598.582;97.039;-45.714;1542.769;-51.666;-50.691;1539.988;82.012;70.108;1450.755;-42.494;64.010;1454.268;27.028;104.504;1281.461;43.665;108.260;1116.363;93.087;118.701;1197.888;-28.102;121.579;1177.202;26.736;-74.645;1275.314;18.637;-141.143;1083.675;72.791;-110.846;1202.620;-47.031;-97.527;1211.158;188.272;-54.301;1236.186;188.126;18.735;1307.221;201.396;79.475;1245.212;251.696;48.739;1161.199;218.423;77.378;989.564;265.991;25.028;1011.909;267.113;-63.278;965.365;200.664;-200.420;1005.225;202.421;-199.250;934.580;228.913;-173.880;971.463;-153.828;-37.420;1238.772;-139.631;25.906;1308.929;-144.022;97.966;1249.408;-204.714;24.443;1156.077;-173.197;101.771;991.662;-221.887;53.228;1017.373;-206.421;-24.638;1028.350;-198.323;-172.953;1000.980;-183.833;-164.025;933.848;-211.739;-140.119;969.414;137.387;-117.140;868.180;-127.775;-86.257;869.107;121.433;81.232;941.020;-71.864;99.527;949.997
21.711;20.735;1598.582;97.088;-45.763;1542.818;-51.618;-50.739;1539.988;82.061;70.011;1450.706;-42.445;63.961;1454.219;27.028;104.406;1281.461;43.616;108.211;1116.314;93.038;118.652;1197.839;-28.102;121.530;1177.202;26.833;-74.743;1275.314;18.686;-141.143;1083.578;72.840;-110.895;1202.571;-46.934;-97.576;1211.109;188.321;-54.301;1236.089;188.126;18.735;1307.124;201.347;79.524;1245.163;251.599;48.885;1161.053;217.984;77.524;989.515;265.747;25.321;1011.762;267.211;-62.888;965.121;201.201;-200.372;1004.737;203.006;-199.006;934.092;229.400;-173.685;971.024;-153.779;-37.518;1238.723;-139.631;25.809;1308.929;-144.022;97.868;1249.408;-204.714;24.345;1156.077;-173.294;101.674;991.613;-221.936;53.179;1017.422;-206.373;-24.589;1028.594;-198.176;-173.099;1001.712;-183.686;-164.220;934.531;-211.593;-140.314;970.049;137.338;-117.188;868.180;-127.824;-86.403;869.107;121.335;81.134;941.020;-71.913;99.381;949.997
21.711;20.686;1598.533;97.088;-45.812;1542.818;-51.618;-50.837;1539.988;82.061;69.864;1450.658;-42.445;63.814;1454.170;27.077;104.308;1281.461;43.616;108.114;1116.363;93.038;118.554;1197.888;-28.053;121.384;1177.202;26.833;-74.792;1275.265;18.637;-141.192;1083.578;72.840;-110.895;1202.474;-46.983;-97.624;1211.109;188.370;-54.350;1235.991;188.175;18.637;1307.075;201.396;79.475;1245.114;251.501;48.934;1161.004;217.691;77.719;989.466;265.552;25.662;1011.665;267.357;-62.497;964.877;201.835;-200.274;1004.346;203.543;-198.810;933.702;229.888;-173.441;970.634;-153.779;-37.567;1238.723;-139.582;25.711;1308.929;-143.973;97.820;1249.408;-204.665;24.296;1156.028;-173.343;101.576;991.564;-221.985;53.130;1017.519;-206.373;-24.540;1028.887;-197.932;-173.148;1002.639;-183.589;-164.561;935.458;-211.446;-140.460;970.878;137.289;-117.286;868.131;-127.873;-86.550;869.107;121.287;81.037;941.020;-72.011;99.234;949.997
21.759;20.588;1598.533;97.137;-45.909;1542.818;-51.520;-50.935;1539.988;82.110;69.767;1450.658;-42.397;63.717;1454.170;27.028;104.260;1281.413;43.519;108.016;1116.314;92.990;118.506;1197.790;-28.102;121.287;1177.202;26.833;-74.792;1275.216;18.588;-141.241;1083.529;72.840;-110.895;1202.425;-46.983;-97.673;1211.109;188.370;-54.301;1235.893;188.175;18.686;1306.977;201.347;79.475;1245.066;251.453;49.081;1160.907;217.447;77.914;989.417;265.455;25.955;1011.567;267.504;-62.156;964.682;202.421;-200.225;1004.054;204.128;-198.615;933.458;230.376;-173.197;970.390;-153.779;-37.615;1238.723;-139.582;25.662;1308.929;-144.022;97.722;1249.408;-204.665;24.199;1156.028;-173.490;101.479;991.515;-222.082;53.081;1017.568;-206.324;-24.394;1029.375;-197.835;-173.246;1004.005;-183.052;-164.952;936.873;-211.203;-140.655;972.000;137.240;-117.432;868.131;-127.922;-86.696;869.107;121.189;80.890;941.020;-72.108;99.088;950.046
21.857;20.588;1598.485;97.234;-45.909;1542.720;-51.471;-50.983;1540.037;82.061;69.718;1450.560;-42.397;63.668;1454.170;26.931;104.260;1281.413;43.421;107.967;1116.266;92.843;118.506;1197.741;-28.248;121.238;1177.153;26.785;-74.792;1275.216;18.539;-141.241;1083.578;72.791;-110.797;1202.425;-47.080;-97.624;1211.109;188.321;-54.154;1235.845;188.077;18.783;1306.929;201.201;79.622;1244.968;251.306;49.276;1160.858;217.155;77.963;989.369;265.308;26.150;1011.518;267.748;-61.912;964.536;203.153;-200.274;1003.810;204.909;-198.518;933.263;231.059;-173.099;970.195;-153.828;-37.664;1238.772;-139.728;25.614;1308.978;-144.070;97.722;1249.456;-204.714;24.150;1155.979;-173.587;101.332;991.418;-222.229;52.984;1017.812;-206.373;-24.101;1030.399;-197.444;-173.294;1006.981;-182.271;-165.683;939.654;-210.763;-140.948;974.439;137.191;-117.530;868.131;-127.970;-86.794;869.058;121.091;80.793;941.020;-72.157;98.942;949.997
21.906;20.686;1598.387;97.234;-45.812;1542.623;-51.471;-51.032;1540.183;81.817;69.718;1450.316;-42.641;63.473;1454.121;26.736;104.211;1281.510;43.324;108.016;1116.412;92.648;118.603;1197.937;-28.541;121.287;1177.250;26.589;-74.743;1275.265;18.491;-141.192;1083.627;72.645;-110.700;1202.474;-47.227;-97.332;1211.012;188.175;-54.154;1236.040;187.833;18.783;1307.124;200.908;79.622;1245.212;251.111;49.325;1161.004;216.862;77.817;989.466;265.162;26.150;1011.713;268.089;-61.765;964.584;204.128;-200.664;1003.371;206.080;-198.664;932.872;232.035;-173.197;969.951;-153.828;-37.615;1239.065;-139.924;25.662;1309.270;-144.314;97.673;1249.652;-204.958;23.760;1156.272;-174.612;100.747;991.418;-222.814;52.057;1018.641;-206.275;-24.052;1033.326;-195.005;-173.490;1013.958;-180.417;-167.489;946.191;-208.958;-142.070;980.343;137.045;-117.676;868.131;-128.068;-86.794;869.107;121.140;80.695;940.971;-72.157;98.991;949.997
21.662;20.784;1598.241;96.941;-45.714;1542.427;-51.764;-51.130;1540.330;81.232;69.571;1449.926;-43.177;63.229;1453.975;26.638;104.211;1281.852;43.275;108.260;1116.754;92.502;118.408;1198.229;-28.931;121.677;1177.738;26.199;-74.645;1275.412;18.149;-140.997;1083.773;72.304;-110.748;1202.718;-47.568;-96.697;1211.060;187.931;-54.496;1236.528;187.394;18.491;1307.514;200.664;79.329;1245.700;250.965;48.983;1161.541;216.716;77.329;989.954;265.113;25.858;1012.250;268.772;-61.863;964.682;205.494;-201.591;1002.541;207.787;-198.908;932.092;233.401;-173.538;969.463;-153.389;-37.030;1240.138;-140.021;26.150;1310.246;-144.558;98.015;1250.237;-205.494;22.881;1157.443;-177.295;98.161;991.369;-224.424;49.032;1020.251;-206.226;-25.028;1039.327;-190.126;-174.514;1028.643;-174.709;-171.782;960.925;-204.714;-145.193;992.930;136.801;-117.725;868.228;-128.214;-86.550;869.107;121.238;80.646;941.020;-72.060;99.186;949.997
20.930;20.832;1598.094;96.014;-46.105;1542.574;-52.691;-50.886;1540.232;80.890;69.035;1449.779;-43.568;63.180;1453.682;26.980;104.406;1282.144;43.372;108.407;1117.046;92.794;118.067;1198.473;-28.882;122.262;1178.177;25.711;-74.499;1275.753;17.564;-140.655;1083.919;71.816;-110.895;1203.010;-47.958;-95.966;1211.451;187.638;-55.423;1237.064;187.101;17.759;1307.904;200.713;78.451;1246.139;251.209;47.812;1162.175;217.399;76.060;990.588;265.699;24.540;1012.933;269.992;-62.644;964.536;207.007;-203.738;1000.248;210.032;-199.542;929.945;235.206;-174.709;967.902;-152.511;-35.566;1241.992;-139.582;27.663;1311.612;-144.461;99.088;1250.627;-206.177;20.686;1159.443;-182.906;90.550;990.149;-227.937;41.372;1022.837;-205.592;-28.590;1049.378;-180.076;-175.978;1054.793;-166.269;-180.466;987.075;-197.249;-151.584;1015.958;136.362;-117.725;868.375;-128.507;-86.013;869.204;121.335;80.744;941.166;-71.962;99.625;950.046
19.905;21.320;1597.802;94.551;-46.641;1542.867;-54.203;-50.105;1540.183;80.695;68.059;1449.340;-43.811;63.375;1452.951;27.955;104.845;1282.437;44.055;108.797;1117.339;93.770;117.725;1198.815;-28.102;123.238;1178.373;25.126;-74.255;1275.997;16.685;-139.924;1083.968;71.133;-110.992;1203.157;-48.398;-94.941;1211.792;187.053;-56.984;1237.699;186.955;16.344;1308.343;201.201;76.743;1246.480;251.745;45.373;1162.858;219.204;73.426;991.222;266.869;21.418;1013.714;271.748;-64.839;963.413;208.226;-207.641;994.442;213.008;-200.762;924.432;237.304;-177.197;963.609;-150.998;-33.273;1245.114;-138.606;30.590;1313.320;-144.070;100.796;1249.944;-206.763;16.295;1162.321;-190.468;73.279;987.124;-232.718;26.345;1026.740;-204.665;-36.054;1064.063;-168.220;-176.222;1094.214;-156.219;-192.761;1028.106;-188.370;-160.561;1052.012;135.825;-117.335;868.521;-128.946;-85.037;869.302;121.482;81.134;941.215;-71.767;100.503;950.094
