UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33.481;46.463;1596.735;107.910;-22.304;1542.414;-40.802;-27.966;1543.146;90.389;88.924;1445.388;-34.018;82.628;1451.977;32.993;114.401;1276.958;47.000;112.839;1111.702;97.758;125.675;1192.134;-23.720;128.360;1173.587;32.114;-64.863;1276.031;20.108;-136.901;1086.176;76.577;-103.371;1203.506;-42.510;-89.364;1213.608;193.760;-46.414;1233.668;194.394;28.551;1302.679;206.400;87.509;1238.402;255.353;55.688;1154.797;218.260;77.357;982.415;268.433;28.161;1005.402;271.800;-62.179;957.914;226.313;-206.351;1002.913;200.788;-198.299;937.074;238.807;-173.847;965.479;-147.882;-28.307;1240.647;-133.972;37.337;1308.243;-139.439;107.422;1247.089;-201.715;25.965;1155.627;-174.872;95.074;986.661;-220.310;44.560;1014.822;-202.252;-33.823;1024.681;-188.244;-180.875;996.666;-167.892;-172.236;931.315;-199.470;-148.809;963.234;137.193;-119.086;868.306;-127.725;-84.483;870.259;123.333;80.286;939.075;-69.451;101.272;948.592
33.334;46.756;1596.735;107.812;-22.011;1542.414;-40.899;-27.771;1543.195;90.193;89.120;1445.388;-34.213;82.775;1451.928;32.846;114.499;1276.958;46.903;112.937;1111.653;97.661;125.822;1192.085;-23.817;128.457;1173.539;32.017;-64.765;1276.031;20.010;-136.754;1086.176;76.479;-103.273;1203.506;-42.608;-89.217;1213.608;193.662;-46.317;1233.716;194.296;28.698;1302.679;206.254;87.655;1238.402;255.206;55.785;1154.797;218.114;77.406;982.415;268.335;28.259;1005.402;271.703;-62.081;957.914;226.362;-206.254;1002.962;200.690;-198.299;937.269;238.759;-173.749;965.577;-147.980;-28.210;1240.598;-134.119;37.434;1308.194;-139.536;107.519;1247.040;-201.813;26.062;1155.578;-174.969;95.172;986.612;-220.456;44.657;1014.773;-202.301;-33.676;1024.778;-188.147;-180.777;996.959;-167.697;-172.187;931.656;-199.372;-148.760;963.478;137.096;-118.989;868.355;-127.823;-84.385;870.259;123.284;80.335;939.075;-69.500;101.370;948.543
33.237;46.854;1596.735;107.715;-21.865;1542.414;-40.948;-27.673;1543.195;90.096;89.266;1445.388;-34.262;82.872;1451.977;32.798;114.596;1276.958;46.805;113.083;1111.702;97.612;125.822;1192.085;-23.915;128.555;1173.587;31.919;-64.619;1276.031;19.913;-136.608;1086.225;76.332;-103.176;1203.506;-42.705;-89.120;1213.608;193.516;-46.170;1233.716;194.150;28.796;1302.679;206.205;87.704;1238.402;255.109;55.883;1154.797;218.016;77.553;982.415;268.237;28.356;1005.402;271.605;-61.984;957.914;226.508;-206.059;1003.011;200.446;-198.201;937.464;238.661;-173.603;965.528;-148.028;-28.063;1240.598;-134.168;37.581;1308.145;-139.585;107.666;1247.040;-201.910;26.209;1155.529;-175.067;95.269;986.563;-220.456;44.755;1014.773;-202.252;-33.481;1024.925;-187.903;-180.631;997.398;-167.404;-172.139;932.145;-199.128;-148.663;963.868;137.047;-118.891;868.404;-127.872;-84.288;870.259;123.235;80.481;939.075;-69.597;101.516;948.543
33.188;46.951;1596.735;107.617;-21.816;1542.414;-40.997;-27.575;1543.195;89.998;89.315;1445.388;-34.311;82.970;1451.977;32.700;114.694;1276.958;46.756;113.181;1111.702;97.514;125.968;1192.134;-23.964;128.652;1173.587;31.821;-64.521;1276.031;19.864;-136.461;1086.225;76.284;-103.078;1203.506;-42.803;-88.973;1213.608;193.467;-46.073;1233.716;194.101;28.844;1302.679;206.107;87.802;1238.451;255.011;56.029;1154.797;217.918;77.699;982.463;268.140;28.600;1005.402;271.507;-61.788;957.914;226.704;-205.815;1003.108;200.202;-198.103;937.757;238.612;-173.407;965.625;-148.126;-27.966;1240.647;-134.265;37.678;1308.194;-139.683;107.764;1247.040;-201.910;26.306;1155.529;-175.018;95.367;986.563;-220.456;44.853;1014.773;-202.203;-33.334;1025.071;-187.659;-180.533;997.837;-167.112;-172.090;932.633;-198.835;-148.614;964.308;136.949;-118.794;868.404;-127.872;-84.190;870.307;123.186;80.579;939.075;-69.646;101.614;948.495
33.188;46.951;1596.735;107.568;-21.816;1542.414;-41.046;-27.527;1543.195;89.998;89.364;1445.437;-34.311;83.068;1451.977;32.700;114.792;1276.958;46.707;113.327;1111.702;97.514;126.066;1192.134;-24.013;128.750;1173.587;31.821;-64.424;1276.031;19.815;-136.364;1086.274;76.235;-102.981;1203.506;-42.852;-88.876;1213.608;193.467;-46.024;1233.668;194.052;28.942;1302.630;206.059;87.899;1238.451;254.962;56.127;1154.797;217.870;77.845;982.415;268.140;28.747;1005.402;271.459;-61.642;957.963;226.948;-205.522;1003.255;200.007;-198.006;938.099;238.563;-173.261;965.674;-148.175;-27.868;1240.647;-134.265;37.776;1308.145;-139.683;107.861;1247.040;-201.910;26.404;1155.529;-175.018;95.416;986.514;-220.408;44.853;1014.773;-202.105;-33.237;1025.169;-187.512;-180.436;998.228;-166.770;-172.139;933.072;-198.640;-148.614;964.600;136.901;-118.745;868.404;-127.969;-84.093;870.307;123.089;80.627;939.026;-69.695;101.712;948.495
33.139;46.903;1596.735;107.568;-21.816;1542.414;-41.095;-27.527;1543.146;89.998;89.412;1445.437;-34.311;83.117;1452.025;32.651;114.889;1276.958;46.658;113.425;1111.702;97.465;126.163;1192.134;-24.013;128.848;1173.587;31.821;-64.326;1276.031;19.815;-136.266;1086.225;76.235;-102.834;1203.506;-42.852;-88.827;1213.608;193.467;-45.926;1233.668;194.052;29.040;1302.630;206.059;87.997;1238.402;254.962;56.273;1154.797;217.821;77.992;982.366;268.091;28.893;1005.353;271.410;-61.544;957.914;227.387;-205.278;1003.401;199.616;-198.103;938.587;238.515;-173.115;965.772;-148.175;-27.819;1240.647;-134.314;37.873;1308.145;-139.731;107.910;1247.040;-201.910;26.453;1155.480;-175.018;95.416;986.466;-220.408;44.901;1014.724;-202.154;-33.139;1025.217;-187.756;-180.484;998.472;-166.233;-172.236;933.511;-198.445;-148.663;964.698;136.901;-118.647;868.404;-127.969;-84.044;870.259;123.040;80.725;939.026;-69.744;101.760;948.495
33.188;46.903;1596.735;107.617;-21.767;1542.414;-41.046;-27.575;1543.146;89.998;89.461;1445.485;-34.311;83.068;1452.025;32.602;114.987;1277.007;46.658;113.523;1111.702;97.465;126.310;1192.183;-24.061;128.896;1173.587;31.870;-64.229;1276.031;19.864;-136.169;1086.225;76.284;-102.688;1203.457;-42.803;-88.778;1213.608;193.564;-45.780;1233.716;194.052;29.186;1302.679;206.107;88.192;1238.451;254.962;56.371;1154.797;217.626;77.894;982.366;267.945;28.844;1005.305;271.117;-61.691;957.768;228.656;-205.278;1003.401;198.250;-198.494;939.709;238.319;-173.212;965.577;-148.175;-27.868;1240.647;-134.314;37.825;1308.145;-139.731;107.861;1247.040;-201.959;26.404;1155.529;-175.067;95.416;986.466;-220.456;44.901;1014.675;-202.447;-33.042;1025.266;-188.977;-180.680;998.472;-164.866;-172.285;934.341;-198.347;-148.663;964.600;136.901;-118.598;868.453;-127.969;-84.044;870.307;123.040;80.823;939.026;-69.792;101.809;948.495
33.188;46.854;1596.735;107.715;-21.670;1542.414;-40.948;-27.624;1543.146;89.949;89.559;1445.485;-34.359;83.068;1452.074;32.554;115.036;1277.105;46.610;113.669;1111.799;97.417;126.456;1192.231;-24.159;128.945;1173.685;31.968;-64.180;1276.129;19.962;-136.022;1086.225;76.381;-102.590;1203.506;-42.705;-88.729;1213.657;193.662;-45.682;1233.960;194.101;29.381;1302.777;206.156;88.339;1238.597;254.962;56.224;1154.700;217.138;77.357;982.171;267.457;28.356;1005.109;270.385;-62.325;957.524;230.803;-205.766;1003.401;195.907;-199.421;942.052;237.929;-173.798;965.528;-148.126;-28.015;1240.744;-134.265;37.678;1308.194;-139.780;107.715;1247.138;-202.057;26.209;1155.627;-175.555;95.513;986.563;-220.798;44.804;1014.724;-203.033;-32.993;1025.364;-191.075;-180.972;997.789;-161.743;-172.431;935.903;-197.713;-148.712;964.015;136.901;-118.452;868.502;-127.920;-83.995;870.307;122.991;80.969;939.026;-69.792;101.907;948.495
33.286;46.658;1596.833;107.861;-21.523;1542.365;-40.802;-27.673;1543.097;89.901;89.901;1445.681;-34.457;83.263;1452.269;32.554;115.036;1277.251;46.610;113.815;1111.946;97.368;126.505;1192.378;-24.305;128.994;1173.832;32.065;-64.229;1276.275;20.059;-135.876;1086.322;76.430;-102.541;1203.603;-42.608;-88.778;1213.804;193.711;-45.634;1234.351;194.101;29.479;1302.972;206.156;88.388;1238.743;254.865;55.736;1154.602;216.357;76.088;981.927;266.773;27.234;1004.914;269.458;-63.643;957.328;233.536;-207.132;1003.255;193.027;-201.373;945.517;237.490;-175.116;965.625;-148.077;-28.307;1240.940;-134.216;37.483;1308.389;-139.878;107.471;1247.382;-202.349;25.818;1156.017;-177.361;95.660;986.856;-221.921;44.267;1015.017;-204.106;-33.432;1025.461;-193.223;-181.314;995.397;-153.885;-172.480;939.514;-194.784;-148.858;962.648;136.998;-118.257;868.550;-127.823;-83.897;870.405;122.991;81.213;939.075;-69.841;102.004;948.543
