UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
28.664;44.605;1596.165;104.858;-23.789;1544.004;-43.825;-31.881;1543.127;86.479;85.553;1444.801;-37.829;77.315;1450.115;29.395;113.340;1279.740;43.386;115.972;1114.386;93.889;126.356;1194.674;-28.761;129.719;1177.076;30.565;-65.956;1276.132;18.524;-134.838;1085.283;75.219;-102.956;1202.766;-44.166;-90.233;1213.198;191.971;-46.555;1233.819;191.922;27.933;1303.675;203.183;87.649;1240.302;253.637;56.451;1156.114;218.685;80.532;982.180;268.749;31.150;1007.578;266.507;-61.813;976.379;203.573;-192.019;1042.726;196.894;-196.846;972.772;227.508;-167.743;1003.337;-149.901;-31.394;1241.229;-136.739;33.344;1310.110;-143.466;104.468;1250.637;-204.597;23.984;1157.479;-181.392;99.251;989.200;-225.899;47.578;1018.644;-203.427;-23.350;1039.411;-173.008;-170.473;1035.657;-156.238;-170.034;968.774;-188.217;-144.636;995.781;134.643;-115.436;868.987;-129.865;-80.483;870.742;121.627;83.798;939.525;-71.221;105.540;948.690
28.615;44.312;1596.116;104.760;-24.130;1543.955;-43.922;-32.125;1543.029;86.479;85.309;1444.850;-37.829;77.120;1450.115;29.298;113.291;1279.691;43.337;115.972;1114.337;93.792;126.356;1194.625;-29.005;129.573;1176.978;30.468;-65.956;1275.986;18.573;-134.643;1085.137;75.170;-102.908;1202.669;-44.215;-90.136;1213.003;191.922;-46.506;1233.770;191.824;27.982;1303.626;203.085;87.747;1240.302;253.491;56.499;1156.065;218.344;80.581;982.131;268.457;31.248;1007.481;266.556;-61.667;975.745;204.060;-192.458;1041.556;197.284;-196.846;971.602;227.801;-167.840;1002.313;-150.047;-31.491;1241.326;-136.885;33.198;1310.256;-143.564;104.321;1250.734;-204.791;23.838;1157.723;-181.831;99.008;989.492;-226.094;47.188;1018.985;-203.573;-23.740;1039.801;-173.251;-170.716;1035.950;-155.117;-170.180;969.311;-187.632;-144.880;995.976;134.545;-115.533;868.987;-129.963;-80.581;870.693;121.529;83.701;939.525;-71.319;105.443;948.690
28.518;43.873;1596.067;104.565;-24.618;1543.907;-44.117;-32.369;1542.883;86.528;84.919;1444.899;-37.829;76.974;1450.115;29.249;113.242;1279.886;43.288;116.167;1114.532;93.694;126.258;1194.723;-29.493;129.573;1177.320;30.321;-65.859;1275.791;18.573;-134.107;1084.844;75.121;-102.810;1202.522;-44.312;-89.599;1212.662;191.824;-46.652;1233.916;191.678;27.787;1303.724;202.988;87.454;1240.400;253.247;56.304;1156.260;218.295;80.532;982.473;268.359;31.150;1007.676;266.848;-61.618;974.965;204.743;-193.482;1039.459;197.772;-196.894;969.603;228.337;-168.182;1000.412;-149.755;-31.491;1242.204;-136.885;33.051;1311.036;-143.856;103.883;1251.271;-205.181;22.522;1158.844;-183.781;95.985;990.029;-227.021;43.727;1020.204;-203.719;-26.422;1041.946;-173.836;-173.544;1038.631;-148.926;-172.471;974.185;-184.512;-147.561;998.170;134.399;-115.631;868.987;-130.060;-80.483;870.693;121.529;83.652;939.477;-71.367;105.540;948.690
27.884;43.386;1596.067;103.493;-25.837;1544.248;-45.190;-31.979;1542.298;87.259;83.993;1445.289;-37.195;77.364;1449.725;29.639;113.388;1280.325;43.483;116.703;1114.922;93.987;126.209;1195.015;-29.541;130.060;1177.710;30.321;-65.566;1275.694;18.281;-133.229;1084.649;74.975;-102.615;1202.474;-44.410;-88.576;1212.516;191.776;-46.945;1234.160;191.678;27.445;1303.968;203.134;87.016;1240.692;253.247;55.866;1156.797;218.977;80.288;983.155;268.847;30.760;1008.066;267.628;-61.764;973.503;205.766;-195.578;1035.218;198.552;-197.041;965.313;229.361;-169.108;996.658;-148.487;-31.101;1243.861;-136.446;33.588;1312.157;-144.100;103.590;1251.124;-205.718;18.622;1160.648;-189.046;85.748;988.761;-229.653;33.149;1021.861;-205.035;-34.514;1047.454;-174.811;-181.539;1048.868;-137.129;-180.222;990.809;-178.857;-156.336;1007.773;133.863;-115.777;869.035;-130.402;-79.557;870.888;121.676;83.603;939.525;-71.124;106.271;948.690
26.227;42.801;1596.067;100.909;-28.079;1545.028;-47.920;-30.760;1541.274;88.381;82.287;1446.069;-36.269;78.582;1448.994;30.663;114.168;1280.227;44.312;117.337;1114.873;94.962;126.404;1194.966;-28.859;130.938;1177.563;30.419;-64.786;1275.742;17.452;-131.962;1084.552;74.634;-102.079;1202.425;-44.556;-87.357;1212.808;191.727;-47.286;1234.209;192.019;27.153;1304.016;203.768;86.479;1240.595;253.735;54.988;1157.040;220.586;79.265;983.740;269.919;29.298;1008.358;269.090;-62.642;970.432;206.059;-199.527;1026.395;200.258;-197.626;956.392;230.628;-171.058;989.249;-146.732;-30.175;1247.615;-135.228;36.074;1313.620;-143.954;103.980;1249.759;-205.864;12.041;1163.963;-194.749;64.786;986.421;-232.773;13.991;1025.127;-206.741;-49.138;1058.325;-173.641;-195.529;1071.243;-123.918;-193.921;1023.373;-171.740;-173.105;1030.441;132.937;-115.875;869.035;-131.133;-77.753;871.083;122.261;83.652;939.428;-70.344;107.734;948.593
22.960;42.021;1596.213;96.473;-30.858;1546.198;-52.209;-29.005;1539.519;89.161;80.288;1447.677;-35.440;80.386;1448.165;31.833;115.485;1279.788;45.385;118.068;1114.532;96.229;126.941;1194.528;-27.884;132.108;1177.027;30.468;-63.616;1276.035;16.379;-130.743;1084.844;74.146;-101.153;1202.571;-44.702;-86.333;1213.735;191.288;-47.432;1234.306;192.458;27.202;1303.821;204.645;85.992;1239.961;254.466;53.428;1156.992;223.560;77.120;984.081;271.479;25.885;1008.504;270.797;-64.884;964.923;205.279;-205.230;1010.405;202.110;-198.357;940.452;231.457;-174.373;975.843;-144.490;-29.346;1253.513;-133.717;39.730;1315.472;-143.856;104.126;1246.835;-205.425;2.437;1169.471;-199.624;32.856;985.885;-235.259;-13.503;1032.050;-207.180;-69.174;1075.046;-166.280;-210.983;1107.902;-109.489;-207.375;1069.391;-161.113;-193.287;1066.563;131.767;-115.875;869.084;-132.010;-75.365;871.278;123.041;83.798;939.330;-69.369;109.635;948.593
18.768;40.949;1596.506;91.013;-33.588;1547.319;-57.328;-27.153;1537.569;89.209;78.631;1449.774;-35.294;82.482;1447.677;32.515;117.045;1279.301;45.872;118.800;1114.191;96.960;127.623;1194.040;-27.397;133.278;1176.540;30.370;-62.203;1276.571;15.404;-129.719;1085.478;73.610;-100.226;1203.010;-44.751;-85.797;1215.002;190.557;-47.481;1234.940;192.556;27.738;1303.773;205.084;85.699;1239.279;255.148;51.332;1157.040;227.508;73.610;984.715;273.185;20.377;1008.797;272.747;-68.248;956.734;203.914;-212.055;985.934;203.670;-197.772;916.955;231.944;-177.931;955.564;-141.126;-29.005;1260.728;-132.205;43.191;1317.617;-144.636;103.785;1243.958;-203.963;-10.188;1178.051;-202.842;-7.166;991.199;-235.795;-46.993;1044.870;-204.158;-91.354;1097.616;-151.217;-220.440;1155.968;-92.378;-214.785;1121.162;-145.416;-209.618;1112.679;130.645;-115.680;869.182;-132.790;-73.122;871.522;123.577;83.945;939.477;-68.589;111.390;948.739
14.771;40.022;1596.798;85.943;-35.781;1548.001;-62.008;-25.788;1536.107;88.283;77.266;1451.529;-36.074;84.140;1447.580;32.369;118.361;1279.057;45.433;119.238;1114.093;96.668;128.110;1193.748;-28.323;133.863;1176.393;29.639;-61.179;1277.156;14.429;-129.134;1086.014;72.781;-99.544;1203.595;-44.800;-86.138;1216.318;189.241;-47.968;1235.915;191.873;28.079;1303.821;204.694;85.212;1238.840;255.392;48.358;1157.382;231.798;68.881;985.836;274.599;13.065;1009.089;274.453;-71.855;946.935;201.428;-217.612;954.540;205.620;-193.531;888.486;231.944;-179.881;930.556;-137.763;-28.664;1268.625;-131.035;45.921;1320.152;-146.537;102.956;1242.788;-200.550;-24.033;1189.702;-201.525;-50.308;1003.922;-231.603;-82.726;1063.931;-196.456;-112.072;1123.940;-130.840;-219.952;1207.007;-71.952;-212.494;1172.640;-124.796;-217.222;1162.208;130.012;-115.290;869.182;-133.278;-71.611;871.619;123.723;84.335;939.769;-68.296;112.657;948.934
11.358;39.096;1597.042;81.751;-37.536;1548.391;-65.908;-25.008;1535.132;86.967;76.096;1452.747;-37.195;85.066;1447.629;31.686;118.995;1278.960;44.117;119.726;1113.947;95.498;128.257;1193.699;-30.029;134.009;1176.588;28.713;-60.740;1277.643;13.455;-129.183;1086.599;71.855;-99.544;1204.082;-44.702;-87.016;1217.634;187.193;-49.138;1236.744;190.898;27.884;1303.724;203.719;84.091;1238.304;255.100;44.215;1157.479;236.039;63.860;987.201;275.476;5.119;1009.041;275.574;-74.292;937.283;197.723;-218.928;920.172;208.204;-184.073;859.822;231.603;-178.370;904.914;-134.399;-28.956;1276.425;-130.012;47.432;1322.589;-148.926;101.348;1242.886;-194.993;-36.756;1202.620;-194.847;-90.331;1022.251;-222.487;-115.436;1086.550;-185.195;-129.183;1150.459;-108.611;-210.544;1252.099;-50.747;-200.794;1216.708;-101.738;-215.370;1207.105;129.719;-114.753;869.377;-133.424;-70.977;871.668;123.382;84.773;940.208;-68.638;113.242;949.178
