UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.059;30.984;1597.356;93.052;-36.256;1543.445;-55.802;-40.981;1538.670;79.425;78.431;1449.696;-45.258;72.761;1451.636;20.988;111.305;1277.517;35.311;111.603;1111.903;85.891;124.832;1192.721;-36.505;124.882;1173.971;24.768;-68.136;1275.577;15.169;-140.797;1085.842;70.672;-105.138;1203.015;-49.187;-93.997;1212.763;185.806;-46.452;1233.801;185.060;28.348;1303.180;194.709;87.731;1239.172;248.372;55.503;1157.061;219.277;83.951;986.573;262.894;27.503;1008.207;256.230;-61.173;958.076;181.231;-196.996;994.381;177.451;-187.547;924.008;209.430;-168.698;961.855;-156.413;-36.803;1239.421;-144.577;28.746;1308.103;-151.440;98.921;1248.124;-212.563;16.164;1155.967;-197.146;93.450;989.309;-234.595;35.958;1017.160;-201.771;-37.151;1029.145;-153.579;-179.788;1005.223;-148.705;-168.151;936.988;-178.744;-151.440;971.902;131.646;-117.322;868.803;-133.834;-90.317;870.345;112.697;82.161;938.729;-80.967;97.379;948.576
17.158;31.034;1597.307;93.102;-36.256;1543.395;-55.752;-40.931;1538.670;79.475;78.480;1449.646;-45.158;72.811;1451.636;21.087;111.354;1277.467;35.361;111.703;1111.803;85.940;124.982;1192.671;-36.405;124.932;1173.871;24.817;-68.036;1275.528;15.169;-140.697;1085.792;70.672;-105.038;1202.966;-49.187;-93.898;1212.714;185.756;-46.352;1233.602;185.110;28.398;1302.931;194.709;87.830;1239.023;248.322;55.553;1156.813;219.227;83.702;986.275;262.993;27.453;1008.008;256.478;-61.322;958.076;181.629;-197.245;994.580;177.998;-187.945;924.306;209.977;-168.946;962.054;-156.314;-36.654;1239.371;-144.527;28.895;1308.004;-151.390;99.070;1248.025;-212.464;16.313;1155.868;-196.996;93.450;989.209;-234.496;36.007;1017.060;-201.721;-37.052;1029.195;-153.628;-179.739;1005.572;-148.705;-168.250;937.237;-178.794;-151.490;972.150;131.696;-117.372;868.803;-133.834;-90.367;870.345;112.697;82.061;938.679;-80.917;97.329;948.527
17.307;31.183;1597.257;93.201;-36.107;1543.246;-55.603;-40.782;1538.670;79.475;78.580;1449.547;-45.158;72.960;1451.586;21.187;111.404;1277.517;35.311;112.001;1111.754;85.940;125.280;1192.671;-36.505;125.031;1173.772;24.817;-67.837;1275.478;15.119;-140.399;1085.693;70.722;-104.740;1202.767;-49.286;-93.649;1212.664;185.657;-46.153;1233.154;185.160;28.398;1302.235;194.758;87.930;1238.625;248.372;55.304;1156.216;220.322;81.912;985.429;264.336;26.110;1007.959;258.567;-62.963;959.120;183.668;-199.384;996.818;181.032;-190.481;926.544;212.812;-170.936;964.193;-156.364;-36.405;1239.520;-144.527;28.995;1308.054;-151.341;99.070;1248.124;-212.762;16.263;1156.067;-197.792;92.853;989.259;-235.391;35.610;1017.508;-202.467;-37.300;1029.941;-154.275;-180.037;1007.262;-149.500;-169.046;938.878;-179.639;-152.087;973.593;131.795;-117.223;868.853;-133.784;-90.367;870.345;112.697;82.260;938.679;-80.967;97.379;948.527
17.457;31.531;1597.108;93.301;-35.709;1543.047;-55.453;-40.334;1538.521;79.525;79.077;1449.398;-45.059;73.407;1451.536;21.187;111.951;1277.368;34.814;112.498;1111.505;85.692;125.529;1192.273;-37.102;125.330;1173.623;24.966;-67.290;1275.229;15.069;-139.653;1085.395;70.722;-103.845;1202.319;-49.286;-93.052;1212.515;185.408;-45.755;1233.204;185.010;28.995;1301.688;194.609;88.178;1237.630;248.769;53.862;1155.619;225.991;75.098;983.738;269.757;20.391;1009.600;265.629;-70.224;964.690;189.636;-205.849;1006.666;189.288;-199.533;936.043;220.471;-178.346;973.344;-156.314;-36.007;1240.465;-144.079;29.393;1308.551;-151.539;99.170;1248.224;-214.254;15.368;1157.658;-202.865;89.273;989.905;-239.768;32.377;1020.044;-206.247;-39.887;1033.920;-157.060;-182.723;1014.026;-153.280;-173.074;945.443;-183.469;-155.717;979.710;131.795;-116.626;869.002;-133.735;-90.168;870.345;112.548;82.857;938.630;-81.116;97.727;948.477
17.755;32.377;1597.008;93.550;-34.864;1542.848;-55.205;-39.389;1538.372;79.823;79.972;1449.298;-44.711;74.402;1451.486;20.988;113.244;1277.119;34.267;113.493;1111.207;85.443;126.474;1191.726;-37.748;126.225;1173.523;25.215;-65.947;1275.329;15.169;-138.062;1085.395;70.921;-102.203;1202.269;-49.187;-91.560;1212.614;185.060;-44.661;1235.193;184.613;31.034;1302.135;194.460;88.875;1236.287;249.665;50.828;1156.166;238.972;59.929;982.445;281.246;7.609;1015.071;277.864;-86.487;979.909;198.041;-216.592;1032.478;200.726;-217.338;961.706;231.114;-192.918;997.515;-155.767;-35.460;1242.703;-143.284;30.537;1309.695;-151.987;99.369;1247.826;-217.487;12.583;1161.736;-215.696;79.027;990.900;-250.361;23.425;1026.211;-215.100;-46.949;1044.513;-164.172;-189.735;1032.925;-162.481;-184.463;963.447;-192.272;-165.714;997.117;131.895;-115.433;869.201;-133.735;-89.621;870.395;112.150;84.150;938.580;-81.613;98.523;948.328
18.451;33.968;1597.108;93.997;-33.322;1542.748;-54.757;-37.649;1538.620;80.271;81.514;1449.298;-44.263;76.143;1451.735;20.839;115.482;1276.671;33.869;114.886;1110.809;85.294;128.264;1191.079;-38.444;127.568;1173.175;25.613;-63.560;1276.025;15.517;-135.824;1085.991;71.169;-99.816;1202.966;-48.789;-89.372;1213.360;184.961;-42.920;1240.167;183.817;34.714;1303.528;194.460;89.770;1234.746;252.052;45.755;1158.504;257.125;34.018;984.236;297.061;-12.831;1026.907;293.679;-110.310;1008.904;206.794;-228.080;1078.283;215.796;-241.558;1009.401;243.746;-211.469;1042.424;-155.071;-34.615;1247.577;-142.040;33.073;1311.983;-152.584;99.369;1246.632;-222.709;7.311;1169.694;-235.093;59.283;994.332;-266.425;7.510;1038.197;-227.583;-57.990;1064.656;-171.085;-198.488;1070.275;-174.666;-202.865;1000.499;-202.765;-181.032;1033.174;132.044;-113.692;869.549;-133.635;-88.626;870.643;111.752;85.990;938.530;-82.061;99.816;948.278
19.197;36.554;1597.356;94.544;-30.935;1542.898;-54.260;-35.013;1539.068;80.768;83.901;1449.398;-43.766;78.729;1452.083;20.938;118.864;1275.826;33.421;116.527;1110.063;85.244;130.751;1189.985;-38.842;129.756;1172.678;25.911;-60.278;1277.268;15.616;-133.486;1087.334;71.070;-96.534;1204.110;-48.192;-86.786;1215.051;184.364;-40.881;1248.572;182.723;39.588;1305.816;194.559;89.621;1232.060;256.279;37.450;1163.527;276.620;-2.686;993.237;313.473;-40.036;1046.900;309.146;-137.763;1051.028;214.901;-235.640;1139.455;228.677;-264.635;1076.244;254.737;-227.981;1103.448;-154.175;-32.924;1256.380;-140.001;37.897;1315.265;-153.031;99.219;1244.593;-228.577;-0.050;1182.376;-257.970;27.553;1003.433;-283.931;-16.462;1058.140;-239.469;-72.661;1094.396;-174.815;-205.401;1123.988;-183.916;-224.499;1057.345;-210.574;-197.693;1087.185;132.143;-111.802;869.997;-133.536;-87.283;870.991;111.404;87.979;938.580;-82.409;101.358;948.278
19.595;39.688;1597.505;94.843;-27.951;1543.096;-53.912;-31.681;1539.118;81.415;86.985;1449.646;-43.070;82.111;1452.232;21.336;122.843;1274.384;33.272;118.267;1108.869;85.692;133.237;1188.244;-39.091;132.143;1171.832;26.160;-56.349;1278.860;15.268;-130.850;1089.224;70.573;-93.251;1205.602;-47.496;-84.299;1217.438;183.220;-38.892;1258.668;181.181;45.158;1308.452;195.554;89.273;1229.872;261.103;26.260;1171.633;293.381;-47.396;1013.429;326.802;-71.468;1076.094;320.088;-164.620;1103.398;218.432;-236.236;1207.492;234.347;-280.201;1153.978;260.059;-238.126;1172.827;-152.335;-30.935;1268.416;-137.465;44.114;1318.945;-153.181;99.369;1242.504;-232.954;-9.400;1199.484;-278.311;-15.268;1021.437;-298.404;-46.700;1086.538;-248.471;-90.068;1131.200;-176.009;-208.236;1187.349;-187.547;-243.398;1128.066;-214.155;-211.270;1152.486;132.143;-110.161;870.494;-133.635;-85.791;871.339;111.155;89.720;938.679;-82.608;103.049;948.278
19.744;43.020;1597.804;94.942;-24.668;1543.445;-53.762;-28.050;1539.068;81.962;90.466;1450.243;-42.473;85.891;1452.531;21.833;126.722;1272.494;33.322;120.157;1107.725;86.686;134.481;1186.106;-39.688;133.834;1170.688;26.309;-52.768;1280.600;14.771;-128.562;1091.015;69.827;-90.416;1207.243;-46.452;-82.409;1219.975;180.833;-36.753;1269.957;179.341;50.082;1311.137;197.693;88.875;1229.971;264.585;13.329;1183.420;304.521;-93.550;1045.956;334.312;-103.049;1113.942;323.669;-186.005;1162.035;214.005;-229.174;1274.036;232.407;-285.025;1233.950;257.622;-239.519;1243.449;-150.197;-28.398;1281.993;-134.431;50.231;1322.825;-153.927;99.518;1242.057;-234.197;-18.252;1220.174;-290.496;-63.112;1050.879;-306.361;-78.431;1122.596;-252.151;-107.525;1173.026;-172.776;-204.904;1252.998;-185.010;-254.439;1205.104;-212.016;-217.785;1222.163;131.944;-108.917;870.942;-133.834;-84.498;871.638;111.056;91.063;938.779;-82.708;104.541;948.178
