UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26.607;29.385;1595.780;103.358;-37.717;1542.859;-45.417;-44.442;1538.473;88.056;75.143;1447.250;-36.548;67.979;1449.491;32.991;106.623;1275.474;44.783;105.843;1109.693;96.535;117.441;1189.757;-25.389;121.583;1172.848;32.065;-72.511;1274.548;17.543;-143.706;1084.548;75.630;-110.911;1201.306;-43.370;-95.658;1212.417;193.996;-56.381;1232.202;195.069;19.541;1299.937;205.448;78.018;1235.125;255.494;44.686;1152.332;221.042;69.928;980.800;267.677;16.130;1003.850;261.927;-74.850;963.063;188.051;-207.495;1010.770;188.539;-206.325;939.818;217.241;-182.545;976.902;-148.385;-35.086;1240.340;-134.058;30.018;1308.806;-140.003;100.970;1248.283;-203.889;21.149;1157.887;-188.003;99.898;993.178;-226.743;42.493;1018.518;-196.043;-35.135;1022.416;-161.103;-173.335;983.188;-148.092;-159.885;917.110;-180.157;-142.440;951.221;132.937;-127.967;867.112;-131.573;-91.224;870.913;121.242;71.829;937.576;-71.439;94.391;948.443
26.022;30.262;1595.732;102.919;-36.792;1543.005;-45.855;-43.760;1538.473;87.520;75.971;1447.201;-37.035;68.564;1449.394;32.601;107.256;1275.523;44.637;106.428;1109.742;96.292;118.123;1189.903;-25.681;122.021;1172.799;32.016;-71.926;1274.695;17.835;-143.365;1084.743;75.776;-110.326;1201.501;-43.273;-95.268;1212.514;194.045;-55.504;1232.494;194.825;20.418;1300.229;205.204;78.895;1235.467;255.446;45.807;1152.771;221.091;71.195;981.239;267.823;17.494;1004.240;262.268;-73.437;963.355;188.636;-206.277;1010.819;189.123;-205.058;939.867;217.777;-181.229;977.000;-148.482;-34.891;1240.242;-134.350;30.310;1308.709;-140.393;101.165;1248.088;-203.986;21.198;1157.693;-188.100;99.849;992.934;-226.792;42.444;1018.323;-195.994;-35.135;1022.319;-160.908;-173.335;983.188;-147.605;-159.934;917.305;-179.816;-142.488;951.221;133.229;-127.382;867.258;-131.329;-91.077;870.962;121.193;72.511;937.528;-71.536;94.635;948.395
25.437;30.944;1595.780;102.529;-35.963;1543.151;-46.148;-43.224;1538.425;87.082;76.702;1447.347;-37.474;69.149;1449.345;32.308;107.792;1275.572;44.491;106.964;1109.839;96.048;118.756;1190.050;-25.973;122.363;1172.799;32.065;-71.439;1274.890;18.177;-143.024;1084.986;75.922;-109.790;1201.696;-43.175;-95.025;1212.661;194.094;-54.627;1232.786;194.630;21.247;1300.522;205.010;79.772;1235.856;255.397;46.879;1153.209;221.139;72.511;981.726;267.969;18.859;1004.678;262.560;-72.024;963.550;189.075;-205.107;1010.770;189.611;-203.743;939.867;218.264;-179.913;977.000;-148.531;-34.745;1240.242;-134.496;30.505;1308.611;-140.685;101.311;1248.039;-204.084;21.247;1157.595;-188.246;99.849;992.837;-226.841;42.396;1018.226;-195.897;-35.086;1022.368;-160.665;-173.286;983.481;-147.020;-159.885;917.548;-179.377;-142.488;951.416;133.522;-126.846;867.404;-131.085;-90.980;871.010;121.144;73.145;937.479;-71.634;94.927;948.395
25.048;31.577;1595.829;102.285;-35.183;1543.249;-46.343;-42.737;1538.425;86.692;77.433;1447.445;-37.766;69.587;1449.345;31.967;108.328;1275.669;44.296;107.500;1109.937;95.756;119.439;1190.196;-26.363;122.655;1172.799;32.162;-70.952;1275.036;18.615;-142.683;1085.181;76.215;-109.254;1201.940;-42.980;-94.781;1212.758;194.289;-53.652;1233.127;194.484;22.221;1300.814;204.766;80.747;1236.149;255.348;48.048;1153.599;221.139;73.632;982.165;268.018;20.126;1005.020;262.902;-70.757;963.647;189.562;-204.132;1010.477;190.195;-202.524;939.672;218.752;-178.793;976.853;-148.580;-34.842;1240.242;-134.691;30.457;1308.660;-140.978;101.262;1248.088;-204.181;21.052;1157.595;-188.539;99.849;992.837;-226.938;42.249;1018.274;-195.848;-35.037;1022.709;-160.616;-173.481;984.114;-145.704;-159.885;918.474;-178.646;-142.488;951.855;133.814;-126.212;867.502;-130.842;-90.883;871.059;121.047;73.827;937.528;-71.780;95.122;948.395
24.901;32.211;1595.780;102.237;-34.501;1543.298;-46.392;-42.201;1538.473;86.497;78.018;1447.396;-38.010;70.026;1449.345;31.431;108.864;1275.864;44.004;108.036;1110.131;95.317;120.072;1190.391;-27.192;122.899;1172.994;32.211;-70.367;1275.133;19.102;-142.293;1085.328;76.458;-108.669;1202.135;-42.785;-94.294;1212.758;194.386;-52.726;1233.566;194.191;23.244;1301.204;204.376;81.770;1236.539;255.300;49.120;1154.086;221.237;74.558;982.604;268.213;21.052;1005.458;263.340;-69.782;963.599;190.098;-203.694;1009.698;190.975;-201.501;938.892;219.336;-177.964;976.317;-148.531;-35.330;1240.778;-135.032;30.116;1309.147;-141.514;100.726;1248.526;-204.474;20.174;1158.034;-189.465;98.972;993.276;-227.133;40.934;1019.054;-195.994;-35.817;1024.512;-161.688;-174.845;986.599;-141.026;-160.470;922.324;-176.502;-143.268;953.706;134.058;-125.530;867.599;-130.598;-90.688;871.108;120.901;74.509;937.528;-71.975;95.463;948.395
24.804;32.991;1595.780;102.042;-34.014;1543.444;-46.586;-41.372;1538.522;86.643;78.408;1447.347;-37.912;70.708;1449.199;30.993;109.254;1276.400;43.565;108.913;1110.668;94.878;120.706;1190.781;-28.215;123.435;1173.725;32.357;-69.831;1275.279;19.395;-141.562;1085.425;76.702;-108.084;1202.378;-42.542;-93.563;1212.709;194.532;-51.996;1234.102;193.948;24.024;1301.643;203.986;82.550;1236.977;255.153;49.900;1154.720;221.724;75.094;983.286;268.652;21.685;1006.140;264.071;-69.051;963.355;190.488;-204.181;1008.041;192.096;-200.526;937.333;220.165;-177.526;975.148;-147.946;-35.963;1241.753;-135.227;29.579;1310.024;-142.342;99.800;1249.257;-205.058;17.494;1159.057;-192.193;94.927;993.178;-228.157;36.256;1020.224;-197.456;-38.595;1029.629;-163.199;-179.523;995.517;-131.573;-164.222;936.066;-172.409;-147.459;961.747;134.107;-124.945;867.794;-130.452;-90.054;871.205;120.901;75.191;937.576;-72.024;96.194;948.443
24.414;34.014;1595.586;101.311;-33.770;1543.882;-47.366;-40.154;1538.522;86.935;78.164;1447.055;-37.620;71.342;1448.614;31.139;109.741;1276.888;43.614;109.839;1111.204;94.927;121.144;1191.219;-28.605;124.263;1174.310;32.503;-69.246;1275.377;19.297;-140.442;1085.425;76.751;-107.548;1202.476;-42.444;-92.539;1212.807;194.679;-51.752;1234.638;193.850;24.365;1302.179;203.986;82.696;1237.464;255.056;50.193;1155.548;222.894;75.143;984.212;269.675;21.588;1007.018;265.289;-68.808;962.673;190.001;-206.033;1003.996;194.094;-199.357;933.678;221.237;-177.672;972.565;-146.679;-35.817;1243.799;-134.886;30.213;1311.389;-142.829;99.508;1249.403;-205.546;13.060;1161.152;-197.213;83.427;991.326;-230.788;25.194;1022.514;-198.821;-45.953;1040.252;-159.300;-188.685;1019.249;-119.536;-174.943;964.183;-164.856;-158.813;983.334;133.668;-124.360;867.940;-130.793;-88.543;871.352;121.193;75.971;937.576;-71.731;97.607;948.443
23.391;34.989;1595.439;99.898;-33.868;1544.565;-48.779;-38.790;1538.376;87.228;77.677;1447.055;-37.376;72.170;1447.932;31.821;110.570;1277.180;44.296;110.862;1111.545;95.707;121.583;1191.560;-28.361;125.238;1174.553;32.455;-68.515;1275.767;18.518;-139.028;1085.523;76.410;-106.866;1202.622;-42.591;-91.614;1213.440;194.386;-51.849;1235.077;193.948;24.268;1302.569;204.474;82.355;1237.708;255.494;49.462;1156.377;225.525;74.168;985.332;271.381;19.931;1007.992;266.946;-69.587;960.334;188.100;-208.762;994.201;196.628;-198.139;924.614;221.870;-178.744;965.548;-145.022;-35.232;1247.893;-134.009;32.357;1313.435;-143.122;99.508;1248.575;-205.643;5.653;1165.002;-203.596;60.523;988.744;-234.248;4.776;1027.046;-198.528;-58.915;1056.918;-148.677;-200.137;1059.598;-102.968;-189.172;1008.431;-152.478;-175.820;1020.029;132.596;-123.824;868.135;-131.573;-86.107;871.595;121.778;76.604;937.625;-71.000;99.703;948.492
21.685;35.427;1595.634;97.802;-34.258;1545.344;-50.826;-37.376;1537.840;87.325;77.482;1447.834;-37.328;73.486;1447.640;32.649;111.788;1277.277;45.027;111.983;1111.788;96.633;122.168;1191.560;-28.118;126.456;1174.846;32.308;-67.492;1276.449;17.153;-137.664;1086.059;75.679;-106.184;1203.012;-42.932;-90.980;1214.805;193.655;-52.239;1235.613;194.045;24.170;1302.763;205.058;81.672;1237.562;256.225;47.610;1157.108;229.570;71.634;986.405;273.476;15.886;1008.772;268.895;-71.731;954.778;186.005;-212.270;975.440;198.626;-196.189;907.558;222.114;-180.547;950.831;-142.098;-34.842;1254.715;-132.645;35.525;1316.311;-143.658;98.679;1246.382;-205.010;-5.701;1172.019;-209.688;24.317;989.036;-236.587;-26.461;1036.305;-196.336;-78.213;1079.188;-132.206;-210.029;1110.473;-80.990;-198.285;1065.202;-133.960;-193.022;1067.785;131.231;-123.240;868.233;-132.547;-82.988;871.936;122.460;77.141;937.771;-70.075;102.285;948.687
19.541;35.671;1595.927;95.414;-34.599;1545.978;-53.214;-36.109;1537.109;86.984;77.725;1448.955;-37.669;75.045;1447.591;33.380;113.347;1277.131;45.368;112.957;1111.788;97.169;122.899;1191.317;-28.215;127.674;1174.992;32.016;-66.176;1277.180;15.643;-136.494;1086.741;74.850;-105.404;1203.597;-43.127;-90.883;1216.559;192.535;-52.824;1236.003;194.143;24.268;1302.520;205.546;80.942;1236.928;257.005;44.735;1157.108;233.761;67.784;986.989;274.938;9.892;1008.626;270.698;-74.412;946.445;184.055;-215.487;949.515;201.111;-192.047;884.655;222.455;-181.668;930.267;-137.372;-34.550;1263.779;-130.890;39.033;1319.624;-144.779;97.851;1244.530;-202.037;-21.588;1183.130;-211.637;-22.903;996.784;-234.345;-66.030;1053.117;-189.659;-100.336;1106.720;-110.326;-211.539;1168.170;-57.941;-199.064;1124.361;-111.203;-204.132;1122.655;129.672;-122.752;868.379;-133.668;-79.967;872.326;123.045;77.628;938.064;-69.246;104.722;948.979
17.299;36.012;1596.073;92.978;-34.745;1546.514;-55.553;-34.891;1536.427;86.302;78.018;1449.832;-38.302;76.410;1447.445;33.673;114.809;1276.985;45.076;114.078;1111.398;97.023;123.824;1191.024;-29.190;128.600;1175.284;31.821;-65.007;1277.813;14.278;-135.617;1087.374;74.022;-104.576;1203.987;-42.688;-91.419;1218.216;191.121;-53.360;1236.246;194.094;24.511;1301.984;205.497;80.405;1236.051;257.249;41.421;1156.377;236.148;63.252;987.038;274.938;3.460;1007.456;271.868;-76.020;936.699;183.324;-216.510;918.961;205.010;-184.689;859.169;223.673;-180.596;906.633;-132.596;-34.599;1274.012;-128.795;41.860;1323.328;-146.874;96.292;1244.384;-195.799;-37.669;1198.090;-205.887;-72.852;1014.083;-225.233;-106.574;1077.628;-178.354;-121.826;1137.128;-87.520;-204.815;1222.163;-35.427;-191.706;1178.452;-86.643;-206.861;1175.918;128.356;-122.119;868.525;-134.496;-77.530;872.667;123.240;78.213;938.259;-68.856;106.769;949.223
15.399;36.353;1596.365;90.883;-34.794;1547.050;-57.648;-33.819;1536.037;85.620;78.261;1450.710;-38.936;77.628;1447.493;32.991;115.735;1277.131;43.858;115.150;1111.301;95.561;124.653;1190.976;-31.382;128.795;1176.161;31.919;-64.373;1278.496;13.498;-135.130;1088.008;73.681;-104.186;1204.425;-41.762;-92.344;1219.921;189.952;-53.555;1236.490;193.802;25.242;1301.302;204.571;80.600;1235.174;256.372;38.936;1155.061;235.759;58.769;986.989;272.940;-2.631;1005.653;272.209;-75.776;926.320;184.299;-213.391;886.361;210.029;-173.822;833.098;225.866;-176.259;881.585;-128.064;-35.573;1283.271;-126.748;42.639;1327.226;-149.408;93.514;1246.285;-187.515;-51.557;1214.171;-192.924;-115.881;1037.182;-210.662;-140.734;1105.063;-164.417;-139.321;1166.513;-66.907;-193.460;1266.118;-15.594;-177.964;1222.358;-63.252;-202.378;1220.701;127.479;-121.339;868.671;-135.032;-75.922;872.960;122.996;78.944;938.551;-69.051;108.231;949.418
14.083;37.035;1596.609;89.226;-34.696;1547.683;-59.208;-32.649;1535.939;85.279;78.310;1451.197;-39.326;78.554;1447.445;31.675;115.735;1277.521;41.616;116.028;1111.447;93.124;125.091;1191.122;-34.501;128.161;1177.526;32.552;-64.471;1278.934;13.693;-135.374;1088.495;74.119;-104.381;1204.620;-40.495;-93.904;1221.676;189.318;-53.506;1236.441;193.655;26.071;1300.522;203.207;80.990;1234.102;254.910;37.376;1153.209;233.322;55.699;986.746;270.065;-6.725;1003.363;272.014;-72.609;916.574;186.053;-204.766;855.612;216.071;-159.252;809.805;228.498;-167.779;858.535;-122.850;-37.474;1291.068;-124.604;41.421;1330.735;-152.137;89.908;1249.306;-178.646;-62.424;1228.401;-178.110;-147.313;1059.890;-194.922;-165.245;1130.062;-150.431;-150.772;1190.683;-49.754;-179.670;1297.403;-0.146;-162.224;1252.571;-43.711;-193.509;1253.448;127.333;-120.413;868.720;-135.179;-75.484;873.106;122.363;79.772;938.843;-69.782;108.815;949.662
13.401;37.961;1596.706;88.300;-34.355;1548.268;-60.036;-31.626;1536.183;85.181;78.261;1451.294;-39.326;79.090;1447.250;30.359;115.491;1277.813;39.569;115.833;1111.740;90.785;125.140;1191.170;-37.230;127.041;1178.647;33.770;-64.958;1279.324;14.570;-135.910;1088.885;75.240;-104.722;1204.815;-38.448;-95.804;1223.186;189.318;-52.921;1236.490;193.655;27.192;1300.035;201.988;81.819;1233.371;253.691;37.133;1151.699;229.765;54.140;986.599;266.897;-8.577;1001.267;271.576;-66.225;908.289;189.659;-191.268;828.322;221.968;-140.978;789.728;231.958;-154.817;837.874;-117.977;-39.521;1296.721;-122.509;39.618;1333.512;-154.037;86.351;1252.230;-171.044;-69.831;1238.926;-165.781;-166.854;1076.848;-181.327;-180.644;1148.093;-138.882;-156.864;1206.910;-36.840;-166.220;1315.580;10.623;-146.533;1269.383;-28.897;-182.642;1272.892;127.723;-119.585;868.818;-134.935;-76.068;873.155;121.437;80.552;939.087;-70.854;108.474;949.905
13.255;38.936;1596.706;88.251;-33.575;1548.755;-60.085;-30.895;1536.329;85.376;78.554;1451.343;-39.131;79.431;1446.957;29.482;115.150;1278.008;37.912;115.491;1111.886;89.128;125.286;1191.122;-39.131;125.822;1179.378;35.183;-65.494;1279.568;15.886;-136.738;1089.275;76.751;-105.014;1204.961;-36.548;-97.169;1224.015;189.952;-51.849;1236.197;193.948;28.507;1299.499;201.209;83.037;1232.689;252.668;37.912;1150.285;225.671;54.335;986.063;264.169;-7.748;999.367;271.527;-56.674;901.565;195.848;-174.845;805.712;227.377;-119.829;773.793;236.684;-138.249;820.574;-114.566;-41.372;1299.304;-120.998;37.620;1335.072;-155.109;83.427;1254.130;-166.269;-74.265;1244.043;-159.203;-175.869;1084.645;-173.091;-188.246;1156.474;-131.621;-159.057;1213.392;-28.459;-155.743;1320.989;16.861;-134.838;1273.135;-19.541;-173.627;1278.837;128.503;-119.000;868.818;-134.448;-77.384;873.106;120.511;81.039;939.331;-72.024;107.500;950.100
13.596;40.398;1596.511;88.933;-32.162;1549.145;-59.403;-30.164;1536.475;85.717;79.285;1450.904;-38.790;79.675;1446.373;28.946;114.761;1277.960;37.133;114.955;1111.788;88.349;125.433;1190.781;-39.813;124.848;1179.426;36.499;-65.932;1279.470;17.348;-137.372;1089.177;78.115;-104.966;1204.718;-35.671;-97.997;1223.771;191.024;-50.485;1235.467;194.435;29.774;1298.962;200.916;84.499;1232.153;252.181;40.008;1149.067;222.211;56.625;985.576;262.853;-4.142;997.759;272.355;-44.881;896.740;203.694;-156.669;788.217;232.250;-97.218;762.195;242.240;-119.536;807.417;-114.030;-43.127;1298.426;-120.803;35.671;1334.974;-155.304;81.624;1254.277;-165.684;-75.922;1243.117;-160.177;-176.210;1082.696;-171.434;-189.367;1154.866;-129.234;-158.910;1210.711;-23.196;-150.480;1314.849;19.444;-128.015;1265.143;-14.814;-168.364;1272.307;129.428;-118.659;868.769;-133.814;-79.187;872.960;119.731;81.283;939.380;-72.998;106.135;950.100
14.327;42.249;1595.927;90.152;-30.310;1549.340;-58.136;-29.433;1536.719;86.156;80.064;1449.881;-38.400;79.577;1445.447;28.800;114.371;1277.667;37.084;114.663;1111.447;88.349;125.627;1190.391;-39.618;124.166;1178.890;37.620;-66.420;1279.080;18.664;-137.761;1088.690;79.285;-104.771;1204.182;-35.622;-97.851;1222.504;192.437;-48.828;1234.297;194.922;30.798;1298.524;200.965;86.156;1231.958;252.230;43.370;1148.385;219.921;61.206;985.625;262.999;2.095;996.589;274.353;-31.724;893.573;212.368;-138.054;775.596;237.026;-74.996;754.593;248.429;-100.288;798.207;-115.004;-44.296;1294.577;-121.388;33.916;1333.415;-154.915;80.990;1253.107;-168.169;-75.337;1237.659;-168.023;-168.705;1073.242;-175.917;-185.225;1145.169;-130.939;-157.302;1200.478;-20.028;-151.357;1299.937;20.174;-127.967;1248.283;-13.645;-168.559;1255.982;130.306;-118.756;868.623;-133.229;-80.990;872.716;119.292;81.136;939.136;-73.534;104.722;949.905
15.253;44.101;1595.244;91.662;-28.312;1549.438;-56.674;-28.897;1537.011;86.594;80.747;1448.614;-37.961;79.138;1444.375;28.605;113.883;1277.375;37.376;114.517;1111.301;88.641;125.822;1190.147;-38.887;123.629;1178.159;38.838;-66.761;1278.398;19.882;-138.005;1088.203;80.405;-104.381;1203.597;-35.866;-97.120;1220.896;193.996;-46.879;1233.127;195.410;31.870;1298.426;201.160;88.105;1232.202;252.766;47.659;1148.434;218.898;67.443;986.307;264.217;9.990;996.102;277.180;-18.128;891.965;221.383;-120.218;767.166;241.947;-54.578;750.110;254.958;-81.819;792.262;-116.953;-45.125;1288.973;-122.509;32.357;1330.978;-154.281;81.136;1251.304;-173.237;-72.560;1229.132;-180.254;-154.525;1059.549;-185.615;-176.064;1130.306;-136.787;-153.112;1185.177;-21.441;-155.207;1280.689;18.079;-133.912;1227.231;-18.079;-171.922;1234.882;131.134;-119.244;868.525;-132.645;-82.696;872.521;119.244;80.747;938.795;-73.729;103.358;949.515
16.276;45.758;1594.465;93.319;-26.461;1549.292;-55.066;-28.751;1537.353;86.740;81.429;1447.201;-37.815;78.408;1443.400;28.312;113.396;1277.034;37.717;114.273;1111.057;88.933;125.969;1189.952;-38.205;123.288;1177.428;39.131;-66.810;1278.106;21.247;-138.102;1087.764;81.429;-103.942;1203.207;-35.866;-96.389;1219.532;195.702;-44.686;1232.202;195.507;33.039;1298.621;201.111;90.249;1232.835;253.350;52.678;1149.213;218.898;74.558;987.623;265.972;18.518;996.443;280.396;-5.214;891.672;229.911;-104.137;762.195;246.967;-36.792;748.014;261.342;-65.202;789.192;-120.998;-45.271;1283.223;-123.824;31.334;1328.688;-153.745;82.501;1249.891;-180.206;-66.858;1219.970;-193.071;-135.081;1045.661;-198.626;-161.152;1114.956;-146.923;-144.145;1169.632;-30.067;-156.669;1264.413;11.159;-147.556;1208.470;-31.041;-176.307;1217.485;132.060;-119.877;868.476;-131.962;-84.353;872.375;119.341;80.259;938.356;-73.681;101.993;949.126
