UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.498;48.253;1597.070;94.556;-18.375;1543.991;-54.150;-26.466;1540.385;77.789;93.971;1448.022;-46.693;85.636;1451.044;18.570;123.946;1276.652;30.999;123.898;1111.471;81.591;138.081;1190.576;-39.675;136.424;1174.054;25.150;-55.076;1276.700;14.768;-127.358;1086.760;70.819;-91.973;1203.688;-48.935;-82.858;1214.313;185.651;-31.535;1235.027;184.043;45.231;1301.217;191.744;103.232;1235.027;241.751;67.651;1150.561;205.489;77.156;976.217;256.178;29.878;1004.486;255.983;-64.532;978.800;193.547;-192.621;1050.546;191.500;-202.418;980.458;219.477;-170.786;1011.846;-158.113;-24.468;1242.436;-145.489;41.234;1310.331;-152.606;111.810;1250.039;-213.190;30.853;1158.262;-189.209;102.793;988.890;-235.756;54.540;1019.645;-220.452;-19.642;1038.020;-220.159;-169.128;1021.545;-181.898;-168.300;963.837;-220.062;-140.615;984.600;131.014;-108.739;871.036;-135.157;-84.369;871.474;109.324;92.119;937.079;-84.418;105.133;947.168
17.303;48.496;1596.923;94.312;-18.326;1544.040;-54.394;-26.222;1540.287;77.838;93.971;1447.973;-46.693;85.783;1450.849;18.667;123.898;1276.505;31.096;123.654;1111.276;81.689;137.935;1190.381;-39.577;136.326;1173.810;25.101;-55.125;1276.652;14.671;-127.602;1086.809;70.771;-92.070;1203.688;-48.984;-82.858;1214.313;185.700;-31.681;1234.979;184.043;45.133;1301.119;191.744;103.134;1234.930;241.849;67.603;1150.512;205.635;77.204;976.217;256.276;29.926;1004.438;256.227;-64.483;978.557;193.888;-192.767;1050.010;191.890;-202.418;979.921;219.818;-170.834;1011.359;-158.064;-24.321;1242.290;-145.441;41.380;1310.185;-152.459;111.907;1249.893;-213.190;30.950;1158.115;-189.307;102.939;988.695;-235.756;54.686;1019.596;-220.257;-19.399;1038.215;-219.721;-168.933;1022.130;-180.631;-168.154;964.958;-219.233;-140.518;985.234;130.916;-109.178;870.987;-135.205;-84.662;871.474;109.422;91.680;937.030;-84.321;104.791;947.119
17.157;48.691;1596.826;94.069;-18.326;1544.089;-54.589;-25.930;1540.238;77.887;93.825;1447.827;-46.596;85.929;1450.605;18.716;123.800;1276.310;31.194;123.361;1111.130;81.786;137.642;1190.235;-39.528;136.083;1173.664;25.004;-55.174;1276.603;14.573;-127.894;1086.809;70.673;-92.216;1203.688;-49.130;-82.858;1214.264;185.554;-31.876;1234.930;183.994;44.890;1301.022;191.793;102.842;1234.833;241.946;67.359;1150.561;205.927;77.107;976.266;256.520;29.780;1004.486;256.520;-64.581;978.118;194.083;-193.304;1048.840;192.231;-202.515;978.752;220.111;-171.127;1010.384;-158.113;-24.321;1242.339;-145.441;41.429;1310.185;-152.313;111.907;1249.844;-213.190;30.901;1158.115;-189.697;102.988;988.695;-235.854;54.443;1019.742;-220.013;-19.252;1039.043;-218.648;-168.933;1023.544;-177.560;-168.105;967.736;-217.235;-140.664;986.745;130.867;-109.617;870.890;-135.303;-84.954;871.426;109.470;91.242;937.030;-84.223;104.450;947.119
17.010;48.886;1596.680;93.776;-18.521;1544.186;-54.881;-25.637;1540.190;77.984;93.435;1447.632;-46.547;85.978;1450.313;18.814;123.605;1276.310;31.242;123.069;1111.081;81.884;137.252;1190.138;-39.723;135.790;1173.615;24.760;-55.320;1276.457;14.476;-128.089;1086.760;70.478;-92.460;1203.590;-49.276;-82.761;1214.118;185.408;-32.315;1234.930;183.897;44.451;1301.022;191.744;102.354;1234.833;242.092;66.872;1150.756;206.512;77.009;976.558;256.958;29.439;1004.633;256.958;-64.824;977.338;194.230;-194.230;1046.695;192.475;-202.710;976.558;220.354;-171.663;1008.532;-158.113;-24.419;1242.680;-145.538;41.283;1310.526;-152.313;111.712;1250.137;-213.287;30.463;1158.554;-190.477;102.501;988.987;-236.000;53.468;1020.424;-220.013;-19.350;1041.237;-216.699;-169.421;1026.858;-171.322;-167.861;974.560;-213.190;-141.347;990.449;130.770;-110.055;870.841;-135.351;-85.149;871.377;109.519;90.803;937.030;-84.174;104.207;947.119
16.523;48.886;1596.485;93.094;-19.106;1544.381;-55.613;-25.394;1540.044;78.179;92.655;1447.486;-46.352;85.880;1449.874;18.960;123.264;1276.457;31.242;122.777;1111.227;82.030;136.667;1190.138;-39.967;135.595;1173.859;24.614;-55.564;1276.359;14.135;-128.138;1086.565;70.235;-92.801;1203.541;-49.520;-82.615;1213.972;185.310;-33.095;1234.979;183.799;43.720;1301.119;191.744;101.575;1234.979;242.434;66.140;1151.097;207.536;76.912;977.094;257.641;28.952;1004.974;257.592;-65.166;976.071;193.986;-195.692;1042.845;192.767;-202.857;972.562;220.452;-172.443;1005.266;-157.772;-24.273;1243.460;-145.441;41.185;1311.355;-152.411;111.371;1250.624;-213.823;29.293;1159.724;-193.206;99.966;989.231;-237.316;50.007;1021.740;-220.208;-20.861;1046.013;-211.094;-171.273;1035.388;-159.234;-168.007;989.767;-205.050;-143.881;999.466;130.477;-110.543;870.792;-135.595;-85.052;871.328;109.617;90.364;937.079;-84.077;104.158;947.119
15.499;48.691;1596.241;91.778;-20.227;1544.966;-56.880;-25.150;1539.556;78.667;91.339;1447.535;-45.962;85.734;1449.046;19.740;122.923;1276.603;31.632;122.582;1111.422;82.615;135.888;1190.284;-39.723;135.790;1174.054;24.565;-55.905;1276.359;13.501;-127.943;1086.467;69.991;-93.337;1203.395;-49.666;-82.176;1214.020;185.310;-34.411;1234.833;184.043;42.355;1301.070;192.134;100.259;1235.076;242.921;64.971;1151.438;209.047;76.912;977.777;258.713;28.318;1005.266;258.372;-65.507;974.024;193.547;-197.544;1036.655;192.962;-202.759;966.274;220.403;-173.418;1000.051;-156.505;-23.347;1244.970;-144.661;41.965;1312.573;-152.362;111.469;1250.429;-214.603;26.320;1162.015;-199.835;90.803;988.402;-241.166;40.357;1024.226;-220.062;-26.612;1054.396;-199.396;-176.293;1055.030;-143.686;-170.639;1014.283;-192.962;-150.900;1017.939;129.844;-111.079;870.792;-136.131;-84.418;871.377;109.812;89.926;937.127;-83.833;104.596;947.168
13.891;48.107;1595.997;89.828;-21.884;1545.697;-58.829;-24.906;1538.581;79.300;89.536;1447.876;-45.377;85.636;1447.973;21.299;122.971;1276.603;32.705;122.679;1111.374;84.077;135.157;1190.235;-38.602;136.278;1174.005;24.760;-55.905;1276.408;12.380;-127.358;1086.370;69.650;-93.679;1203.249;-49.764;-81.445;1214.362;185.408;-36.214;1234.345;184.823;40.503;1300.827;193.304;98.358;1234.930;243.945;63.119;1151.584;210.996;76.863;978.410;259.883;27.246;1005.218;259.103;-65.994;970.417;192.962;-200.127;1027.589;192.621;-202.272;957.013;220.208;-174.636;992.058;-154.214;-22.469;1248.431;-143.101;44.207;1314.328;-152.069;111.566;1249.065;-214.847;19.252;1166.060;-209.388;69.747;987.086;-246.284;20.276;1029.003;-218.843;-39.285;1067.702;-182.337;-184.189;1088.125;-125.214;-176.050;1049.815;-177.073;-163.036;1048.255;128.577;-111.712;870.695;-137.106;-82.761;871.621;110.299;89.389;937.127;-83.199;105.815;947.168
11.649;46.937;1595.802;87.294;-24.029;1546.428;-61.266;-24.809;1537.168;79.788;87.781;1448.802;-44.841;85.685;1447.096;23.444;123.508;1276.408;34.216;122.971;1111.276;86.026;134.718;1189.943;-37.237;137.106;1173.907;25.150;-55.466;1276.603;10.820;-126.481;1086.516;69.162;-93.727;1203.103;-49.910;-80.714;1215.336;185.505;-37.969;1233.565;185.993;38.797;1300.144;194.961;96.408;1234.296;245.456;60.828;1151.292;213.433;76.668;978.703;261.199;25.589;1004.730;259.736;-66.725;965.835;191.500;-202.905;1016.282;191.841;-201.297;945.657;219.428;-175.806;982.261;-150.461;-21.787;1255.060;-140.469;47.522;1317.008;-151.631;111.030;1246.725;-214.018;8.091;1173.566;-217.966;35.337;989.085;-249.745;-10.382;1038.751;-215.675;-58.878;1086.711;-162.061;-192.280;1131.308;-104.938;-181.655;1093.632;-158.162;-177.463;1088.417;126.724;-112.492;870.597;-138.617;-80.178;871.913;111.176;88.756;937.030;-82.078;107.813;947.217
8.919;45.523;1595.705;84.223;-26.417;1547.208;-64.142;-24.711;1535.364;80.226;86.075;1450.167;-44.305;86.026;1446.267;25.735;124.287;1276.115;35.483;123.264;1111.032;87.976;134.523;1189.504;-35.922;137.788;1174.151;25.784;-54.930;1277.042;9.163;-125.701;1086.906;68.724;-93.532;1203.103;-49.715;-80.373;1216.701;185.700;-39.236;1232.737;187.309;37.579;1299.316;196.667;94.897;1233.370;246.967;58.976;1150.804;215.822;76.425;978.703;262.320;23.931;1004.048;260.126;-67.359;961.010;189.356;-205.050;1004.340;191.062;-199.737;933.764;218.307;-176.634;972.025;-145.392;-21.299;1264.028;-137.204;51.128;1320.274;-150.948;110.543;1245.507;-211.191;-6.580;1185.215;-222.548;-9.358;998.443;-249.355;-48.399;1056.297;-209.485;-82.176;1111.910;-139.446;-195.497;1180.731;-83.492;-184.189;1141.544;-136.667;-189.112;1135.549;124.580;-113.175;870.451;-140.274;-77.302;872.352;112.005;88.122;937.030;-80.957;110.007;947.363
