UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16.125;51.347;1594.870;90.807;-20.363;1545.034;-58.070;-21.971;1539.675;80.236;89.443;1445.312;-44.478;86.764;1446.773;29.230;119.842;1276.802;43.163;118.234;1111.655;94.509;128.270;1191.939;-28.012;135.675;1173.427;22.166;-60.164;1278.167;8.769;-133.385;1088.466;65.718;-100.940;1205.677;-53.198;-82.574;1215.030;184.829;-49.739;1239.827;187.703;27.768;1305.253;201.685;84.425;1239.388;250.304;43.747;1155.597;214.887;59.190;981.095;260.193;6.333;1008.571;251.376;-87.153;980.170;181.565;-211.672;1049.931;170.312;-216.641;980.023;205.290;-190.480;1010.081;-158.133;-16.661;1241.288;-140.790;48.424;1308.858;-143.323;119.111;1248.645;-210.210;42.042;1157.448;-185.998;116.237;990.156;-231.061;64.305;1016.999;-215.423;-14.274;1026.791;-205.631;-160.422;991.618;-156.330;-150.289;944.363;-201.052;-127.442;960.537;126.175;-120.475;869.486;-137.526;-79.943;872.799;118.088;80.284;937.007;-74.243;106.055;947.530
16.271;51.688;1594.870;90.953;-20.022;1545.082;-57.875;-21.581;1539.578;80.479;89.784;1445.409;-44.186;87.153;1446.822;28.937;120.280;1276.754;42.578;118.575;1111.606;94.071;128.903;1191.744;-28.645;135.869;1173.524;22.556;-59.775;1278.264;9.110;-133.141;1088.661;66.108;-100.453;1205.726;-52.857;-82.476;1215.274;185.121;-48.765;1239.681;187.801;28.840;1304.960;201.441;85.448;1238.999;250.109;44.721;1155.109;214.497;59.629;980.608;259.950;6.918;1008.181;251.083;-86.715;980.218;181.370;-210.990;1050.565;170.214;-216.202;980.705;205.095;-189.896;1010.666;-157.987;-16.953;1241.873;-140.741;48.229;1309.394;-143.615;118.867;1249.132;-210.503;41.555;1158.130;-186.973;115.750;990.692;-231.743;63.721;1017.827;-215.813;-14.420;1028.545;-205.339;-160.958;994.833;-155.307;-150.971;948.261;-200.565;-128.221;963.460;126.370;-119.842;869.633;-137.428;-80.138;872.799;117.601;80.966;937.007;-74.828;106.055;947.530
16.466;51.737;1594.919;91.245;-19.827;1545.082;-57.534;-21.435;1539.480;80.771;90.125;1445.555;-43.893;87.397;1446.871;28.596;120.719;1276.802;41.993;119.111;1111.606;93.584;129.634;1191.647;-29.473;135.967;1173.670;23.091;-59.336;1278.264;9.695;-132.752;1088.661;66.692;-99.771;1205.628;-52.321;-82.330;1215.323;185.511;-47.498;1239.486;187.898;30.107;1304.766;201.149;86.764;1238.755;250.011;46.232;1154.866;214.449;60.944;980.462;260.047;8.330;1007.938;251.034;-85.399;979.926;180.932;-209.626;1050.321;170.068;-214.790;980.462;204.900;-188.483;1010.471;-157.743;-17.635;1242.506;-140.692;47.693;1309.929;-144.054;118.283;1249.570;-210.795;40.386;1158.812;-188.093;114.386;991.033;-232.425;62.211;1018.655;-216.056;-15.297;1030.591;-204.511;-162.176;998.584;-153.261;-152.433;953.424;-199.249;-129.877;967.162;126.613;-119.160;869.681;-137.282;-80.333;872.799;117.114;81.697;937.007;-75.413;106.104;947.530
16.807;51.639;1594.968;91.635;-19.730;1544.985;-57.144;-21.533;1539.480;80.966;90.417;1445.653;-43.698;87.543;1447.066;28.158;121.206;1276.900;41.409;119.842;1111.703;92.999;130.413;1191.647;-30.253;136.259;1173.865;23.579;-58.800;1278.167;10.328;-132.118;1088.563;67.374;-99.040;1205.531;-51.737;-82.038;1215.274;185.901;-46.232;1239.194;187.947;31.276;1304.571;200.808;88.128;1238.658;250.060;48.034;1154.866;214.887;63.039;980.511;260.437;10.328;1007.840;251.181;-83.451;979.195;180.299;-207.921;1048.859;169.922;-212.597;978.952;204.608;-186.534;1009.253;-157.256;-18.220;1243.286;-140.644;47.303;1310.514;-144.638;117.650;1249.960;-211.039;38.632;1159.543;-189.457;111.463;990.887;-233.156;59.141;1019.435;-216.300;-17.489;1033.319;-203.146;-164.856;1004.138;-149.802;-155.258;961.463;-197.057;-133.141;972.472;126.808;-118.429;869.779;-137.185;-80.284;872.799;116.724;82.476;936.958;-75.900;106.299;947.481
17.148;51.493;1594.968;92.074;-19.681;1544.790;-56.706;-21.727;1539.383;81.161;90.612;1445.701;-43.504;87.543;1447.212;27.914;121.742;1277.046;40.922;120.670;1111.801;92.609;131.193;1191.647;-30.886;136.795;1174.109;24.017;-58.167;1278.020;10.766;-131.193;1088.417;67.910;-98.261;1205.336;-51.298;-81.405;1215.225;186.242;-45.062;1238.706;187.947;32.299;1304.327;200.516;89.394;1238.609;250.206;49.885;1154.963;215.959;65.621;980.803;261.314;12.569;1007.889;251.376;-81.210;978.075;179.227;-205.923;1046.034;168.996;-209.674;976.077;203.829;-184.245;1006.817;-156.525;-18.561;1244.406;-140.595;47.255;1311.294;-145.272;117.162;1250.155;-211.136;36.099;1160.371;-191.162;105.812;989.962;-233.838;53.247;1020.019;-217.128;-22.020;1037.021;-200.857;-169.873;1011.445;-142.154;-160.033;976.759;-191.601;-139.036;980.267;126.857;-117.747;869.876;-137.185;-80.041;872.848;116.383;83.256;936.910;-76.290;106.688;947.432
17.684;51.201;1594.968;92.317;-20.120;1544.595;-56.462;-21.630;1539.237;81.746;90.417;1445.750;-42.968;87.738;1447.260;27.866;122.326;1277.338;40.629;121.937;1112.044;92.366;132.021;1191.793;-31.373;137.769;1174.498;24.309;-57.436;1277.825;10.912;-129.829;1088.027;68.251;-97.335;1205.044;-50.957;-80.430;1214.933;186.339;-44.332;1238.073;187.898;32.835;1303.986;200.272;90.174;1238.560;250.547;51.249;1155.207;218.102;68.398;981.290;262.726;14.420;1007.987;251.376;-79.115;976.565;177.327;-203.731;1042.185;166.414;-206.021;972.278;201.880;-181.711;1003.261;-155.307;-18.561;1245.965;-140.449;47.644;1312.170;-146.051;116.724;1250.009;-211.136;32.007;1161.345;-192.867;94.850;987.526;-234.617;42.870;1020.214;-218.151;-30.058;1042.575;-194.913;-178.594;1025.476;-131.144;-167.340;1002.384;-181.858;-149.266;995.223;126.711;-117.065;870.022;-137.380;-79.261;872.897;116.188;84.035;936.812;-76.484;107.565;947.335
18.171;50.665;1595.017;92.074;-21.289;1544.449;-56.706;-21.240;1539.090;82.671;89.589;1445.896;-41.993;88.225;1447.407;28.255;122.960;1277.533;40.873;123.203;1112.093;92.658;132.703;1191.939;-31.373;138.841;1174.596;24.504;-56.657;1277.582;10.620;-128.221;1087.540;68.398;-96.458;1204.605;-50.762;-79.456;1214.835;186.242;-44.137;1237.294;188.044;32.737;1303.645;200.467;90.222;1238.512;251.229;51.737;1155.548;220.684;71.174;981.826;264.090;15.979;1007.987;250.693;-77.118;974.762;174.648;-201.198;1038.093;161.981;-201.734;968.429;198.859;-178.983;999.315;-153.797;-18.463;1248.547;-140.010;48.911;1313.193;-146.636;116.237;1248.791;-210.503;25.771;1163.001;-194.767;76.046;984.262;-235.250;26.112;1021.919;-215.667;-41.506;1053.975;-184.098;-189.262;1057.287;-120.183;-177.278;1035.462;-171.384;-163.540;1023.868;126.126;-116.334;870.168;-137.867;-77.751;873.043;116.237;84.961;936.715;-76.387;109.076;947.140
18.220;49.885;1595.211;91.148;-22.994;1544.547;-57.583;-20.558;1538.652;83.743;88.517;1446.481;-40.873;89.102;1447.650;29.132;123.788;1277.582;41.506;124.372;1112.142;93.389;133.287;1192.036;-30.983;139.913;1174.645;24.894;-55.829;1277.484;10.084;-126.662;1087.345;68.495;-95.532;1204.264;-50.519;-78.677;1215.225;186.145;-44.088;1236.514;188.532;32.542;1303.304;201.100;90.076;1238.414;252.155;51.834;1155.694;222.584;73.659;982.264;264.772;17.148;1007.694;249.037;-75.267;972.911;171.043;-198.470;1034.537;156.476;-197.398;965.214;194.767;-176.206;995.808;-151.166;-18.415;1252.980;-138.841;51.152;1314.655;-146.879;115.652;1246.404;-208.895;16.271;1166.606;-197.252;47.547;982.898;-235.543;1.413;1027.278;-210.941;-57.095;1070.782;-169.337;-198.713;1101.034;-106.396;-186.729;1076.482;-158.328;-178.886;1062.987;125.347;-115.457;870.266;-138.549;-75.754;873.238;116.432;85.887;936.617;-76.095;110.927;947.091
17.440;48.960;1595.601;89.297;-24.845;1544.790;-59.239;-19.584;1537.872;84.864;87.592;1447.699;-39.704;90.515;1447.894;30.253;124.908;1277.533;42.091;125.395;1112.142;94.266;134.018;1191.890;-30.496;140.985;1174.791;25.722;-54.854;1277.777;9.597;-125.249;1087.540;68.739;-94.656;1204.264;-49.885;-78.189;1216.297;186.388;-43.845;1235.832;189.360;32.786;1302.817;201.880;90.320;1238.024;252.886;52.078;1155.304;223.510;75.510;982.313;264.724;17.879;1007.012;246.455;-74.049;971.157;166.171;-195.936;1031.857;150.387;-193.647;962.827;189.750;-173.771;993.128;-146.782;-18.415;1259.265;-136.941;53.734;1316.750;-147.172;115.019;1244.065;-206.459;3.410;1173.914;-199.590;10.182;986.892;-234.617;-30.691;1038.532;-204.998;-77.166;1092.022;-151.215;-205.387;1148.630;-89.345;-192.478;1121.982;-141.521;-192.478;1107.270;124.470;-114.678;870.363;-139.280;-73.513;873.530;116.627;86.715;936.812;-75.754;112.875;947.286
