UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
13.789;42.001;1595.727;90.920;-25.629;1544.031;-57.739;-32.158;1538.184;76.839;86.583;1447.507;-47.750;79.567;1448.628;20.123;118.157;1277.654;32.451;119.278;1112.039;83.757;131.848;1191.947;-39.126;132.433;1175.478;23.972;-61.393;1277.020;12.035;-133.554;1087.190;68.896;-98.472;1203.592;-51.015;-87.168;1214.555;185.348;-39.418;1233.558;184.227;36.007;1301.675;193.436;95.354;1237.164;245.523;63.098;1155.063;214.485;88.873;983.406;260.432;34.546;1006.063;254.098;-56.033;960.847;188.271;-190.610;1007.671;173.654;-184.812;938.385;210.197;-163.568;974.246;-158.598;-28.309;1243.157;-144.663;36.787;1311.663;-152.508;107.876;1251.830;-214.972;28.309;1161.105;-199.624;107.096;995.295;-239.773;51.356;1022.532;-212.195;-23.680;1033.641;-178.283;-167.466;1008.256;-159.329;-155.821;942.722;-194.118;-137.890;975.562;128.243;-113.869;870.171;-137.013;-85.073;871.535;110.605;86.535;937.264;-82.880;103.247;947.302
13.935;41.513;1595.727;91.066;-26.116;1544.079;-57.592;-32.694;1538.232;76.985;86.047;1447.507;-47.604;79.080;1448.628;20.269;117.670;1277.654;32.597;118.839;1112.039;83.904;131.361;1191.947;-38.980;131.946;1175.430;24.119;-61.831;1276.972;12.181;-133.895;1087.043;69.043;-98.813;1203.495;-50.868;-87.558;1214.507;185.543;-39.808;1233.509;184.373;35.569;1301.626;193.534;94.915;1237.164;245.669;62.806;1155.063;214.729;88.532;983.406;260.773;34.302;1006.112;254.732;-56.277;960.944;189.148;-191.049;1007.769;174.580;-185.251;938.434;211.075;-163.909;974.344;-158.452;-28.796;1243.108;-144.517;36.300;1311.663;-152.361;107.389;1251.781;-214.826;27.773;1161.105;-199.624;106.560;995.247;-239.773;50.868;1022.532;-212.146;-24.119;1033.788;-178.380;-167.953;1008.646;-159.232;-156.454;943.160;-194.118;-138.426;975.854;128.292;-114.210;870.073;-136.916;-85.414;871.486;110.702;86.145;937.313;-82.783;102.809;947.350
14.179;41.075;1595.727;91.310;-26.506;1544.031;-57.300;-33.133;1538.281;77.131;85.658;1447.459;-47.409;78.593;1448.677;20.367;117.182;1277.605;32.694;118.352;1111.990;84.001;130.923;1191.899;-38.833;131.459;1175.430;24.314;-62.319;1276.874;12.327;-134.285;1086.946;69.189;-99.203;1203.398;-50.722;-88.045;1214.409;185.689;-40.198;1233.363;184.471;35.130;1301.577;193.680;94.526;1237.115;245.815;62.514;1155.112;214.972;88.386;983.455;261.066;34.253;1006.161;255.219;-56.326;960.896;189.928;-191.292;1007.525;175.359;-185.494;938.239;211.805;-164.055;974.149;-158.355;-29.283;1243.059;-144.371;35.764;1311.615;-152.215;106.902;1251.781;-214.680;27.383;1161.056;-199.527;106.219;995.247;-239.676;50.527;1022.532;-212.195;-24.460;1033.934;-179.014;-168.441;1008.694;-158.501;-156.795;943.550;-194.070;-138.767;975.854;128.389;-114.649;869.976;-136.818;-85.853;871.389;110.800;85.706;937.313;-82.685;102.370;947.350
14.471;40.831;1595.678;91.602;-26.750;1543.982;-56.959;-33.474;1538.281;77.277;85.365;1447.361;-47.263;78.203;1448.628;20.367;116.695;1277.556;32.743;117.816;1111.893;84.001;130.387;1191.801;-38.931;130.825;1175.332;24.411;-62.757;1276.777;12.473;-134.675;1086.849;69.286;-99.593;1203.300;-50.625;-88.435;1214.263;185.835;-40.490;1233.314;184.520;34.789;1301.529;193.680;94.184;1237.066;245.864;62.367;1155.112;215.119;88.240;983.455;261.261;34.205;1006.112;255.657;-56.326;960.652;190.561;-191.585;1006.843;176.090;-185.592;937.605;212.390;-164.202;973.613;-158.355;-29.966;1243.011;-144.371;35.033;1311.566;-152.118;106.122;1251.830;-214.631;26.798;1161.007;-199.624;106.122;995.393;-239.627;50.186;1022.581;-212.829;-25.239;1034.324;-181.840;-169.171;1007.574;-154.310;-156.552;944.963;-193.436;-138.816;974.587;128.486;-115.136;869.878;-136.770;-86.340;871.340;110.897;85.170;937.313;-82.539;101.834;947.399
14.715;41.172;1595.532;91.846;-26.604;1544.031;-56.715;-33.376;1538.476;77.423;85.122;1447.020;-47.117;77.910;1448.384;20.318;116.110;1277.654;32.694;117.475;1112.039;83.952;129.753;1191.850;-39.321;130.289;1175.576;24.411;-63.244;1276.582;12.668;-134.869;1086.605;69.384;-100.031;1203.203;-50.576;-88.581;1213.825;185.933;-41.026;1233.461;184.471;34.253;1301.675;193.582;93.697;1237.212;245.718;62.026;1155.404;215.216;87.996;983.796;261.407;33.961;1006.404;255.998;-56.423;960.262;190.903;-192.218;1005.430;176.724;-185.640;936.192;212.877;-164.494;972.443;-158.014;-30.599;1243.254;-144.419;34.107;1312.053;-152.410;105.099;1252.268;-215.167;25.385;1161.592;-201.183;104.124;995.490;-240.358;47.604;1022.581;-215.021;-27.822;1034.860;-185.884;-171.851;1004.114;-140.619;-156.990;954.415;-188.125;-140.180;972.005;128.535;-115.672;869.781;-136.623;-86.583;871.291;111.092;84.634;937.313;-82.344;101.493;947.350
14.812;41.854;1595.484;91.699;-26.457;1544.323;-56.861;-32.694;1538.768;77.764;84.829;1446.776;-46.776;78.105;1448.141;20.757;115.623;1277.897;33.084;117.085;1112.283;84.440;128.876;1192.093;-38.980;130.094;1175.771;24.411;-63.732;1276.630;12.522;-134.869;1086.508;69.335;-100.616;1203.251;-50.576;-88.581;1213.776;186.128;-42.147;1233.753;184.617;33.181;1302.016;193.923;92.382;1237.407;245.328;61.247;1156.037;215.703;87.607;984.576;261.797;33.474;1006.989;256.486;-56.667;959.678;190.708;-193.485;1002.945;177.357;-185.397;933.659;213.267;-164.884;970.446;-157.234;-30.502;1244.083;-144.127;34.253;1312.589;-152.459;104.660;1252.122;-215.362;22.316;1162.128;-202.255;96.280;993.005;-240.991;40.052;1021.217;-218.919;-34.789;1035.931;-187.541;-179.550;1004.553;-128.048;-163.471;975.367;-179.647;-147.440;975.416;128.389;-116.159;869.781;-136.721;-86.242;871.340;111.482;84.196;937.411;-81.906;101.737;947.399
14.861;42.683;1595.532;91.212;-26.457;1544.664;-57.446;-31.330;1538.866;78.446;84.732;1446.825;-46.191;79.177;1447.995;21.585;115.428;1277.946;34.058;116.695;1112.380;85.414;127.951;1192.240;-38.151;130.094;1175.478;24.216;-63.975;1276.777;11.938;-134.821;1086.508;68.945;-101.152;1203.398;-50.771;-88.484;1214.020;186.079;-43.511;1234.289;184.812;31.915;1302.552;194.557;90.725;1237.700;245.523;59.882;1157.012;216.775;86.827;985.697;262.528;32.402;1007.817;257.265;-57.105;958.508;189.928;-195.824;998.073;178.575;-184.763;928.786;213.754;-165.712;966.694;-156.406;-30.355;1245.837;-143.835;35.277;1313.028;-152.313;104.465;1250.953;-214.583;17.736;1162.420;-200.745;80.883;988.425;-240.212;27.140;1020.535;-219.553;-45.850;1042.022;-187.687;-192.462;1022.727;-125.076;-179.501;999.486;-176.675;-163.130;992.469;127.853;-116.695;869.684;-137.062;-85.122;871.389;112.164;83.757;937.508;-81.078;102.516;947.497
14.617;43.901;1595.630;90.286;-26.263;1545.151;-58.421;-29.478;1539.158;78.836;84.732;1446.874;-45.850;80.590;1447.897;22.170;115.575;1277.946;35.130;116.452;1112.429;86.437;127.317;1192.386;-37.420;130.338;1174.991;23.729;-64.024;1277.020;11.158;-134.675;1086.654;68.360;-101.591;1203.690;-51.112;-88.386;1214.312;185.738;-44.729;1235.215;184.666;30.843;1303.380;195.093;89.263;1238.236;245.913;58.226;1158.230;218.578;85.170;987.256;263.502;30.063;1008.987;258.630;-58.080;956.267;188.174;-199.283;988.181;181.596;-183.935;919.139;214.583;-167.174;959.385;-155.431;-30.160;1248.516;-143.689;37.079;1313.320;-152.605;103.978;1248.127;-213.316;10.914;1163.005;-197.675;57.544;983.455;-238.409;8.283;1020.827;-218.432;-60.565;1052.595;-186.858;-208.102;1054.008;-123.176;-199.040;1032.472;-174.288;-183.594;1020.729;126.927;-117.280;869.586;-137.695;-83.465;871.486;113.090;83.221;937.654;-80.054;103.637;947.643
13.643;45.411;1595.873;88.776;-25.678;1545.833;-59.931;-27.432;1539.353;78.788;85.122;1447.166;-45.947;82.247;1447.800;22.657;115.964;1277.702;36.105;116.257;1112.331;87.314;126.927;1192.483;-36.738;130.777;1174.406;23.144;-63.878;1277.410;10.330;-134.723;1086.995;67.630;-101.883;1204.128;-51.502;-88.338;1214.848;185.153;-45.947;1236.482;184.373;30.014;1304.257;195.434;87.753;1238.674;246.254;56.033;1159.497;221.014;82.393;988.961;264.671;26.116;1010.302;260.627;-59.785;952.028;185.104;-202.889;970.884;186.469;-182.181;902.962;215.655;-168.928;946.571;-153.921;-30.209;1252.317;-143.542;39.467;1313.564;-152.946;103.345;1244.180;-211.318;1.754;1165.003;-194.508;26.896;980.970;-235.973;-16.469;1024.481;-215.460;-77.764;1067.749;-184.179;-222.671;1095.034;-120.788;-218.140;1071.647;-171.803;-204.545;1057.663;126.002;-117.865;869.537;-138.280;-81.614;871.632;114.015;82.637;937.947;-78.934;104.855;948.032
