UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
13.448;40.980;1596.234;89.785;-28.412;1545.718;-59.026;-33.449;1540.387;76.533;82.010;1446.983;-48.169;76.435;1448.597;21.028;110.765;1280.616;34.770;113.601;1114.689;85.384;123.822;1195.330;-36.530;127.294;1177.138;21.419;-68.611;1276.117;9.634;-137.710;1085.152;66.117;-106.168;1202.763;-53.500;-92.475;1213.130;183.679;-49.294;1234.012;183.385;25.038;1303.992;193.264;85.775;1241.885;245.736;54.233;1157.723;216.786;84.553;986.270;262.021;29.244;1009.206;253.707;-61.422;968.470;176.686;-193.508;1017.324;175.659;-188.716;946.708;205.734;-166.661;983.532;-159.619;-31.738;1240.711;-145.828;32.276;1310.104;-151.207;103.869;1250.932;-215.025;25.038;1158.946;-200.452;104.603;993.997;-239.379;47.436;1020.600;-206.712;-26.407;1032.435;-163.531;-168.617;1006.956;-152.479;-157.124;939.764;-184.412;-139.568;974.729;126.805;-116.535;869.197;-138.101;-84.553;871.056;111.938;82.988;938.737;-81.374;102.451;948.420
13.644;40.980;1596.234;89.981;-28.315;1545.620;-58.830;-33.498;1540.387;76.582;82.157;1446.934;-48.120;76.435;1448.646;21.028;110.863;1280.518;34.721;113.650;1114.640;85.335;123.920;1195.183;-36.579;127.343;1177.040;21.468;-68.513;1276.117;9.683;-137.612;1085.103;66.165;-106.021;1202.714;-53.500;-92.377;1213.081;183.679;-49.098;1233.914;183.385;25.234;1303.845;193.215;85.922;1241.738;245.687;54.429;1157.528;216.590;84.602;986.124;261.874;29.391;1009.010;253.610;-61.324;968.323;176.734;-193.459;1017.177;175.610;-188.667;946.561;205.734;-166.612;983.385;-159.619;-31.689;1240.662;-145.779;32.325;1310.104;-151.207;103.918;1250.883;-214.976;25.087;1158.897;-200.452;104.652;993.948;-239.379;47.485;1020.600;-206.712;-26.359;1032.435;-163.531;-168.568;1007.005;-152.479;-157.124;939.764;-184.412;-139.520;974.729;126.805;-116.633;869.148;-138.150;-84.651;871.056;111.889;82.939;938.688;-81.374;102.353;948.371
13.839;40.980;1596.185;90.177;-28.266;1545.522;-58.585;-33.547;1540.436;76.631;82.206;1446.885;-48.071;76.386;1448.695;21.028;110.911;1280.469;34.672;113.601;1114.542;85.286;124.017;1195.134;-36.530;127.343;1176.991;21.566;-68.415;1276.068;9.732;-137.466;1085.054;66.214;-105.923;1202.665;-53.402;-92.279;1213.032;183.728;-48.903;1233.816;183.483;25.429;1303.747;193.215;86.118;1241.592;245.590;54.624;1157.381;216.395;84.700;985.928;261.776;29.537;1008.815;253.561;-61.128;968.030;176.930;-193.459;1016.786;175.756;-188.618;946.219;205.832;-166.514;983.043;-159.521;-31.689;1240.565;-145.730;32.325;1310.007;-151.158;103.918;1250.883;-214.928;25.185;1158.848;-200.403;104.750;993.948;-239.379;47.631;1020.551;-206.712;-26.114;1032.435;-163.433;-168.372;1007.299;-152.381;-157.027;940.057;-184.314;-139.373;974.974;126.805;-116.633;869.148;-138.150;-84.797;871.056;111.841;82.939;938.639;-81.423;102.256;948.371
14.084;40.980;1596.136;90.470;-28.217;1545.424;-58.243;-33.645;1540.387;76.777;82.254;1446.836;-47.876;76.337;1448.695;20.979;110.960;1280.420;34.672;113.748;1114.542;85.286;124.115;1195.036;-36.579;127.343;1177.040;21.615;-68.317;1275.921;9.829;-137.319;1084.956;66.312;-105.728;1202.518;-53.353;-92.182;1212.886;183.825;-48.658;1233.718;183.532;25.625;1303.649;193.215;86.313;1241.494;245.443;54.771;1157.283;216.297;84.846;985.879;261.679;29.684;1008.717;253.659;-60.933;967.590;177.126;-193.557;1015.954;176.001;-188.422;945.388;206.076;-166.465;982.260;-159.472;-31.787;1240.418;-145.779;32.178;1309.958;-151.158;103.821;1250.883;-214.781;25.136;1158.701;-200.355;104.847;993.899;-239.379;47.827;1020.600;-206.663;-25.821;1032.728;-162.602;-167.736;1008.668;-152.185;-157.124;941.182;-183.776;-139.177;976.001;126.805;-116.633;869.148;-138.150;-84.895;871.056;111.792;82.939;938.639;-81.521;102.207;948.322
14.426;40.883;1596.088;90.812;-28.217;1545.278;-57.950;-33.694;1540.290;77.022;82.352;1446.836;-47.631;76.386;1448.744;21.028;111.107;1280.372;34.574;113.846;1114.493;85.286;124.213;1194.938;-36.628;127.538;1177.187;21.811;-68.073;1275.775;9.976;-137.074;1084.858;66.459;-105.483;1202.421;-53.206;-91.742;1212.739;183.972;-48.414;1233.669;183.630;25.870;1303.551;193.264;86.411;1241.249;245.149;55.064;1157.381;216.444;85.140;986.026;261.874;29.977;1008.766;254.050;-60.542;967.003;177.566;-193.704;1014.194;176.686;-188.031;943.725;206.565;-166.269;980.842;-159.081;-31.738;1240.711;-145.583;32.227;1310.202;-151.158;103.869;1251.177;-214.439;24.794;1158.946;-200.110;103.918;993.948;-239.183;46.996;1021.187;-205.832;-25.870;1034.635;-159.619;-167.247;1013.607;-152.528;-158.983;945.583;-182.505;-139.862;980.598;126.756;-116.682;869.148;-138.248;-84.993;871.007;111.694;82.841;938.688;-81.619;102.109;948.322
15.013;40.736;1596.136;91.253;-28.412;1545.180;-57.461;-33.547;1540.143;77.706;82.401;1446.934;-46.947;76.728;1448.841;21.517;111.400;1280.469;34.770;114.041;1114.542;85.629;124.311;1194.841;-36.286;128.125;1177.382;22.055;-67.584;1275.677;9.976;-136.585;1084.907;66.654;-105.092;1202.372;-53.011;-90.910;1212.788;184.217;-48.169;1233.572;183.972;26.114;1303.454;193.557;86.509;1241.054;245.394;55.309;1157.430;216.981;85.482;986.222;262.412;30.320;1008.766;254.979;-60.004;965.536;178.299;-194.193;1010.282;178.006;-187.297;939.960;207.641;-166.123;977.566;-158.249;-30.809;1241.543;-145.094;33.107;1310.789;-150.816;104.456;1251.323;-214.047;23.962;1159.680;-200.795;98.979;993.117;-239.575;42.839;1022.605;-204.609;-28.461;1039.379;-150.963;-168.274;1024.708;-157.222;-165.291;956.586;-181.038;-143.970;993.117;126.511;-116.682;869.246;-138.444;-84.895;871.056;111.596;82.939;938.737;-81.765;102.158;948.371
16.138;40.687;1596.136;91.839;-28.853;1544.984;-56.923;-32.912;1539.947;79.125;82.352;1447.081;-45.577;77.609;1448.939;22.495;112.036;1280.567;35.406;114.530;1114.591;86.411;124.506;1194.792;-35.454;129.054;1177.529;22.544;-66.948;1275.677;9.829;-135.607;1084.809;66.899;-104.652;1202.274;-52.717;-89.541;1212.788;184.657;-48.022;1233.474;184.608;26.212;1303.405;194.193;86.558;1240.956;245.932;55.309;1157.626;218.106;85.433;986.662;263.243;30.075;1008.864;256.446;-59.564;962.650;179.229;-195.611;1002.164;180.402;-186.368;932.135;209.255;-166.318;970.817;-156.587;-29.733;1243.597;-143.921;34.721;1311.718;-150.278;105.043;1250.932;-213.509;20.490;1161.244;-203.680;86.705;990.769;-240.699;32.031;1025.588;-203.533;-35.895;1048.964;-141.329;-173.849;1045.100;-165.047;-179.033;981.576;-180.207;-153.261;1018.204;125.973;-116.682;869.295;-138.884;-84.113;871.202;111.694;83.086;938.590;-81.619;102.940;948.273
17.458;40.736;1596.283;92.426;-29.439;1544.886;-56.336;-31.885;1539.849;80.885;82.157;1447.325;-43.817;78.733;1449.184;23.865;113.063;1280.420;36.139;115.166;1114.445;87.438;124.898;1194.449;-34.574;130.081;1177.285;23.229;-66.068;1275.726;9.536;-134.385;1084.809;67.192;-104.016;1202.176;-52.277;-88.318;1213.130;185.048;-47.974;1233.131;185.439;26.359;1302.965;195.073;86.460;1240.271;246.763;54.967;1157.381;220.111;84.993;986.857;264.466;28.950;1008.619;258.402;-59.417;958.200;179.913;-197.469;989.302;183.679;-184.510;920.007;211.113;-166.514;960.450;-154.435;-28.412;1247.704;-142.209;37.459;1313.332;-149.740;105.679;1249.220;-213.069;14.377;1164.619;-206.761;63.671;987.591;-242.949;14.377;1030.968;-204.316;-46.947;1065.982;-137.466;-182.505;1084.272;-171.844;-197.225;1028.180;-181.038;-164.998;1059.967;125.191;-116.486;869.295;-139.520;-82.597;871.398;112.134;83.428;938.444;-81.081;104.310;948.175
18.387;40.785;1596.577;92.622;-30.124;1545.131;-56.189;-30.711;1539.654;82.695;81.961;1447.961;-42.007;80.054;1449.477;25.821;114.579;1279.931;37.068;115.606;1113.858;88.905;125.436;1193.716;-33.107;131.304;1176.893;23.913;-64.845;1276.264;8.802;-133.553;1085.396;67.339;-103.136;1202.421;-51.690;-87.389;1214.548;185.341;-47.876;1232.496;186.613;26.554;1302.133;196.393;86.313;1239.146;247.692;54.331;1156.745;222.850;84.455;986.955;266.178;27.386;1008.081;260.749;-59.075;952.234;180.500;-198.839;972.089;187.200;-181.038;904.016;213.118;-166.025;946.464;-151.941;-26.652;1255.431;-139.422;42.105;1316.413;-148.469;106.510;1246.531;-212.531;6.406;1172.101;-210.820;27.043;988.520;-246.274;-11.199;1042.509;-206.370;-60.835;1091.362;-136.341;-186.906;1141.439;-177.810;-211.602;1094.932;-182.798;-173.116;1117.623;124.409;-116.291;869.344;-140.106;-80.836;871.594;112.574;83.673;938.444;-80.494;105.679;948.273
