UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24.142;35.018;1595.561;99.104;-34.384;1543.083;-49.796;-38.432;1540.254;84.862;77.157;1445.637;-39.846;72.231;1449.344;28.678;107.688;1277.814;42.090;108.858;1112.381;92.617;119.442;1192.416;-27.897;123.880;1174.272;26.824;-71.304;1274.352;14.583;-140.023;1083.314;71.255;-109.834;1201.341;-48.333;-94.275;1211.193;189.477;-54.283;1231.774;190.258;20.435;1301.079;200.256;80.668;1238.358;249.174;48.381;1152.374;213.376;73.109;979.235;262.098;21.703;1004.840;257.172;-70.865;976.943;185.820;-196.744;1044.150;186.990;-204.255;973.626;214.887;-175.334;1006.986;-153.923;-31.214;1238.261;-139.682;32.579;1307.272;-143.291;103.981;1247.918;-206.401;25.995;1154.471;-183.040;100.567;987.087;-227.666;49.015;1016.594;-203.133;-25.215;1034.786;-174.895;-169.042;1022.691;-166.018;-169.432;954.801;-194.306;-144.022;987.087;132.902;-124.563;867.890;-132.561;-91.739;870.572;118.027;75.206;937.584;-74.962;95.105;947.631
24.337;34.969;1595.561;99.299;-34.384;1542.985;-49.601;-38.481;1540.254;85.009;77.254;1445.735;-39.651;72.328;1449.442;28.824;107.883;1277.814;42.139;109.004;1112.333;92.666;119.637;1192.367;-27.849;124.075;1174.272;26.971;-71.060;1274.352;14.680;-139.877;1083.362;71.353;-109.638;1201.341;-48.235;-94.080;1211.193;189.575;-54.088;1231.725;190.355;20.679;1301.030;200.354;80.863;1238.310;249.271;48.576;1152.325;213.766;73.206;979.186;262.391;21.801;1004.840;257.611;-70.768;977.040;186.210;-196.598;1044.296;187.429;-204.158;973.773;215.278;-175.187;1007.181;-153.825;-31.019;1238.310;-139.535;32.823;1307.272;-143.193;104.176;1247.966;-206.304;26.190;1154.520;-182.991;100.616;987.087;-227.666;49.162;1016.643;-203.133;-25.069;1034.981;-175.187;-168.945;1023.032;-166.165;-169.384;955.191;-194.452;-143.925;987.380;132.951;-124.416;867.938;-132.512;-91.691;870.621;118.027;75.352;937.584;-74.962;95.153;947.631
24.483;34.872;1595.610;99.445;-34.384;1542.937;-49.406;-38.481;1540.205;85.106;77.352;1445.832;-39.505;72.426;1449.539;28.922;108.078;1277.766;42.187;109.151;1112.333;92.812;119.783;1192.318;-27.702;124.221;1174.272;27.068;-70.865;1274.352;14.778;-139.730;1083.411;71.499;-109.443;1201.341;-48.089;-93.885;1211.290;189.673;-53.893;1231.725;190.502;20.874;1300.981;200.451;81.010;1238.212;249.418;48.723;1152.325;214.058;73.157;979.089;262.732;21.850;1004.889;258.050;-70.768;977.235;186.697;-196.549;1044.589;187.966;-204.206;974.114;215.814;-175.139;1007.474;-153.679;-30.775;1238.407;-139.389;33.067;1307.321;-143.047;104.420;1247.966;-206.206;26.337;1154.569;-182.942;100.469;987.039;-227.617;49.113;1016.692;-203.133;-25.020;1035.176;-175.334;-168.993;1023.617;-166.213;-169.627;955.776;-194.501;-144.071;987.868;133.000;-124.270;867.938;-132.464;-91.593;870.621;118.027;75.498;937.584;-74.962;95.251;947.631
24.630;34.920;1595.659;99.543;-34.335;1542.888;-49.308;-38.334;1540.157;85.301;77.498;1445.881;-39.310;72.621;1449.588;29.068;108.273;1277.766;42.236;109.297;1112.333;92.861;119.978;1192.269;-27.653;124.367;1174.272;27.215;-70.621;1274.400;14.875;-139.584;1083.509;71.597;-109.248;1201.389;-47.942;-93.690;1211.339;189.819;-53.649;1231.774;190.599;21.167;1300.981;200.549;81.205;1238.163;249.515;48.869;1152.277;214.351;73.109;979.040;263.025;21.947;1004.938;258.440;-70.719;977.431;187.234;-196.452;1044.979;188.502;-204.255;974.553;216.302;-175.139;1007.864;-153.533;-30.629;1238.553;-139.243;33.262;1307.419;-142.949;104.566;1247.966;-206.060;26.337;1154.666;-182.893;100.226;986.990;-227.519;48.967;1016.789;-203.085;-25.069;1035.469;-175.431;-169.091;1024.398;-166.213;-169.920;956.556;-194.550;-144.266;988.599;133.098;-124.124;867.987;-132.366;-91.495;870.670;118.076;75.693;937.584;-74.913;95.397;947.680
24.727;35.067;1595.659;99.640;-34.189;1542.937;-49.210;-38.139;1540.157;85.497;77.644;1445.979;-39.115;72.865;1449.637;29.165;108.517;1277.766;42.334;109.492;1112.333;92.959;120.222;1192.269;-27.556;124.563;1174.272;27.410;-70.377;1274.449;15.022;-139.438;1083.606;71.792;-109.004;1201.438;-47.796;-93.495;1211.436;190.014;-53.405;1231.774;190.746;21.411;1300.981;200.695;81.497;1238.114;249.613;49.113;1152.228;214.448;73.109;978.942;263.220;22.045;1004.889;258.782;-70.670;977.674;187.770;-196.305;1045.564;188.990;-204.304;975.138;216.790;-175.041;1008.352;-153.338;-30.531;1238.651;-139.096;33.457;1307.468;-142.901;104.713;1247.966;-205.913;26.337;1154.715;-182.845;99.982;986.892;-227.519;48.772;1016.887;-203.085;-25.117;1035.810;-175.480;-169.188;1025.373;-166.262;-170.310;957.532;-194.550;-144.461;989.477;133.146;-123.928;867.987;-132.268;-91.349;870.718;118.173;75.840;937.633;-74.864;95.543;947.680
24.825;35.262;1595.707;99.738;-33.994;1542.985;-49.064;-37.944;1540.108;85.643;77.888;1446.028;-38.968;73.060;1449.637;29.312;108.809;1277.717;42.431;109.687;1112.284;93.056;120.514;1192.220;-27.458;124.758;1174.272;27.653;-70.085;1274.498;15.217;-139.292;1083.704;71.987;-108.712;1201.536;-47.552;-93.300;1211.534;190.258;-53.063;1231.823;190.941;21.850;1300.932;200.841;81.887;1238.066;249.759;49.406;1152.179;214.595;72.962;978.796;263.415;22.045;1004.938;259.074;-70.719;978.016;188.307;-196.208;1046.345;189.477;-204.402;975.967;217.228;-174.992;1009.083;-153.143;-30.336;1238.846;-138.901;33.701;1307.565;-142.754;104.859;1248.015;-205.865;26.385;1154.861;-182.991;99.738;986.892;-227.617;48.625;1017.082;-203.036;-25.117;1036.347;-175.334;-169.188;1026.592;-166.116;-170.603;958.800;-194.452;-144.705;990.550;133.244;-123.782;868.036;-132.220;-91.154;870.718;118.271;76.035;937.633;-74.767;95.739;947.680
24.922;35.408;1595.756;99.884;-33.750;1542.985;-48.967;-37.700;1540.010;85.789;78.278;1446.174;-38.822;73.401;1449.734;29.360;109.248;1277.717;42.431;110.029;1112.235;93.154;120.953;1192.123;-27.507;125.050;1174.224;27.946;-69.646;1274.644;15.412;-139.096;1083.899;72.231;-108.322;1201.633;-47.357;-92.959;1211.680;190.453;-52.478;1231.969;191.087;22.435;1300.883;200.939;82.375;1237.919;249.905;49.649;1152.033;215.131;72.426;978.504;263.903;21.606;1005.035;259.660;-71.255;978.650;188.746;-196.354;1047.710;190.014;-204.938;977.382;217.765;-175.334;1010.303;-152.948;-30.190;1239.041;-138.755;33.945;1307.711;-142.706;105.054;1248.064;-205.816;26.288;1155.057;-183.332;99.348;986.892;-227.909;48.284;1017.423;-203.133;-25.166;1037.078;-175.334;-169.237;1028.299;-166.116;-171.139;960.507;-194.501;-145.047;992.160;133.390;-123.538;868.134;-132.073;-91.008;870.816;118.320;76.279;937.682;-74.669;95.934;947.729
25.069;35.603;1595.805;100.079;-33.409;1542.937;-48.772;-37.408;1539.913;85.984;78.815;1446.369;-38.627;73.938;1449.832;29.458;109.834;1277.619;42.431;110.419;1112.138;93.202;121.490;1191.977;-27.556;125.489;1174.224;28.190;-69.061;1274.839;15.656;-138.853;1084.191;72.475;-107.736;1201.877;-47.065;-92.471;1211.973;190.599;-51.893;1232.262;191.282;23.264;1300.883;201.085;82.960;1237.724;250.198;49.649;1151.984;216.497;71.011;978.162;265.025;20.387;1005.328;260.684;-72.670;979.967;189.282;-196.891;1050.003;190.843;-206.157;979.772;218.497;-176.309;1012.497;-152.704;-29.946;1239.529;-138.560;34.384;1307.955;-142.706;105.298;1248.113;-205.962;26.044;1155.544;-184.356;98.323;986.941;-228.690;47.406;1018.057;-203.572;-25.654;1038.395;-175.480;-169.676;1031.079;-166.311;-172.261;963.287;-194.745;-145.924;994.647;133.536;-123.197;868.280;-131.927;-90.764;870.865;118.369;76.669;937.682;-74.669;96.226;947.729
25.312;36.042;1595.854;100.274;-32.872;1542.790;-48.528;-36.871;1539.815;86.179;79.595;1446.466;-38.481;74.718;1449.978;29.653;110.663;1277.571;42.431;110.906;1112.040;93.300;122.173;1191.830;-27.653;126.123;1174.126;28.434;-68.280;1275.083;15.753;-138.462;1084.533;72.670;-107.054;1202.072;-46.918;-91.886;1212.314;190.648;-51.064;1232.652;191.380;24.191;1300.883;201.231;83.594;1237.480;250.686;49.259;1151.984;218.984;68.231;977.674;267.171;17.899;1006.157;262.586;-75.498;982.308;190.014;-198.256;1053.807;192.014;-208.498;983.722;219.618;-178.358;1016.155;-152.411;-29.458;1240.309;-138.267;35.116;1308.394;-142.706;105.688;1248.161;-206.352;25.605;1156.373;-186.307;96.129;986.941;-230.202;45.455;1019.130;-204.450;-26.922;1040.590;-175.821;-170.895;1035.713;-166.409;-174.553;967.969;-195.135;-147.875;998.890;133.634;-122.807;868.329;-131.781;-90.471;870.962;118.417;77.157;937.682;-74.669;96.568;947.729
