UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
8.006;97.287;1597.214;83.766;27.629;1546.153;-64.972;21.820;1543.225;68.536;137.218;1446.718;-55.990;130.872;1450.233;13.033;166.751;1280.114;25.042;166.702;1114.437;76.492;178.905;1193.810;-46.081;182.030;1177.554;14.644;-13.326;1279.333;2.197;-84.449;1088.614;59.163;-51.353;1206.160;-60.579;-38.954;1216.753;176.416;6.590;1237.059;175.928;82.448;1305.058;185.642;141.025;1240.184;237.922;107.246;1157.980;210.000;131.018;985.176;254.373;75.956;1010.657;241.779;-16.743;976.390;162.064;-140.147;1034.821;156.402;-142.587;964.235;190.279;-119.205;998.210;-166.458;23.577;1243.161;-153.668;86.451;1312.673;-160.454;157.964;1252.192;-224.547;77.225;1161.836;-213.710;152.253;994.793;-251.542;96.018;1024.228;-218.836;23.480;1039.165;-177.246;-118.327;1019.639;-161.381;-110.809;952.910;-195.795;-92.699;985.176;118.375;-65.021;871.438;-146.297;-30.021;871.048;104.756;135.851;938.949;-88.598;156.304;948.468
8.201;97.678;1597.262;84.010;28.020;1546.153;-64.728;22.113;1543.322;68.633;137.560;1446.669;-55.795;131.067;1450.282;13.033;166.995;1280.114;25.091;166.848;1114.437;76.492;179.101;1193.761;-46.081;182.078;1177.554;14.791;-13.082;1279.382;2.343;-84.352;1088.712;59.310;-51.207;1206.209;-60.432;-38.856;1216.801;176.562;6.883;1237.157;175.977;82.790;1305.107;185.691;141.367;1240.184;237.971;107.539;1157.980;209.903;131.165;985.176;254.422;76.200;1010.657;242.120;-16.548;976.390;162.845;-140.244;1034.821;157.134;-142.636;964.235;190.963;-119.156;998.210;-166.409;23.675;1243.210;-153.620;86.548;1312.771;-160.405;158.110;1252.290;-224.547;77.420;1161.983;-213.808;152.546;994.988;-251.639;96.311;1024.472;-218.933;23.822;1039.360;-177.392;-118.034;1019.981;-161.625;-110.516;953.203;-195.991;-92.357;985.518;118.473;-64.923;871.487;-146.200;-30.070;871.096;104.805;135.949;938.949;-88.598;156.353;948.468
8.347;98.069;1597.165;84.254;28.459;1546.105;-64.435;22.455;1543.225;68.829;137.999;1446.621;-55.600;131.458;1450.184;13.033;167.288;1280.065;25.042;167.141;1114.388;76.541;179.296;1193.614;-46.374;182.225;1177.603;14.840;-12.741;1279.186;2.636;-84.010;1088.565;59.456;-50.962;1206.160;-60.335;-38.319;1216.557;176.709;7.176;1237.304;175.977;83.278;1305.058;185.642;141.465;1240.037;237.434;107.880;1158.175;209.903;131.409;985.323;254.519;76.590;1010.901;242.609;-16.206;976.341;163.578;-140.391;1034.284;158.062;-142.539;963.698;191.744;-119.059;997.770;-166.116;23.675;1243.601;-153.571;86.597;1313.113;-160.551;157.964;1252.631;-224.450;76.981;1162.471;-214.150;151.472;995.427;-251.688;95.237;1025.546;-218.885;23.236;1041.362;-176.221;-118.522;1023.691;-161.186;-111.346;956.571;-195.210;-93.041;988.691;118.522;-64.923;871.487;-146.151;-30.021;871.096;104.805;136.095;938.949;-88.598;156.402;948.468
8.787;98.508;1597.116;84.400;28.605;1546.153;-64.289;23.285;1543.029;69.658;138.243;1446.718;-54.819;132.288;1450.086;13.717;167.629;1280.065;25.432;167.336;1114.388;77.078;179.150;1193.614;-46.032;182.762;1177.603;15.035;-12.399;1278.942;2.538;-83.327;1088.321;59.554;-50.865;1205.965;-60.237;-37.001;1216.167;177.099;6.883;1237.499;176.318;83.131;1305.156;186.032;140.879;1239.891;236.556;108.173;1158.858;210.391;132.336;986.055;255.203;77.664;1011.634;243.829;-15.133;975.950;164.993;-140.488;1032.185;159.868;-141.562;961.501;193.257;-118.473;996.062;-164.896;24.749;1244.577;-152.790;87.573;1313.601;-160.405;158.452;1252.387;-224.401;74.784;1163.593;-216.981;143.661;994.158;-252.908;88.110;1027.987;-218.299;19.331;1049.855;-165.970;-120.670;1044.584;-163.480;-119.108;975.023;-192.378;-98.898;1008.461;118.131;-64.923;871.585;-146.444;-29.435;871.096;104.854;136.193;939.046;-88.598;156.890;948.516
9.616;99.045;1597.311;84.498;28.361;1546.202;-64.240;24.651;1543.127;70.830;138.292;1446.913;-53.696;133.703;1450.379;15.230;168.459;1279.821;26.555;167.581;1114.095;78.445;178.954;1193.468;-44.861;183.787;1177.115;15.084;-11.667;1279.138;1.416;-82.350;1088.419;59.114;-50.572;1206.013;-60.432;-35.537;1216.557;177.343;6.297;1237.401;176.806;82.350;1305.205;187.009;139.903;1239.793;236.897;108.368;1159.835;211.904;133.996;987.470;256.765;79.275;1012.415;246.172;-13.082;973.998;166.702;-141.074;1025.741;163.627;-139.414;955.155;195.942;-117.350;990.887;-163.236;26.994;1248.482;-151.276;91.283;1315.163;-159.673;160.258;1250.483;-224.059;69.707;1167.157;-223.620;121.109;991.424;-256.570;69.561;1034.186;-215.516;9.128;1068.405;-144.101;-123.550;1085.978;-166.799;-137.560;1020.371;-184.617;-110.907;1054.102;117.204;-65.021;871.633;-147.176;-27.629;871.194;105.293;136.144;939.193;-88.013;158.257;948.516
9.909;99.338;1597.946;84.059;28.068;1546.544;-64.728;26.458;1542.785;72.343;138.975;1448.134;-52.280;136.193;1451.014;17.378;170.168;1279.089;27.873;167.629;1113.461;80.251;179.101;1192.687;-43.201;185.105;1176.481;15.523;-10.300;1280.016;-0.293;-81.520;1089.493;58.529;-49.889;1206.648;-60.481;-34.463;1218.461;177.734;6.102;1237.108;177.880;82.301;1304.765;188.473;139.317;1238.963;237.825;108.515;1160.469;214.540;135.558;988.935;258.913;80.105;1013.049;249.540;-10.837;969.751;166.653;-142.295;1011.585;170.558;-136.730;941.145;199.310;-116.374;980.148;-160.014;28.849;1256.390;-148.250;96.799;1317.750;-158.550;161.820;1247.701;-223.913;59.212;1175.992;-235.482;81.081;994.500;-262.232;36.562;1048.586;-211.904;-8.835;1093.740;-114.763;-122.183;1130.644;-157.476;-154.254;1085.344;-166.702;-119.205;1111.606;115.495;-65.558;871.633;-148.348;-24.700;871.487;106.367;135.607;939.437;-86.597;160.405;948.809
9.519;99.875;1598.629;83.229;28.264;1547.081;-65.558;28.703;1541.809;73.954;140.488;1449.940;-50.670;139.366;1451.551;19.331;172.706;1278.161;28.996;168.362;1112.680;81.862;180.175;1191.467;-42.127;186.472;1175.797;16.743;-8.250;1281.041;-1.611;-80.642;1090.957;58.529;-48.668;1207.624;-59.700;-33.487;1220.755;178.515;7.029;1237.011;179.247;83.717;1304.228;189.938;140.098;1237.889;239.533;108.857;1160.518;218.055;136.193;989.960;261.012;79.421;1013.000;253.250;-9.031;962.136;165.872;-144.198;987.763;178.613;-132.385;919.081;202.873;-115.593;961.940;-153.961;29.191;1266.055;-144.589;101.290;1320.337;-158.501;161.186;1245.456;-222.643;41.932;1190.832;-248.173;30.607;1009.144;-266.235;-4.930;1072.994;-206.730;-31.534;1122.443;-90.453;-122.525;1170.183;-140.147;-164.456;1146.460;-146.688;-124.380;1162.178;113.396;-66.193;871.633;-149.666;-21.478;872.024;107.587;134.875;939.632;-84.937;162.650;949.102
9.177;100.997;1599.020;82.643;29.191;1547.374;-66.095;31.144;1540.930;75.174;142.343;1451.258;-49.400;142.490;1451.892;20.112;175.440;1277.234;28.947;169.826;1112.045;81.960;181.981;1190.051;-42.957;187.741;1175.358;18.208;-6.004;1281.725;-1.709;-79.812;1092.178;59.212;-46.911;1208.308;-58.138;-32.315;1222.171;179.442;8.591;1237.011;180.223;86.304;1303.154;190.426;141.855;1236.425;241.046;109.247;1159.835;221.032;135.802;990.106;262.134;77.420;1011.829;256.667;-7.371;951.641;165.921;-145.712;956.571;187.302;-124.868;891.940;206.925;-113.836;938.119;-148.299;29.240;1275.525;-140.977;103.731;1323.071;-160.014;159.331;1244.919;-218.836;26.311;1208.893;-253.982;-15.767;1033.307;-265.014;-41.444;1103.307;-199.701;-53.501;1150.999;-72.978;-128.675;1204.207;-124.624;-173.926;1196.690;-130.530;-131.702;1202.596;112.078;-66.485;871.438;-150.300;-18.989;872.707;108.661;134.533;939.535;-83.522;164.554;949.297
9.763;102.657;1599.215;82.887;30.753;1547.325;-65.753;33.340;1540.881;75.907;144.296;1451.600;-48.668;144.931;1452.234;20.453;177.587;1276.550;28.264;171.144;1111.655;81.081;183.299;1189.075;-44.324;189.010;1175.602;19.379;-4.247;1281.920;-1.123;-79.031;1092.910;60.091;-45.446;1208.698;-56.674;-31.388;1223.196;179.931;10.007;1236.767;180.956;88.550;1302.032;190.328;143.466;1234.960;241.535;109.296;1158.370;222.399;135.168;989.862;262.378;75.467;1009.876;259.742;-4.344;940.511;167.239;-143.515;921.815;196.967;-113.396;864.360;211.562;-109.247;912.589;-142.539;30.460;1283.580;-137.413;105.879;1325.707;-161.332;158.355;1245.993;-214.540;17.524;1225.442;-253.494;-48.229;1058.984;-260.182;-66.437;1131.718;-191.353;-70.195;1175.553;-58.773;-138.682;1230.665;-111.102;-183.299;1232.764;-116.667;-140.732;1232.666;112.078;-66.046;871.585;-150.007;-18.257;873.147;108.954;135.119;939.339;-83.180;165.237;949.493
