UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
9.575;80.849;1596.894;85.441;12.115;1544.574;-63.409;7.279;1540.275;71.616;124.570;1448.093;-53.003;119.001;1450.536;15.388;154.663;1276.431;28.627;153.979;1110.825;80.116;166.191;1190.892;-42.207;169.074;1173.892;14.558;-24.426;1276.724;1.075;-96.188;1086.400;58.182;-63.262;1203.740;-61.015;-48.802;1213.901;175.864;-6.253;1233.100;177.769;69.369;1301.198;189.640;128.576;1240.281;237.709;94.429;1153.228;202.048;117.878;980.784;250.215;66.584;1005.307;246.063;-25.793;970.769;178.600;-156.714;1032.077;173.715;-158.717;961.439;204.442;-132.338;994.560;-166.045;10.747;1239.450;-153.392;75.670;1308.526;-158.571;146.065;1248.488;-220.318;65.802;1155.182;-196.968;138.786;986.011;-241.276;87.688;1017.129;-216.215;16.854;1040.675;-188.712;-130.432;1037.891;-170.686;-130.432;971.062;-203.367;-104.981;998.321;118.366;-78.895;868.915;-146.407;-41.523;869.305;106.300;121.004;939.309;-86.613;143.525;948.542
9.526;80.604;1596.894;85.392;11.920;1544.525;-63.409;7.035;1540.227;71.518;124.424;1448.093;-53.101;118.806;1450.585;15.290;154.516;1276.382;28.529;153.832;1110.776;80.018;166.045;1190.843;-42.305;168.878;1173.843;14.460;-24.572;1276.724;1.075;-96.334;1086.351;58.133;-63.360;1203.740;-61.064;-48.949;1213.852;175.815;-6.399;1233.100;177.720;69.271;1301.198;189.542;128.430;1240.232;237.612;94.331;1153.179;201.950;117.731;980.784;250.118;66.486;1005.307;245.965;-25.940;970.769;178.551;-156.812;1032.126;173.568;-158.815;961.536;204.344;-132.484;994.560;-166.094;10.601;1239.450;-153.441;75.524;1308.428;-158.668;145.918;1248.439;-220.367;65.607;1155.133;-197.065;138.542;985.962;-241.373;87.443;1017.080;-216.313;16.609;1040.626;-188.761;-130.628;1037.988;-170.686;-130.677;971.209;-203.367;-105.225;998.419;118.317;-79.041;868.866;-146.456;-41.719;869.257;106.202;120.809;939.309;-86.662;143.329;948.542
9.477;80.360;1596.894;85.343;11.724;1544.477;-63.458;6.790;1540.227;71.420;124.277;1448.142;-53.150;118.610;1450.634;15.193;154.369;1276.333;28.431;153.686;1110.776;79.920;165.898;1190.795;-42.403;168.683;1173.843;14.411;-24.719;1276.675;1.026;-96.432;1086.351;58.084;-63.506;1203.740;-61.162;-49.095;1213.852;175.717;-6.448;1233.051;177.623;69.173;1301.149;189.445;128.332;1240.183;237.465;94.234;1153.179;201.853;117.585;980.735;250.020;66.340;1005.258;245.868;-26.038;970.769;178.502;-156.959;1032.175;173.421;-158.961;961.585;204.295;-132.582;994.560;-166.143;10.405;1239.401;-153.490;75.377;1308.477;-158.766;145.723;1248.390;-220.416;65.412;1155.084;-197.114;138.297;985.913;-241.422;87.199;1017.031;-216.313;16.414;1040.626;-188.712;-130.823;1038.086;-170.637;-130.872;971.307;-203.367;-105.421;998.517;118.269;-79.188;868.866;-146.504;-41.914;869.257;106.105;120.662;939.309;-86.760;143.134;948.493
9.428;80.116;1596.894;85.294;11.529;1544.428;-63.458;6.595;1540.178;71.323;124.082;1448.142;-53.248;118.415;1450.634;15.095;154.223;1276.333;28.334;153.588;1110.728;79.823;165.801;1190.795;-42.452;168.536;1173.794;14.362;-24.816;1276.675;0.977;-96.530;1086.351;58.035;-63.604;1203.691;-61.210;-49.193;1213.803;175.669;-6.546;1233.002;177.525;69.075;1301.100;189.347;128.234;1240.134;237.368;94.136;1153.130;201.706;117.487;980.686;249.873;66.242;1005.209;245.770;-26.135;970.720;178.453;-157.105;1032.175;173.324;-159.059;961.585;204.198;-132.680;994.560;-166.191;10.259;1239.353;-153.588;75.231;1308.379;-158.815;145.576;1248.341;-220.514;65.265;1155.036;-197.261;138.102;985.864;-241.520;87.004;1016.982;-216.410;16.267;1040.626;-188.712;-131.019;1038.233;-170.588;-131.068;971.502;-203.367;-105.616;998.663;118.220;-79.285;868.866;-146.553;-42.110;869.208;106.056;120.565;939.309;-86.857;142.938;948.493
9.379;79.920;1596.894;85.245;11.382;1544.379;-63.458;6.399;1540.227;71.225;123.984;1448.142;-53.345;118.220;1450.682;14.948;154.125;1276.284;28.236;153.441;1110.728;79.725;165.703;1190.746;-42.549;168.390;1173.794;14.313;-24.963;1276.626;0.928;-96.627;1086.302;57.986;-63.702;1203.642;-61.259;-49.340;1213.803;175.620;-6.595;1232.953;177.427;68.978;1301.052;189.249;128.136;1240.134;237.270;94.087;1153.082;201.609;117.389;980.686;249.776;66.144;1005.209;245.672;-26.282;970.720;178.355;-157.252;1032.224;173.324;-159.157;961.634;204.149;-132.777;994.609;-166.240;10.112;1239.304;-153.686;75.084;1308.330;-158.913;145.430;1248.292;-220.612;65.119;1154.987;-197.554;137.956;985.815;-241.764;86.906;1017.031;-216.557;16.267;1040.773;-188.761;-131.116;1038.721;-170.539;-131.068;971.942;-203.367;-105.714;999.103;118.171;-79.432;868.817;-146.553;-42.256;869.208;105.958;120.418;939.309;-86.906;142.792;948.493
9.379;79.823;1596.845;85.245;11.285;1544.330;-63.458;6.155;1540.227;71.078;123.838;1448.044;-53.443;117.975;1450.634;14.704;153.832;1276.382;28.138;153.441;1110.825;79.578;165.752;1190.941;-42.500;168.341;1174.039;14.411;-25.012;1276.528;0.977;-96.676;1086.204;58.035;-63.653;1203.496;-61.210;-49.486;1213.657;175.522;-6.204;1232.904;177.378;69.027;1301.149;189.249;128.283;1240.232;237.319;93.990;1153.179;201.853;116.266;980.735;249.971;65.119;1005.600;245.819;-27.454;971.551;177.378;-158.424;1033.201;173.763;-159.694;962.513;204.002;-133.657;995.732;-166.094;9.477;1239.255;-153.588;74.742;1307.940;-158.864;145.430;1248.390;-220.416;65.070;1155.182;-198.775;138.151;986.157;-242.937;87.248;1017.862;-217.583;17.000;1041.701;-189.445;-131.116;1040.822;-172.786;-130.042;973.505;-204.979;-105.323;1001.057;118.220;-79.432;868.866;-146.504;-42.403;869.208;105.958;120.369;939.358;-86.955;142.596;948.493
9.135;79.627;1596.796;85.196;11.187;1544.428;-63.458;5.764;1540.178;70.932;123.544;1447.947;-53.590;117.487;1450.487;14.558;153.637;1276.773;27.992;153.637;1111.314;79.530;165.898;1191.381;-42.549;168.243;1174.527;14.655;-25.012;1276.431;1.368;-96.334;1086.009;58.377;-63.262;1203.349;-60.917;-49.486;1213.559;175.473;-5.471;1233.539;177.330;69.515;1301.784;189.298;128.723;1240.427;237.416;92.866;1153.326;203.709;110.892;980.295;251.388;60.185;1006.870;246.845;-32.828;976.241;171.712;-163.700;1038.916;178.307;-163.554;968.473;203.905;-137.956;1003.744;-166.045;9.282;1239.646;-153.197;74.400;1308.330;-158.522;145.527;1248.879;-221.442;65.509;1156.941;-204.491;138.102;987.769;-248.066;87.639;1021.379;-220.709;18.417;1046.146;-187.051;-131.214;1048.394;-180.309;-127.843;979.074;-208.692;-104.541;1009.606;118.415;-79.139;869.012;-146.358;-42.696;869.257;106.007;120.613;939.358;-86.955;142.450;948.542
9.331;79.139;1596.845;85.294;10.601;1544.525;-63.409;5.471;1540.178;71.274;123.056;1448.093;-53.297;117.194;1450.536;14.509;153.832;1277.212;27.747;153.979;1111.802;79.481;166.045;1191.674;-42.696;168.487;1175.260;15.242;-24.719;1276.675;2.003;-95.309;1085.960;58.963;-62.481;1203.349;-60.429;-49.047;1213.706;175.180;-4.836;1235.640;177.281;70.590;1302.908;189.445;128.918;1239.743;237.465;89.104;1153.423;209.767;97.311;979.123;255.296;46.946;1009.850;248.164;-47.190;985.718;158.766;-174.447;1049.566;182.263;-174.350;982.347;200.290;-148.849;1019.669;-165.459;9.526;1240.965;-151.976;74.254;1309.649;-158.326;145.479;1249.611;-225.350;65.021;1161.533;-220.221;136.392;991.824;-260.230;85.294;1029.244;-226.718;18.221;1055.086;-176.841;-130.774;1059.190;-189.493;-125.792;990.603;-210.695;-104.639;1025.336;119.197;-77.918;869.452;-145.723;-42.989;869.403;105.909;121.786;939.358;-87.199;142.548;948.493
10.161;78.259;1597.089;85.734;9.575;1544.330;-63.018;5.227;1540.129;72.153;122.567;1448.533;-52.417;117.389;1451.024;14.948;154.663;1277.456;27.308;154.907;1112.095;79.578;166.533;1191.576;-43.087;168.976;1175.846;16.072;-24.084;1277.066;2.980;-93.941;1086.058;59.794;-61.699;1203.545;-59.549;-48.118;1214.145;173.812;-4.934;1239.011;177.378;72.055;1303.738;189.787;127.990;1237.301;238.296;80.897;1153.570;221.002;73.814;978.732;261.451;22.960;1015.370;246.649;-72.007;998.859;136.490;-189.200;1060.460;178.160;-192.180;1001.594;187.735;-166.631;1039.600;-164.189;10.161;1243.456;-149.973;74.644;1311.896;-158.424;145.088;1250.246;-231.945;62.774;1170.179;-247.284;132.386;1000.813;-279.331;78.846;1043.167;-234.290;16.414;1068.765;-159.255;-124.473;1067.739;-197.505;-124.277;1008.091;-207.324;-104.004;1046.440;120.711;-75.622;869.941;-144.599;-43.429;869.501;105.470;124.082;939.358;-87.883;142.743;948.347
