UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
6.148;81.487;1596.666;80.170;10.979;1544.066;-68.801;8.685;1541.723;66.995;122.670;1446.671;-57.676;119.255;1450.770;11.808;155.704;1280.427;25.325;158.242;1114.622;76.462;168.050;1194.987;-45.672;173.710;1177.518;7.612;-23.666;1276.962;-5.611;-92.027;1085.638;51.332;-61.579;1203.526;-68.020;-46.209;1213.480;169.709;-6.343;1233.925;172.344;67.483;1303.556;182.737;127.452;1239.634;233.288;95.443;1156.780;203.572;123.012;983.119;250.806;71.094;1010.005;243.633;-21.860;984.827;168.928;-141.896;1055.726;167.366;-152.289;985.413;197.522;-123.744;1019.081;-172.783;16.200;1240.952;-157.461;80.024;1311.265;-161.462;151.362;1252.175;-227.140;74.900;1159.659;-210.599;155.412;994.879;-251.440;99.883;1022.399;-219.723;25.422;1035.720;-180.931;-113.253;1014.348;-173.661;-112.033;946.084;-202.743;-89.246;981.021;112.667;-73.778;869.671;-151.703;-35.132;869.574;102.225;125.793;940.131;-90.661;149.752;948.768
6.002;81.683;1596.666;80.121;11.223;1544.114;-68.850;8.734;1541.772;66.800;122.817;1446.622;-57.822;119.206;1450.721;11.711;155.704;1280.329;25.276;158.144;1114.524;76.413;168.050;1194.938;-45.721;173.612;1177.470;7.612;-23.666;1276.914;-5.563;-92.027;1085.589;51.332;-61.579;1203.526;-68.020;-46.258;1213.480;169.660;-6.246;1233.925;172.295;67.581;1303.556;182.688;127.550;1239.585;233.240;95.540;1156.732;203.523;123.012;983.119;250.855;71.192;1010.005;243.730;-21.811;984.876;169.123;-141.798;1055.970;167.562;-152.289;985.706;197.717;-123.695;1019.276;-172.783;16.151;1240.854;-157.510;79.975;1311.119;-161.462;151.313;1252.077;-227.091;74.851;1159.513;-210.501;155.461;994.781;-251.391;99.883;1022.253;-219.723;25.471;1035.574;-180.883;-113.204;1014.202;-173.563;-112.033;945.987;-202.645;-89.246;980.875;112.716;-73.924;869.671;-151.703;-35.279;869.574;102.177;125.647;940.131;-90.661;149.556;948.768
5.904;81.927;1596.569;80.072;11.467;1544.163;-68.850;8.832;1541.772;66.654;122.963;1446.525;-57.920;119.206;1450.575;11.613;155.704;1280.232;25.227;158.047;1114.427;76.315;168.050;1194.841;-45.770;173.515;1177.372;7.612;-23.666;1276.865;-5.514;-92.027;1085.540;51.332;-61.530;1203.477;-67.971;-46.258;1213.383;169.660;-6.148;1233.925;172.246;67.679;1303.507;182.590;127.647;1239.488;233.142;95.638;1156.683;203.523;122.914;982.973;250.855;71.143;1010.005;243.779;-21.860;985.022;169.221;-141.847;1056.409;167.708;-152.386;986.194;197.912;-123.695;1019.667;-172.783;16.054;1240.708;-157.559;79.877;1310.972;-161.560;151.215;1251.931;-227.140;74.754;1159.367;-210.501;155.412;994.684;-251.391;99.834;1022.155;-219.675;25.422;1035.476;-180.736;-113.204;1014.202;-173.417;-112.033;945.938;-202.548;-89.246;980.777;112.765;-74.022;869.671;-151.655;-35.474;869.525;102.177;125.549;940.131;-90.710;149.361;948.768
5.807;82.073;1596.569;80.024;11.613;1544.212;-68.898;8.929;1541.821;66.556;123.012;1446.525;-58.017;119.255;1450.526;11.516;155.704;1280.134;25.129;157.949;1114.329;76.218;168.050;1194.743;-45.770;173.466;1177.274;7.612;-23.617;1276.816;-5.416;-92.027;1085.540;51.381;-61.482;1203.477;-67.971;-46.258;1213.334;169.611;-6.051;1233.876;172.197;67.825;1303.360;182.493;127.794;1239.390;233.044;95.687;1156.585;203.621;122.670;982.827;251.001;71.045;1009.957;243.974;-22.055;985.315;169.318;-141.993;1057.093;168.001;-152.484;986.877;198.156;-123.793;1020.350;-172.734;15.956;1240.513;-157.608;79.828;1310.777;-161.609;151.167;1251.784;-227.189;74.705;1159.171;-210.599;155.363;994.537;-251.489;99.786;1022.107;-219.675;25.471;1035.525;-180.687;-113.302;1014.446;-173.417;-112.082;946.182;-202.596;-89.343;981.070;112.814;-74.119;869.623;-151.606;-35.669;869.525;102.177;125.452;940.082;-90.710;149.215;948.719
5.758;82.219;1596.520;79.975;11.760;1544.212;-68.898;8.978;1541.821;66.459;123.110;1446.476;-58.066;119.304;1450.526;11.418;155.656;1280.085;25.081;157.949;1114.280;76.071;168.196;1194.645;-45.818;173.515;1177.226;7.612;-23.568;1276.718;-5.416;-92.125;1085.491;51.381;-61.482;1203.380;-67.971;-46.258;1213.285;169.513;-6.002;1233.828;172.051;68.069;1303.068;182.249;128.135;1239.195;232.947;95.589;1156.488;204.597;121.694;982.632;252.074;70.460;1010.396;245.487;-22.641;986.535;170.197;-143.457;1058.800;170.245;-152.874;988.536;200.157;-124.525;1022.399;-172.734;15.663;1240.317;-157.656;79.633;1310.387;-161.657;151.167;1251.638;-227.238;74.559;1159.025;-211.477;155.461;994.586;-252.318;100.030;1022.497;-220.699;26.105;1036.257;-182.542;-113.595;1016.349;-174.442;-111.740;948.182;-204.060;-89.343;982.729;112.911;-74.217;869.623;-151.557;-35.864;869.525;102.128;125.354;940.082;-90.758;149.068;948.719
5.611;82.268;1596.618;79.926;12.004;1544.261;-68.898;8.929;1541.870;66.263;123.353;1446.573;-58.310;119.304;1450.575;11.125;155.656;1279.939;24.885;157.998;1114.183;75.827;168.391;1194.548;-45.965;173.515;1177.128;7.514;-23.470;1276.572;-5.319;-92.222;1085.491;51.381;-61.335;1203.331;-68.069;-46.160;1213.090;169.416;-5.807;1234.169;171.709;68.606;1302.970;181.810;128.477;1238.854;232.654;95.443;1156.829;207.622;119.060;982.534;255.490;69.094;1011.957;251.050;-23.714;990.000;176.394;-148.629;1062.899;176.735;-153.314;992.195;207.671;-127.208;1026.693;-172.880;15.614;1240.073;-157.705;79.584;1310.143;-161.804;151.264;1251.443;-228.263;74.851;1159.415;-214.112;155.558;994.781;-255.636;101.152;1023.766;-225.628;27.715;1039.185;-190.495;-115.498;1021.911;-178.736;-110.911;954.721;-210.550;-89.734;987.804;112.960;-74.217;869.623;-151.459;-36.011;869.476;102.128;125.354;940.082;-90.758;148.922;948.719
5.416;82.171;1597.008;79.926;12.394;1544.212;-68.898;8.832;1542.065;65.727;124.085;1447.061;-58.798;119.645;1451.258;11.125;155.900;1279.597;24.788;157.754;1114.036;75.730;168.342;1194.353;-46.062;173.466;1176.884;7.222;-23.080;1276.718;-5.465;-92.515;1085.882;51.137;-61.091;1203.672;-68.264;-45.770;1213.383;169.172;-5.807;1235.340;171.026;69.045;1303.556;181.615;128.087;1238.610;232.849;94.662;1158.732;217.186;115.254;983.998;264.029;65.873;1016.300;260.174;-27.569;995.221;180.248;-152.240;1066.656;183.908;-154.777;995.123;214.941;-131.502;1031.085;-172.978;16.346;1241.049;-157.266;80.560;1310.777;-161.999;151.801;1251.052;-231.581;75.047;1162.392;-225.432;154.094;997.075;-265.103;99.639;1028.694;-232.898;27.715;1045.431;-194.350;-118.132;1030.499;-183.274;-109.691;963.065;-216.259;-91.637;996.294;113.107;-74.315;869.671;-151.362;-36.157;869.427;102.177;125.305;940.082;-90.758;148.776;948.719
5.123;82.317;1597.594;79.633;12.882;1544.358;-69.191;9.320;1542.065;65.532;125.256;1447.988;-58.993;120.767;1452.038;11.564;156.924;1279.060;24.885;156.973;1113.597;76.120;168.098;1193.669;-45.916;173.417;1176.445;7.026;-22.397;1277.206;-5.904;-93.052;1086.760;50.698;-60.701;1204.356;-68.557;-45.038;1214.261;168.538;-5.660;1236.658;170.294;69.435;1304.483;181.956;126.916;1238.073;235.777;93.393;1162.929;235.923;111.594;988.633;278.668;60.457;1023.961;270.275;-33.522;1002.686;176.784;-153.167;1068.511;185.909;-153.997;996.977;216.601;-135.064;1035.574;-172.734;17.664;1243.196;-156.095;82.268;1312.143;-161.950;152.484;1250.759;-237.290;74.315;1168.540;-246.121;151.508;1003.125;-280.522;95.101;1037.623;-241.535;26.008;1054.116;-188.299;-118.181;1038.697;-186.689;-106.763;969.798;-217.576;-93.149;1006.297;113.155;-74.607;869.671;-151.313;-36.352;869.427;102.323;124.915;940.278;-90.563;148.483;948.865
4.977;82.951;1598.033;79.243;13.467;1544.602;-69.582;10.784;1541.772;66.166;126.525;1448.916;-58.456;122.768;1452.478;11.808;158.486;1278.475;24.593;156.241;1113.158;76.266;168.391;1192.742;-46.111;173.612;1176.103;7.124;-21.470;1277.743;-6.295;-93.442;1087.833;50.454;-60.067;1205.136;-68.557;-44.257;1215.286;168.001;-5.172;1238.073;169.416;70.411;1305.263;182.249;126.769;1237.585;241.242;91.588;1168.882;259.735;107.837;996.294;295.258;53.040;1034.159;279.595;-40.256;1010.493;169.221;-150.776;1066.022;185.225;-151.020;995.416;214.063;-137.162;1037.184;-172.197;18.103;1245.685;-154.777;83.488;1313.607;-161.999;152.728;1251.101;-242.999;71.143;1175.762;-269.689;147.751;1012.689;-296.185;87.880;1048.407;-249.000;22.641;1061.338;-179.614;-115.205;1038.794;-188.787;-101.981;970.482;-216.308;-93.003;1010.298;112.960;-75.291;869.671;-151.362;-36.596;869.379;102.469;124.183;940.522;-90.368;148.092;948.963
