UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
8.735;100.033;1592.044;81.735;23.618;1546.907;-67.144;23.032;1544.809;70.072;125.066;1438.676;-54.555;123.602;1443.116;14.005;150.831;1277.403;26.253;150.928;1111.786;78.270;162.298;1191.715;-43.429;166.836;1175.027;8.442;-27.912;1275.646;-5.319;-97.398;1084.802;52.017;-65.924;1202.353;-67.535;-50.114;1212.796;170.642;-10.003;1230.216;172.497;62.655;1301.411;186.306;121.797;1237.975;239.056;94.959;1165.414;236.420;138.241;998.675;272.433;75.537;1018.584;256.232;-8.539;960.760;155.467;-130.385;978.034;162.835;-117.015;908.499;191.576;-106.621;952.904;-172.789;14.785;1240.171;-154.832;77.392;1310.975;-158.297;149.172;1251.589;-229.003;79.100;1163.120;-217.634;167.471;1003.506;-258.086;110.281;1028.588;-228.271;32.547;1030.247;-194.504;-107.304;987.013;-189.673;-89.201;920.405;-217.292;-75.440;959.735;113.062;-80.905;868.290;-151.270;-41.380;868.876;102.620;118.820;939.143;-90.030;142.877;948.463
8.735;99.448;1592.288;81.735;23.178;1546.858;-67.096;22.642;1544.565;70.170;125.164;1439.115;-54.457;123.749;1443.360;14.005;151.221;1277.256;26.204;151.221;1111.640;78.124;162.835;1191.520;-43.380;167.129;1174.929;8.637;-27.473;1275.695;-5.172;-97.203;1084.899;52.213;-65.534;1202.402;-67.388;-49.822;1212.844;170.935;-9.223;1230.021;172.741;63.436;1301.118;186.257;122.675;1237.780;237.982;96.130;1164.340;232.175;139.656;997.602;269.407;77.489;1017.120;253.841;-6.832;959.443;156.394;-130.678;978.473;160.883;-116.820;908.840;190.893;-105.987;952.465;-172.643;15.029;1240.122;-154.783;77.733;1310.877;-158.248;149.465;1251.491;-228.613;79.295;1162.779;-216.609;167.471;1003.116;-257.208;110.427;1028.148;-227.539;32.645;1029.954;-194.211;-107.353;987.013;-188.648;-89.347;920.405;-216.609;-75.440;959.589;113.160;-80.905;868.290;-151.172;-41.331;868.876;102.717;118.869;939.094;-89.932;142.975;948.415
8.783;98.765;1592.483;81.832;22.837;1546.712;-66.998;22.203;1544.370;70.267;125.310;1439.505;-54.311;123.846;1443.702;13.956;151.758;1277.110;26.009;151.563;1111.493;77.928;163.420;1191.325;-43.478;167.471;1174.832;8.881;-26.936;1275.695;-5.026;-96.910;1084.997;52.408;-65.046;1202.499;-67.144;-49.480;1212.991;171.130;-8.393;1229.874;172.936;64.461;1300.727;186.111;123.651;1237.389;237.104;97.154;1163.218;228.857;140.193;996.333;267.016;78.612;1015.803;252.182;-6.148;958.662;157.174;-131.361;979.449;159.858;-117.649;909.767;190.649;-106.182;952.806;-172.497;15.176;1240.219;-154.686;78.026;1310.828;-158.346;149.757;1251.394;-228.467;79.246;1162.730;-216.609;167.227;1002.921;-257.062;110.086;1028.002;-227.247;32.450;1030.052;-193.528;-107.597;987.550;-187.575;-89.689;920.942;-215.828;-75.781;959.931;113.257;-80.759;868.388;-151.026;-41.331;868.876;102.717;119.113;939.046;-89.932;143.023;948.317
8.930;98.326;1592.679;82.076;22.593;1546.566;-66.754;21.861;1544.223;70.414;125.603;1439.798;-54.164;123.944;1443.995;13.761;152.295;1276.963;25.765;151.953;1111.298;77.636;164.055;1191.032;-43.820;167.812;1174.685;9.125;-26.399;1275.695;-4.782;-96.569;1085.046;52.652;-64.509;1202.499;-66.998;-49.138;1212.991;171.228;-7.661;1229.728;172.985;65.437;1300.337;185.916;124.578;1236.999;236.616;97.886;1162.340;227.247;139.949;995.162;265.991;78.856;1014.925;251.791;-6.490;958.759;158.053;-132.532;981.206;160.249;-119.015;911.622;191.283;-107.207;954.221;-172.399;15.176;1240.171;-154.735;78.075;1310.731;-158.590;149.757;1251.296;-228.759;78.953;1162.632;-217.878;166.787;1002.774;-257.891;109.451;1028.197;-227.588;32.157;1030.832;-192.894;-108.036;989.453;-186.209;-90.323;922.845;-215.047;-76.367;961.443;113.453;-80.515;868.485;-150.880;-41.428;868.925;102.571;119.406;938.997;-90.079;143.072;948.268
9.223;98.082;1592.727;82.369;22.593;1546.370;-66.461;21.666;1544.175;70.463;125.749;1439.847;-54.067;123.944;1444.141;13.517;152.783;1276.915;25.521;152.392;1111.103;77.392;164.494;1190.837;-44.210;168.300;1174.490;9.271;-25.911;1275.451;-4.441;-96.081;1084.899;52.896;-63.924;1202.353;-66.803;-48.406;1212.649;171.472;-6.978;1229.728;172.936;66.120;1300.239;185.721;125.213;1236.804;236.762;98.326;1161.949;227.686;138.778;994.284;266.967;78.270;1014.925;253.402;-7.905;960.419;160.346;-134.777;984.915;162.298;-120.967;915.281;193.723;-109.305;957.540;-172.204;15.176;1239.927;-154.832;77.977;1310.438;-158.980;149.562;1250.955;-229.833;77.928;1162.681;-221.781;165.031;1002.286;-260.575;107.158;1028.880;-229.638;30.791;1033.809;-193.138;-109.793;995.699;-183.720;-92.568;929.091;-214.316;-78.612;966.372;113.648;-80.173;868.583;-150.782;-41.380;868.925;102.522;119.747;938.948;-90.225;143.267;948.171
9.467;97.984;1592.581;82.564;22.495;1546.078;-66.217;21.471;1544.223;70.414;125.603;1439.554;-54.164;123.749;1444.141;13.273;153.368;1277.061;25.521;153.124;1111.103;77.392;164.592;1190.983;-44.503;168.983;1174.344;9.223;-25.228;1275.207;-4.197;-94.861;1084.558;53.091;-62.997;1202.060;-66.656;-47.235;1212.112;171.521;-6.636;1230.314;172.692;66.364;1300.776;185.672;125.359;1237.096;237.689;97.545;1162.242;232.419;134.240;993.698;271.164;74.025;1016.437;257.013;-13.370;964.273;164.689;-140.486;992.917;161.957;-124.090;923.528;196.700;-114.428;963.737;-171.814;15.273;1240.024;-154.832;78.124;1310.292;-159.468;149.318;1250.271;-232.517;75.098;1163.657;-231.053;158.736;1001.017;-267.162;100.277;1030.979;-234.273;26.594;1042.007;-192.406;-114.526;1014.144;-177.279;-99.643;947.634;-211.778;-85.492;981.645;113.550;-79.588;868.729;-150.782;-40.745;869.022;102.571;120.430;938.802;-90.176;144.048;948.073
9.271;97.594;1592.532;82.369;22.154;1545.980;-66.461;21.031;1544.370;69.926;125.213;1439.408;-54.604;123.261;1444.190;13.322;154.198;1277.305;25.716;154.344;1111.445;77.684;165.031;1191.423;-44.795;169.959;1174.490;8.979;-24.252;1274.963;-4.245;-92.763;1084.021;52.945;-61.826;1201.865;-66.754;-45.869;1211.868;170.691;-6.832;1232.119;172.106;66.510;1301.947;185.769;124.822;1237.340;239.836;93.543;1163.364;245.106;122.334;993.747;280.679;61.679;1020.585;261.307;-27.765;971.983;164.689;-149.123;1008.581;154.491;-130.141;939.777;194.894;-124.773;975.985;-170.740;15.859;1242.464;-154.247;79.490;1311.560;-160.249;149.367;1249.344;-236.518;69.145;1168.049;-248.424;141.511;1000.090;-279.362;83.784;1037.078;-239.641;16.932;1058.451;-185.379;-121.650;1050.644;-164.738;-112.623;984.671;-204.166;-98.862;1013.900;113.453;-78.514;868.925;-150.831;-39.379;869.169;102.815;121.699;938.704;-89.981;145.463;947.975
8.344;96.325;1593.264;81.491;21.178;1546.322;-67.291;20.299;1544.077;69.633;125.164;1440.628;-54.945;123.407;1444.922;13.663;156.296;1277.061;25.814;155.857;1111.396;78.026;166.299;1191.179;-44.991;171.618;1174.441;8.783;-22.251;1275.646;-4.831;-90.957;1084.655;52.457;-60.215;1202.451;-66.852;-44.112;1213.137;168.935;-7.076;1235.437;171.472;67.925;1303.021;185.965;124.188;1236.364;244.521;85.297;1165.707;267.114;99.301;995.357;294.001;37.232;1028.490;261.746;-52.896;986.330;152.734;-156.882;1032.735;136.143;-136.289;965.249;181.914;-138.388;996.284;-168.788;16.786;1249.003;-152.832;83.101;1314.146;-161.225;149.025;1247.246;-241.105;58.459;1177.125;-271.554;107.695;1002.579;-294.147;53.432;1049.717;-244.570;-0.488;1082.557;-172.009;-128.677;1099.733;-145.756;-125.017;1035.175;-190.454;-115.356;1059.183;113.453;-76.855;869.413;-150.880;-37.476;869.461;103.108;123.407;938.948;-89.689;147.415;948.073
6.978;94.373;1594.289;80.222;19.860;1546.517;-68.511;19.519;1543.101;69.487;125.847;1442.677;-55.140;124.432;1445.995;14.249;159.810;1276.329;25.765;157.809;1110.908;78.368;168.544;1190.251;-45.283;174.107;1174.100;8.783;-18.836;1276.915;-5.368;-88.761;1086.070;52.017;-57.971;1203.768;-66.608;-41.721;1215.138;165.568;-7.222;1240.024;171.179;70.560;1303.655;186.843;123.310;1234.705;251.157;71.780;1169.513;288.291;64.900;999.602;303.370;3.123;1039.811;254.768;-83.540;1007.312;132.191;-160.297;1064.990;112.965;-140.047;998.041;160.249;-150.294;1025.269;-164.201;17.128;1259.055;-150.685;88.273;1317.221;-162.152;148.489;1243.830;-243.350;42.404;1191.179;-292.976;58.898;1013.753;-305.566;12.150;1071.675;-246.668;-23.520;1112.128;-154.100;-131.703;1152.239;-125.505;-132.581;1088.364;-172.838;-129.555;1109.981;113.550;-75.001;869.803;-150.831;-35.426;869.754;103.352;125.310;939.241;-89.445;149.513;948.219
