UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-2.975;84.037;1598.125;73.551;16.193;1545.742;-75.209;10.730;1540.230;59.943;129.495;1450.242;-64.674;123.349;1451.657;6.926;159.734;1277.680;21.070;158.710;1112.239;71.307;171.587;1192.570;-48.676;174.464;1174.036;5.316;-19.314;1277.632;-5.170;-91.207;1087.218;50.237;-58.041;1205.203;-69.405;-43.799;1214.323;168.855;0.390;1235.589;168.367;75.600;1303.726;179.244;134.957;1239.588;227.042;105.254;1156.282;187.731;129.787;985.330;239.724;81.940;1007.961;250.698;-4.731;959.870;206.655;-152.028;999.426;196.851;-144.761;929.094;226.408;-119.496;965.820;-177.244;20.534;1239.686;-161.295;84.623;1308.993;-164.222;155.784;1248.562;-227.335;83.550;1156.770;-196.364;161.832;993.182;-245.869;113.399;1018.545;-234.212;31.557;1018.886;-234.310;-110.912;972.112;-224.506;-94.524;906.121;-248.698;-73.600;943.140;113.350;-72.332;870.077;-151.248;-36.532;869.394;100.425;127.544;939.678;-92.622;149.151;948.262
-3.073;84.037;1598.125;73.405;16.095;1545.742;-75.307;10.779;1540.181;59.943;129.446;1450.242;-64.674;123.398;1451.657;6.877;159.734;1277.632;21.022;158.710;1112.191;71.259;171.587;1192.521;-48.676;174.415;1174.036;5.316;-19.314;1277.583;-5.170;-91.158;1087.218;50.237;-58.041;1205.154;-69.454;-43.799;1214.274;168.806;0.390;1235.540;168.319;75.600;1303.726;179.195;134.957;1239.539;226.994;105.205;1156.234;187.682;129.739;985.281;239.675;81.843;1007.912;250.600;-4.877;959.967;206.460;-152.077;999.767;196.656;-144.907;929.435;226.213;-119.642;966.113;-177.244;20.534;1239.588;-161.344;84.574;1308.993;-164.270;155.784;1248.562;-227.433;83.550;1156.770;-196.607;161.832;993.182;-246.064;113.399;1018.594;-234.358;31.654;1019.081;-234.456;-111.058;972.649;-224.555;-94.719;906.658;-248.747;-73.746;943.628;113.302;-72.380;870.028;-151.297;-36.629;869.394;100.377;127.495;939.678;-92.719;149.053;948.262
-3.122;83.940;1598.125;73.307;15.998;1545.742;-75.404;10.730;1540.181;59.846;129.300;1450.242;-64.723;123.349;1451.608;6.780;159.734;1277.632;20.973;158.661;1112.191;71.210;171.587;1192.521;-48.774;174.367;1173.987;5.219;-19.266;1277.485;-5.170;-91.061;1087.121;50.188;-57.943;1205.056;-69.552;-43.653;1214.079;168.709;0.488;1235.589;168.221;75.648;1303.726;179.098;134.957;1239.588;226.896;105.254;1156.282;187.828;129.690;985.281;239.772;81.843;1008.010;250.649;-4.975;960.114;206.314;-152.077;1000.011;196.559;-145.005;929.728;226.116;-119.691;966.357;-177.244;20.436;1239.491;-161.490;84.476;1308.945;-164.368;155.686;1248.465;-227.384;83.452;1156.575;-197.095;161.978;993.134;-246.308;113.448;1018.838;-234.358;31.996;1019.813;-234.310;-111.253;974.453;-223.775;-95.158;908.316;-248.259;-74.039;945.091;113.253;-72.478;870.028;-151.345;-36.727;869.394;100.279;127.397;939.678;-92.768;148.955;948.262
-3.073;83.891;1597.979;73.112;15.705;1545.595;-75.551;10.828;1540.133;59.943;129.007;1450.047;-64.674;123.349;1451.559;6.682;159.881;1277.680;20.875;158.857;1112.239;71.161;171.538;1192.570;-49.213;174.415;1174.085;4.926;-18.973;1277.242;-5.316;-90.817;1086.975;49.944;-57.699;1204.959;-69.844;-42.970;1213.689;168.465;0.341;1235.686;167.977;75.502;1303.823;178.951;134.811;1239.734;226.896;105.108;1156.575;188.365;129.690;985.574;240.163;81.696;1008.302;250.893;-5.121;960.309;206.118;-152.174;999.864;196.412;-144.907;929.581;226.018;-119.740;966.308;-177.293;20.339;1240.125;-161.734;84.525;1309.530;-164.612;155.589;1248.855;-227.579;82.867;1157.063;-198.607;161.588;993.621;-246.845;112.180;1019.813;-234.066;31.459;1022.739;-232.261;-113.253;979.721;-217.531;-97.401;913.827;-244.064;-76.038;949.188;113.155;-72.624;870.028;-151.492;-36.727;869.346;100.230;127.300;939.678;-92.817;148.907;948.262
-2.683;84.184;1597.735;72.624;14.876;1545.498;-76.136;11.852;1540.181;60.772;128.031;1449.608;-63.845;123.934;1451.169;6.682;160.027;1277.924;20.924;159.052;1112.435;71.259;171.391;1192.716;-49.896;174.757;1174.475;4.536;-18.583;1277.095;-5.902;-90.280;1086.877;49.457;-57.456;1204.910;-70.283;-41.994;1213.543;168.124;0.049;1235.881;167.685;75.112;1304.165;178.903;134.323;1239.930;226.945;104.718;1157.209;189.730;129.641;986.061;241.089;81.257;1008.936;251.332;-5.609;960.309;205.387;-152.760;998.743;195.632;-144.761;928.557;225.482;-120.081;965.430;-177.098;20.290;1241.051;-161.880;84.476;1310.505;-165.002;155.296;1249.587;-228.847;81.160;1158.380;-203.728;159.783;994.012;-249.332;108.327;1021.666;-232.700;29.996;1030.299;-221.482;-118.228;996.645;-203.728;-103.206;930.947;-233.432;-81.989;963.528;112.716;-72.917;870.126;-151.833;-36.385;869.346;100.279;127.056;939.726;-92.768;149.053;948.262
-2.049;85.159;1597.296;71.503;13.413;1545.790;-77.258;14.193;1540.425;62.577;125.837;1448.779;-62.089;125.007;1450.340;6.877;160.027;1278.363;20.924;159.442;1112.922;71.454;171.099;1193.107;-50.286;175.293;1175.109;4.390;-18.437;1277.144;-6.584;-89.403;1086.682;49.067;-57.309;1204.812;-70.527;-41.165;1213.543;168.026;-0.439;1236.174;167.538;74.478;1304.604;178.951;133.494;1240.173;226.701;104.230;1158.184;192.462;129.690;986.939;242.991;80.428;1010.107;251.868;-6.633;960.211;202.802;-154.077;996.304;193.730;-143.980;926.265;223.775;-120.667;963.625;-175.781;20.631;1242.612;-161.490;84.867;1311.822;-165.392;155.198;1250.026;-230.213;77.550;1160.574;-212.947;151.687;992.890;-254.405;98.718;1024.593;-229.627;25.558;1043.517;-200.558;-124.861;1029.617;-185.633;-113.887;961.967;-217.190;-93.158;992.695;111.887;-73.258;870.126;-152.467;-35.361;869.492;100.425;126.812;939.678;-92.475;149.882;948.164
-1.512;86.476;1596.808;69.600;11.559;1546.522;-79.014;17.559;1540.474;65.064;122.959;1448.048;-59.504;126.617;1449.121;7.609;160.271;1278.461;21.412;159.832;1113.069;72.137;170.855;1193.253;-50.042;175.781;1175.353;4.536;-18.241;1277.388;-7.462;-88.525;1086.682;48.774;-57.163;1204.812;-70.673;-40.580;1213.982;167.928;-0.927;1236.320;167.782;73.892;1304.896;179.390;132.665;1240.173;227.091;103.644;1159.209;197.144;129.836;988.256;246.113;79.062;1011.473;252.405;-8.048;959.528;196.998;-155.784;991.232;190.657;-142.078;921.534;220.312;-121.106;960.211;-173.586;20.778;1245.782;-160.320;86.281;1313.481;-165.587;154.955;1249.538;-231.237;69.844;1163.842;-224.214;132.177;990.012;-260.160;79.062;1028.251;-226.994;14.925;1059.759;-180.024;-130.080;1072.538;-157.149;-126.129;1006.595;-195.730;-106.864;1029.909;110.619;-73.600;870.126;-153.443;-33.556;869.638;100.816;126.568;939.678;-91.939;151.297;948.115
-1.073;87.695;1596.320;67.113;9.365;1547.254;-80.965;21.461;1540.133;67.893;119.837;1447.706;-56.334;128.665;1447.901;8.487;161.100;1278.363;21.851;160.320;1113.166;72.966;171.050;1193.107;-49.798;176.415;1175.450;4.877;-17.461;1277.729;-8.292;-87.647;1086.975;48.579;-56.578;1204.959;-70.429;-40.287;1215.006;167.831;-1.024;1236.418;168.221;73.892;1305.091;180.122;131.982;1239.783;228.262;102.864;1160.379;202.802;129.885;989.817;249.576;76.868;1012.741;252.795;-9.608;957.578;188.267;-157.052;981.184;187.779;-138.615;912.462;215.776;-121.252;953.432;-170.026;20.144;1251.099;-158.808;88.281;1315.675;-166.221;153.638;1247.831;-230.457;57.309;1168.622;-231.773;97.987;987.232;-262.550;48.384;1034.104;-222.214;-1.512;1079.073;-159.393;-132.567;1123.555;-127.544;-135.006;1061.515;-172.221;-120.325;1076.439;109.156;-73.795;870.077;-154.613;-31.410;869.931;101.206;126.373;939.678;-91.305;152.906;948.213
-0.683;88.476;1595.979;64.382;7.072;1547.741;-82.916;25.558;1539.401;70.868;116.960;1447.853;-52.871;131.202;1446.975;9.608;162.661;1278.266;22.192;161.051;1113.069;73.795;171.782;1192.814;-49.652;177.537;1175.402;5.463;-16.144;1278.119;-9.023;-86.671;1087.560;48.628;-55.651;1205.251;-69.747;-40.238;1216.372;167.782;-0.732;1236.613;168.806;74.526;1305.043;180.902;131.982;1239.295;229.627;102.132;1161.160;207.972;129.690;991.183;252.015;74.136;1013.229;252.746;-10.389;953.237;178.610;-156.906;964.113;186.316;-133.006;897.342;211.240;-120.276;941.238;-164.222;19.168;1258.561;-156.954;90.866;1317.919;-166.709;152.077;1244.904;-226.506;40.775;1175.889;-231.383;52.188;989.037;-259.038;9.852;1044.297;-215.337;-23.314;1099.851;-143.590;-133.445;1173.792;-102.132;-139.835;1117.800;-151.248;-132.128;1124.872;107.790;-73.697;870.077;-155.589;-29.362;870.224;101.303;126.471;939.775;-90.963;154.467;948.408
