UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1.707;64.394;1597.159;79.760;-1.220;1544.083;-68.882;-7.952;1536.229;66.247;114.592;1451.541;-58.198;107.176;1451.005;10.488;149.179;1277.874;23.026;149.618;1112.109;74.102;162.887;1192.064;-47.661;163.423;1175.429;12.928;-29.758;1275.922;0.878;-101.030;1085.571;57.369;-66.638;1202.796;-62.638;-54.979;1213.529;174.497;-6.586;1232.261;173.912;67.857;1301.387;183.668;127.519;1237.188;233.915;97.810;1156.306;206.499;127.568;985.955;251.477;72.784;1007.566;245.574;-16.781;959.466;170.741;-150.496;1000.834;168.399;-145.081;929.952;199.279;-124.690;967.418;-169.229;4.244;1241.823;-154.886;68.540;1311.436;-161.716;139.861;1251.628;-226.207;62.540;1161.819;-214.890;145.227;998.785;-254.062;88.297;1025.177;-224.061;12.635;1031.080;-187.425;-129.470;996.541;-174.253;-115.226;930.148;-206.645;-98.981;964.052;116.396;-81.809;868.095;-148.496;-48.246;868.339;101.420;117.567;939.709;-91.859;137.081;948.978
2.098;63.808;1597.208;80.004;-1.659;1543.790;-68.638;-8.342;1536.278;66.345;114.348;1451.590;-58.101;106.981;1451.297;10.342;149.179;1277.922;22.879;149.569;1112.109;74.004;162.838;1192.113;-47.856;163.375;1175.478;12.830;-29.855;1276.020;0.732;-101.176;1085.668;57.271;-66.735;1202.845;-62.784;-55.076;1213.577;174.351;-6.635;1232.359;173.765;67.857;1301.436;183.571;127.470;1237.237;233.964;97.664;1156.404;206.889;127.226;985.955;251.818;72.394;1007.761;245.769;-17.269;959.905;170.546;-150.740;1001.615;168.302;-145.471;930.733;199.230;-125.031;968.198;-169.375;4.195;1241.969;-154.935;68.491;1311.534;-161.862;139.812;1251.726;-226.500;62.491;1162.014;-215.524;145.130;998.980;-254.648;88.249;1025.519;-224.646;12.684;1031.519;-188.108;-129.568;997.419;-175.083;-115.470;930.977;-207.377;-99.127;964.832;116.348;-81.809;868.095;-148.545;-48.295;868.339;101.274;117.567;939.709;-92.005;136.983;948.978
2.439;63.272;1597.257;80.248;-2.000;1543.546;-68.394;-8.781;1536.278;66.345;114.152;1451.639;-58.101;106.737;1451.541;10.196;149.228;1277.971;22.733;149.667;1112.206;73.906;162.887;1192.162;-48.051;163.375;1175.575;12.732;-29.855;1276.117;0.683;-101.274;1085.766;57.174;-66.735;1202.894;-62.833;-55.125;1213.724;174.253;-6.586;1232.456;173.619;67.857;1301.485;183.473;127.470;1237.335;234.013;97.566;1156.550;207.475;126.885;986.004;252.209;72.053;1007.957;246.013;-17.757;960.491;170.155;-150.886;1002.639;168.155;-145.861;931.855;199.181;-125.373;969.174;-169.424;4.049;1242.067;-154.984;68.394;1311.583;-161.960;139.764;1251.823;-226.841;62.394;1162.258;-216.353;145.032;999.224;-255.428;88.200;1026.006;-225.329;12.830;1032.251;-188.791;-129.666;998.737;-176.107;-115.762;932.196;-208.304;-99.322;966.101;116.250;-81.809;868.144;-148.593;-48.393;868.339;101.176;117.567;939.758;-92.103;136.885;949.027
2.683;62.686;1597.257;80.492;-2.390;1543.302;-68.150;-9.269;1536.131;66.443;114.006;1451.737;-57.954;106.494;1451.737;10.196;149.276;1278.020;22.635;149.764;1112.206;73.906;162.984;1192.210;-48.198;163.472;1175.624;12.830;-29.855;1276.215;0.683;-101.274;1085.863;57.174;-66.735;1202.943;-62.784;-55.125;1213.821;174.302;-6.342;1232.505;173.619;68.004;1301.533;183.473;127.617;1237.335;234.208;97.517;1156.696;208.499;126.348;986.004;253.136;71.467;1008.347;246.403;-18.635;961.564;169.277;-151.033;1004.688;167.911;-146.398;933.855;198.938;-125.909;971.125;-169.424;3.903;1242.213;-154.886;68.248;1311.631;-162.009;139.666;1252.018;-227.427;62.198;1162.745;-218.402;144.691;999.712;-257.185;87.956;1027.080;-226.500;13.025;1033.763;-189.327;-129.763;1001.517;-177.668;-116.299;934.733;-209.523;-99.810;968.833;116.153;-81.858;868.193;-148.691;-48.442;868.339;101.079;117.567;939.807;-92.200;136.885;949.027
2.927;61.906;1597.061;80.736;-3.073;1543.010;-67.906;-9.708;1535.595;66.979;113.713;1451.834;-57.418;106.347;1451.639;10.244;149.520;1278.166;22.635;150.106;1112.255;74.004;163.277;1192.259;-48.442;163.814;1175.770;13.123;-29.563;1276.215;0.927;-100.932;1085.912;57.515;-66.296;1202.943;-62.491;-54.783;1213.724;174.351;-5.708;1232.993;173.668;68.491;1301.875;183.620;128.007;1237.579;234.988;97.127;1157.087;211.328;123.763;986.004;255.331;68.784;1009.469;247.330;-22.050;964.588;166.789;-152.350;1009.469;167.082;-148.593;938.538;198.011;-128.348;975.809;-169.033;3.805;1242.555;-154.447;67.955;1311.924;-161.960;139.325;1252.262;-228.988;61.223;1164.258;-224.695;142.447;1000.834;-262.307;85.614;1029.958;-230.012;11.757;1037.812;-189.620;-131.178;1008.640;-181.278;-118.592;941.124;-212.109;-102.152;975.613;116.055;-81.712;868.242;-148.740;-48.344;868.339;101.030;117.714;939.807;-92.298;136.983;949.075
3.805;60.345;1597.061;81.370;-4.390;1542.327;-67.272;-10.293;1534.765;68.150;113.421;1452.419;-56.296;106.689;1452.127;10.586;150.447;1278.264;22.733;150.886;1112.352;74.248;163.911;1192.259;-48.783;164.594;1175.917;13.854;-28.636;1276.410;1.415;-99.908;1086.010;58.198;-65.272;1203.138;-61.857;-53.515;1213.821;174.400;-4.878;1234.408;173.961;69.809;1302.655;184.010;128.641;1237.481;236.452;94.883;1157.623;218.451;116.006;985.468;260.355;60.589;1011.859;248.989;-31.807;971.418;160.009;-156.057;1019.908;164.789;-155.521;948.831;194.742;-135.373;986.590;-167.765;3.951;1244.311;-153.179;68.394;1313.095;-161.911;139.032;1252.409;-232.695;57.906;1168.794;-240.208;134.202;1003.517;-274.112;77.272;1037.373;-237.818;6.049;1048.934;-187.717;-136.544;1027.470;-188.352;-126.007;958.588;-216.402;-110.103;994.249;116.055;-81.175;868.437;-148.691;-47.856;868.437;101.079;118.397;939.807;-92.298;137.520;949.027
5.415;57.515;1597.452;82.297;-6.586;1540.961;-66.394;-11.074;1533.692;69.857;113.323;1453.883;-54.637;107.664;1453.737;11.757;152.691;1277.727;23.123;151.959;1111.816;75.077;165.228;1191.479;-48.686;165.863;1175.673;14.928;-26.684;1277.191;1.756;-98.396;1086.790;58.881;-63.711;1203.821;-60.881;-51.320;1214.895;173.765;-3.903;1237.091;174.497;72.199;1303.436;184.937;129.324;1236.457;238.793;89.810;1158.209;229.720;100.932;984.638;267.283;44.783;1015.811;249.233;-49.320;982.589;147.325;-162.155;1036.543;157.374;-166.985;965.857;186.449;-147.032;1003.810;-166.009;5.512;1249.677;-150.545;71.321;1316.119;-161.472;139.568;1252.214;-238.842;51.856;1178.990;-266.161;115.274;1010.396;-292.747;59.759;1052.837;-247.330;-4.830;1071.082;-177.131;-142.691;1062.642;-198.206;-141.715;995.127;-218.304;-123.909;1033.129;116.201;-80.248;868.681;-148.447;-46.978;868.681;101.274;119.519;939.758;-92.151;138.544;949.027
7.171;53.369;1598.037;82.931;-9.757;1539.058;-65.760;-11.562;1531.887;72.297;113.421;1456.517;-52.198;109.860;1456.420;13.952;156.008;1276.800;24.196;153.423;1110.938;76.980;167.082;1190.259;-47.564;168.107;1175.234;15.855;-23.806;1278.410;1.317;-96.688;1088.302;59.028;-61.759;1204.943;-60.052;-48.539;1217.041;171.912;-3.659;1240.262;175.375;74.492;1303.826;186.791;129.031;1234.652;241.915;81.419;1158.892;241.476;79.175;984.638;273.039;22.538;1021.274;245.428;-71.370;997.078;128.934;-167.521;1056.593;143.666;-180.107;987.419;172.107;-159.960;1025.226;-163.375;8.488;1259.482;-146.447;77.614;1320.071;-160.643;140.495;1250.994;-245.233;43.417;1195.820;-299.089;82.102;1026.201;-313.627;31.124;1079.473;-254.599;-20.440;1102.889;-156.545;-141.325;1105.474;-198.011;-160.887;1050.642;-208.987;-136.739;1087.424;116.348;-79.175;869.120;-148.349;-45.563;869.120;101.713;120.738;939.758;-91.663;140.056;949.075
8.732;48.783;1598.330;82.785;-13.513;1536.375;-65.857;-11.318;1529.546;75.077;113.470;1459.395;-49.417;112.933;1459.542;16.684;160.399;1275.678;25.660;155.374;1110.060;79.224;169.521;1188.600;-46.198;170.741;1174.795;16.586;-20.294;1279.776;0.293;-94.688;1090.059;58.686;-59.759;1206.260;-59.223;-45.807;1219.431;168.887;-3.464;1243.091;176.546;76.492;1303.436;189.278;127.714;1231.676;244.696;70.784;1159.477;250.745;53.515;985.711;275.381;-2.781;1027.860;237.476;-94.444;1012.250;107.811;-170.351;1075.814;125.373;-191.962;1009.420;153.862;-171.131;1046.593;-158.155;11.659;1272.117;-141.569;85.419;1324.071;-159.618;141.422;1248.262;-248.208;31.807;1218.846;-330.896;37.173;1056.593;-329.042;-5.805;1118.499;-257.233;-38.880;1140.793;-133.032;-132.934;1144.744;-180.741;-171.765;1108.645;-188.205;-141.764;1141.330;116.055;-78.297;869.510;-148.496;-43.563;869.559;102.347;121.714;939.709;-90.883;142.008;948.978
