UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12.715;71.177;1596.340;88.131;2.095;1543.871;-60.654;-2.777;1540.851;73.467;113.756;1446.679;-51.105;108.105;1450.138;16.613;147.615;1282.110;28.987;153.169;1116.323;80.385;161.841;1195.976;-42.190;166.859;1180.484;17.441;-31.472;1276.264;3.264;-98.362;1084.461;61.482;-67.474;1201.823;-58.169;-54.418;1213.320;179.526;-11.303;1233.100;179.526;62.554;1303.253;190.097;122.964;1240.115;239.351;94.854;1159.194;210.949;127.592;988.536;256.938;73.077;1009.874;250.167;-16.759;964.615;187.174;-150.392;1011.092;165.105;-145.618;943.812;204.908;-123.646;975.430;-163.838;5.262;1241.041;-150.441;67.036;1312.900;-156.482;140.600;1255.412;-218.208;66.597;1160.753;-197.941;154.144;999.936;-240.764;98.703;1022.394;-221.861;20.559;1025.269;-210.364;-120.285;974.797;-158.918;-108.690;931.292;-204.713;-86.669;947.515;117.703;-78.387;868.397;-146.397;-39.559;869.713;106.838;121.503;939.428;-86.036;144.838;949.171
12.667;70.933;1596.292;88.082;1.851;1543.871;-60.751;-3.069;1540.851;73.369;113.513;1446.630;-51.203;107.764;1450.138;16.467;147.323;1282.061;28.792;152.828;1116.274;80.190;161.549;1195.879;-42.336;166.518;1180.435;17.392;-31.813;1276.166;3.167;-98.654;1084.364;61.385;-67.718;1201.725;-58.218;-54.759;1213.271;179.428;-11.497;1232.953;179.428;62.359;1303.156;189.951;122.769;1240.017;239.156;94.708;1159.097;210.656;127.544;988.438;256.695;73.077;1009.777;249.972;-16.710;964.371;187.126;-150.490;1010.800;165.008;-145.618;943.569;204.761;-123.695;975.138;-163.936;4.872;1240.992;-150.538;66.695;1312.851;-156.579;140.259;1255.412;-218.354;66.256;1160.753;-198.136;153.997;999.984;-240.910;98.459;1022.394;-222.008;20.315;1025.171;-210.461;-120.431;974.456;-158.869;-108.738;931.048;-204.713;-86.767;947.223;117.556;-78.679;868.348;-146.544;-39.900;869.664;106.692;121.113;939.428;-86.182;144.449;949.123
12.667;70.690;1596.243;88.131;1.656;1543.774;-60.654;-3.410;1540.899;73.272;113.269;1446.533;-51.251;107.423;1450.138;16.369;147.031;1281.964;28.646;152.536;1116.225;80.044;161.256;1195.782;-42.482;166.177;1180.387;17.344;-32.056;1276.117;3.069;-98.849;1084.315;61.336;-67.962;1201.628;-58.315;-55.003;1213.223;179.331;-11.692;1232.807;179.331;62.115;1303.058;189.805;122.574;1239.920;238.961;94.562;1158.951;210.413;127.397;988.341;256.500;72.979;1009.630;249.826;-16.808;964.128;187.126;-150.733;1010.410;165.008;-145.764;943.228;204.713;-123.841;974.797;-163.985;4.579;1240.943;-150.636;66.354;1312.802;-156.677;139.918;1255.364;-218.451;65.964;1160.705;-198.379;153.754;999.984;-241.105;98.167;1022.394;-222.154;20.023;1025.025;-210.559;-120.674;974.018;-158.772;-108.885;930.951;-204.761;-86.962;946.930;117.459;-78.972;868.300;-146.690;-40.290;869.615;106.497;120.820;939.428;-86.328;144.108;949.123
12.715;70.397;1596.194;88.228;1.413;1543.725;-60.508;-3.751;1540.899;73.174;113.026;1446.484;-51.300;107.082;1450.138;16.272;146.787;1281.866;28.549;152.244;1116.128;79.946;161.013;1195.684;-42.579;165.836;1180.289;17.295;-32.349;1276.069;3.021;-99.141;1084.266;61.287;-68.205;1201.579;-58.364;-55.295;1213.174;179.282;-11.838;1232.710;179.282;61.969;1302.961;189.708;122.379;1239.774;238.815;94.415;1158.853;210.169;127.203;988.243;256.354;72.785;1009.484;249.728;-16.954;963.836;187.174;-151.026;1009.874;165.056;-145.959;942.692;204.810;-124.085;974.310;-164.033;4.287;1240.894;-150.685;66.013;1312.753;-156.774;139.577;1255.315;-218.597;65.672;1160.705;-198.623;153.510;1000.033;-241.300;97.874;1022.394;-222.397;19.682;1024.928;-210.656;-121.015;973.725;-158.869;-108.933;930.756;-204.908;-87.108;946.589;117.361;-79.264;868.251;-146.787;-40.679;869.566;106.351;120.528;939.379;-86.474;143.718;949.123
12.813;70.105;1596.194;88.326;1.218;1543.628;-60.410;-4.092;1540.948;73.174;112.782;1446.435;-51.300;106.741;1450.138;16.174;146.495;1281.817;28.403;151.903;1116.030;79.800;160.769;1195.587;-42.726;165.544;1180.241;17.295;-32.592;1275.971;3.021;-99.385;1084.169;61.287;-68.449;1201.482;-58.364;-55.587;1213.125;179.233;-11.985;1232.661;179.233;61.823;1302.864;189.610;122.233;1239.676;238.718;94.220;1158.707;209.926;126.861;988.097;256.110;72.492;1009.338;249.679;-17.149;963.495;187.272;-151.513;1009.095;165.251;-146.349;941.961;204.956;-124.426;973.628;-164.033;3.946;1240.700;-150.733;65.623;1312.656;-156.872;139.187;1255.266;-218.744;65.331;1160.656;-199.061;153.413;1000.082;-241.641;97.728;1022.541;-222.446;19.633;1025.025;-210.267;-121.308;974.553;-159.600;-108.982;930.220;-205.346;-87.303;946.833;117.313;-79.556;868.202;-146.836;-41.069;869.518;106.205;120.236;939.379;-86.620;143.377;949.123
12.910;69.813;1596.097;88.423;0.926;1543.579;-60.313;-4.482;1540.997;73.126;112.441;1446.289;-51.300;106.303;1450.089;16.077;146.154;1281.769;28.256;151.561;1115.982;79.654;160.477;1195.538;-42.823;165.203;1180.143;17.246;-32.933;1275.874;3.021;-99.628;1084.071;61.238;-68.741;1201.433;-58.413;-55.831;1212.979;179.185;-12.228;1232.612;179.185;61.579;1302.815;189.464;121.990;1239.579;238.572;93.977;1158.610;209.585;126.569;988.048;255.867;72.249;1009.192;249.582;-17.344;963.056;187.272;-152.000;1008.169;165.592;-146.690;940.987;205.151;-124.767;972.751;-164.131;3.605;1240.456;-150.831;65.185;1312.461;-156.969;138.846;1255.169;-219.036;65.087;1160.607;-199.841;153.364;1000.130;-242.420;97.826;1022.833;-222.300;19.974;1025.805;-208.123;-121.600;978.548;-160.964;-109.128;930.171;-205.444;-87.838;949.220;117.313;-79.751;868.154;-146.885;-41.410;869.469;106.108;119.992;939.379;-86.767;143.036;949.074
12.959;69.423;1596.048;88.472;0.536;1543.481;-60.215;-4.969;1540.997;73.028;111.954;1446.192;-51.397;105.767;1450.040;15.979;145.813;1281.769;28.208;151.269;1115.982;79.556;160.087;1195.538;-42.872;164.910;1180.094;17.100;-33.323;1275.776;2.923;-99.823;1083.925;61.141;-69.131;1201.335;-58.510;-56.074;1212.833;179.087;-12.618;1232.515;179.087;61.190;1302.766;189.367;121.600;1239.579;238.474;93.636;1158.561;209.244;126.277;988.048;255.623;72.005;1009.095;249.582;-17.441;962.618;187.174;-152.585;1007.146;166.226;-146.982;939.818;205.444;-125.059;971.874;-164.179;3.264;1240.164;-150.928;64.746;1312.315;-157.067;138.456;1255.120;-219.426;64.795;1160.559;-201.156;153.072;1000.082;-243.590;97.533;1023.271;-221.569;20.462;1027.559;-202.374;-121.844;986.733;-162.426;-110.103;932.071;-204.323;-89.056;954.823;117.313;-79.995;868.105;-146.885;-41.654;869.371;106.059;119.749;939.379;-86.815;142.792;949.025
12.959;68.790;1595.951;88.472;-0.049;1543.433;-60.264;-5.651;1540.997;72.931;111.174;1445.997;-51.495;104.938;1449.894;15.785;145.326;1281.866;28.208;151.074;1116.079;79.459;159.746;1195.684;-42.969;164.667;1180.192;17.003;-33.762;1275.582;2.923;-99.969;1083.633;61.044;-69.520;1201.141;-58.608;-56.367;1212.492;179.038;-12.959;1232.564;178.892;60.751;1302.864;189.220;121.210;1239.725;238.328;93.344;1158.707;209.049;125.985;988.243;255.526;71.762;1009.241;249.777;-17.636;962.666;185.469;-153.169;1006.512;168.028;-147.274;938.307;205.638;-125.351;971.582;-164.179;2.679;1239.628;-151.074;64.015;1311.876;-157.261;137.726;1254.925;-220.059;63.967;1160.364;-203.251;152.195;999.741;-245.344;96.510;1023.807;-219.523;21.095;1031.505;-188.295;-120.528;1001.641;-167.054;-112.587;936.748;-201.936;-91.005;966.077;117.264;-80.238;868.056;-146.933;-41.703;869.371;106.108;119.554;939.330;-86.767;142.695;948.977
12.764;67.913;1595.805;88.277;-0.974;1543.335;-60.410;-6.723;1541.046;72.638;110.054;1445.705;-51.787;103.672;1449.748;15.590;144.790;1282.012;28.305;150.928;1116.274;79.410;159.308;1195.976;-43.018;164.423;1180.241;16.905;-34.297;1275.387;3.118;-99.920;1083.341;61.044;-69.910;1200.994;-58.608;-56.562;1212.053;178.990;-13.397;1232.905;178.649;60.215;1303.253;189.123;120.626;1240.115;238.085;92.856;1159.292;209.390;125.546;988.828;255.818;71.323;1009.923;250.313;-17.928;963.446;180.987;-154.192;1006.123;172.267;-147.518;936.261;205.785;-125.838;972.556;-164.082;2.290;1239.287;-151.172;63.431;1311.535;-157.456;137.141;1254.633;-220.936;62.846;1160.510;-206.320;149.710;998.961;-247.731;93.977;1025.415;-215.772;20.949;1037.400;-166.615;-116.972;1015.574;-179.136;-118.872;948.392;-200.523;-93.977;984.638;117.167;-80.433;868.007;-146.933;-41.556;869.323;106.254;119.456;939.233;-86.572;142.744;948.977
