UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12.965;95.190;1595.519;88.805;26.174;1543.562;-59.951;18.863;1542.684;71.112;135.547;1444.229;-53.176;127.944;1449.541;15.012;165.669;1280.120;27.928;168.447;1114.110;78.911;178.878;1194.629;-43.769;182.728;1177.618;15.987;-13.404;1277.195;2.388;-83.297;1086.425;60.243;-51.080;1203.548;-59.073;-37.433;1214.417;177.854;4.972;1234.888;178.146;80.227;1303.418;188.382;139.495;1239.324;239.169;106.937;1156.270;209.243;131.014;983.583;255.790;78.277;1008.197;248.771;-14.232;971.690;174.735;-142.663;1028.083;171.420;-145.198;957.117;202.370;-120.048;992.502;-165.133;20.910;1240.689;-152.460;85.198;1310.095;-158.748;156.652;1251.216;-219.966;77.254;1157.245;-198.179;153.630;990.211;-241.217;100.649;1018.627;-215.433;25.199;1032.421;-187.797;-119.024;1012.096;-176.197;-114.491;944.493;-205.782;-91.437;977.198;116.685;-67.895;870.895;-147.440;-28.903;871.626;105.962;133.451;937.620;-86.953;157.237;947.076
13.257;94.410;1595.519;89.049;25.443;1543.513;-59.707;18.180;1542.636;71.356;134.914;1444.277;-52.932;127.359;1449.590;15.207;165.181;1280.168;28.123;168.106;1114.110;79.106;178.488;1194.629;-43.574;182.338;1177.667;16.231;-13.891;1277.098;2.632;-83.492;1086.230;60.487;-51.421;1203.402;-58.830;-37.823;1214.320;178.098;4.582;1234.742;178.341;79.788;1303.320;188.528;139.154;1239.275;239.316;106.693;1156.173;209.340;130.917;983.534;255.936;78.180;1008.099;248.869;-14.330;971.641;174.832;-142.663;1028.180;171.469;-145.247;957.214;202.468;-120.097;992.502;-164.889;20.422;1240.640;-152.216;84.662;1310.095;-158.504;156.164;1251.265;-219.771;76.815;1157.245;-198.081;153.338;990.309;-241.070;100.308;1018.676;-215.287;24.906;1032.421;-187.407;-119.317;1012.047;-175.856;-114.735;944.395;-205.490;-91.730;977.149;116.831;-68.188;870.846;-147.294;-29.147;871.577;106.108;133.159;937.620;-86.807;156.944;947.076
13.550;93.728;1595.519;89.293;24.711;1543.464;-59.415;17.498;1542.636;71.600;134.231;1444.326;-52.640;126.725;1449.590;15.402;164.645;1280.217;28.318;167.765;1114.207;79.301;178.049;1194.726;-43.379;181.851;1177.765;16.426;-14.427;1277.000;2.827;-83.736;1086.035;60.682;-51.811;1203.207;-58.635;-38.261;1214.174;178.293;4.192;1234.596;178.585;79.301;1303.320;188.723;138.715;1239.324;239.462;106.352;1156.173;209.487;130.771;983.534;256.082;78.082;1008.050;249.015;-14.427;971.641;175.027;-142.712;1028.229;171.566;-145.344;957.360;202.614;-120.194;992.600;-164.645;19.935;1240.542;-151.973;84.077;1309.997;-158.309;155.628;1251.314;-219.527;76.376;1157.196;-197.935;153.045;990.358;-240.924;100.015;1018.676;-215.043;24.663;1032.323;-187.261;-119.560;1011.852;-175.661;-114.979;944.298;-205.295;-91.973;977.003;116.977;-68.480;870.748;-147.147;-29.391;871.577;106.254;132.867;937.620;-86.661;156.603;947.125
13.696;92.997;1595.519;89.487;24.127;1543.464;-59.220;16.767;1542.587;71.746;133.646;1444.375;-52.542;126.092;1449.639;15.548;164.158;1280.266;28.464;167.326;1114.256;79.398;177.610;1194.726;-43.184;181.363;1177.813;16.620;-14.866;1276.903;3.022;-84.077;1085.938;60.877;-52.152;1203.110;-58.489;-38.749;1214.076;178.439;3.802;1234.499;178.731;78.862;1303.271;188.869;138.277;1239.324;239.608;106.059;1156.173;209.633;130.624;983.534;256.229;77.887;1008.002;249.161;-14.622;971.641;175.271;-142.907;1028.326;171.713;-145.539;957.458;202.809;-120.389;992.648;-164.499;19.447;1240.445;-151.778;83.492;1309.997;-158.163;155.141;1251.363;-219.430;75.986;1157.196;-197.886;152.850;990.406;-240.827;99.772;1018.724;-214.945;24.468;1032.372;-186.968;-119.804;1011.852;-175.417;-115.174;944.298;-205.051;-92.168;977.003;117.123;-68.773;870.651;-147.001;-29.732;871.480;106.400;132.525;937.669;-86.514;156.262;947.222
13.794;92.314;1595.568;89.634;23.493;1543.416;-59.025;16.133;1542.538;71.843;133.159;1444.424;-52.445;125.458;1449.688;15.646;163.670;1280.266;28.562;166.887;1114.256;79.544;177.172;1194.726;-43.087;180.925;1177.862;16.767;-15.353;1276.805;3.119;-84.370;1085.791;60.974;-52.542;1202.963;-58.342;-39.139;1213.979;178.585;3.412;1234.352;178.878;78.423;1303.174;188.967;137.887;1239.226;239.657;105.718;1156.075;209.633;130.332;983.485;256.326;77.692;1007.904;249.356;-14.817;971.592;175.612;-143.199;1028.326;172.005;-145.831;957.458;203.150;-120.633;992.648;-164.353;19.009;1240.396;-151.680;83.005;1309.997;-158.017;154.702;1251.363;-219.332;75.596;1157.196;-197.886;152.558;990.455;-240.778;99.479;1018.773;-214.848;24.273;1032.421;-186.530;-120.048;1012.096;-175.271;-115.417;944.541;-204.905;-92.461;977.246;117.270;-69.114;870.553;-146.904;-30.024;871.382;106.498;132.135;937.718;-86.368;155.872;947.222
13.940;91.730;1595.519;89.780;22.908;1543.367;-58.927;15.548;1542.538;71.941;132.574;1444.424;-52.299;124.922;1449.688;15.743;163.183;1280.217;28.659;166.449;1114.207;79.593;176.782;1194.726;-42.989;180.486;1177.813;16.864;-15.792;1276.708;3.217;-84.662;1085.645;61.072;-52.932;1202.866;-58.245;-39.529;1213.833;178.634;3.022;1234.255;178.975;77.985;1303.125;189.016;137.497;1239.178;239.706;105.377;1155.978;209.681;129.942;983.388;256.424;77.351;1007.855;249.551;-15.158;971.544;176.148;-143.638;1028.326;172.249;-146.221;957.458;203.491;-121.023;992.551;-164.255;18.570;1240.250;-151.583;82.518;1309.900;-157.919;154.215;1251.314;-219.283;75.207;1157.147;-198.033;152.265;990.406;-240.875;99.138;1018.773;-214.702;24.078;1032.567;-185.945;-120.243;1012.681;-174.978;-115.710;945.029;-204.564;-92.753;977.734;117.367;-69.455;870.505;-146.806;-30.414;871.333;106.644;131.745;937.718;-86.271;155.482;947.271
14.037;91.145;1595.519;89.829;22.323;1543.318;-58.830;14.963;1542.490;71.990;131.989;1444.375;-52.250;124.337;1449.736;15.743;162.696;1280.217;28.708;166.059;1114.207;79.642;176.294;1194.726;-42.892;180.047;1177.813;16.913;-16.231;1276.610;3.314;-85.003;1085.499;61.169;-53.371;1202.768;-58.196;-39.967;1213.735;178.683;2.632;1234.255;178.975;77.546;1303.125;189.064;137.058;1239.226;239.754;104.987;1155.978;209.730;129.552;983.388;256.472;77.010;1007.855;249.746;-15.548;971.544;176.489;-144.126;1028.375;172.541;-146.660;957.506;203.784;-121.461;992.600;-164.207;18.083;1240.104;-151.583;82.030;1309.754;-157.919;153.727;1251.216;-219.283;74.768;1157.001;-198.227;152.022;990.309;-241.070;98.846;1018.773;-214.604;24.078;1032.859;-185.263;-120.438;1013.753;-174.588;-116.051;946.052;-204.174;-93.046;978.709;117.513;-69.845;870.407;-146.709;-30.755;871.285;106.693;131.404;937.669;-86.173;155.092;947.271
14.037;90.511;1595.519;89.877;21.787;1543.269;-58.830;14.281;1542.490;71.941;131.502;1444.424;-52.299;123.752;1449.736;15.694;162.208;1280.217;28.806;165.571;1114.207;79.642;175.856;1194.726;-42.892;179.560;1177.765;16.913;-16.718;1276.513;3.412;-85.393;1085.353;61.169;-53.809;1202.671;-58.196;-40.357;1213.589;178.683;2.145;1234.255;178.975;77.059;1303.174;189.064;136.620;1239.275;239.803;104.548;1156.075;209.828;129.113;983.436;256.619;76.571;1007.953;249.941;-15.938;971.592;176.684;-144.662;1028.326;172.882;-147.099;957.458;204.076;-121.900;992.600;-164.207;17.498;1239.811;-151.632;81.397;1309.559;-157.870;153.191;1251.119;-219.332;74.329;1156.806;-198.910;151.827;990.260;-241.509;98.553;1018.968;-214.409;24.321;1033.639;-183.410;-120.097;1016.044;-174.101;-116.392;948.100;-203.345;-93.241;980.853;117.611;-70.235;870.358;-146.611;-31.194;871.187;106.790;130.966;937.669;-86.124;154.653;947.271
14.183;89.877;1595.470;89.926;21.153;1543.123;-58.732;13.647;1542.587;71.795;130.819;1444.229;-52.445;123.118;1449.785;15.499;161.526;1280.266;28.903;165.181;1114.305;79.642;175.271;1194.873;-42.989;179.024;1177.716;16.767;-17.352;1276.318;3.607;-85.734;1085.109;61.218;-54.297;1202.525;-58.196;-40.747;1213.150;178.634;1.560;1234.401;178.780;76.425;1303.369;188.918;135.986;1239.568;239.803;103.963;1156.368;210.169;128.529;983.729;256.911;75.986;1008.245;250.234;-16.474;971.739;176.684;-145.490;1028.034;173.272;-147.537;957.117;204.271;-122.485;992.453;-164.158;16.669;1239.226;-151.778;80.471;1309.071;-158.065;152.265;1250.875;-219.868;73.452;1156.660;-201.006;151.388;990.211;-243.069;97.871;1019.553;-214.361;24.955;1035.735;-179.316;-118.878;1021.454;-174.052;-116.977;953.120;-202.127;-93.484;986.166;117.708;-70.625;870.261;-146.514;-31.584;871.138;106.888;130.576;937.669;-85.978;154.215;947.271
