UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
2.590;83.907;1596.772;81.708;19.303;1544.092;-66.608;6.206;1540.915;60.939;130.430;1447.381;-63.040;117.821;1450.705;8.161;158.284;1280.203;22.773;160.630;1114.344;72.472;172.554;1195.172;-49.308;173.922;1177.042;11.533;-20.818;1277.711;0.489;-91.677;1086.978;56.883;-57.811;1204.408;-62.845;-45.936;1214.475;174.997;1.613;1236.515;172.065;76.528;1304.784;181.204;136.343;1240.522;230.023;108.879;1157.201;190.880;129.550;984.012;245.270;85.226;1008.544;253.382;-7.379;971.404;215.069;-148.071;1032.587;190.977;-148.315;965.345;227.335;-119.141;993.395;-170.795;12.559;1240.180;-158.480;76.528;1309.768;-164.588;148.266;1250.540;-225.039;70.712;1156.371;-198.112;146.116;988.948;-244.488;96.319;1017.829;-224.110;22.968;1037.376;-209.401;-129.257;1024.720;-182.230;-122.415;961.044;-217.806;-97.932;988.997;115.476;-71.641;870.100;-149.097;-37.384;869.954;101.597;128.475;938.907;-91.726;148.902;947.752
2.785;83.663;1596.772;81.903;19.108;1544.043;-66.363;5.962;1540.964;61.085;130.234;1447.381;-62.894;117.626;1450.753;8.259;158.138;1280.203;22.821;160.581;1114.344;72.569;172.505;1195.172;-49.162;173.873;1177.042;11.582;-20.867;1277.662;0.538;-91.579;1086.880;56.932;-57.811;1204.311;-62.845;-45.985;1214.377;175.046;1.564;1236.368;172.163;76.430;1304.686;181.301;136.294;1240.522;230.023;108.879;1157.153;190.782;129.696;983.963;245.221;85.373;1008.397;253.382;-7.233;971.306;215.167;-147.924;1032.490;190.977;-148.169;965.345;227.335;-118.994;993.297;-170.746;12.559;1240.082;-158.382;76.479;1309.671;-164.491;148.218;1250.540;-224.941;70.761;1156.273;-197.917;146.263;988.948;-244.390;96.466;1017.780;-223.963;23.115;1037.279;-209.450;-129.012;1024.573;-182.181;-122.366;960.946;-217.708;-97.785;988.850;115.476;-71.690;870.100;-149.048;-37.433;869.954;101.597;128.377;938.858;-91.677;148.853;947.752
3.030;83.320;1596.772;82.196;18.912;1543.945;-66.070;5.669;1540.964;61.183;130.136;1447.381;-62.796;117.431;1450.851;8.308;158.089;1280.154;22.821;160.532;1114.295;72.569;172.456;1195.074;-49.113;173.776;1177.042;11.631;-20.867;1277.564;0.538;-91.579;1086.782;56.932;-57.762;1204.213;-62.796;-45.985;1214.329;175.046;1.613;1236.173;172.212;76.381;1304.539;181.301;136.294;1240.375;229.974;108.976;1157.006;190.684;129.794;983.866;245.123;85.568;1008.251;253.333;-7.037;971.160;215.216;-147.778;1032.294;191.075;-148.022;965.198;227.433;-118.799;993.102;-170.697;12.559;1240.033;-158.333;76.430;1309.622;-164.442;148.218;1250.491;-224.843;70.859;1156.224;-197.819;146.409;988.948;-244.293;96.613;1017.780;-223.915;23.212;1037.230;-209.401;-128.768;1024.426;-182.034;-122.317;960.946;-217.611;-97.639;988.704;115.525;-71.788;870.051;-149.048;-37.531;869.905;101.646;128.279;938.858;-91.677;148.755;947.703
3.323;83.076;1596.772;82.441;18.765;1543.799;-65.777;5.376;1540.964;61.232;130.039;1447.381;-62.698;117.235;1450.998;8.259;157.942;1280.056;22.821;160.484;1114.246;72.521;172.505;1195.074;-49.064;173.727;1176.993;11.680;-20.916;1277.418;0.538;-91.481;1086.636;56.980;-57.713;1204.066;-62.796;-45.985;1214.231;174.997;1.662;1235.977;172.261;76.381;1304.344;181.301;136.294;1240.229;229.877;109.025;1156.811;190.293;129.941;983.670;244.928;85.813;1008.007;253.284;-6.744;970.818;215.509;-147.533;1032.099;191.368;-147.973;965.051;227.629;-118.603;992.857;-170.697;12.364;1239.887;-158.333;76.381;1309.377;-164.393;148.169;1250.393;-224.941;70.859;1156.078;-198.259;146.752;989.046;-244.586;96.808;1017.976;-224.012;23.359;1037.181;-209.450;-128.084;1024.182;-181.790;-122.220;960.898;-217.464;-97.346;988.459;115.574;-71.934;870.002;-148.999;-37.629;869.856;101.646;128.182;938.809;-91.628;148.609;947.654
3.372;82.930;1596.772;82.587;18.814;1543.750;-65.581;5.082;1541.062;60.988;130.039;1447.333;-62.894;116.893;1451.095;8.308;157.600;1280.350;22.919;160.532;1114.588;72.325;172.554;1195.563;-48.819;173.434;1177.286;11.728;-21.307;1277.222;0.733;-91.628;1086.391;57.078;-57.958;1203.822;-62.747;-46.278;1213.938;174.949;1.515;1235.733;172.261;76.186;1304.100;181.106;136.147;1240.229;229.143;108.830;1156.713;189.267;130.087;983.475;244.146;86.204;1007.713;253.382;-5.864;971.209;216.193;-146.165;1033.320;193.812;-148.609;966.078;228.850;-117.968;993.884;-170.550;11.680;1239.496;-158.138;75.795;1308.889;-164.198;147.924;1250.442;-224.892;70.761;1156.078;-200.458;148.560;989.876;-246.247;97.932;1019.246;-225.185;24.874;1038.745;-209.303;-124.956;1026.283;-182.034;-121.096;963.097;-217.513;-95.684;990.072;115.720;-72.032;869.954;-148.902;-37.873;869.758;101.744;128.133;938.711;-91.530;148.413;947.605
3.030;82.930;1596.870;82.490;18.814;1544.141;-65.679;4.642;1541.355;60.694;129.648;1447.333;-63.187;116.160;1450.998;8.552;156.916;1280.887;22.968;160.288;1115.272;72.178;172.359;1196.247;-48.331;172.847;1177.726;11.777;-22.137;1277.027;0.880;-92.312;1086.196;57.225;-58.642;1203.626;-62.747;-46.914;1213.693;175.046;1.319;1235.293;172.163;75.697;1303.806;180.666;136.147;1240.278;227.726;109.367;1156.517;187.312;130.527;983.084;243.266;88.207;1008.055;255.239;-3.421;973.945;220.396;-142.109;1039.038;200.995;-148.706;971.551;233.786;-115.574;999.113;-170.697;11.973;1239.203;-157.649;75.502;1308.938;-163.660;148.169;1250.784;-225.527;72.960;1157.250;-203.439;152.567;991.685;-249.522;102.135;1022.081;-227.726;29.663;1043.094;-211.013;-117.821;1034.640;-186.237;-118.457;970.573;-220.494;-91.384;997.353;116.062;-72.130;869.856;-148.609;-38.362;869.612;101.793;127.937;938.760;-91.530;147.924;947.703
2.981;82.392;1597.309;82.392;18.277;1544.483;-65.777;4.154;1541.893;60.499;129.110;1447.675;-63.382;115.622;1451.486;8.699;155.988;1280.838;22.870;158.773;1115.272;72.032;171.332;1196.198;-47.744;172.016;1177.922;11.631;-23.164;1277.320;0.782;-93.827;1086.587;57.029;-59.717;1203.871;-63.138;-47.891;1214.231;175.242;1.466;1235.293;171.870;75.355;1304.051;180.129;135.561;1239.887;225.674;111.224;1157.250;185.846;131.260;983.035;243.657;92.214;1009.570;260.224;1.026;979.907;231.831;-134.925;1050.424;212.382;-147.387;984.061;243.657;-110.736;1009.473;-171.528;13.194;1239.593;-157.209;75.892;1309.915;-162.829;148.413;1251.078;-226.944;77.554;1160.036;-207.641;159.799;994.910;-254.702;110.833;1027.505;-232.173;39.339;1051.402;-216.438;-104.871;1050.327;-195.229;-113.521;985.771;-227.482;-83.125;1011.672;116.502;-72.472;869.709;-148.266;-39.339;869.367;101.793;127.400;939.004;-91.579;146.947;947.899
3.274;81.512;1598.238;82.441;17.495;1544.923;-65.728;3.567;1542.626;60.499;128.768;1448.652;-63.333;115.476;1452.659;8.796;155.206;1280.203;22.577;156.183;1114.882;71.788;169.866;1195.514;-47.353;170.257;1177.775;11.240;-24.043;1278.248;0.391;-96.613;1088.004;56.687;-60.792;1204.995;-63.627;-49.015;1215.550;175.584;2.297;1236.026;171.088;75.648;1305.028;179.298;135.854;1240.082;224.354;114.156;1159.058;186.579;132.629;983.670;246.247;98.079;1012.796;268.189;7.526;988.801;248.251;-123.832;1066.160;226.847;-143.575;1002.533;257.096;-103.161;1024.231;-173.434;15.931;1241.255;-156.574;76.968;1312.554;-161.705;149.781;1253.130;-229.437;85.471;1165.509;-211.746;172.065;1001.360;-260.419;125.885;1036.301;-237.842;55.905;1063.374;-227.189;-86.497;1070.167;-206.224;-101.499;1006.736;-237.695;-68.416;1030.975;117.088;-73.205;869.660;-147.729;-41.147;869.025;101.695;126.422;939.444;-91.775;144.943;948.387
3.958;80.535;1599.020;82.832;16.713;1545.069;-65.386;3.079;1543.114;60.792;128.670;1449.629;-63.089;115.574;1453.881;8.894;154.913;1279.372;21.698;152.958;1114.246;71.348;168.449;1194.244;-46.083;168.938;1177.433;10.507;-24.727;1279.470;-0.538;-99.594;1089.910;55.808;-62.014;1206.705;-64.702;-49.895;1217.358;175.926;3.861;1236.808;169.964;76.577;1306.054;177.930;137.027;1240.375;223.670;117.479;1161.111;189.169;134.877;984.452;249.815;104.969;1016.656;277.377;15.882;998.966;264.280;-110.051;1082.873;243.071;-136.782;1021.983;271.268;-92.899;1040.406;-175.730;20.134;1242.672;-155.646;79.264;1314.606;-159.066;152.958;1255.622;-231.196;96.222;1171.178;-213.701;187.752;1008.740;-264.133;144.552;1045.146;-243.364;74.964;1073.881;-239.357;-65.972;1085.805;-217.024;-84.738;1023.840;-248.153;-49.748;1046.222;117.675;-74.426;869.660;-147.191;-43.786;868.634;101.109;124.761;940.373;-92.459;142.109;949.120
