UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
2.591;76.308;1598.650;81.392;14.861;1541.896;-66.873;0.587;1540.625;58.074;129.933;1450.483;-65.749;116.148;1455.274;5.817;163.077;1281.540;21.020;166.547;1116.704;70.295;178.915;1197.704;-50.448;178.524;1178.004;8.555;-16.572;1276.408;-0.196;-82.760;1084.832;54.750;-52.843;1203.228;-65.749;-41.698;1213.005;169.920;10.412;1234.758;167.867;81.050;1306.911;178.866;143.719;1244.437;228.679;116.099;1159.575;196.367;142.350;987.406;246.277;92.635;1010.968;250.481;3.471;965.995;195.193;-138.781;1009.257;185.466;-132.524;938.864;217.142;-108.864;974.745;-172.267;22.438;1241.798;-158.970;84.080;1312.728;-164.690;157.113;1252.503;-228.532;80.805;1162.068;-215.285;161.708;998.649;-255.076;105.247;1025.291;-224.279;30.308;1035.410;-186.932;-112.433;1006.373;-170.507;-99.674;940.526;-204.432;-82.467;973.278;117.224;-65.895;870.769;-147.776;-34.219;870.036;100.994;134.284;939.060;-92.391;152.762;947.663
2.884;76.063;1598.650;81.636;14.665;1541.847;-66.629;0.391;1540.576;58.270;129.836;1450.483;-65.553;116.001;1455.323;5.964;163.028;1281.540;21.118;166.450;1116.655;70.442;178.866;1197.656;-50.302;178.475;1178.004;8.701;-16.621;1276.408;-0.098;-82.809;1084.880;54.897;-52.941;1203.228;-65.602;-41.747;1213.005;170.067;10.363;1234.710;168.014;81.001;1306.862;179.013;143.621;1244.389;228.777;116.001;1159.526;196.464;142.203;987.308;246.375;92.537;1010.870;250.579;3.324;966.044;195.487;-138.879;1009.501;185.563;-132.720;939.206;217.338;-108.962;974.941;-172.120;22.389;1241.847;-158.775;84.031;1312.728;-164.494;157.064;1252.503;-228.386;80.756;1162.068;-215.138;161.610;998.649;-254.930;105.149;1025.340;-224.084;30.210;1035.459;-186.736;-112.580;1006.471;-170.312;-99.821;940.673;-204.188;-82.614;973.376;117.321;-65.993;870.720;-147.727;-34.268;870.036;101.092;134.186;939.060;-92.293;152.664;947.663
3.129;75.917;1598.650;81.832;14.519;1541.798;-66.384;0.293;1540.576;58.465;129.738;1450.532;-65.309;115.904;1455.371;6.110;162.930;1281.491;21.264;166.352;1116.655;70.539;178.768;1197.607;-50.155;178.377;1178.004;8.848;-16.718;1276.408;0.000;-82.858;1084.832;54.994;-52.990;1203.228;-65.456;-41.845;1213.005;170.214;10.315;1234.661;168.161;80.952;1306.813;179.159;143.572;1244.291;228.874;115.953;1159.477;196.611;142.105;987.210;246.570;92.488;1010.870;250.774;3.226;966.093;195.780;-138.928;1009.746;185.710;-132.866;939.451;217.533;-109.109;975.136;-171.925;22.291;1241.847;-158.628;83.983;1312.728;-164.348;156.966;1252.503;-228.190;80.658;1162.068;-214.943;161.464;998.649;-254.734;105.003;1025.291;-223.937;30.064;1035.459;-186.492;-112.677;1006.520;-170.067;-99.919;940.771;-203.993;-82.712;973.376;117.419;-66.091;870.720;-147.629;-34.365;870.036;101.190;134.089;939.011;-92.195;152.567;947.663
3.324;75.770;1598.601;82.027;14.421;1541.749;-66.140;0.147;1540.576;58.661;129.640;1450.532;-65.162;115.806;1455.371;6.257;162.832;1281.491;21.362;166.254;1116.606;70.686;178.671;1197.607;-50.008;178.231;1178.004;8.995;-16.816;1276.359;0.098;-82.956;1084.832;55.190;-53.088;1203.179;-65.309;-41.942;1213.005;170.360;10.266;1234.612;168.307;80.903;1306.764;179.306;143.474;1244.242;229.021;115.904;1159.428;196.807;142.008;987.161;246.717;92.439;1010.821;250.921;3.129;966.141;195.976;-138.977;1009.941;185.905;-132.964;939.695;217.729;-109.158;975.283;-171.778;22.193;1241.847;-158.482;83.885;1312.728;-164.201;156.868;1252.503;-228.043;80.561;1162.068;-214.747;161.415;998.649;-254.538;104.905;1025.291;-223.742;30.015;1035.459;-186.345;-112.775;1006.568;-169.920;-100.065;940.771;-203.797;-82.809;973.425;117.517;-66.189;870.720;-147.483;-34.414;870.036;101.287;134.040;939.011;-92.097;152.469;947.614
3.471;75.672;1598.601;82.174;14.323;1541.749;-65.993;0.049;1540.527;58.807;129.493;1450.483;-64.967;115.708;1455.371;6.453;162.735;1281.491;21.509;166.156;1116.606;70.882;178.524;1197.509;-49.862;178.084;1178.004;9.239;-16.914;1276.310;0.293;-83.005;1084.783;55.385;-53.137;1203.082;-65.113;-42.040;1213.005;170.654;10.266;1234.563;168.503;80.756;1306.716;179.502;143.425;1244.242;229.265;115.855;1159.379;196.953;141.812;987.161;246.913;92.293;1010.870;251.117;2.982;966.288;196.416;-139.172;1010.332;186.003;-133.160;940.135;217.973;-109.304;975.576;-171.631;22.047;1241.798;-158.286;83.689;1312.679;-164.054;156.722;1252.552;-227.848;80.414;1162.019;-214.649;161.415;998.649;-254.441;104.905;1025.340;-223.595;30.064;1035.557;-186.199;-112.726;1006.911;-169.676;-100.114;941.064;-203.601;-82.809;973.718;117.664;-66.238;870.671;-147.385;-34.561;870.085;101.385;133.942;939.011;-91.999;152.322;947.614
3.569;75.623;1598.552;82.320;14.176;1541.798;-65.847;0.000;1540.478;59.052;129.347;1450.483;-64.771;115.562;1455.225;6.550;162.588;1281.491;21.656;165.961;1116.557;71.077;178.328;1197.509;-49.862;177.742;1177.906;9.435;-16.963;1276.163;0.489;-82.956;1084.587;55.532;-52.941;1202.886;-65.016;-42.138;1212.858;170.849;10.559;1234.758;168.552;80.756;1306.862;179.795;143.523;1244.486;229.901;115.464;1159.575;197.589;140.003;987.210;247.499;90.582;1011.310;251.605;1.027;967.217;197.100;-140.981;1012.092;186.150;-134.968;941.944;218.364;-111.113;977.091;-171.534;21.558;1241.700;-158.188;83.200;1312.630;-163.957;156.184;1252.650;-227.750;80.023;1162.019;-215.040;161.464;998.894;-254.538;104.758;1025.731;-223.937;30.259;1036.583;-186.394;-112.531;1008.866;-168.210;-99.968;943.313;-202.917;-82.663;975.234;117.810;-66.140;870.671;-147.238;-34.708;870.036;101.434;134.040;938.962;-91.999;152.224;947.663
3.715;75.575;1598.504;82.467;14.225;1541.749;-65.700;-0.098;1540.576;59.003;129.298;1450.385;-64.771;115.366;1455.225;6.404;162.490;1281.785;21.558;166.254;1116.899;71.175;178.328;1197.900;-50.204;177.497;1178.249;9.435;-16.718;1275.919;0.782;-82.174;1084.294;55.728;-52.306;1202.642;-64.967;-41.649;1212.418;170.214;10.363;1235.589;168.405;80.658;1307.547;179.991;143.132;1244.780;230.341;113.020;1159.819;200.571;133.209;986.673;249.699;83.983;1012.581;253.267;-6.502;970.639;196.904;-147.189;1018.203;186.834;-142.350;947.761;218.804;-118.055;982.664;-171.338;20.776;1242.140;-158.188;82.516;1312.973;-164.250;155.402;1253.041;-228.239;78.654;1162.655;-216.702;159.362;998.991;-255.369;102.265;1026.953;-225.110;29.086;1040.445;-185.808;-113.802;1017.225;-166.645;-102.070;951.770;-202.086;-84.862;982.224;118.055;-65.553;870.769;-146.994;-34.708;870.085;101.385;134.626;938.962;-92.146;152.371;947.712
3.569;75.428;1598.650;82.418;14.274;1541.749;-65.700;-0.293;1540.527;58.758;129.445;1450.532;-64.967;115.317;1455.420;6.013;162.832;1281.931;21.264;166.890;1117.144;71.126;178.573;1198.096;-50.839;177.449;1178.200;9.435;-16.181;1275.772;1.173;-80.707;1083.854;55.825;-51.524;1202.544;-64.771;-41.160;1212.223;168.796;9.679;1237.887;168.063;81.147;1308.573;180.088;142.497;1244.535;231.025;106.909;1159.771;207.121;117.615;985.108;253.903;68.437;1014.976;255.369;-24.491;977.434;193.678;-161.024;1030.570;184.634;-158.970;959.884;216.898;-134.040;994.103;-170.947;19.896;1243.020;-158.286;82.223;1313.364;-164.983;154.571;1252.845;-229.314;75.477;1163.681;-221.444;152.127;997.525;-258.694;95.568;1028.908;-225.355;25.908;1049.097;-179.599;-116.539;1038.881;-163.908;-109.549;971.274;-198.713;-91.462;1001.631;118.495;-64.185;871.013;-146.652;-34.365;870.182;101.092;135.995;939.060;-92.488;152.958;947.712
3.177;75.037;1599.090;82.174;14.470;1541.749;-65.895;-0.293;1540.234;58.514;130.422;1451.559;-65.260;116.099;1456.105;5.719;164.005;1281.638;20.678;167.427;1116.753;70.931;179.159;1197.558;-51.670;177.840;1177.906;9.630;-15.105;1276.016;1.760;-79.339;1083.854;56.070;-50.741;1202.788;-64.282;-40.574;1212.516;166.792;8.848;1241.407;167.770;82.565;1309.111;180.479;141.421;1242.482;231.954;97.474;1159.233;214.649;92.537;983.446;257.960;43.898;1018.740;255.027;-52.208;989.166;183.217;-180.822;1051.248;178.377;-183.803;980.073;210.005;-157.748;1013.754;-169.920;19.016;1245.122;-157.993;82.760;1314.146;-165.961;153.740;1252.063;-230.585;69.611;1165.539;-228.923;137.706;994.738;-263.240;81.929;1031.059;-225.013;18.820;1060.341;-166.694;-119.619;1069.873;-151.051;-118.152;1001.631;-187.812;-100.408;1029.299;119.228;-62.131;871.258;-146.163;-33.779;870.182;100.603;137.999;939.206;-93.124;153.838;947.810
