UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
0.391;92.741;1597.258;78.619;27.998;1543.363;-69.873;16.369;1540.919;58.342;140.430;1447.983;-65.769;128.947;1451.892;5.277;169.357;1278.871;20.473;171.067;1113.473;70.850;182.842;1194.535;-51.110;184.455;1175.039;6.352;-10.066;1275.353;-2.834;-76.763;1084.400;52.234;-48.129;1202.939;-67.723;-34.936;1212.272;167.207;12.216;1232.306;167.842;84.825;1304.426;179.129;146.342;1243.251;231.949;113.116;1157.351;205.466;145.512;987.115;247.194;87.708;1008.468;235.565;-0.586;958.921;155.333;-128.654;996.105;149.909;-123.670;925.597;183.136;-104.028;960.485;-173.998;25.457;1236.605;-161.734;89.125;1307.798;-167.011;160.366;1248.137;-231.118;80.134;1155.299;-221.590;161.441;991.659;-256.722;101.536;1017.703;-220.515;28.829;1027.182;-166.816;-109.403;995.959;-159.926;-94.646;928.920;-191.491;-80.769;963.514;114.777;-62.202;871.947;-150.105;-28.731;870.920;99.826;138.720;937.911;-93.425;158.753;946.266
0.635;92.447;1597.258;78.864;27.803;1543.314;-69.580;16.076;1540.968;58.488;140.186;1447.983;-65.622;128.703;1451.941;5.375;169.210;1278.969;20.571;171.018;1113.570;70.899;182.745;1194.633;-51.012;184.406;1175.137;6.401;-10.163;1275.304;-2.785;-76.665;1084.302;52.283;-48.227;1202.842;-67.674;-34.985;1212.174;167.304;12.118;1232.257;167.891;84.629;1304.426;179.227;146.245;1243.300;231.998;113.116;1157.351;205.563;145.658;987.213;247.341;87.854;1008.517;235.809;-0.391;958.872;155.871;-128.605;995.910;150.398;-123.573;925.402;183.575;-103.930;960.338;-173.950;25.408;1236.605;-161.685;89.027;1307.847;-166.913;160.317;1248.186;-231.070;80.134;1155.348;-221.590;161.490;991.757;-256.771;101.633;1017.800;-220.515;28.926;1027.280;-166.913;-109.305;996.008;-160.073;-94.597;928.969;-191.589;-80.720;963.612;114.777;-62.104;871.947;-150.105;-28.584;870.920;99.874;138.818;937.911;-93.376;158.851;946.266
0.831;92.105;1597.306;79.059;27.509;1543.265;-69.384;15.783;1540.968;58.586;139.990;1447.983;-65.475;128.459;1452.039;5.473;169.112;1278.969;20.620;171.018;1113.570;70.997;182.598;1194.633;-50.866;184.308;1175.234;6.499;-10.261;1275.255;-2.736;-76.616;1084.253;52.331;-48.276;1202.744;-67.576;-35.034;1212.174;167.353;12.020;1232.159;168.037;84.483;1304.328;179.324;146.098;1243.251;232.047;113.018;1157.302;205.417;145.707;987.115;247.243;87.952;1008.370;235.858;-0.342;958.775;156.213;-128.654;995.910;150.545;-123.621;925.451;183.820;-103.930;960.289;-173.803;25.359;1236.654;-161.490;88.978;1307.895;-166.767;160.219;1248.283;-230.972;80.134;1155.445;-221.541;161.539;991.854;-256.722;101.633;1017.849;-220.466;28.926;1027.328;-166.913;-109.305;996.105;-160.073;-94.597;929.067;-191.589;-80.672;963.710;114.777;-62.153;871.898;-150.105;-28.536;870.920;99.923;138.769;937.911;-93.327;158.851;946.266
1.075;91.763;1597.306;79.255;27.216;1543.167;-69.140;15.489;1540.968;58.830;139.795;1448.081;-65.280;128.312;1452.137;5.619;169.014;1278.969;20.718;170.920;1113.570;71.143;182.549;1194.584;-50.768;184.211;1175.234;6.645;-10.359;1275.255;-2.687;-76.665;1084.204;52.380;-48.374;1202.695;-67.479;-35.083;1212.174;167.451;11.922;1232.012;168.184;84.385;1304.231;179.471;146.000;1243.153;231.998;112.921;1157.058;205.026;145.561;986.919;247.047;87.903;1008.126;235.663;-0.440;958.628;156.603;-128.996;996.154;150.203;-123.866;925.842;183.771;-104.077;960.387;-173.705;25.311;1236.703;-161.392;88.880;1307.895;-166.620;160.170;1248.283;-230.825;80.134;1155.494;-221.444;161.539;991.854;-256.624;101.682;1017.947;-220.369;29.024;1027.426;-166.767;-109.256;996.399;-159.926;-94.646;929.311;-191.442;-80.720;963.954;114.826;-62.250;871.898;-150.056;-28.584;870.920;100.021;138.671;937.911;-93.229;158.802;946.266
1.417;91.470;1597.258;79.499;26.874;1543.069;-68.896;15.294;1540.871;59.123;139.551;1448.032;-64.938;128.117;1452.137;5.815;168.819;1278.969;20.815;170.822;1113.521;71.290;182.354;1194.486;-50.621;184.015;1175.234;6.792;-10.408;1275.109;-2.639;-76.763;1084.106;52.527;-48.422;1202.597;-67.381;-35.132;1212.028;167.597;11.629;1231.768;168.477;84.092;1303.986;179.666;145.658;1242.909;232.047;112.676;1156.765;204.977;145.365;986.577;247.096;87.805;1007.832;235.174;-0.831;958.530;158.851;-130.560;997.669;147.124;-124.110;928.040;183.282;-104.516;960.974;-173.656;25.017;1236.605;-161.197;88.685;1307.749;-166.474;159.975;1248.283;-230.630;79.987;1155.348;-221.493;161.734;991.854;-256.673;101.829;1017.947;-220.369;29.366;1027.817;-166.278;-108.816;997.913;-159.193;-94.842;930.532;-190.660;-80.525;965.078;114.826;-62.397;871.849;-150.007;-28.829;870.920;100.070;138.476;937.911;-93.180;158.558;946.266
1.710;91.226;1597.062;79.792;26.581;1542.972;-68.554;15.050;1540.773;59.465;139.111;1447.739;-64.596;127.775;1451.844;6.010;168.282;1279.067;21.157;170.480;1113.570;71.779;181.328;1194.535;-50.328;183.527;1175.234;7.036;-10.603;1274.669;-2.345;-76.763;1083.764;52.722;-48.422;1202.206;-67.137;-35.230;1211.588;167.793;10.701;1232.306;168.868;83.261;1304.817;180.155;144.437;1243.348;232.731;111.455;1157.449;205.759;144.486;986.919;247.389;86.633;1008.174;232.926;-2.297;958.872;165.203;-135.788;1000.112;135.495;-123.377;937.031;180.008;-105.249;962.488;-173.559;23.991;1235.970;-161.050;87.512;1307.211;-166.327;158.998;1248.283;-230.434;79.548;1154.810;-222.177;163.542;991.708;-256.918;102.953;1018.240;-221.199;31.174;1030.260;-167.744;-107.057;1004.705;-154.160;-93.962;938.057;-188.608;-78.961;969.671;114.875;-62.446;871.800;-150.007;-29.268;870.872;99.972;138.378;937.911;-93.327;158.216;946.266
2.248;91.030;1596.964;80.281;26.337;1542.825;-68.114;14.561;1541.066;59.514;138.573;1447.397;-64.547;127.042;1451.892;6.694;167.158;1279.897;22.428;170.089;1114.548;73.244;179.031;1195.903;-49.449;182.403;1175.283;7.085;-11.287;1274.376;-1.515;-76.763;1083.276;53.113;-48.862;1202.011;-66.697;-35.425;1210.855;167.646;8.013;1234.846;169.357;80.427;1307.895;181.377;141.212;1245.889;234.001;107.692;1160.478;206.687;141.847;988.678;247.389;83.359;1009.934;227.796;-6.059;960.192;171.213;-141.212;1001.334;118.638;-122.595;959.410;173.070;-107.057;967.961;-173.314;23.747;1234.700;-160.659;86.340;1306.820;-165.545;158.265;1248.332;-231.021;80.427;1154.957;-224.229;167.451;992.001;-259.361;107.008;1019.706;-222.812;38.064;1038.371;-166.865;-99.679;1025.960;-144.877;-89.760;961.413;-183.527;-74.124;987.555;114.973;-61.908;871.751;-150.056;-30.343;870.872;99.484;138.720;937.911;-93.913;157.434;946.364
2.932;90.688;1597.306;80.769;25.995;1542.923;-67.576;14.023;1541.897;59.416;137.987;1447.348;-64.596;126.309;1452.430;9.675;165.545;1281.510;25.408;169.357;1116.355;77.496;175.855;1198.884;-46.468;181.230;1175.576;6.938;-12.362;1274.767;-0.684;-76.958;1083.276;53.309;-50.230;1202.451;-66.208;-35.327;1210.953;167.304;2.394;1239.391;170.334;74.075;1313.417;184.455;134.713;1250.873;234.783;100.901;1166.048;204.684;137.987;993.027;245.924;79.548;1013.940;222.567;-10.847;964.589;173.608;-144.925;1006.709;110.820;-126.065;984.476;166.767;-110.478;978.222;-172.875;26.288;1235.482;-158.802;87.952;1308.042;-162.662;160.317;1249.114;-231.118;84.092;1157.449;-227.454;169.357;992.539;-261.950;109.793;1023.957;-221.688;46.615;1052.981;-158.607;-86.144;1062.216;-133.980;-83.506;997.816;-174.829;-66.990;1020.195;115.510;-60.638;871.849;-149.763;-32.151;871.116;98.067;139.844;938.155;-95.575;156.115;946.804
3.811;90.444;1597.893;81.404;25.555;1543.363;-66.941;13.828;1542.727;60.003;137.547;1447.788;-64.010;126.065;1453.212;14.659;163.493;1284.100;29.024;168.770;1119.238;84.043;172.191;1203.428;-41.386;180.008;1176.603;6.645;-13.730;1275.891;-0.586;-77.153;1083.813;52.918;-52.331;1203.477;-65.915;-34.790;1212.174;166.669;-5.961;1245.449;171.555;64.400;1321.137;188.657;124.941;1258.593;235.321;93.083;1174.404;204.146;135.348;1001.725;246.021;76.811;1021.660;219.978;-14.317;973.140;171.751;-146.587;1018.973;107.839;-128.166;1000.454;163.395;-112.725;990.486;-171.116;30.637;1238.169;-155.528;91.763;1310.339;-157.776;164.031;1250.238;-229.213;87.512;1160.869;-228.284;166.425;991.659;-262.097;109.207;1028.599;-219.636;53.162;1068.275;-152.304;-70.264;1101.110;-122.546;-75.150;1039.055;-166.180;-58.488;1056.059;116.146;-58.586;872.093;-149.470;-34.252;871.507;95.428;141.505;938.497;-98.457;154.747;947.243
