UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-3.420;51.986;1597.103;75.243;-11.189;1542.185;-73.288;-22.133;1537.495;56.530;104.265;1450.184;-67.865;93.418;1452.285;4.642;134.655;1280.106;19.202;137.196;1113.936;69.917;148.922;1194.798;-51.693;150.632;1176.183;4.251;-44.999;1273.998;-6.254;-113.011;1082.618;49.152;-82.083;1200.661;-70.504;-69.233;1210.677;164.801;-22.768;1229.488;166.658;48.273;1302.972;177.700;110.959;1242.142;229.540;79.787;1156.101;202.032;113.011;984.264;245.516;56.725;1007.082;233.106;-33.859;965.698;158.841;-163.873;1016.414;146.821;-157.619;946.985;182.537;-136.463;978.352;-176.821;-6.156;1236.963;-162.896;55.553;1309.372;-167.000;128.499;1250.937;-231.054;53.989;1156.981;-214.296;138.906;994.085;-254.555;81.546;1019.052;-226.364;5.081;1029.166;-194.361;-137.098;994.916;-160.697;-121.659;936.285;-201.788;-104.314;961.740;113.109;-90.145;866.514;-152.342;-59.461;864.804;96.448;107.783;940.584;-97.034;125.568;948.304
-3.371;51.742;1597.103;75.145;-11.482;1542.088;-73.435;-22.231;1537.544;56.530;104.021;1450.135;-67.914;93.321;1452.334;4.495;134.509;1280.057;19.006;137.001;1113.887;69.722;148.727;1194.749;-51.791;150.535;1176.134;3.909;-45.097;1273.901;-6.694;-113.060;1082.569;48.761;-82.230;1200.612;-70.846;-69.233;1210.579;164.459;-22.964;1229.341;166.463;48.028;1302.776;177.505;110.714;1241.996;229.246;79.494;1155.906;201.836;112.767;984.118;245.223;56.432;1006.935;232.715;-34.201;965.649;158.499;-163.971;1016.511;146.137;-157.863;947.132;182.049;-136.756;978.352;-177.114;-6.059;1236.817;-163.189;55.602;1309.323;-167.147;128.597;1250.888;-231.298;54.185;1156.883;-214.393;139.199;994.036;-254.702;81.888;1018.954;-226.657;5.374;1029.068;-194.899;-136.805;994.720;-160.990;-121.415;936.236;-202.179;-104.021;961.643;112.767;-90.438;866.465;-152.684;-59.510;864.755;96.252;107.539;940.584;-97.229;125.470;948.304
-3.371;51.546;1597.054;75.047;-11.726;1542.039;-73.484;-22.329;1537.544;56.481;103.825;1450.135;-67.914;93.223;1452.382;4.348;134.460;1279.959;18.811;136.903;1113.790;69.526;148.629;1194.602;-51.937;150.486;1176.134;3.713;-45.048;1273.803;-6.938;-113.011;1082.471;48.517;-82.181;1200.465;-71.090;-69.184;1210.530;164.215;-23.061;1229.146;166.316;47.931;1302.630;177.309;110.617;1241.751;229.002;79.396;1155.711;201.690;112.522;983.874;245.077;56.237;1006.740;232.129;-34.543;965.649;158.010;-163.922;1017.000;144.818;-158.010;947.767;181.120;-136.854;978.646;-177.260;-6.010;1236.768;-163.336;55.650;1309.274;-167.342;128.646;1250.839;-231.494;54.282;1156.834;-214.638;139.297;993.987;-254.946;81.985;1018.954;-226.950;5.521;1029.117;-195.436;-136.707;994.671;-161.039;-121.415;936.480;-202.374;-103.923;961.643;112.473;-90.633;866.465;-152.978;-59.608;864.755;96.057;107.294;940.584;-97.376;125.323;948.304
-3.322;51.449;1596.907;75.047;-11.873;1541.892;-73.484;-22.426;1537.397;56.481;103.679;1449.988;-67.865;93.174;1452.236;4.251;134.655;1279.959;18.615;137.001;1113.741;69.429;148.776;1194.554;-52.230;150.535;1176.085;3.616;-44.559;1273.461;-7.085;-112.767;1082.422;48.419;-81.692;1200.270;-71.236;-68.696;1210.335;163.922;-22.866;1229.048;166.267;47.980;1302.581;177.358;110.568;1241.702;229.002;79.152;1155.759;201.788;111.594;983.874;244.930;55.113;1006.935;230.566;-35.911;966.089;157.131;-164.166;1018.221;140.470;-158.596;949.819;178.482;-137.343;979.379;-177.358;-6.059;1236.914;-163.531;55.650;1309.470;-167.489;128.499;1250.986;-231.592;53.989;1156.981;-215.077;138.613;994.085;-255.191;81.204;1019.247;-227.292;4.837;1029.654;-196.413;-137.294;994.818;-159.134;-122.050;938.337;-201.641;-104.363;962.131;112.229;-90.780;866.417;-153.173;-59.755;864.755;95.861;107.148;940.584;-97.620;125.226;948.255
-3.274;51.107;1596.761;75.047;-12.117;1541.648;-73.484;-22.573;1537.104;56.628;103.581;1449.988;-67.767;93.174;1452.187;4.055;135.242;1280.399;18.566;138.173;1114.278;69.526;149.069;1195.042;-53.110;150.877;1176.622;3.713;-43.240;1273.265;-6.840;-111.301;1082.324;48.517;-80.129;1200.270;-71.041;-67.279;1210.091;163.091;-22.817;1230.758;166.316;48.322;1303.949;177.651;110.079;1242.533;229.198;76.367;1156.443;203.058;105.535;984.167;244.490;48.224;1008.059;225.631;-43.191;967.946;152.489;-167.537;1021.935;126.349;-162.847;956.610;169.296;-141.593;981.773;-177.016;-7.085;1238.282;-163.824;55.162;1310.496;-168.270;127.327;1251.621;-232.129;51.253;1158.007;-217.032;133.238;993.890;-255.728;75.194;1019.931;-227.829;-0.147;1031.951;-195.534;-141.838;996.968;-150.095;-126.643;947.522;-196.315;-109.102;965.307;111.985;-90.438;866.661;-153.271;-59.510;864.951;95.715;107.636;940.438;-97.865;125.568;948.206
-3.029;50.374;1597.200;75.096;-12.557;1541.404;-73.435;-22.573;1536.957;56.823;104.070;1450.819;-67.572;93.956;1453.066;3.762;136.561;1281.229;18.469;140.323;1115.255;69.673;150.095;1195.970;-54.233;151.805;1177.404;3.909;-41.286;1273.314;-6.303;-108.125;1082.080;48.859;-78.516;1200.612;-70.308;-65.862;1210.579;160.600;-23.550;1234.080;166.316;49.054;1305.708;178.286;108.907;1242.680;229.246;68.109;1156.297;204.328;88.777;982.017;241.315;29.951;1008.254;213.856;-61.807;971.512;138.711;-177.114;1032.391;102.213;-175.306;971.757;150.583;-154.492;990.079;-175.208;-8.843;1240.774;-163.873;54.869;1311.864;-169.834;125.470;1251.279;-232.080;43.094;1159.375;-220.549;117.555;991.056;-256.168;58.826;1019.589;-226.071;-14.218;1035.811;-186.690;-154.688;1006.251;-133.727;-140.421;965.991;-183.661;-124.102;975.225;111.985;-88.679;867.345;-153.173;-58.093;865.635;95.666;109.737;940.291;-97.962;127.424;948.109
-2.492;49.983;1598.080;75.047;-12.801;1541.306;-73.631;-21.693;1537.055;57.458;105.047;1452.236;-67.035;95.812;1454.630;3.567;138.808;1281.229;18.127;142.522;1115.011;69.575;151.854;1195.628;-55.064;153.613;1177.306;3.958;-39.136;1273.754;-6.059;-104.998;1082.031;48.761;-77.002;1200.905;-70.015;-65.129;1211.410;156.495;-24.283;1237.012;166.511;50.667;1305.610;178.824;107.294;1239.015;227.829;55.113;1153.512;200.566;63.028;977.180;232.520;3.322;1007.326;196.755;-88.435;978.059;119.314;-191.332;1049.540;75.829;-193.042;993.254;127.620;-173.987;1005.371;-172.326;-10.065;1243.950;-164.020;56.676;1312.353;-171.348;124.786;1248.982;-229.882;30.732;1159.668;-220.843;90.389;984.948;-252.699;32.051;1017.831;-218.595;-36.595;1041.185;-168.270;-174.671;1025.892;-111.008;-161.626;991.984;-163.140;-147.798;993.548;112.522;-85.601;868.224;-152.880;-55.504;866.172;95.617;113.109;940.340;-98.011;130.356;948.060
-1.954;50.618;1598.862;74.852;-12.312;1541.208;-73.924;-19.690;1537.202;58.240;106.610;1453.457;-66.302;98.597;1455.998;3.225;141.545;1280.106;17.785;144.574;1113.643;69.331;153.955;1194.212;-55.944;155.616;1176.036;3.469;-36.791;1274.145;-6.791;-103.044;1082.276;47.589;-75.927;1201.345;-70.308;-64.445;1212.240;152.245;-24.674;1239.211;166.560;52.719;1304.242;178.970;105.731;1233.543;223.628;41.872;1149.799;193.921;34.250;973.662;221.478;-24.429;1008.498;178.286;-116.040;987.098;98.793;-205.892;1069.426;50.471;-209.214;1017.391;104.509;-193.433;1024.036;-169.248;-10.700;1247.517;-164.704;59.706;1311.962;-173.254;124.395;1243.608;-225.631;17.540;1160.206;-215.468;57.458;979.427;-244.490;0.977;1017.684;-206.722;-62.246;1049.247;-146.137;-195.583;1051.739;-86.676;-183.124;1021.739;-139.688;-172.863;1017.489;112.718;-82.621;868.762;-152.880;-52.475;866.368;95.666;116.187;940.780;-98.011;133.385;948.255
-1.661;51.986;1599.595;74.608;-11.042;1541.257;-74.217;-17.150;1537.348;58.826;108.858;1454.679;-65.764;101.871;1457.317;2.590;144.134;1278.982;16.759;145.942;1112.324;68.451;155.323;1192.892;-57.458;156.935;1175.205;2.736;-34.397;1274.682;-8.208;-102.262;1083.057;45.537;-75.194;1202.322;-70.308;-63.908;1213.364;148.922;-24.381;1241.996;166.072;54.966;1303.900;179.459;105.145;1230.514;219.328;31.905;1149.310;188.742;9.479;974.248;211.853;-47.735;1013.873;162.603;-137.929;999.362;79.103;-215.224;1088.725;29.706;-220.256;1037.814;84.673;-207.309;1042.553;-166.511;-11.384;1252.451;-165.339;62.197;1312.597;-175.453;123.320;1240.432;-220.501;5.765;1163.284;-207.358;27.898;979.525;-234.181;-26.237;1022.130;-193.335;-84.624;1059.800;-125.030;-212.439;1075.875;-65.227;-199.882;1046.511;-118.434;-192.944;1039.866;112.376;-80.324;868.908;-153.271;-49.592;866.368;95.764;118.288;941.366;-97.816;135.975;948.646
