UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
13.158;31.726;1596.831;93.180;-30.946;1543.174;-54.826;-47.370;1541.517;69.057;80.071;1447.119;-54.729;64.768;1451.700;15.741;106.387;1278.985;28.997;107.069;1113.922;79.486;120.764;1193.212;-42.058;121.592;1176.350;20.420;-73.784;1277.425;11.501;-144.887;1086.874;66.766;-110.091;1204.470;-53.559;-101.173;1214.802;182.169;-48.783;1235.855;179.342;26.365;1303.839;188.943;86.114;1239.218;239.383;55.752;1157.588;206.634;77.731;986.627;256.148;27.291;1009.922;257.707;-63.306;970.301;191.818;-200.298;1019.182;192.598;-201.663;948.322;219.256;-174.420;986.481;-160.775;-39.719;1241.606;-149.371;23.929;1311.637;-156.242;95.324;1250.865;-217.063;16.131;1160.073;-199.567;94.204;993.986;-240.602;39.426;1022.740;-209.558;-35.917;1035.557;-173.494;-177.588;1014.942;-165.843;-172.715;946.568;-194.937;-151.125;981.218;128.269;-122.421;869.714;-137.431;-98.541;871.224;106.972;77.341;938.965;-86.991;90.451;948.371
13.353;31.726;1596.831;93.473;-30.800;1543.076;-54.534;-47.419;1541.566;69.057;80.217;1447.119;-54.631;64.622;1451.748;15.741;106.485;1278.985;29.046;107.800;1113.970;79.534;120.861;1193.212;-42.009;121.641;1176.302;20.517;-73.686;1277.425;11.599;-144.790;1086.874;66.864;-109.896;1204.470;-53.462;-101.075;1214.802;182.169;-48.588;1235.904;179.391;26.511;1303.888;188.992;86.260;1239.266;239.432;55.898;1157.636;206.682;77.829;986.676;256.197;27.437;1009.922;257.756;-63.160;970.301;192.013;-200.250;1019.036;192.501;-201.517;948.322;219.305;-174.274;986.432;-160.677;-39.670;1241.508;-149.322;23.977;1311.539;-156.242;95.373;1250.816;-216.965;16.131;1159.927;-199.567;94.252;993.840;-240.553;39.426;1022.691;-209.460;-35.771;1035.654;-173.494;-177.491;1015.381;-165.356;-172.715;947.250;-194.743;-151.125;981.559;128.366;-122.421;869.714;-137.382;-98.492;871.224;107.021;77.390;938.916;-86.942;90.500;948.371
13.548;31.824;1596.782;93.716;-30.556;1542.979;-54.193;-47.516;1541.614;68.959;80.314;1446.972;-54.631;64.476;1451.748;15.692;106.533;1278.936;29.046;107.411;1113.824;79.534;120.959;1193.212;-42.009;121.690;1176.253;20.517;-73.540;1277.377;11.696;-144.692;1086.825;66.912;-109.750;1204.421;-53.413;-100.929;1214.656;182.267;-48.491;1235.952;179.391;26.755;1303.937;188.943;86.406;1239.266;239.432;56.045;1157.636;206.731;77.926;986.676;256.245;27.486;1009.971;257.805;-63.111;970.253;191.965;-200.298;1018.841;192.550;-201.419;948.127;219.353;-174.274;986.238;-160.580;-39.719;1241.313;-149.420;23.929;1311.393;-156.242;95.373;1250.719;-216.819;16.131;1159.683;-199.567;94.350;993.694;-240.455;39.524;1022.691;-209.412;-35.430;1036.142;-173.446;-177.149;1016.843;-164.284;-172.715;948.761;-194.206;-150.979;982.631;128.415;-122.372;869.714;-137.236;-98.443;871.273;107.069;77.439;938.868;-86.845;90.500;948.322
13.792;32.018;1596.636;94.009;-30.215;1542.784;-53.851;-47.613;1541.809;68.667;80.314;1446.582;-54.875;64.086;1451.651;15.692;106.485;1278.985;29.192;107.654;1113.922;79.632;120.813;1193.359;-42.058;121.641;1176.253;20.371;-73.491;1277.230;11.940;-144.449;1086.679;66.961;-109.652;1204.373;-53.413;-100.588;1214.314;182.315;-48.637;1236.294;179.294;26.609;1304.181;188.943;85.919;1239.364;238.750;55.996;1158.124;206.877;78.072;987.017;256.294;27.632;1010.410;257.951;-62.965;970.301;192.062;-200.396;1018.110;192.793;-201.127;947.396;219.500;-174.225;985.653;-160.385;-39.426;1241.118;-149.517;23.929;1311.296;-156.389;95.471;1250.768;-216.819;16.034;1159.586;-199.957;94.009;993.548;-240.358;38.987;1022.935;-209.412;-35.137;1038.042;-173.056;-176.613;1021.424;-160.872;-173.251;953.586;-192.208;-151.174;986.140;128.464;-122.275;869.714;-137.139;-98.395;871.224;107.167;77.585;938.819;-86.747;90.597;948.273
14.133;32.457;1596.343;94.301;-29.825;1542.492;-53.510;-47.857;1542.492;67.984;79.924;1445.656;-55.460;63.257;1451.553;15.692;106.241;1279.180;29.582;107.557;1114.117;79.973;120.276;1193.943;-41.960;121.690;1176.204;19.932;-73.638;1277.084;11.989;-144.059;1086.435;66.815;-109.799;1204.324;-53.608;-99.905;1213.778;182.364;-49.514;1237.317;178.904;25.780;1305.253;188.992;84.749;1240.192;237.678;55.850;1159.683;207.365;78.755;988.674;256.635;28.120;1011.969;258.390;-62.234;970.496;192.111;-200.786;1015.576;193.427;-199.860;945.008;219.841;-173.787;983.850;-160.044;-38.695;1240.972;-149.566;24.416;1310.955;-156.632;95.909;1250.378;-216.965;15.351;1159.440;-201.809;91.426;992.329;-241.138;35.966;1023.276;-209.558;-35.625;1043.159;-170.668;-175.834;1034.680;-152.831;-175.980;967.767;-186.994;-152.685;996.959;128.513;-122.177;869.714;-137.041;-98.005;871.322;107.411;77.780;938.722;-86.552;90.987;948.176
14.669;33.286;1595.758;94.593;-29.143;1541.809;-52.974;-48.198;1543.808;66.230;79.047;1443.707;-56.922;61.454;1451.407;15.595;105.851;1279.765;30.605;108.142;1114.799;80.607;119.448;1195.357;-41.375;122.080;1176.009;18.665;-73.979;1276.889;11.696;-143.182;1085.948;66.084;-110.237;1204.373;-54.339;-98.882;1212.852;181.925;-51.220;1239.315;177.734;23.734;1307.641;188.943;82.751;1242.775;237.580;55.021;1163.241;208.632;80.022;992.622;257.512;28.705;1015.234;259.316;-60.723;970.496;191.331;-201.565;1008.948;194.986;-196.838;938.673;220.279;-172.715;979.074;-159.556;-37.087;1240.631;-150.297;25.732;1310.370;-157.168;96.933;1248.672;-216.917;13.499;1158.806;-203.515;83.190;988.187;-242.112;29.338;1023.178;-209.168;-36.746;1052.614;-166.282;-174.469;1063.384;-144.302;-182.559;998.567;-181.194;-156.486;1022.301;128.366;-122.128;869.762;-137.187;-97.128;871.419;107.898;77.975;938.624;-85.967;91.864;948.030
14.961;34.163;1595.027;94.691;-28.217;1540.786;-52.584;-49.124;1545.903;63.208;77.878;1441.368;-59.553;58.871;1451.700;15.790;105.510;1280.447;32.555;108.288;1115.968;82.020;118.181;1197.452;-40.060;122.713;1175.571;16.229;-74.369;1276.938;10.624;-142.256;1085.656;64.329;-110.871;1204.811;-55.752;-97.761;1212.268;180.561;-54.339;1242.044;175.882;20.225;1311.052;188.894;79.534;1246.674;237.726;52.926;1168.504;211.166;81.435;998.567;258.828;28.558;1020.108;260.973;-58.579;969.181;189.723;-202.345;994.912;198.641;-191.477;925.709;221.303;-170.911;969.083;-159.508;-34.017;1241.801;-150.979;29.387;1310.029;-157.315;99.954;1245.797;-215.893;10.575;1158.611;-203.320;64.378;981.705;-241.966;15.400;1023.763;-207.608;-41.083;1066.454;-161.554;-171.009;1107.196;-134.848;-190.356;1046.863;-174.420;-161.457;1062.653;127.976;-122.080;869.860;-137.382;-95.519;871.614;108.775;78.170;938.624;-84.993;93.326;947.932
14.279;34.699;1594.345;93.960;-27.340;1539.616;-53.023;-50.245;1547.755;59.066;76.757;1439.224;-63.208;56.239;1452.041;16.472;105.559;1280.934;34.943;108.239;1116.553;83.726;116.378;1199.402;-38.159;123.980;1174.840;12.866;-74.222;1277.230;8.529;-141.720;1085.704;61.454;-111.845;1205.542;-58.335;-96.299;1212.121;178.027;-58.384;1244.725;173.543;15.741;1314.464;188.943;75.051;1250.768;238.214;49.173;1174.206;214.724;82.312;1005.341;260.534;27.291;1025.128;263.507;-55.850;965.379;187.920;-201.858;971.617;204.148;-182.461;905.728;222.911;-167.549;952.465;-158.874;-30.264;1244.335;-151.515;35.186;1309.346;-157.363;103.755;1241.508;-214.090;4.532;1159.829;-201.760;33.773;976.101;-240.748;-6.677;1026.687;-205.415;-49.368;1082.732;-155.219;-159.166;1156.759;-126.856;-192.696;1103.834;-167.354;-161.847;1110.900;127.245;-122.128;870.055;-137.772;-93.278;871.760;109.993;78.121;938.868;-83.628;95.129;948.030
12.232;34.943;1593.517;92.010;-26.560;1538.301;-54.582;-51.512;1548.973;53.998;75.831;1437.323;-67.692;53.559;1452.138;17.154;105.949;1281.178;37.525;108.093;1117.284;85.334;114.818;1200.864;-36.307;125.588;1174.109;8.967;-73.833;1277.425;5.848;-141.232;1085.753;57.799;-112.820;1206.224;-61.015;-95.129;1212.073;174.761;-62.965;1247.113;170.911;11.063;1317.241;188.846;70.177;1254.179;238.945;44.105;1179.274;218.720;81.484;1011.774;262.045;23.782;1029.173;266.528;-53.218;958.898;186.312;-198.203;939.647;211.264;-169.157;880.240;225.007;-161.993;929.706;-157.802;-26.755;1248.380;-151.466;41.473;1308.664;-157.802;107.654;1237.220;-211.605;-4.191;1164.654;-199.762;-5.702;977.417;-238.652;-35.186;1035.508;-201.809;-60.333;1101.104;-146.154;-139.721;1201.546;-118.668;-186.848;1159.683;-159.264;-155.706;1158.319;126.368;-122.616;870.055;-138.357;-90.743;871.809;111.553;77.683;939.209;-81.874;96.981;948.176
