UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12.483;18.090;1596.558;89.085;-49.540;1543.897;-59.683;-56.562;1540.337;73.384;62.608;1447.595;-51.003;55.197;1450.374;15.798;91.328;1276.885;29.451;89.378;1111.783;80.211;104.054;1191.896;-41.836;103.274;1173.465;20.382;-88.841;1276.934;10.874;-164.078;1087.695;65.973;-126.679;1204.769;-53.539;-116.342;1214.667;182.754;-65.924;1236.122;179.828;10.435;1303.508;189.239;69.240;1238.852;240.388;38.569;1157.033;207.524;62.657;986.810;256.040;10.435;1008.119;253.505;-80.259;960.285;190.555;-221.225;999.878;177.975;-212.497;930.834;212.156;-190.409;967.062;-161.592;-56.903;1241.144;-149.011;8.874;1309.750;-156.520;79.089;1248.604;-217.715;-0.780;1158.300;-198.942;76.456;992.369;-240.632;21.601;1019.480;-212.351;-55.245;1028.793;-186.459;-199.381;998.415;-161.153;-188.849;934.783;-197.869;-168.272;965.258;127.557;-136.090;866.958;-137.504;-111.856;869.201;107.126;62.121;940.342;-86.891;75.432;950.094
12.629;18.236;1596.460;89.329;-49.394;1543.897;-59.439;-56.513;1540.337;73.433;62.657;1447.449;-51.003;55.148;1450.326;15.945;91.133;1276.885;29.549;89.134;1111.783;80.308;103.859;1191.896;-41.885;102.982;1173.513;20.626;-89.134;1277.032;11.166;-164.468;1087.793;66.216;-126.972;1204.818;-53.344;-116.683;1214.765;183.046;-66.021;1236.073;179.974;10.288;1303.508;189.385;69.191;1238.999;240.681;38.813;1157.179;207.524;63.681;987.152;255.991;11.312;1008.167;253.212;-79.187;959.895;190.263;-220.153;998.903;177.487;-211.083;929.858;211.815;-189.287;966.136;-161.445;-57.245;1241.193;-148.816;8.484;1309.847;-156.374;78.748;1248.799;-217.861;-0.926;1158.593;-199.381;76.700;992.759;-240.925;21.650;1019.772;-212.400;-55.197;1028.744;-186.118;-199.088;997.781;-161.006;-188.263;934.003;-197.674;-167.882;964.722;127.801;-136.334;866.958;-137.260;-112.246;869.201;107.273;61.828;940.342;-86.745;74.993;950.094
12.775;18.431;1596.411;89.524;-49.199;1543.945;-59.146;-56.513;1540.386;73.482;62.706;1447.351;-50.906;55.002;1450.228;15.993;90.938;1276.934;29.549;88.841;1111.783;80.357;103.713;1191.896;-41.885;102.640;1173.611;20.869;-89.329;1277.080;11.410;-164.761;1087.890;66.411;-127.167;1204.915;-53.149;-117.025;1214.862;183.241;-66.070;1236.024;180.120;10.142;1303.557;189.482;69.093;1239.096;241.022;38.959;1157.520;208.206;64.315;987.493;256.577;11.849;1008.411;253.748;-78.504;959.943;190.458;-219.568;998.513;177.926;-210.206;929.468;212.205;-188.605;965.892;-161.299;-57.586;1241.339;-148.621;8.094;1309.993;-156.325;78.358;1248.994;-217.910;-1.219;1158.885;-199.771;76.700;993.149;-241.168;21.552;1020.114;-212.644;-55.294;1028.842;-186.167;-199.039;997.294;-161.153;-188.068;933.759;-197.820;-167.784;964.478;127.996;-136.480;866.958;-136.968;-112.539;869.152;107.321;61.731;940.391;-86.696;74.701;950.094
12.970;18.480;1596.363;89.768;-49.102;1543.945;-58.854;-56.562;1540.435;73.530;62.657;1447.254;-50.857;54.855;1450.179;16.042;90.792;1276.934;29.549;88.695;1111.832;80.406;103.567;1191.945;-41.934;102.445;1173.611;21.064;-89.524;1277.080;11.605;-164.956;1087.890;66.655;-127.313;1204.915;-52.905;-117.268;1214.911;183.436;-66.070;1236.073;180.169;10.093;1303.606;189.580;69.045;1239.194;241.266;39.057;1157.813;209.133;64.461;987.737;257.454;12.044;1008.753;254.821;-78.309;960.285;191.530;-219.372;998.659;179.145;-210.010;929.615;213.277;-188.410;966.039;-161.153;-57.878;1241.437;-148.426;7.704;1310.091;-156.277;78.016;1249.043;-217.958;-1.512;1159.080;-200.063;76.456;993.393;-241.461;21.308;1020.357;-212.985;-55.587;1028.939;-186.752;-199.381;997.245;-161.494;-188.312;933.759;-198.162;-168.028;964.527;128.191;-136.529;866.958;-136.821;-112.685;869.152;107.419;61.731;940.342;-86.598;74.554;950.045
13.165;18.285;1596.363;90.011;-49.199;1543.897;-58.659;-56.806;1540.483;73.579;62.608;1447.254;-50.759;54.660;1450.228;16.091;90.743;1276.934;29.597;88.646;1111.832;80.454;103.518;1191.945;-41.983;102.348;1173.611;21.211;-89.621;1277.129;11.849;-165.054;1087.890;66.802;-127.362;1204.915;-52.710;-117.463;1214.960;183.582;-66.070;1236.170;180.169;10.142;1303.703;189.629;68.996;1239.194;241.558;39.106;1158.008;209.962;64.266;987.834;258.332;11.946;1009.094;256.138;-78.455;960.772;192.944;-219.616;999.147;180.901;-210.449;930.102;214.887;-188.605;966.672;-161.006;-58.171;1241.485;-148.280;7.460;1310.140;-156.228;77.724;1249.092;-217.958;-1.853;1159.178;-200.307;75.969;993.393;-241.607;20.869;1020.504;-213.326;-56.026;1029.086;-187.434;-199.868;997.440;-161.933;-188.897;934.101;-198.601;-168.516;964.820;128.337;-136.480;866.958;-136.675;-112.783;869.152;107.468;61.731;940.342;-86.549;74.506;950.045
13.263;17.846;1596.411;90.158;-49.443;1543.848;-58.512;-57.245;1540.435;73.628;62.511;1447.400;-50.759;54.416;1450.423;16.042;90.743;1276.934;29.646;88.597;1111.783;80.503;103.518;1191.896;-41.983;102.250;1173.611;21.357;-89.719;1277.129;12.044;-165.054;1087.939;66.997;-127.411;1204.964;-52.564;-117.610;1215.008;183.729;-65.973;1236.365;180.218;10.240;1303.801;189.629;69.045;1239.194;241.607;39.106;1158.154;210.693;63.730;987.786;259.112;11.654;1009.435;257.454;-78.845;961.406;194.700;-220.201;999.878;182.900;-211.230;930.785;216.642;-189.190;967.404;-160.909;-58.366;1241.583;-148.280;7.363;1310.140;-156.277;77.529;1249.043;-218.007;-2.243;1159.227;-200.502;75.335;993.296;-241.802;20.284;1020.553;-213.668;-56.562;1029.281;-188.263;-200.649;997.830;-161.787;-189.677;934.929;-198.942;-169.198;965.063;128.532;-136.382;866.958;-136.529;-112.929;869.152;107.468;61.828;940.391;-86.501;74.408;950.045
13.214;17.359;1596.509;90.207;-49.784;1543.799;-58.415;-57.683;1540.337;73.579;62.413;1447.595;-50.857;54.173;1450.521;15.945;90.840;1276.885;29.597;88.597;1111.734;80.406;103.567;1191.847;-42.178;102.153;1173.513;21.455;-89.719;1277.129;12.288;-165.005;1087.890;67.143;-127.411;1205.013;-52.369;-117.707;1214.960;183.777;-65.729;1236.561;180.120;10.532;1303.947;189.580;69.240;1239.194;241.705;39.106;1158.252;211.425;63.047;987.737;259.843;11.117;1009.728;258.673;-79.479;961.894;196.211;-221.079;1000.463;184.704;-212.156;931.321;218.153;-189.921;968.038;-160.860;-58.707;1241.632;-148.280;7.119;1310.091;-156.374;77.236;1248.946;-218.007;-2.779;1159.227;-200.649;74.603;993.100;-241.900;19.602;1020.553;-214.204;-57.245;1029.524;-190.116;-201.770;997.976;-160.080;-190.506;936.587;-198.893;-170.027;965.307;128.776;-136.236;866.958;-136.334;-113.075;869.103;107.468;61.974;940.391;-86.549;74.311;950.045
13.117;16.969;1596.509;90.207;-49.931;1543.653;-58.464;-58.073;1540.239;73.335;62.316;1447.644;-50.954;53.929;1450.618;15.701;90.987;1276.934;29.549;88.792;1111.783;80.259;103.713;1191.896;-42.812;102.006;1173.562;21.357;-89.524;1276.983;12.531;-164.712;1087.793;67.240;-127.167;1204.915;-52.417;-117.366;1214.618;183.729;-65.583;1236.951;179.925;10.776;1304.289;189.434;69.337;1239.340;241.753;39.008;1158.690;212.692;62.121;988.029;261.014;10.191;1010.508;259.795;-80.796;962.723;195.090;-222.152;1000.366;186.069;-212.887;931.224;218.251;-190.799;968.623;-160.909;-59.195;1242.461;-148.524;6.680;1310.920;-156.813;76.651;1249.384;-218.056;-3.950;1159.909;-200.649;72.409;993.247;-241.412;17.115;1020.845;-215.228;-59.731;1030.402;-193.676;-204.744;996.806;-152.230;-192.652;942.975;-196.455;-172.319;964.917;129.020;-136.090;867.006;-136.139;-113.124;869.103;107.419;62.169;940.342;-86.598;74.311;949.996
12.873;16.871;1596.509;90.011;-50.028;1543.701;-58.610;-58.073;1539.996;73.384;62.364;1447.790;-50.857;53.978;1450.569;15.408;91.279;1277.324;29.354;89.378;1112.271;80.259;103.567;1192.042;-43.689;102.299;1174.196;21.601;-88.744;1276.934;13.019;-163.639;1087.647;67.679;-125.899;1204.964;-52.173;-116.537;1214.375;183.582;-66.119;1238.657;179.828;11.166;1305.703;189.434;69.045;1240.266;242.582;37.497;1160.397;218.446;59.146;989.980;264.866;5.705;1013.677;259.648;-86.159;966.039;179.828;-223.615;1000.024;185.777;-214.545;930.492;211.473;-193.481;971.500;-160.129;-60.365;1244.216;-148.573;5.851;1312.285;-157.691;75.140;1250.262;-217.958;-7.997;1161.226;-200.990;63.827;992.028;-241.120;8.387;1020.016;-219.031;-68.118;1030.451;-195.090;-213.180;992.857;-135.846;-200.697;961.943;-186.313;-180.315;964.917;129.020;-135.749;867.104;-135.992;-112.685;869.249;107.565;62.559;940.293;-86.501;74.896;949.948
