UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18.780;23.951;1597.010;96.194;-42.244;1543.986;-52.536;-51.121;1540.718;78.487;69.902;1447.841;-45.853;60.829;1451.158;21.902;98.292;1276.672;35.609;97.316;1111.454;85.853;111.755;1191.502;-35.805;110.536;1173.014;26.878;-81.658;1276.818;17.756;-155.169;1086.527;72.634;-119.121;1204.575;-46.634;-109.706;1214.428;188.096;-58.975;1238.330;185.657;18.097;1304.574;195.218;76.048;1238.574;246.095;39.951;1155.307;209.071;53.707;980.967;258.046;3.171;1007.357;247.851;-92.292;984.235;170.486;-210.583;1059.747;169.364;-223.559;990.235;199.754;-193.754;1021.649;-154.682;-51.268;1242.428;-141.999;15.951;1308.915;-149.218;85.219;1247.452;-210.242;1.024;1157.697;-189.852;73.999;989.162;-231.217;20.390;1018.771;-201.267;-50.585;1038.722;-165.218;-194.242;1031.796;-154.779;-196.340;964.040;-185.267;-171.413;995.698;133.072;-132.535;867.602;-131.755;-104.145;869.114;114.682;67.560;938.528;-79.121;83.072;948.138
18.975;24.146;1597.010;96.389;-41.951;1543.889;-52.292;-51.024;1540.718;78.487;70.194;1447.792;-45.804;60.975;1451.158;21.902;98.487;1276.623;35.707;97.560;1111.405;85.902;111.999;1191.453;-35.707;110.731;1172.916;27.024;-81.463;1276.769;18.000;-154.925;1086.478;72.829;-118.877;1204.526;-46.487;-109.462;1214.331;188.340;-58.682;1238.184;185.706;18.439;1304.476;195.218;76.438;1238.526;246.144;40.585;1155.307;209.071;54.585;980.967;258.193;4.146;1007.308;248.242;-91.365;984.040;171.316;-209.998;1059.552;169.950;-222.730;989.991;200.388;-192.974;1021.357;-154.584;-51.073;1242.233;-141.901;16.097;1308.769;-149.169;85.365;1247.306;-210.144;1.220;1157.453;-189.706;74.292;988.967;-231.071;20.634;1018.576;-201.023;-50.292;1038.527;-164.828;-193.901;1031.747;-154.389;-195.998;963.943;-184.876;-171.120;995.650;133.365;-132.487;867.651;-131.511;-104.145;869.114;114.828;67.658;938.431;-78.926;83.072;947.992
19.122;24.195;1596.961;96.585;-41.707;1543.791;-52.048;-50.975;1540.669;78.487;70.438;1447.792;-45.756;61.073;1451.207;21.951;98.682;1276.525;35.805;97.804;1111.356;85.950;112.243;1191.404;-35.609;110.877;1172.868;27.122;-81.219;1276.672;18.244;-154.682;1086.429;73.024;-118.584;1204.428;-46.341;-109.267;1214.233;188.486;-58.341;1238.038;185.803;18.732;1304.379;195.218;76.780;1238.477;246.193;41.219;1155.258;209.315;55.463;981.016;258.534;5.122;1007.259;248.778;-90.389;983.942;171.901;-209.266;1059.308;170.633;-221.803;989.747;201.023;-192.096;1021.162;-154.438;-50.878;1242.087;-141.852;16.293;1308.623;-149.072;85.609;1247.208;-209.998;1.463;1157.307;-189.657;74.682;988.918;-230.974;20.975;1018.479;-200.779;-49.853;1038.430;-164.242;-193.462;1031.747;-153.852;-195.510;963.943;-184.389;-170.681;995.650;133.657;-132.389;867.651;-131.267;-104.194;869.065;114.975;67.804;938.333;-78.780;83.121;947.894
19.171;24.244;1596.913;96.682;-41.609;1543.742;-51.902;-50.975;1540.620;78.536;70.585;1447.743;-45.707;61.121;1451.158;22.049;98.828;1276.476;35.805;97.999;1111.307;85.999;112.438;1191.306;-35.512;111.072;1172.819;27.317;-81.024;1276.672;18.439;-154.389;1086.381;73.219;-118.340;1204.380;-46.146;-109.072;1214.184;188.584;-57.999;1237.794;185.901;19.024;1304.184;195.218;77.121;1238.330;246.290;41.853;1155.258;210.193;56.341;980.967;259.364;6.000;1007.406;249.705;-89.511;984.089;172.437;-208.340;1059.405;171.511;-220.779;989.845;201.803;-191.120;1021.357;-154.243;-50.780;1241.989;-141.706;16.439;1308.476;-148.974;85.853;1247.257;-209.803;1.805;1157.307;-189.950;75.316;989.016;-231.071;21.512;1018.625;-200.632;-49.219;1038.625;-163.511;-192.681;1032.235;-153.267;-194.681;964.382;-183.852;-169.998;996.089;133.901;-132.292;867.651;-131.072;-104.194;869.065;115.072;67.999;938.236;-78.731;83.121;947.845
19.219;24.244;1596.913;96.780;-41.561;1543.694;-51.804;-50.975;1540.572;78.633;70.682;1447.792;-45.658;61.170;1451.158;22.097;98.828;1276.525;35.853;98.145;1111.405;86.048;112.536;1191.355;-35.463;111.219;1173.063;27.512;-80.975;1276.672;18.683;-154.243;1086.332;73.463;-118.194;1204.331;-45.951;-109.023;1214.184;188.730;-57.658;1237.648;185.998;19.317;1304.135;195.120;77.463;1238.330;246.437;42.487;1155.502;211.998;57.170;981.113;261.120;6.976;1007.991;251.510;-88.585;984.967;173.364;-207.315;1060.137;173.169;-219.608;990.528;203.266;-190.047;1022.284;-153.999;-50.975;1241.989;-141.462;16.390;1308.476;-148.730;86.097;1247.550;-209.608;2.146;1157.697;-191.559;76.390;989.747;-232.388;22.390;1019.698;-201.315;-47.951;1039.747;-163.218;-191.413;1033.942;-153.316;-193.169;965.943;-183.950;-168.779;997.747;134.096;-132.194;867.651;-130.926;-104.243;869.065;115.170;68.097;938.187;-78.633;83.121;947.845
19.268;24.146;1596.913;96.926;-41.512;1543.645;-51.658;-51.121;1540.523;78.585;70.731;1447.841;-45.658;61.073;1451.158;22.195;98.584;1276.915;35.853;98.145;1111.844;86.048;112.487;1191.745;-35.268;111.462;1173.697;27.805;-81.219;1276.818;18.927;-154.194;1086.381;73.755;-118.243;1204.428;-45.658;-109.121;1214.282;188.779;-57.512;1237.794;185.901;19.512;1304.281;194.828;77.804;1238.526;246.486;43.073;1156.526;215.510;58.146;981.894;264.339;8.000;1009.796;254.925;-87.658;987.308;174.633;-206.291;1061.991;176.681;-218.047;992.186;205.949;-188.730;1024.674;-153.657;-51.073;1242.379;-140.926;16.341;1308.866;-148.243;86.585;1248.330;-210.096;2.878;1159.112;-196.096;78.243;991.747;-236.291;24.049;1022.674;-203.754;-45.756;1042.820;-162.925;-189.267;1038.381;-155.364;-190.291;969.796;-185.364;-166.535;1002.235;134.291;-132.145;867.602;-130.731;-104.292;869.065;115.267;68.146;938.236;-78.536;83.024;947.894
19.268;24.000;1596.961;97.024;-41.512;1543.645;-51.512;-51.317;1540.474;78.633;70.780;1447.938;-45.609;60.975;1451.207;22.536;98.633;1277.989;36.048;98.243;1113.161;86.243;112.536;1192.965;-34.878;111.560;1175.014;28.000;-81.999;1277.257;19.122;-154.389;1086.527;73.853;-118.779;1204.721;-45.463;-109.511;1214.575;188.632;-57.317;1238.818;185.364;19.610;1305.501;194.389;78.341;1239.794;246.193;44.195;1159.453;223.754;59.707;984.772;271.559;9.561;1014.918;262.046;-86.389;993.552;175.998;-205.169;1066.527;182.974;-214.291;996.479;210.632;-186.242;1030.771;-153.364;-50.585;1243.599;-139.852;16.439;1310.379;-147.706;87.121;1249.940;-212.388;4.390;1163.160;-206.730;81.511;996.577;-245.120;26.878;1029.552;-209.949;-41.512;1050.283;-163.169;-185.462;1047.893;-160.486;-184.291;978.479;-189.315;-162.389;1012.430;134.535;-132.340;867.553;-130.487;-104.584;869.017;115.414;67.902;938.284;-78.390;82.682;947.992
19.610;23.951;1597.059;97.170;-41.658;1543.596;-51.365;-51.268;1540.620;78.877;70.634;1448.036;-45.365;60.975;1451.402;22.439;98.828;1278.818;36.097;97.902;1114.185;86.389;112.487;1193.843;-35.122;111.121;1176.038;28.000;-82.585;1278.037;19.122;-154.682;1087.161;73.804;-118.877;1205.501;-45.512;-109.804;1215.501;188.828;-56.390;1240.574;184.193;19.951;1307.549;194.145;78.585;1241.257;247.510;46.292;1164.624;240.388;61.560;990.479;285.949;11.317;1023.942;274.680;-85.072;1003.942;177.364;-203.071;1072.332;192.681;-207.657;1002.625;217.705;-182.681;1040.040;-153.706;-49.756;1245.745;-138.682;16.585;1312.720;-147.462;87.170;1252.038;-217.803;6.829;1170.526;-224.339;85.999;1005.015;-259.998;30.975;1040.771;-220.974;-34.829;1062.088;-164.730;-179.218;1061.356;-170.145;-175.023;991.747;-196.535;-155.755;1027.991;134.682;-132.877;867.553;-130.292;-105.072;869.065;115.560;67.219;938.577;-78.194;82.097;948.235
20.195;23.853;1597.010;97.365;-41.951;1543.157;-51.170;-51.121;1540.718;79.170;70.487;1447.792;-45.122;61.170;1451.548;22.097;99.316;1278.769;35.707;97.170;1114.283;86.292;112.340;1193.745;-36.000;110.633;1176.233;27.853;-82.780;1278.672;19.024;-155.023;1087.795;73.609;-118.731;1206.136;-45.609;-109.804;1216.233;188.632;-55.121;1242.233;182.633;20.634;1309.257;194.096;78.438;1241.843;251.900;47.658;1172.087;266.046;63.219;999.552;306.290;11.073;1036.966;291.705;-84.780;1016.235;180.194;-199.901;1073.210;205.120;-200.291;1004.772;226.730;-179.754;1046.332;-154.340;-48.780;1248.038;-137.511;16.780;1315.159;-147.804;86.926;1253.794;-225.022;8.585;1179.941;-247.998;90.341;1017.259;-278.876;34.048;1055.698;-234.144;-28.439;1076.137;-166.681;-171.267;1072.332;-182.876;-164.486;1003.845;-205.266;-148.486;1043.357;134.779;-133.511;867.602;-130.145;-105.755;869.065;115.609;66.438;938.772;-78.146;81.316;948.382
