UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
8.830;19.318;1597.380;85.955;-45.612;1542.402;-62.734;-53.612;1538.548;69.320;69.466;1449.716;-55.173;61.076;1452.447;12.440;97.760;1275.221;24.928;95.467;1109.410;76.003;109.614;1189.120;-45.758;110.590;1172.436;15.220;-82.198;1276.099;4.147;-155.909;1086.043;60.246;-120.297;1203.413;-59.271;-109.321;1214.145;176.397;-60.880;1233.122;175.665;15.659;1300.588;185.129;73.369;1234.390;235.765;42.197;1153.850;200.252;65.320;983.161;249.620;12.830;1004.820;247.132;-77.759;957.501;179.958;-215.228;998.478;173.226;-210.691;928.134;205.228;-188.495;963.794;-165.909;-47.709;1241.512;-152.689;18.049;1310.100;-159.811;88.247;1248.927;-221.277;7.220;1158.192;-201.715;85.125;993.259;-242.156;29.172;1018.772;-214.496;-47.660;1025.796;-181.178;-191.861;991.698;-167.324;-176.934;925.841;-199.130;-159.226;959.257;120.688;-136.249;867.156;-144.396;-105.516;868.083;104.150;63.759;937.500;-89.516;80.930;947.647
9.025;19.415;1597.331;86.150;-45.514;1542.353;-62.539;-53.514;1538.500;69.515;69.612;1449.667;-54.978;61.222;1452.399;12.537;97.906;1275.123;24.977;95.467;1109.263;76.101;109.712;1188.974;-45.660;110.639;1172.339;15.366;-82.052;1276.050;4.293;-155.860;1086.043;60.393;-120.151;1203.413;-59.075;-109.224;1214.145;176.544;-60.637;1233.073;175.812;15.903;1300.490;185.227;73.564;1234.244;235.814;42.392;1153.704;200.203;65.320;983.014;249.668;12.976;1004.722;247.327;-77.613;957.452;180.446;-215.228;998.527;173.763;-210.789;928.232;205.667;-188.446;963.892;-165.714;-47.660;1241.512;-152.543;18.147;1310.052;-159.714;88.296;1248.830;-221.179;7.269;1158.143;-201.618;85.028;993.161;-242.058;29.123;1018.772;-214.399;-47.709;1025.845;-181.032;-191.910;991.893;-167.226;-177.031;926.085;-198.935;-159.323;959.355;120.834;-136.298;867.156;-144.250;-105.663;868.083;104.199;63.710;937.452;-89.467;80.784;947.598
9.171;19.464;1597.331;86.296;-45.416;1542.305;-62.344;-53.417;1538.451;69.612;69.710;1449.716;-54.831;61.319;1452.399;12.635;98.053;1274.977;25.025;95.565;1109.117;76.149;109.858;1188.779;-45.563;110.687;1172.192;15.562;-81.857;1276.001;4.488;-155.811;1086.092;60.637;-119.956;1203.364;-58.880;-109.126;1214.145;176.739;-60.393;1232.975;175.958;16.196;1300.344;185.324;73.808;1234.049;235.863;42.636;1153.509;200.105;65.368;982.770;249.668;13.171;1004.527;247.571;-77.466;957.355;181.080;-215.228;998.576;174.397;-210.838;928.280;206.203;-188.398;963.892;-165.519;-47.563;1241.464;-152.396;18.245;1309.954;-159.616;88.394;1248.732;-221.033;7.269;1158.094;-201.618;84.930;993.063;-241.961;29.026;1018.723;-214.252;-47.709;1025.894;-180.788;-191.959;992.234;-166.982;-177.178;926.329;-198.740;-159.421;959.648;121.029;-136.298;867.156;-144.103;-105.809;868.034;104.297;63.710;937.403;-89.369;80.686;947.549
9.366;19.513;1597.282;86.540;-45.270;1542.207;-62.100;-53.368;1538.402;69.710;69.905;1449.667;-54.734;61.368;1452.447;12.732;98.248;1274.879;25.123;95.662;1109.019;76.247;110.004;1188.681;-45.465;110.736;1172.095;15.757;-81.613;1275.953;4.732;-155.713;1086.092;60.832;-119.761;1203.364;-58.734;-108.931;1214.145;176.885;-60.100;1232.878;176.104;16.488;1300.198;185.422;74.100;1233.902;235.863;42.880;1153.314;199.715;65.515;982.624;249.473;13.464;1004.332;247.766;-77.125;957.208;181.958;-215.228;998.527;175.275;-210.886;928.280;207.033;-188.300;963.892;-165.372;-47.514;1241.366;-152.299;18.391;1309.905;-159.470;88.443;1248.586;-220.838;7.317;1157.948;-201.618;84.930;992.966;-241.912;29.026;1018.821;-214.106;-47.514;1026.187;-180.641;-191.959;993.210;-166.787;-177.422;927.256;-198.593;-159.518;960.526;121.224;-136.298;867.156;-143.908;-105.955;868.083;104.394;63.710;937.354;-89.272;80.589;947.501
9.610;19.659;1597.185;86.735;-45.075;1542.109;-61.856;-53.319;1538.451;69.759;70.003;1449.520;-54.685;61.417;1452.399;12.732;98.394;1274.782;25.221;95.809;1108.922;76.296;110.151;1188.583;-45.612;110.785;1171.949;15.757;-81.369;1275.806;4.878;-155.567;1086.043;60.880;-119.566;1203.316;-58.734;-108.492;1213.901;176.983;-59.954;1232.927;176.056;16.684;1300.198;185.373;74.296;1233.951;235.814;43.172;1153.216;199.276;65.612;982.575;249.278;13.805;1004.283;248.156;-76.735;957.160;183.276;-215.326;998.430;176.544;-210.935;928.183;208.155;-188.154;963.794;-165.421;-47.563;1241.464;-152.396;18.391;1309.954;-159.518;88.394;1248.586;-220.692;7.220;1157.948;-201.569;84.881;992.966;-241.668;28.830;1019.162;-214.008;-47.368;1027.699;-179.861;-191.812;996.576;-164.836;-177.909;930.573;-197.178;-159.665;963.111;121.371;-136.347;867.156;-143.713;-106.004;868.083;104.492;63.710;937.305;-89.174;80.540;947.452
10.049;20.001;1597.087;86.784;-45.221;1541.963;-61.856;-52.880;1538.744;70.003;69.710;1449.130;-54.441;61.515;1452.350;12.635;98.443;1274.928;25.269;96.199;1109.068;76.296;110.151;1188.730;-46.051;110.834;1172.095;15.464;-81.223;1275.709;4.878;-155.128;1085.896;60.734;-119.468;1203.316;-58.929;-107.858;1213.511;176.885;-60.051;1233.317;175.812;16.586;1300.539;185.227;74.247;1234.341;235.619;43.172;1153.655;199.032;65.612;983.014;249.229;14.049;1004.722;248.839;-76.296;957.257;184.739;-215.765;998.039;178.348;-210.886;927.793;209.667;-188.105;963.550;-165.470;-47.514;1241.951;-152.591;18.245;1310.393;-159.811;88.052;1248.927;-220.887;6.439;1158.387;-202.154;83.418;992.771;-241.424;26.879;1020.089;-213.033;-47.417;1032.675;-174.885;-191.666;1009.210;-160.250;-180.934;942.427;-192.886;-161.519;973.551;121.419;-136.444;867.156;-143.615;-105.711;868.132;104.736;63.710;937.256;-88.930;80.832;947.354
10.878;20.684;1596.843;86.540;-45.904;1541.866;-62.198;-51.904;1539.670;70.491;68.344;1448.057;-54.051;61.612;1452.155;12.635;98.345;1275.318;25.660;96.492;1109.507;76.588;109.663;1189.364;-46.002;111.273;1172.290;14.879;-81.271;1275.758;4.586;-154.396;1085.604;60.295;-119.614;1203.413;-59.319;-107.077;1213.170;176.641;-60.978;1234.097;175.373;15.659;1301.368;185.080;73.271;1235.268;234.985;42.685;1154.924;199.374;65.417;984.088;249.620;14.001;1005.942;250.010;-76.052;957.745;185.959;-217.082;996.917;180.885;-210.594;926.719;211.423;-188.203;963.111;-164.885;-46.343;1242.439;-152.738;19.123;1310.783;-160.250;88.540;1248.439;-221.521;4.537;1159.168;-206.106;76.393;990.478;-243.961;20.342;1021.601;-211.618;-49.124;1043.163;-164.397;-191.373;1038.431;-150.494;-188.983;970.770;-184.349;-167.324;998.869;121.176;-136.493;867.205;-143.762;-104.736;868.229;105.224;63.759;937.208;-88.394;81.711;947.257
11.513;21.172;1596.648;85.564;-47.270;1541.817;-63.222;-50.587;1540.646;70.978;66.295;1447.033;-53.612;61.905;1452.008;13.366;98.638;1275.562;26.733;96.687;1109.897;77.564;108.834;1189.998;-45.173;112.102;1172.241;13.903;-81.076;1276.099;3.464;-153.469;1085.701;59.173;-119.712;1203.755;-60.246;-106.004;1213.414;176.104;-62.588;1235.414;174.885;14.049;1302.783;185.422;71.515;1236.585;234.351;41.416;1156.875;200.398;64.832;985.941;250.351;13.220;1007.991;251.668;-76.101;957.891;186.690;-219.570;992.917;184.641;-209.862;922.768;213.618;-188.690;960.721;-163.860;-44.099;1245.269;-152.250;22.245;1312.003;-160.397;90.247;1247.171;-221.423;0.000;1161.607;-212.203;57.417;986.478;-246.985;3.610;1024.821;-209.179;-56.685;1059.456;-149.957;-190.251;1082.677;-133.956;-200.740;1016.772;-170.934;-177.031;1038.773;120.493;-136.640;867.302;-144.250;-103.028;868.424;106.053;63.710;937.256;-87.418;83.174;947.257
11.561;20.830;1596.795;83.808;-49.465;1541.817;-65.076;-49.173;1541.085;71.661;64.393;1446.984;-52.978;62.929;1452.301;14.196;99.858;1275.465;28.001;96.979;1110.092;78.832;108.541;1190.340;-44.148;113.370;1171.851;12.586;-80.101;1276.782;1.610;-152.591;1086.335;57.514;-119.371;1204.438;-61.417;-104.882;1214.389;175.031;-63.856;1236.927;174.348;13.025;1304.100;186.007;69.905;1237.561;234.692;39.465;1158.826;202.252;63.368;988.136;251.425;10.976;1010.040;253.815;-76.686;956.330;186.983;-222.838;982.868;189.422;-208.594;913.597;216.106;-189.568;953.794;-161.665;-41.953;1250.586;-151.421;27.025;1313.466;-160.787;91.613;1244.098;-219.814;-9.220;1165.948;-216.057;23.416;983.551;-247.571;-24.635;1031.504;-204.545;-70.442;1079.750;-133.713;-184.739;1135.362;-114.687;-210.399;1074.969;-154.591;-185.715;1089.897;119.273;-136.932;867.449;-145.079;-100.541;868.668;107.126;63.368;937.598;-86.101;85.028;947.501
