UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
11.726;21.595;1596.768;89.312;-43.825;1542.976;-59.460;-51.985;1538.285;73.042;70.257;1448.973;-51.496;61.903;1451.074;15.488;97.129;1272.939;29.315;93.953;1107.458;79.198;109.686;1187.389;-41.187;107.976;1169.507;20.716;-81.983;1275.186;11.579;-155.856;1085.179;66.153;-119.359;1202.877;-52.962;-109.050;1212.746;182.142;-57.603;1232.338;179.552;18.615;1300.006;188.591;77.586;1234.977;237.644;47.783;1152.114;192.597;69.427;981.258;248.490;25.162;1002.267;264.711;-59.216;945.885;254.500;-209.648;979.402;210.088;-206.473;923.802;251.471;-176.230;944.175;-162.159;-51.447;1239.569;-148.967;15.634;1306.700;-156.296;84.328;1243.673;-217.759;3.664;1155.094;-191.425;71.235;984.581;-240.771;26.969;1017.022;-231.097;-46.659;1035.344;-233.589;-202.466;1025.621;-219.371;-193.379;956.488;-246.634;-169.390;988.343;128.007;-137.095;866.883;-137.876;-109.246;868.055;108.562;63.026;936.944;-85.012;77.830;947.400
11.579;21.351;1596.817;89.019;-44.216;1542.927;-59.704;-51.887;1538.139;73.140;70.111;1449.120;-51.398;62.049;1451.123;15.586;97.129;1272.988;29.363;94.002;1107.458;79.296;109.637;1187.438;-41.285;108.024;1169.507;20.569;-81.983;1275.186;11.335;-155.905;1085.228;65.958;-119.457;1202.926;-53.157;-108.953;1212.795;181.995;-57.701;1232.241;179.503;18.468;1300.006;188.591;77.439;1235.025;237.644;47.685;1152.163;192.646;69.720;981.405;248.393;25.259;1002.218;264.320;-59.118;945.641;253.572;-209.453;978.864;209.209;-206.131;923.264;250.591;-176.083;943.736;-162.159;-51.203;1239.276;-148.967;15.683;1306.700;-156.247;84.524;1243.918;-218.247;4.202;1155.338;-193.525;73.971;985.558;-241.846;28.044;1016.827;-232.416;-47.001;1032.364;-238.572;-200.854;1014.384;-208.085;-192.353;951.309;-242.676;-167.973;977.448;127.812;-137.144;866.883;-137.974;-109.099;868.055;108.611;62.929;936.993;-84.964;77.928;947.351
11.530;21.204;1596.817;88.774;-44.363;1542.829;-59.851;-51.838;1538.090;73.042;70.013;1449.120;-51.496;62.147;1451.172;15.537;97.178;1272.988;29.266;94.051;1107.458;79.198;109.637;1187.487;-41.382;108.024;1169.507;20.325;-81.983;1275.186;11.140;-155.905;1085.228;65.714;-119.555;1202.926;-53.450;-108.855;1212.746;181.800;-57.896;1232.338;179.357;18.322;1300.006;188.542;77.293;1235.074;237.400;47.490;1152.065;192.109;69.671;981.405;247.757;25.064;1002.072;263.294;-59.362;945.299;252.252;-209.502;978.425;207.645;-206.326;923.069;249.174;-176.230;943.345;-162.208;-50.812;1238.934;-149.065;15.830;1306.651;-156.345;84.817;1244.113;-218.443;4.886;1155.241;-194.747;76.755;986.340;-242.188;29.217;1016.485;-232.270;-46.610;1029.921;-239.354;-198.411;1003.684;-195.284;-190.692;950.087;-235.934;-165.872;969.337;127.763;-137.095;866.883;-137.974;-109.050;868.104;108.562;62.929;936.993;-85.012;77.928;947.351
11.237;21.204;1596.817;88.530;-44.314;1542.878;-60.095;-51.838;1538.090;72.749;70.111;1449.218;-51.789;62.196;1451.221;15.488;97.276;1273.086;29.217;94.149;1107.556;79.150;109.686;1187.585;-41.480;108.122;1169.654;20.129;-81.886;1275.284;10.944;-155.905;1085.374;65.469;-119.604;1203.072;-53.646;-108.757;1212.893;181.555;-58.043;1232.485;179.259;18.273;1300.006;188.493;77.195;1235.123;237.107;47.148;1151.967;191.278;69.378;981.405;246.927;24.673;1001.925;262.073;-59.851;945.055;250.836;-209.697;978.278;205.984;-206.815;923.167;247.562;-176.621;943.198;-162.403;-50.421;1238.836;-149.211;16.025;1306.749;-156.345;85.208;1244.455;-218.150;5.716;1155.094;-193.819;78.905;986.828;-241.064;30.390;1015.557;-231.586;-46.073;1027.331;-237.009;-196.164;994.987;-184.731;-188.982;950.429;-228.850;-164.015;963.181;127.763;-136.997;866.980;-137.974;-109.099;868.104;108.464;63.075;937.042;-85.159;77.928;947.351
10.846;21.351;1596.817;88.188;-44.167;1542.927;-60.437;-51.740;1537.992;72.505;70.306;1449.315;-52.033;62.342;1451.172;15.390;97.373;1273.232;29.168;94.247;1107.702;79.150;109.832;1187.731;-41.431;108.318;1169.752;19.885;-81.788;1275.382;10.798;-155.905;1085.472;65.274;-119.604;1203.219;-53.841;-108.757;1212.991;181.360;-58.092;1232.631;179.161;18.273;1300.153;188.444;77.146;1235.270;236.960;46.855;1151.870;190.692;69.085;981.405;246.243;24.233;1001.779;260.949;-60.388;944.957;249.419;-210.088;978.474;204.372;-207.352;923.606;246.096;-177.158;943.345;-162.598;-50.275;1238.592;-149.505;16.172;1306.504;-156.394;85.501;1244.602;-217.270;6.156;1154.215;-190.447;80.322;986.486;-238.181;31.611;1014.140;-229.534;-44.949;1025.426;-235.054;-194.307;990.883;-179.503;-187.711;950.576;-224.697;-162.452;960.250;127.665;-136.899;867.029;-138.072;-109.050;868.104;108.366;63.173;937.091;-85.257;78.026;947.351
10.504;21.595;1596.817;87.895;-43.923;1542.976;-60.730;-51.447;1537.943;72.261;70.502;1449.267;-52.278;62.587;1451.123;15.341;97.618;1273.232;29.266;94.393;1107.751;79.150;109.979;1187.780;-41.285;108.611;1169.752;19.641;-81.592;1275.528;10.651;-155.954;1085.619;65.078;-119.506;1203.366;-53.988;-108.660;1213.088;181.213;-58.043;1232.973;178.966;18.371;1300.348;188.444;77.244;1235.465;236.911;46.708;1152.016;190.447;68.792;981.503;245.950;23.843;1001.876;260.314;-60.974;945.250;248.295;-210.674;979.206;203.297;-207.792;924.290;245.168;-177.744;943.980;-162.745;-49.835;1238.250;-149.798;16.612;1306.211;-156.394;86.038;1244.406;-216.440;6.840;1153.286;-187.418;80.957;985.900;-235.738;32.490;1012.967;-227.482;-44.167;1024.351;-232.905;-193.379;989.467;-176.328;-187.174;950.576;-221.863;-161.719;959.175;127.519;-136.850;867.078;-138.170;-108.904;868.153;108.318;63.222;937.091;-85.257;78.123;947.351
10.211;21.839;1596.817;87.602;-43.679;1542.927;-61.023;-51.105;1537.846;72.114;70.844;1449.364;-52.424;63.026;1451.123;15.390;97.911;1273.232;29.461;94.540;1107.751;79.345;110.125;1187.878;-41.040;109.002;1169.703;19.397;-81.299;1275.675;10.456;-155.807;1085.863;64.785;-119.359;1203.561;-54.183;-108.318;1213.235;181.067;-58.092;1233.267;178.917;18.419;1300.592;188.542;77.195;1235.661;237.058;46.464;1152.260;190.838;68.547;981.698;246.194;23.452;1002.170;260.216;-61.561;945.641;247.415;-211.114;979.890;202.564;-208.183;924.877;244.484;-178.233;944.615;-162.892;-49.346;1238.250;-149.944;17.247;1306.016;-156.345;86.625;1244.211;-216.049;7.182;1152.847;-186.392;80.908;985.362;-234.615;32.295;1012.137;-226.114;-44.363;1023.667;-230.511;-193.574;988.880;-173.298;-187.320;950.918;-219.176;-161.963;958.735;127.323;-136.850;867.078;-138.316;-108.660;868.202;108.415;63.222;937.091;-85.159;78.319;947.400
10.065;22.181;1596.719;87.358;-43.435;1542.878;-61.268;-50.617;1537.699;72.065;71.137;1449.315;-52.473;63.515;1451.025;15.390;98.302;1273.232;29.657;94.784;1107.800;79.492;110.321;1187.927;-41.040;109.392;1169.605;19.201;-80.957;1275.773;10.309;-155.514;1085.961;64.639;-119.213;1203.756;-54.330;-107.927;1213.333;180.969;-58.141;1233.657;178.770;18.468;1300.837;188.640;77.146;1235.954;237.351;46.122;1152.651;191.571;68.303;981.942;246.683;22.963;1002.512;260.509;-62.098;946.081;247.122;-211.603;980.477;202.369;-208.476;925.365;244.386;-178.722;945.104;-162.940;-49.102;1238.348;-150.091;17.735;1305.869;-156.442;86.967;1244.064;-216.147;6.938;1152.749;-187.027;80.273;985.020;-234.859;31.269;1011.990;-225.674;-45.242;1023.716;-228.801;-194.551;989.369;-171.393;-188.053;951.651;-217.515;-162.989;959.175;127.225;-136.850;867.176;-138.365;-108.366;868.299;108.611;63.271;937.042;-84.964;78.661;947.351
10.651;22.523;1596.426;87.797;-43.337;1542.634;-60.877;-50.323;1537.748;72.505;71.039;1448.827;-52.082;63.564;1450.781;15.292;98.399;1273.476;29.803;95.126;1108.044;79.589;110.467;1188.269;-41.138;109.930;1169.752;19.006;-80.908;1275.773;10.260;-154.732;1085.716;64.492;-119.115;1203.708;-54.476;-107.585;1213.137;180.920;-58.385;1234.146;178.575;18.322;1301.276;188.591;77.000;1236.491;237.497;45.780;1153.238;192.402;68.059;982.431;247.367;22.621;1003.196;261.291;-62.489;946.765;247.367;-212.140;981.258;203.150;-208.671;925.756;245.021;-179.112;945.837;-162.940;-49.297;1238.397;-150.140;17.735;1305.625;-156.638;87.016;1243.918;-217.026;6.156;1153.189;-191.327;78.661;985.069;-238.279;29.217;1013.065;-227.726;-47.197;1024.937;-228.410;-196.799;991.616;-171.393;-189.275;953.458;-218.003;-165.139;961.129;127.225;-136.655;867.518;-138.512;-107.927;868.348;108.855;63.662;936.944;-84.719;79.101;947.205
