UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12.149;41.424;1595.592;90.070;-24.542;1542.994;-58.501;-34.545;1539.481;71.919;86.801;1446.094;-52.354;76.896;1449.216;15.369;111.880;1275.078;29.665;108.123;1108.795;79.872;124.322;1189.546;-41.815;122.272;1171.005;20.005;-68.211;1277.615;11.369;-144.229;1088.596;65.479;-106.171;1205.794;-53.817;-96.559;1215.650;182.530;-43.474;1235.508;178.286;33.081;1302.499;188.190;91.534;1238.094;239.812;61.868;1155.733;204.340;84.361;984.230;256.011;34.447;1007.162;257.084;-56.940;961.639;198.241;-196.095;1009.114;187.849;-193.509;939.585;219.661;-167.551;971.349;-163.160;-37.521;1244.193;-147.986;30.690;1309.720;-155.597;99.194;1248.291;-218.295;17.321;1159.051;-193.216;89.582;991.305;-238.543;38.350;1018.530;-218.783;-38.302;1029.801;-201.657;-185.848;1003.990;-181.847;-178.920;938.707;-213.904;-155.158;968.421;127.591;-125.005;869.862;-137.983;-99.340;870.642;106.708;75.871;936.463;-87.142;89.728;945.879
11.808;40.692;1595.690;89.777;-25.177;1543.043;-58.794;-35.228;1539.530;71.578;86.215;1446.240;-52.695;76.310;1449.363;15.125;111.392;1275.322;29.470;107.830;1108.991;79.677;123.883;1189.790;-42.059;121.833;1171.249;19.761;-68.797;1277.713;11.173;-144.619;1088.644;65.284;-106.708;1205.891;-54.013;-97.145;1215.747;182.335;-43.961;1235.703;178.042;32.495;1302.743;187.995;90.997;1238.435;239.666;61.380;1156.075;204.292;84.166;984.571;255.865;34.154;1007.455;256.840;-57.135;961.785;197.851;-196.339;1009.114;187.458;-193.606;939.585;219.271;-167.746;971.349;-163.355;-38.058;1244.339;-148.181;30.153;1309.867;-155.792;98.608;1248.487;-218.490;16.784;1159.149;-193.362;89.094;991.451;-238.641;37.862;1018.677;-218.880;-38.790;1029.899;-201.706;-186.287;1003.990;-181.847;-179.359;938.805;-213.904;-155.597;968.470;127.444;-125.005;869.862;-138.130;-99.389;870.593;106.513;75.823;936.658;-87.337;89.582;946.075
11.564;40.058;1595.738;89.533;-25.811;1543.141;-58.989;-35.911;1539.628;71.285;85.532;1446.338;-52.988;75.627;1449.412;14.930;110.806;1275.566;29.275;107.537;1109.283;79.482;123.395;1190.083;-42.303;121.394;1171.542;19.566;-69.480;1277.762;11.027;-144.961;1088.596;65.088;-107.293;1205.891;-54.208;-97.730;1215.747;182.140;-44.596;1235.849;177.798;31.812;1302.938;187.800;90.363;1238.728;239.471;60.892;1156.368;204.145;83.873;984.864;255.718;33.862;1007.650;256.743;-57.379;961.932;197.802;-196.680;1009.114;187.312;-193.801;939.634;219.173;-167.990;971.397;-163.550;-38.643;1244.388;-148.425;29.470;1310.013;-156.036;98.023;1248.682;-218.636;16.248;1159.246;-193.460;88.655;991.597;-238.739;37.375;1018.774;-218.978;-39.277;1029.948;-201.852;-186.727;1003.990;-181.847;-179.798;938.853;-213.952;-156.036;968.421;127.249;-125.054;869.813;-138.276;-99.438;870.545;106.366;75.725;936.804;-87.484;89.484;946.221
11.320;39.326;1595.836;89.289;-26.543;1543.190;-59.185;-36.594;1539.725;71.041;84.800;1446.386;-53.232;74.847;1449.509;14.833;110.172;1275.859;29.178;107.293;1109.527;79.384;122.956;1190.473;-42.400;120.955;1171.786;19.370;-70.114;1277.762;10.783;-145.302;1088.449;64.844;-107.830;1205.794;-54.501;-98.316;1215.698;181.896;-45.328;1235.801;177.651;30.934;1302.938;187.702;89.679;1239.021;239.324;60.160;1156.465;203.852;83.190;984.962;255.523;33.325;1007.796;256.987;-57.818;961.981;198.534;-197.461;1009.065;188.093;-194.387;939.683;219.856;-168.576;971.397;-163.746;-39.180;1244.388;-148.620;28.885;1310.062;-156.183;97.486;1248.828;-218.832;15.760;1159.295;-193.850;88.265;991.744;-239.080;36.935;1018.921;-219.222;-39.668;1030.045;-201.950;-187.166;1004.039;-181.847;-180.140;938.951;-214.050;-156.427;968.519;127.054;-125.151;869.764;-138.423;-99.438;870.496;106.269;75.579;936.950;-87.581;89.387;946.318
11.076;38.399;1595.982;88.996;-27.372;1543.141;-59.526;-37.472;1539.823;70.602;84.166;1446.533;-53.671;74.164;1449.802;14.784;109.684;1276.152;29.129;107.147;1109.820;79.238;122.760;1190.815;-42.303;120.955;1172.176;18.931;-70.602;1277.615;10.441;-145.497;1088.254;64.503;-108.172;1205.599;-54.940;-98.755;1215.601;181.457;-46.060;1235.703;177.407;30.056;1302.694;187.605;88.850;1239.021;239.275;58.843;1156.221;204.340;80.409;984.425;256.304;31.178;1007.894;259.085;-59.965;962.713;202.096;-200.583;1010.041;191.898;-197.070;940.512;223.369;-171.259;972.373;-163.990;-39.229;1244.095;-148.864;28.397;1309.769;-156.427;97.242;1248.828;-219.759;15.516;1159.539;-197.022;87.484;991.939;-241.764;35.960;1019.799;-220.490;-40.205;1030.875;-200.193;-187.800;1005.698;-182.872;-180.628;939.976;-214.440;-157.354;970.129;126.956;-125.200;869.813;-138.520;-99.389;870.447;106.269;75.481;937.194;-87.630;89.338;946.562
10.637;37.277;1596.080;88.411;-28.202;1542.750;-60.014;-38.497;1540.018;69.480;83.580;1446.533;-54.744;73.383;1450.290;14.735;109.440;1276.347;29.373;107.586;1110.064;79.433;122.516;1191.254;-41.766;121.833;1172.371;17.955;-70.846;1277.323;9.905;-145.156;1087.766;63.722;-108.464;1205.403;-55.769;-98.316;1214.918;180.530;-47.767;1236.533;176.773;28.787;1302.987;187.410;87.142;1239.021;239.129;55.720;1156.221;207.073;73.383;983.449;258.987;25.323;1009.162;264.550;-66.162;965.640;209.561;-207.853;1013.407;200.095;-204.389;943.684;230.981;-178.286;975.838;-163.941;-38.350;1243.168;-148.962;29.178;1308.745;-156.720;98.120;1247.706;-223.223;14.930;1160.856;-211.757;83.873;992.573;-253.376;31.178;1023.556;-225.272;-43.571;1035.364;-189.654;-189.069;1013.700;-188.434;-183.994;945.831;-215.075;-161.745;979.692;126.908;-125.249;869.910;-138.520;-99.048;870.496;106.415;75.530;937.390;-87.533;89.582;946.758
9.514;35.667;1596.421;87.142;-29.031;1541.970;-61.331;-39.863;1540.116;67.186;83.580;1446.874;-56.989;72.895;1451.412;14.784;109.928;1276.347;30.397;108.025;1110.259;80.067;122.077;1191.839;-40.741;123.199;1172.030;16.053;-70.455;1277.225;8.685;-144.131;1087.425;61.966;-108.708;1205.647;-57.477;-96.510;1214.186;178.578;-50.109;1239.021;175.456;27.275;1304.402;187.263;84.654;1239.655;239.422;50.402;1157.587;213.074;62.112;983.644;264.403;15.369;1012.724;272.942;-77.042;971.251;220.247;-219.076;1019.604;210.195;-216.441;949.783;241.032;-189.703;981.839;-163.990;-36.448;1243.168;-148.962;31.812;1307.769;-157.256;99.487;1244.730;-230.444;12.393;1165.248;-240.642;75.676;995.989;-274.308;20.590;1033.266;-232.591;-49.621;1047.074;-169.601;-186.873;1026.484;-196.143;-191.313;964.469;-212.781;-168.381;1002.283;126.810;-125.200;870.057;-138.618;-97.925;870.593;107.098;75.725;937.390;-86.752;90.655;946.660
7.416;33.715;1597.202;85.044;-29.714;1541.238;-63.332;-41.180;1540.067;64.015;84.312;1448.143;-60.112;73.041;1453.217;14.198;111.392;1276.396;30.934;108.708;1110.552;80.311;121.980;1192.425;-40.644;124.614;1171.639;13.271;-69.431;1277.664;7.075;-142.911;1087.766;59.380;-108.464;1206.672;-59.770;-94.168;1214.040;175.748;-52.012;1242.876;173.114;26.494;1306.793;186.531;82.312;1240.826;239.812;44.205;1160.564;220.686;48.450;985.596;271.039;3.220;1018.482;282.847;-90.167;980.326;232.445;-232.640;1030.289;221.954;-230.298;960.371;252.693;-203.218;992.378;-165.014;-34.447;1245.461;-149.303;35.081;1307.964;-158.330;100.219;1241.900;-240.056;8.343;1174.518;-276.260;63.722;1006.625;-298.167;6.441;1050.099;-241.617;-54.354;1063.907;-150.816;-175.651;1036.242;-199.998;-196.436;995.257;-205.267;-168.869;1031.997;126.956;-125.102;870.447;-138.520;-96.657;870.642;108.269;75.969;937.341;-85.483;91.778;946.562
4.879;31.959;1597.934;82.556;-30.105;1540.506;-65.771;-42.351;1539.872;60.502;85.435;1449.509;-63.576;73.383;1454.974;12.491;113.148;1276.396;30.056;109.147;1110.845;79.189;122.419;1192.717;-42.498;125.932;1171.395;10.490;-68.065;1278.250;5.709;-142.033;1088.449;56.891;-107.830;1207.941;-61.868;-92.461;1214.332;172.626;-52.646;1246.974;170.088;27.079;1308.940;184.824;81.043;1241.656;239.568;39.375;1163.979;228.688;34.984;988.475;277.821;-8.051;1025.654;292.507;-102.951;991.939;243.179;-244.789;1044.683;233.176;-243.911;974.471;263.525;-216.050;1006.479;-166.624;-33.081;1248.731;-150.181;37.326;1308.891;-160.379;100.560;1240.485;-249.131;3.708;1186.179;-309.975;51.817;1023.458;-320.172;-6.245;1070.591;-253.425;-55.672;1081.960;-148.376;-163.892;1049.806;-201.120;-194.777;1022.190;-203.609;-164.380;1056.051;127.591;-124.663;870.984;-137.983;-95.925;870.545;109.294;76.359;937.780;-84.459;92.461;946.514
