UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10.194;31.510;1595.314;87.116;-35.656;1543.025;-61.752;-43.314;1539.805;70.288;75.459;1445.470;-54.192;67.605;1448.835;14.389;103.506;1273.627;27.510;99.360;1108.223;78.288;114.042;1188.023;-42.534;115.017;1169.390;15.706;-76.093;1274.846;5.463;-152.820;1086.224;60.874;-115.017;1203.436;-58.923;-102.384;1213.338;177.403;-56.045;1232.459;177.062;19.804;1300.601;186.866;79.019;1236.312;238.619;45.704;1153.147;203.694;71.898;982.719;250.423;16.584;1004.278;240.473;-74.873;962.720;161.746;-204.426;1012.375;159.746;-203.548;941.599;190.573;-181.062;978.572;-165.453;-40.144;1240.117;-151.405;25.901;1307.088;-156.917;95.750;1244.995;-220.913;14.048;1156.805;-205.548;89.555;990.620;-244.570;33.217;1018.326;-211.596;-39.754;1030.764;-165.648;-182.428;1009.205;-159.063;-174.769;941.355;-189.110;-155.649;975.695;122.870;-132.870;867.458;-142.528;-105.457;869.994;104.042;66.825;937.648;-89.458;82.483;947.599
10.146;31.657;1595.314;87.068;-35.559;1543.025;-61.752;-43.217;1539.805;70.288;75.556;1445.470;-54.192;67.654;1448.787;14.389;103.554;1273.578;27.510;99.360;1108.174;78.288;114.042;1188.023;-42.485;115.017;1169.341;15.706;-76.044;1274.846;5.512;-152.820;1086.273;60.923;-115.017;1203.436;-58.874;-102.384;1213.338;177.403;-55.996;1232.508;177.013;19.852;1300.601;186.866;79.019;1236.312;238.570;45.704;1153.147;203.694;71.849;982.719;250.472;16.536;1004.278;240.521;-74.922;962.769;161.746;-204.426;1012.570;159.795;-203.597;941.746;190.573;-181.111;978.719;-165.453;-40.144;1240.068;-151.405;25.950;1307.040;-156.917;95.750;1244.946;-220.864;14.048;1156.756;-205.499;89.507;990.523;-244.521;33.169;1018.228;-211.548;-39.802;1030.716;-165.551;-182.476;1009.253;-158.966;-174.818;941.355;-189.012;-155.746;975.695;122.919;-132.870;867.458;-142.479;-105.457;870.043;104.091;66.776;937.648;-89.458;82.483;947.599
10.146;31.754;1595.265;87.068;-35.461;1543.025;-61.703;-43.119;1539.757;70.239;75.605;1445.470;-54.192;67.752;1448.787;14.389;103.554;1273.529;27.559;99.360;1108.174;78.337;114.042;1187.974;-42.485;115.017;1169.341;15.755;-75.995;1274.846;5.561;-152.771;1086.273;60.923;-115.017;1203.436;-58.874;-102.384;1213.338;177.452;-55.996;1232.508;177.062;19.901;1300.601;186.915;79.019;1236.264;238.570;45.704;1153.147;203.743;71.800;982.719;250.521;16.536;1004.278;240.521;-74.971;962.817;161.795;-204.475;1012.668;159.795;-203.646;941.941;190.622;-181.159;978.816;-165.404;-40.144;1240.068;-151.405;25.950;1306.991;-156.917;95.799;1244.848;-220.815;14.048;1156.708;-205.450;89.458;990.474;-244.424;33.120;1018.180;-211.499;-39.851;1030.667;-165.502;-182.525;1009.253;-158.868;-174.867;941.404;-188.915;-155.746;975.695;122.919;-132.918;867.458;-142.479;-105.506;870.043;104.091;66.776;937.648;-89.409;82.434;947.550
10.146;31.852;1595.265;87.068;-35.364;1543.025;-61.703;-43.070;1539.757;70.239;75.654;1445.421;-54.143;67.801;1448.738;14.389;103.554;1273.529;27.559;99.360;1108.125;78.337;114.042;1187.925;-42.436;115.017;1169.292;15.804;-75.995;1274.846;5.609;-152.771;1086.273;60.972;-114.968;1203.436;-58.826;-102.335;1213.289;177.452;-55.948;1232.556;177.062;19.950;1300.601;186.915;79.068;1236.264;238.619;45.704;1153.147;203.792;71.752;982.719;250.570;16.487;1004.327;240.570;-75.020;962.915;161.843;-204.475;1012.814;159.844;-203.694;942.087;190.671;-181.208;978.963;-165.355;-40.095;1240.019;-151.356;25.998;1306.942;-156.868;95.799;1244.848;-220.767;14.097;1156.659;-205.353;89.458;990.425;-244.326;33.120;1018.131;-211.401;-39.851;1030.667;-165.355;-182.525;1009.302;-158.722;-174.916;941.453;-188.817;-155.746;975.743;122.968;-132.967;867.458;-142.430;-105.554;870.043;104.091;66.728;937.648;-89.409;82.385;947.599
10.097;31.852;1595.265;87.019;-35.364;1543.073;-61.703;-43.022;1539.757;70.288;75.605;1445.421;-54.143;67.752;1448.689;14.487;103.554;1273.529;27.657;99.311;1108.125;78.434;113.993;1187.974;-42.339;114.968;1169.292;15.804;-76.044;1274.846;5.658;-152.771;1086.224;61.021;-114.968;1203.388;-58.777;-102.335;1213.241;177.501;-55.996;1232.556;177.111;19.901;1300.601;186.964;79.019;1236.312;238.668;45.656;1153.196;203.938;71.703;982.719;250.667;16.487;1004.327;240.668;-75.020;962.964;161.892;-204.524;1012.863;159.892;-203.743;942.136;190.768;-181.208;979.011;-165.355;-40.144;1239.971;-151.308;25.950;1306.893;-156.819;95.799;1244.800;-220.669;14.097;1156.561;-205.255;89.458;990.377;-244.277;33.169;1018.082;-211.304;-39.802;1030.618;-165.307;-182.476;1009.302;-158.673;-174.867;941.453;-188.769;-155.746;975.743;123.017;-132.967;867.458;-142.381;-105.603;869.994;104.140;66.728;937.648;-89.360;82.336;947.599
10.097;31.754;1595.265;87.019;-35.461;1543.073;-61.703;-43.070;1539.708;70.337;75.605;1445.519;-54.094;67.752;1448.738;14.536;103.554;1273.529;27.706;99.311;1108.125;78.434;113.993;1187.974;-42.339;114.968;1169.292;15.853;-76.044;1274.846;5.658;-152.771;1086.273;61.021;-114.920;1203.388;-58.728;-102.335;1213.289;177.550;-55.996;1232.508;177.160;19.901;1300.601;187.013;79.019;1236.264;238.717;45.704;1153.196;203.987;71.800;982.719;250.765;16.536;1004.327;240.814;-74.971;962.964;161.990;-204.524;1012.912;159.990;-203.694;942.233;190.964;-181.159;979.060;-165.307;-40.095;1240.019;-151.259;25.950;1306.893;-156.771;95.799;1244.800;-220.620;14.097;1156.610;-205.158;89.507;990.377;-244.229;33.169;1018.082;-211.255;-39.754;1030.667;-165.307;-182.476;1009.351;-158.624;-174.867;941.453;-188.720;-155.746;975.792;123.017;-133.016;867.409;-142.332;-105.652;869.994;104.140;66.679;937.648;-89.360;82.287;947.599
10.194;31.657;1595.265;87.116;-35.559;1543.025;-61.655;-43.119;1539.708;70.386;75.556;1445.519;-53.997;67.752;1448.738;14.536;103.554;1273.481;27.706;99.311;1108.125;78.483;114.042;1187.925;-42.290;114.968;1169.292;15.901;-75.995;1274.798;5.707;-152.771;1086.224;61.069;-114.871;1203.339;-58.728;-102.335;1213.289;177.599;-55.948;1232.410;177.208;19.901;1300.455;187.061;79.068;1236.215;238.717;45.802;1153.049;203.841;71.947;982.621;250.765;16.828;1004.229;241.009;-74.727;962.964;162.429;-204.768;1013.107;160.478;-203.792;942.477;191.598;-181.111;979.255;-165.258;-40.095;1240.019;-151.259;25.998;1306.942;-156.722;95.799;1244.800;-220.620;14.145;1156.610;-205.207;89.507;990.377;-244.229;33.217;1018.131;-211.255;-39.754;1030.716;-165.258;-182.428;1009.449;-158.575;-174.867;941.599;-188.671;-155.698;975.890;123.065;-133.016;867.409;-142.332;-105.652;869.994;104.189;66.630;937.648;-89.311;82.287;947.599
10.341;31.559;1595.265;87.214;-35.656;1542.976;-61.557;-43.217;1539.708;70.483;75.459;1445.470;-53.948;67.703;1448.787;14.584;103.506;1273.529;27.706;99.408;1108.125;78.434;114.139;1187.974;-42.290;115.017;1169.292;15.950;-75.995;1274.749;5.658;-152.673;1086.175;61.118;-114.822;1203.241;-58.728;-102.335;1213.241;177.550;-55.948;1232.215;177.257;19.901;1300.259;187.061;79.166;1236.117;238.619;45.948;1152.854;203.694;71.898;982.328;250.911;17.170;1004.083;241.643;-74.483;963.208;163.502;-205.402;1013.887;161.843;-204.182;943.355;193.012;-181.257;979.987;-165.307;-40.144;1239.971;-151.210;25.950;1306.893;-156.722;95.799;1244.848;-220.669;14.145;1156.610;-205.353;89.604;990.377;-244.375;33.315;1018.228;-211.401;-39.558;1030.862;-165.453;-182.428;1010.034;-158.722;-174.867;942.136;-188.915;-155.649;976.377;123.114;-133.016;867.409;-142.284;-105.701;869.994;104.237;66.679;937.599;-89.263;82.287;947.550
10.438;31.364;1595.217;87.312;-35.803;1542.878;-61.460;-43.461;1539.659;70.532;75.361;1445.470;-53.899;67.508;1448.787;14.584;103.457;1273.578;27.657;99.555;1108.223;78.337;114.285;1188.071;-42.388;115.066;1169.438;15.950;-75.946;1274.749;5.658;-152.527;1086.078;61.069;-114.676;1203.144;-58.777;-102.286;1213.192;177.501;-56.045;1232.020;177.306;19.901;1299.967;186.964;79.312;1235.971;238.619;46.046;1152.610;204.377;71.361;981.889;251.935;17.072;1004.229;243.448;-74.873;964.183;165.990;-206.328;1016.277;164.185;-205.255;945.648;195.793;-181.989;981.938;-165.307;-40.241;1240.019;-151.210;25.803;1306.942;-156.771;95.701;1244.995;-220.864;14.097;1156.756;-205.938;89.409;990.474;-244.960;33.266;1018.521;-211.987;-39.412;1031.545;-165.990;-182.574;1011.595;-159.795;-175.257;943.550;-189.793;-155.893;977.792;123.114;-132.918;867.458;-142.284;-105.749;869.994;104.189;66.776;937.599;-89.311;82.336;947.501
