UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
4.534;27.886;1596.683;85.073;-34.322;1543.592;-63.085;-49.581;1539.253;63.134;77.662;1448.135;-60.696;63.232;1450.427;9.897;105.256;1277.308;23.791;104.866;1111.794;74.006;119.833;1192.284;-47.192;117.834;1173.319;15.503;-74.542;1275.650;7.703;-146.939;1085.565;61.964;-110.472;1203.155;-58.210;-101.990;1213.442;176.727;-48.898;1233.821;173.850;25.839;1302.805;183.211;85.755;1238.940;234.303;56.845;1156.597;195.886;84.049;986.744;246.784;32.956;1006.830;248.149;-56.016;958.468;188.866;-197.739;1000.005;179.701;-192.522;929.802;211.341;-169.316;965.879;-166.976;-42.122;1242.108;-153.716;23.352;1310.118;-161.077;93.994;1249.226;-222.115;13.748;1159.035;-203.150;91.557;994.740;-244.346;36.174;1020.237;-217.874;-40.659;1025.161;-188.476;-183.016;989.036;-176.239;-172.047;922.587;-206.563;-153.082;957.249;124.952;-122.271;869.105;-140.845;-102.038;870.080;101.063;77.272;938.382;-93.019;87.461;947.840
4.388;28.276;1596.634;84.975;-33.980;1543.641;-63.183;-49.240;1539.253;63.085;77.955;1448.086;-60.745;63.524;1450.378;9.799;105.451;1277.210;23.694;105.012;1111.696;73.908;120.028;1192.186;-47.241;117.932;1173.222;15.454;-74.298;1275.601;7.654;-146.793;1085.516;61.915;-110.180;1203.107;-58.259;-101.746;1213.442;176.629;-48.557;1233.674;173.802;26.131;1302.707;183.113;86.048;1238.793;234.157;57.235;1156.451;195.740;84.390;986.598;246.637;33.347;1006.733;248.149;-55.626;958.419;189.012;-197.398;999.956;179.896;-192.181;929.802;211.536;-168.975;965.830;-167.025;-41.976;1242.060;-153.764;23.547;1310.020;-161.126;94.140;1249.080;-222.164;13.894;1158.986;-203.248;91.605;994.594;-244.492;36.272;1020.188;-218.069;-40.562;1025.210;-188.769;-183.016;989.231;-176.532;-172.095;922.782;-206.856;-153.033;957.444;124.903;-122.222;869.105;-140.943;-102.087;870.080;100.868;77.321;938.285;-93.165;87.461;947.791
4.290;28.569;1596.634;84.878;-33.639;1543.641;-63.232;-48.947;1539.253;62.988;78.247;1448.086;-60.794;63.817;1450.329;9.702;105.695;1277.064;23.547;105.110;1111.550;73.762;120.272;1192.040;-47.338;118.029;1173.124;15.454;-74.006;1275.552;7.605;-146.598;1085.565;61.915;-109.887;1203.058;-58.259;-101.551;1213.442;176.580;-48.167;1233.577;173.753;26.521;1302.561;182.967;86.438;1238.647;234.059;57.625;1156.353;195.545;84.683;986.452;246.540;33.737;1006.587;248.149;-55.236;958.371;189.256;-197.105;1000.005;180.091;-191.937;929.802;211.731;-168.683;965.879;-167.074;-41.781;1242.060;-153.813;23.742;1309.972;-161.224;94.335;1249.031;-222.213;14.089;1158.937;-203.394;91.800;994.594;-244.590;36.515;1020.237;-218.215;-40.269;1025.307;-188.964;-182.821;989.523;-176.678;-171.998;923.074;-207.002;-152.887;957.737;124.854;-122.222;869.105;-141.040;-102.136;870.080;100.771;77.370;938.285;-93.312;87.413;947.743
4.290;28.861;1596.586;84.878;-33.347;1543.641;-63.183;-48.655;1539.204;62.939;78.589;1448.086;-60.843;64.109;1450.329;9.604;105.987;1276.918;23.401;105.207;1111.404;73.616;120.515;1191.845;-47.436;118.175;1172.978;15.406;-73.713;1275.504;7.557;-146.452;1085.565;61.867;-109.546;1203.009;-58.308;-101.307;1213.442;176.532;-47.777;1233.431;173.655;26.911;1302.415;182.821;86.779;1238.452;233.864;58.064;1156.158;195.350;84.975;986.257;246.442;34.175;1006.440;248.149;-54.895;958.322;189.402;-196.861;1000.200;180.383;-191.742;930.046;211.975;-168.390;966.025;-167.123;-41.586;1241.913;-153.911;23.986;1309.874;-161.272;94.579;1248.934;-222.310;14.333;1158.840;-203.589;92.142;994.545;-244.785;36.857;1020.237;-218.312;-39.782;1025.551;-188.915;-182.528;990.303;-176.727;-171.754;923.805;-207.051;-152.643;958.419;124.806;-122.222;869.105;-141.089;-102.233;870.080;100.673;77.321;938.285;-93.360;87.364;947.743
4.339;29.154;1596.537;84.926;-33.005;1543.543;-63.134;-48.362;1539.204;62.939;78.881;1447.989;-60.843;64.353;1450.280;9.458;106.231;1276.771;23.352;105.256;1111.209;73.470;120.759;1191.699;-47.485;118.370;1172.832;15.357;-73.421;1275.406;7.557;-146.208;1085.565;61.818;-109.302;1203.009;-58.405;-101.015;1213.345;176.483;-47.387;1233.333;173.607;27.301;1302.269;182.723;87.169;1238.257;233.718;58.454;1156.012;195.155;85.170;986.062;246.394;34.517;1006.294;248.197;-54.602;958.419;189.549;-196.764;1000.541;180.773;-191.596;930.289;212.267;-168.195;966.366;-167.171;-41.293;1241.718;-154.008;24.181;1309.728;-161.370;94.823;1248.739;-222.456;14.723;1158.693;-203.833;92.629;994.399;-245.029;37.393;1020.237;-218.410;-38.953;1026.087;-188.671;-181.943;991.912;-176.532;-171.559;925.365;-206.904;-152.253;959.833;124.806;-122.271;869.105;-141.089;-102.282;870.080;100.673;77.321;938.236;-93.409;87.315;947.645
4.339;29.446;1596.537;84.975;-32.664;1543.495;-63.085;-48.167;1539.253;62.842;79.174;1447.940;-60.940;64.548;1450.280;9.409;106.475;1276.674;23.352;105.451;1111.111;73.421;120.954;1191.601;-47.533;118.614;1172.637;15.259;-73.128;1275.357;7.557;-146.013;1085.516;61.769;-109.059;1203.009;-58.454;-100.673;1213.247;176.483;-47.143;1233.333;173.509;27.545;1302.220;182.626;87.413;1238.208;233.669;58.746;1155.963;195.058;85.316;985.964;246.345;34.760;1006.294;248.295;-54.456;958.614;189.695;-196.715;1001.078;181.114;-191.547;930.826;212.608;-168.098;966.854;-167.269;-41.001;1241.426;-154.106;24.425;1309.435;-161.370;95.067;1248.592;-222.651;15.064;1158.450;-204.320;93.165;994.106;-245.565;38.027;1020.286;-218.800;-37.783;1027.160;-188.720;-181.504;995.325;-176.044;-171.559;928.729;-206.758;-152.009;962.661;124.854;-122.319;869.154;-141.089;-102.331;870.080;100.673;77.321;938.139;-93.360;87.315;947.596
4.290;29.690;1596.439;84.878;-32.371;1543.397;-63.183;-47.923;1539.204;62.695;79.466;1447.843;-61.087;64.792;1450.280;9.507;106.767;1276.576;23.547;105.744;1111.014;73.567;121.100;1191.601;-47.436;118.955;1172.442;15.162;-72.836;1275.309;7.557;-145.672;1085.419;61.720;-108.815;1202.960;-58.551;-100.235;1213.052;176.483;-47.046;1233.431;173.460;27.642;1302.317;182.723;87.510;1238.355;233.767;58.746;1156.061;195.399;85.170;986.013;246.686;34.663;1006.489;248.636;-54.651;959.199;190.036;-197.154;1002.150;181.504;-191.840;931.947;213.145;-168.293;967.926;-167.269;-40.659;1241.036;-154.154;24.717;1309.094;-161.370;95.311;1248.202;-223.236;15.259;1158.401;-206.271;93.214;993.619;-247.222;38.124;1020.676;-220.116;-36.564;1029.841;-188.573;-181.797;1002.589;-175.410;-172.242;935.847;-206.758;-152.497;968.950;124.854;-122.417;869.154;-141.089;-102.233;870.129;100.820;77.272;938.090;-93.214;87.461;947.499
3.998;29.836;1596.391;84.585;-32.274;1543.397;-63.475;-47.680;1539.058;62.549;79.564;1447.843;-61.233;65.035;1450.183;9.653;107.011;1276.479;23.889;106.036;1110.916;73.860;121.247;1191.601;-47.192;119.297;1172.149;15.064;-72.543;1275.211;7.508;-145.282;1085.321;61.623;-108.571;1202.960;-58.649;-99.649;1212.808;176.385;-46.997;1233.674;173.460;27.642;1302.464;182.918;87.461;1238.452;234.157;58.405;1156.353;196.666;84.244;986.013;247.807;33.785;1006.977;249.660;-55.821;960.516;190.621;-198.568;1004.539;182.187;-192.864;934.336;214.022;-169.365;970.169;-167.123;-40.172;1240.743;-154.008;25.254;1308.704;-161.272;95.701;1247.617;-224.309;15.113;1158.693;-210.609;91.995;992.936;-250.781;37.052;1021.944;-222.213;-35.492;1035.350;-186.623;-182.674;1016.630;-174.582;-173.850;949.157;-206.271;-154.252;981.284;124.854;-122.514;869.154;-141.089;-101.990;870.178;101.112;77.272;937.992;-92.922;87.705;947.450
3.510;29.983;1596.342;84.000;-32.371;1543.446;-64.060;-47.338;1538.912;62.500;79.612;1447.940;-61.330;65.425;1450.037;9.994;107.401;1276.430;24.279;106.280;1110.819;74.250;121.442;1191.552;-46.948;119.687;1171.954;14.967;-72.153;1275.162;7.362;-144.843;1085.321;61.477;-108.181;1202.960;-58.795;-98.918;1212.711;176.190;-46.997;1234.113;173.412;27.691;1302.707;183.113;87.315;1238.550;234.742;57.528;1156.695;199.494;81.611;985.769;250.294;31.299;1007.952;251.756;-59.088;963.246;191.450;-201.834;1009.512;183.308;-195.691;939.309;215.582;-172.242;974.800;-166.879;-39.489;1241.182;-153.716;26.034;1308.850;-161.126;96.188;1247.130;-226.210;14.333;1160.205;-218.117;88.241;992.400;-256.778;33.590;1024.674;-225.284;-35.589;1044.272;-182.382;-183.893;1037.837;-171.754;-176.385;969.535;-204.272;-157.128;1000.444;124.854;-122.514;869.203;-141.040;-101.551;870.227;101.453;77.321;937.944;-92.580;88.095;947.401
