UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12.099;17.417;1596.737;90.694;-45.811;1541.999;-57.861;-56.153;1537.120;72.692;69.472;1449.694;-51.616;59.081;1451.451;17.173;98.988;1275.185;29.955;96.988;1109.505;80.449;112.307;1189.515;-39.712;111.331;1171.513;21.271;-80.449;1274.502;11.855;-153.190;1084.429;67.033;-117.234;1201.907;-52.787;-107.428;1212.689;182.608;-55.958;1231.667;180.559;19.076;1300.163;189.487;78.205;1235.131;240.177;49.372;1153.755;203.538;74.839;983.636;254.081;23.320;1005.004;256.179;-65.716;959.389;188.707;-203.733;997.540;193.146;-203.879;927.092;218.564;-178.657;966.268;-161.093;-45.567;1240.546;-147.043;19.417;1308.896;-153.483;90.060;1247.620;-215.637;12.050;1157.804;-194.122;89.280;992.954;-237.737;36.248;1019.884;-213.149;-40.981;1027.836;-189.731;-185.243;995.881;-185.096;-177.291;928.165;-210.709;-155.532;964.853;128.016;-131.821;867.182;-137.969;-108.355;869.573;106.160;67.813;937.337;-87.572;80.205;947.826
12.099;18.246;1596.542;90.646;-45.469;1542.340;-57.959;-55.763;1537.510;72.692;69.033;1449.109;-51.567;58.739;1450.963;17.173;98.500;1275.380;30.004;96.841;1109.749;80.498;112.014;1189.808;-39.664;111.038;1171.757;21.320;-80.937;1274.404;12.002;-153.288;1084.185;67.130;-117.576;1201.761;-52.738;-107.770;1212.494;182.657;-56.300;1231.618;180.559;18.539;1300.261;189.487;77.815;1235.375;240.225;49.323;1153.999;203.538;75.375;983.977;254.081;23.759;1005.151;256.179;-65.081;959.242;188.707;-203.391;996.955;193.146;-203.099;926.409;218.564;-178.120;965.731;-161.093;-45.957;1240.449;-147.043;18.832;1308.945;-153.483;89.621;1247.815;-215.637;11.855;1157.804;-194.024;89.523;993.198;-237.688;36.444;1020.031;-213.246;-40.786;1027.739;-190.024;-185.096;995.345;-185.340;-176.900;927.678;-210.905;-155.190;964.414;128.162;-131.724;867.182;-137.822;-108.306;869.573;106.257;67.862;937.435;-87.474;80.205;947.875
12.002;19.222;1596.347;90.548;-44.981;1542.779;-58.007;-55.226;1537.901;72.741;68.740;1448.572;-51.519;58.495;1450.426;17.173;98.061;1275.672;30.053;96.744;1109.993;80.547;111.721;1190.101;-39.615;110.746;1172.050;21.369;-81.376;1274.355;12.099;-153.385;1084.039;67.228;-117.868;1201.663;-52.641;-108.111;1212.396;182.706;-56.641;1231.569;180.608;18.051;1300.407;189.536;77.473;1235.667;240.274;49.128;1154.194;203.489;75.619;984.319;254.081;24.003;1005.297;256.130;-64.740;959.096;188.609;-203.294;996.320;193.195;-202.562;925.872;218.564;-177.778;965.292;-160.996;-46.396;1240.400;-146.994;18.295;1309.043;-153.434;89.133;1248.010;-215.588;11.611;1157.902;-193.976;89.621;993.442;-237.640;36.492;1020.128;-213.246;-40.786;1027.641;-190.170;-184.950;994.808;-185.584;-176.608;927.190;-211.051;-154.995;963.975;128.309;-131.578;867.133;-137.676;-108.209;869.573;106.404;68.009;937.532;-87.377;80.303;947.973
11.904;20.051;1596.249;90.450;-44.591;1543.121;-58.105;-54.739;1538.242;72.790;68.545;1448.133;-51.470;58.349;1449.987;17.222;97.720;1275.868;30.101;96.744;1110.237;80.595;111.526;1190.345;-39.566;110.599;1172.294;21.417;-81.669;1274.306;12.245;-153.288;1083.844;67.326;-118.064;1201.566;-52.592;-108.355;1212.299;182.755;-56.885;1231.569;180.657;17.710;1300.456;189.585;77.180;1235.814;240.323;48.933;1154.340;203.635;75.717;984.514;254.129;24.003;1005.395;256.130;-64.642;958.950;188.365;-203.343;995.784;193.097;-202.269;925.433;218.418;-177.681;964.902;-160.947;-46.689;1240.400;-146.945;17.905;1309.091;-153.385;88.840;1248.206;-215.490;11.367;1157.950;-193.829;89.621;993.588;-237.542;36.492;1020.226;-213.246;-40.883;1027.544;-190.268;-184.999;994.418;-185.779;-176.510;926.799;-211.197;-154.946;963.682;128.455;-131.334;867.133;-137.529;-108.014;869.573;106.501;68.204;937.581;-87.279;80.449;948.022
11.806;20.393;1596.152;90.353;-44.445;1543.316;-58.202;-54.495;1538.340;72.838;68.399;1447.987;-51.421;58.349;1449.792;17.319;97.671;1276.014;30.199;96.841;1110.383;80.693;111.477;1190.491;-39.468;110.599;1172.440;21.466;-81.718;1274.306;12.294;-153.141;1083.746;67.374;-118.112;1201.566;-52.494;-108.355;1212.250;182.803;-56.983;1231.667;180.706;17.612;1300.554;189.682;77.083;1235.960;240.420;48.787;1154.438;203.733;75.668;984.563;254.178;23.857;1005.443;256.081;-64.740;958.950;188.170;-203.440;995.686;193.000;-202.221;925.385;218.271;-177.778;964.853;-160.849;-46.738;1240.400;-146.897;17.807;1309.140;-153.336;88.792;1248.254;-215.393;11.318;1157.950;-193.780;89.572;993.637;-237.444;36.395;1020.226;-213.149;-40.932;1027.544;-190.073;-185.048;994.271;-185.779;-176.510;926.702;-211.100;-154.946;963.633;128.553;-131.138;867.182;-137.432;-107.770;869.573;106.599;68.448;937.581;-87.182;80.693;948.070
11.758;20.149;1596.249;90.255;-44.640;1543.316;-58.251;-54.592;1538.242;72.887;68.399;1448.182;-51.372;58.398;1449.889;17.417;97.817;1276.014;30.296;97.037;1110.432;80.839;111.673;1190.540;-39.371;110.794;1172.440;21.564;-81.571;1274.306;12.343;-152.946;1083.746;67.423;-117.966;1201.566;-52.446;-108.160;1212.250;182.852;-56.934;1231.716;180.803;17.710;1300.602;189.829;77.132;1236.009;240.469;48.738;1154.438;203.879;75.570;984.612;254.227;23.710;1005.492;256.081;-64.935;959.047;187.926;-203.538;995.881;192.854;-202.367;925.531;218.125;-177.876;965.048;-160.752;-46.542;1240.449;-146.799;18.051;1309.140;-153.239;88.987;1248.254;-215.247;11.465;1157.950;-193.585;89.621;993.588;-237.249;36.444;1020.226;-212.954;-40.883;1027.544;-189.878;-185.048;994.418;-185.584;-176.510;926.799;-210.905;-154.946;963.731;128.602;-130.943;867.182;-137.383;-107.526;869.621;106.648;68.643;937.630;-87.133;80.937;948.070
11.806;19.417;1596.396;90.304;-45.079;1543.121;-58.251;-54.934;1537.998;72.936;68.496;1448.621;-51.324;58.544;1450.231;17.514;98.159;1276.014;30.443;97.329;1110.383;80.937;111.965;1190.491;-39.273;111.136;1172.391;21.564;-81.230;1274.355;12.343;-152.605;1083.795;67.472;-117.625;1201.614;-52.397;-107.770;1212.299;182.901;-56.641;1231.813;180.852;18.002;1300.651;189.926;77.424;1236.009;240.616;48.884;1154.438;204.026;75.522;984.514;254.325;23.662;1005.492;256.081;-65.033;959.194;187.828;-203.587;996.223;192.805;-202.464;925.872;218.027;-177.974;965.390;-160.703;-46.152;1240.497;-146.750;18.490;1309.140;-153.141;89.377;1248.206;-215.149;11.806;1157.902;-193.341;89.767;993.442;-237.005;36.639;1020.128;-212.758;-40.688;1027.544;-189.585;-184.901;994.613;-185.389;-176.461;926.995;-210.709;-154.849;963.926;128.602;-130.748;867.231;-137.383;-107.282;869.670;106.745;68.887;937.581;-87.035;81.230;948.070
12.002;18.734;1596.542;90.450;-45.469;1542.779;-58.056;-55.324;1537.754;72.985;68.643;1449.011;-51.275;58.739;1450.670;17.612;98.598;1275.965;30.589;97.720;1110.335;81.083;112.307;1190.491;-39.127;111.575;1172.342;21.564;-80.791;1274.453;12.343;-152.263;1083.892;67.472;-117.234;1201.663;-52.446;-107.379;1212.347;182.901;-56.349;1231.960;180.901;18.393;1300.700;190.024;77.717;1236.009;240.664;49.079;1154.438;204.221;75.570;984.514;254.471;23.710;1005.541;256.130;-65.081;959.340;187.682;-203.538;996.515;192.756;-202.464;926.165;217.979;-177.974;965.682;-160.703;-45.713;1240.497;-146.701;18.978;1309.091;-153.044;89.865;1248.108;-215.003;12.245;1157.804;-193.097;90.060;993.296;-236.810;36.980;1019.982;-212.563;-40.347;1027.544;-189.390;-184.609;994.759;-185.292;-176.217;927.141;-210.514;-154.605;964.072;128.553;-130.602;867.280;-137.383;-106.989;869.719;106.794;69.082;937.532;-86.938;81.522;947.973
12.197;18.344;1596.640;90.646;-45.567;1542.584;-57.910;-55.470;1537.559;73.034;68.984;1449.304;-51.226;58.885;1450.963;17.710;98.988;1275.965;30.687;98.110;1110.335;81.181;112.697;1190.491;-39.078;111.965;1172.342;21.564;-80.400;1274.550;12.294;-151.970;1084.039;67.423;-116.844;1201.761;-52.446;-106.989;1212.445;182.950;-56.007;1232.057;180.950;18.734;1300.798;190.121;78.059;1236.107;240.860;49.323;1154.535;204.465;75.766;984.563;254.666;23.857;1005.639;256.276;-64.935;959.486;187.585;-203.343;996.662;192.756;-202.221;926.360;217.979;-177.778;965.829;-160.703;-45.274;1240.595;-146.653;19.466;1309.140;-152.995;90.353;1248.157;-214.954;12.685;1157.853;-192.951;90.450;993.344;-236.713;37.419;1020.031;-212.466;-40.005;1027.544;-189.341;-184.218;994.759;-185.243;-175.827;927.141;-210.465;-154.166;964.072;128.504;-130.407;867.377;-137.383;-106.648;869.817;106.891;69.326;937.435;-86.840;81.864;947.973
