UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
2.731;18.285;1597.322;83.769;-44.323;1545.392;-64.363;-59.097;1539.200;63.583;67.484;1449.287;-60.511;53.587;1450.165;8.094;93.765;1280.042;21.503;96.057;1114.649;70.750;111.026;1194.761;-49.101;106.979;1176.427;18.382;-85.378;1275.653;10.678;-151.838;1083.686;65.679;-119.364;1202.270;-55.050;-113.659;1212.705;179.582;-55.147;1233.135;174.365;17.944;1304.227;180.753;79.478;1241.131;231.121;56.123;1159.556;193.918;85.281;989.629;247.943;36.180;1008.937;250.528;-54.513;962.421;190.114;-194.893;1003.525;185.726;-192.309;932.970;214.494;-167.002;970.856;-165.149;-55.147;1241.522;-154.276;8.192;1310.955;-162.614;80.210;1250.640;-220.882;0.780;1158.727;-197.721;75.821;992.798;-241.653;23.356;1019.957;-220.736;-54.221;1027.905;-202.889;-201.963;995.723;-189.529;-189.237;929.313;-218.346;-168.514;965.785;125.703;-126.970;867.193;-140.574;-108.003;868.558;100.543;71.189;939.065;-93.424;80.551;948.622
3.023;18.431;1597.370;84.013;-44.176;1545.392;-64.119;-58.951;1539.249;63.778;67.630;1449.336;-60.316;53.733;1450.213;8.289;93.863;1280.139;21.552;96.154;1114.795;70.945;111.124;1194.858;-49.052;107.076;1176.622;18.529;-85.378;1275.800;10.727;-151.789;1083.784;65.777;-119.315;1202.367;-54.904;-113.659;1212.851;179.680;-55.147;1233.281;174.511;17.992;1304.275;180.948;79.478;1241.180;231.268;56.074;1159.605;194.210;85.135;989.629;248.187;35.985;1009.035;250.772;-54.757;962.616;190.212;-195.039;1003.818;185.970;-192.552;933.262;214.641;-167.197;971.149;-165.052;-55.099;1241.765;-154.130;8.240;1311.199;-162.516;80.259;1250.932;-220.784;0.878;1159.020;-197.623;75.968;993.090;-241.556;23.551;1020.250;-220.589;-53.977;1028.344;-202.792;-201.719;996.357;-189.529;-189.139;929.898;-218.249;-168.368;966.370;125.654;-126.727;867.241;-140.574;-107.808;868.558;100.543;71.433;939.113;-93.472;80.746;948.670
3.169;18.577;1597.370;84.159;-44.079;1545.392;-63.924;-58.804;1539.298;63.924;67.679;1449.287;-60.121;53.831;1450.213;8.435;93.911;1280.286;21.649;96.301;1114.941;71.141;111.124;1195.005;-49.101;107.125;1176.769;18.675;-85.378;1275.897;10.776;-151.740;1083.881;65.874;-119.315;1202.416;-54.806;-113.708;1212.997;179.826;-55.147;1233.427;174.658;17.992;1304.422;181.143;79.430;1241.278;231.463;55.927;1159.751;194.600;84.940;989.726;248.480;35.790;1009.181;251.064;-54.952;962.713;190.456;-195.234;1003.866;186.214;-192.747;933.311;214.884;-167.441;971.197;-164.954;-55.196;1242.058;-153.935;8.192;1311.443;-162.370;80.161;1251.225;-220.784;0.829;1159.361;-197.916;75.968;993.481;-241.800;23.502;1020.688;-220.687;-53.880;1028.880;-202.792;-201.622;997.235;-189.481;-189.237;930.775;-218.249;-168.416;967.150;125.654;-126.532;867.290;-140.574;-107.564;868.607;100.543;71.677;939.113;-93.472;80.990;948.719
3.218;18.626;1597.322;84.159;-44.030;1545.441;-63.875;-58.707;1539.298;64.022;67.727;1449.336;-60.023;53.880;1450.213;8.533;93.911;1280.432;21.747;96.496;1115.039;71.287;111.124;1195.151;-49.199;107.125;1176.964;18.821;-85.427;1276.043;10.873;-151.594;1083.930;66.021;-119.364;1202.514;-54.660;-113.757;1213.143;180.021;-55.245;1233.671;174.755;17.992;1304.568;181.338;79.332;1241.424;231.609;55.781;1159.995;195.088;84.842;989.970;248.821;35.595;1009.425;251.454;-55.050;962.811;190.651;-195.380;1003.525;186.555;-192.699;933.018;215.177;-167.539;971.002;-164.857;-55.342;1242.350;-153.740;8.045;1311.736;-162.321;79.966;1251.566;-220.979;0.634;1159.849;-198.696;75.773;993.822;-242.385;23.258;1021.274;-221.028;-53.880;1029.709;-202.841;-201.768;998.747;-189.627;-189.627;932.238;-218.395;-168.709;968.516;125.654;-126.337;867.290;-140.526;-107.320;868.655;100.640;71.872;939.162;-93.375;81.234;948.768
3.169;18.626;1597.273;84.111;-44.079;1545.344;-64.022;-58.609;1539.151;64.022;67.776;1449.336;-60.023;54.026;1450.165;8.679;93.911;1280.676;21.942;96.691;1115.282;71.531;110.977;1195.395;-49.442;107.272;1177.159;18.870;-85.622;1276.287;11.068;-151.107;1083.930;66.167;-119.461;1202.660;-54.562;-113.805;1213.192;180.265;-55.586;1234.256;174.804;17.749;1305.007;181.630;78.893;1241.814;231.463;55.537;1160.824;195.917;85.037;990.799;249.504;35.595;1010.205;252.088;-54.952;963.006;190.846;-195.429;1002.794;186.945;-192.211;932.287;215.518;-167.344;970.515;-164.857;-55.635;1242.887;-153.593;7.802;1312.174;-162.419;79.625;1252.005;-221.467;0.049;1160.629;-200.403;74.846;994.358;-243.750;22.332;1022.346;-221.955;-54.513;1031.318;-203.426;-202.597;1001.526;-189.822;-190.797;935.018;-218.883;-169.782;971.002;125.703;-126.288;867.339;-140.477;-107.028;868.753;100.786;71.969;939.162;-93.180;81.429;948.768
3.121;18.870;1597.078;83.818;-44.030;1545.051;-64.314;-58.268;1539.054;63.924;67.874;1449.043;-60.170;54.416;1450.067;8.826;93.716;1281.261;22.332;97.129;1115.916;71.969;110.490;1196.077;-49.832;107.467;1177.841;18.724;-86.061;1276.726;11.166;-149.936;1083.784;66.070;-119.754;1203.001;-54.660;-113.805;1213.241;180.655;-56.659;1235.524;174.658;16.773;1306.177;182.118;77.723;1242.984;231.853;54.904;1162.823;197.477;85.622;992.895;250.820;35.838;1012.107;253.210;-54.318;963.640;190.992;-195.137;1001.282;187.433;-190.797;930.824;215.957;-166.661;969.491;-164.954;-56.123;1244.252;-153.447;7.509;1313.296;-162.711;79.088;1252.931;-222.540;-1.268;1162.238;-203.816;72.262;995.187;-246.383;19.748;1024.297;-224.100;-56.464;1034.536;-205.376;-205.035;1007.280;-189.578;-193.820;941.113;-220.199;-172.756;975.829;125.751;-126.337;867.339;-140.428;-106.540;868.899;101.177;71.969;939.113;-92.741;81.868;948.768
2.974;19.650;1596.932;83.233;-43.640;1544.710;-64.948;-57.244;1539.200;63.534;68.215;1448.653;-60.608;55.245;1450.018;9.167;93.131;1282.675;23.258;97.471;1117.330;72.945;109.368;1197.686;-50.223;107.418;1179.109;18.139;-86.890;1277.457;10.873;-148.474;1083.832;65.582;-120.632;1203.684;-55.050;-113.854;1213.582;180.655;-59.097;1237.767;174.219;14.335;1308.615;182.947;75.041;1245.617;232.877;53.051;1167.017;200.939;86.792;997.284;253.502;35.985;1016.056;255.209;-53.148;964.907;190.651;-194.698;997.820;188.213;-187.774;927.557;216.493;-165.247;967.199;-165.296;-56.854;1246.641;-153.447;7.168;1315.246;-163.004;78.259;1254.248;-224.149;-3.364;1164.969;-208.448;67.288;996.211;-250.333;15.262;1027.320;-227.562;-59.779;1040.534;-208.156;-209.716;1018.787;-190.261;-199.720;952.815;-222.491;-178.412;985.923;125.703;-126.483;867.437;-140.477;-105.662;869.192;101.859;71.872;939.016;-91.961;82.599;948.719
2.536;21.162;1596.932;82.209;-42.811;1544.612;-66.021;-55.489;1539.688;62.803;68.898;1448.263;-61.437;56.708;1450.165;9.606;92.351;1284.625;24.526;98.007;1119.525;74.359;107.662;1200.271;-50.125;107.272;1180.718;16.871;-87.914;1278.286;10.045;-147.937;1084.076;64.412;-121.851;1204.562;-55.927;-113.952;1214.167;180.021;-62.705;1240.595;173.341;10.435;1312.077;183.824;71.238;1249.664;234.535;49.979;1173.014;206.693;88.255;1004.061;257.744;35.692;1022.005;258.476;-51.442;966.516;189.285;-194.113;990.945;189.822;-182.410;921.316;217.274;-162.906;962.811;-165.686;-57.049;1249.957;-153.301;7.509;1317.831;-163.297;77.772;1255.467;-226.489;-6.144;1169.016;-216.055;59.682;997.771;-256.184;7.997;1031.952;-230.487;-64.558;1049.944;-205.766;-215.177;1037.803;-188.359;-207.717;971.246;-221.613;-186.457;1002.940;125.556;-126.678;867.583;-140.623;-104.395;869.436;102.786;71.872;938.967;-90.937;83.769;948.670
1.560;23.307;1596.834;80.551;-41.690;1544.759;-67.825;-53.148;1540.273;61.779;69.531;1447.678;-62.461;58.414;1450.018;10.386;91.668;1286.088;25.989;98.251;1121.329;76.114;105.565;1202.367;-49.394;107.272;1181.693;15.018;-88.889;1278.920;8.679;-147.255;1084.222;62.559;-123.216;1205.293;-57.488;-113.805;1214.850;178.558;-67.142;1242.984;172.171;5.607;1315.149;184.605;66.606;1253.468;236.387;45.785;1179.207;214.738;89.572;1011.522;263.352;34.473;1028.393;262.718;-49.832;967.784;186.360;-192.991;980.267;192.357;-174.511;912.344;217.907;-159.688;956.277;-166.173;-56.025;1253.468;-153.106;9.313;1320.171;-163.394;78.211;1255.564;-229.756;-9.264;1173.648;-227.903;49.150;999.332;-264.668;-2.487;1037.657;-232.487;-70.555;1061.452;-194.064;-219.029;1062.524;-180.070;-215.811;994.748;-214.055;-195.185;1025.711;125.166;-127.117;867.680;-140.867;-102.883;869.533;104.005;71.433;939.260;-89.572;84.793;948.865
