UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16.727;18.873;1596.062;94.658;-48.085;1544.758;-53.986;-56.717;1539.784;78.516;62.715;1446.784;-46.036;54.034;1448.735;17.898;88.952;1275.611;29.358;88.025;1110.045;80.222;103.972;1189.536;-40.136;100.656;1173.540;26.188;-90.610;1274.148;16.971;-158.884;1082.735;72.420;-125.820;1200.996;-47.695;-119.822;1212.457;187.023;-62.081;1230.891;182.927;13.265;1299.409;190.291;72.078;1233.914;240.424;45.744;1155.253;211.309;68.616;982.567;264.954;22.384;1007.780;269.684;-70.762;976.666;206.091;-203.848;1038.357;207.847;-211.748;967.888;233.499;-180.683;1003.049;-158.055;-59.594;1242.985;-144.303;5.316;1311.016;-153.130;76.224;1250.105;-214.479;-1.170;1161.641;-196.582;75.882;995.149;-240.667;24.579;1025.580;-215.162;-47.500;1045.428;-188.047;-194.826;1037.820;-172.100;-193.217;970.619;-204.189;-169.028;999.294;133.574;-134.403;865.866;-133.184;-117.188;867.720;106.850;63.349;938.774;-87.050;70.908;949.210
16.922;18.727;1596.159;94.560;-48.475;1544.807;-54.132;-56.278;1539.540;79.247;62.666;1447.126;-45.354;54.717;1448.833;18.483;89.440;1275.659;29.699;88.367;1110.094;80.759;104.265;1189.438;-39.794;101.241;1173.687;26.383;-90.122;1274.245;16.727;-158.494;1082.882;72.420;-125.479;1201.045;-47.646;-119.236;1212.701;187.218;-62.179;1230.842;183.366;13.314;1299.263;190.827;72.078;1233.719;240.960;45.354;1155.009;212.334;68.079;982.323;265.636;21.555;1007.682;269.733;-71.737;976.715;204.726;-204.287;1038.454;207.067;-212.236;968.034;232.670;-181.366;1003.293;-157.763;-58.814;1243.424;-143.766;6.096;1311.406;-152.691;76.955;1250.447;-214.723;-0.536;1162.373;-198.142;76.565;995.783;-241.789;25.066;1026.604;-215.601;-46.768;1046.550;-187.170;-193.851;1039.381;-172.393;-192.485;971.984;-204.189;-168.345;1001.001;133.184;-134.257;865.866;-133.477;-116.164;867.915;107.142;63.593;938.822;-86.709;71.834;949.259
17.215;18.678;1596.257;94.609;-48.670;1544.807;-54.083;-55.790;1539.394;79.881;62.812;1447.418;-44.720;55.400;1448.979;18.971;90.025;1275.659;29.992;88.903;1110.094;81.149;104.753;1189.390;-39.502;101.875;1173.784;26.530;-89.586;1274.343;16.532;-158.104;1083.077;72.420;-125.089;1201.094;-47.646;-118.602;1212.896;187.316;-62.081;1230.891;183.658;13.606;1299.068;191.217;72.225;1233.524;241.545;45.061;1154.814;213.504;67.299;982.079;266.465;20.482;1007.682;269.977;-72.859;977.056;203.360;-204.775;1038.991;206.725;-212.968;968.619;232.084;-182.146;1004.025;-157.568;-58.033;1243.814;-143.376;6.925;1311.699;-152.301;77.687;1250.690;-214.772;0.146;1162.860;-198.874;77.053;996.124;-242.374;25.554;1027.287;-216.040;-46.036;1047.574;-187.316;-193.070;1041.137;-172.978;-191.949;973.594;-204.580;-167.809;1002.610;132.843;-134.013;865.915;-133.720;-115.286;868.012;107.337;63.934;938.822;-86.513;72.615;949.259
17.605;18.873;1596.305;94.804;-48.524;1544.661;-53.839;-55.351;1539.345;80.174;63.203;1447.565;-44.427;56.034;1449.174;19.263;90.610;1275.708;30.187;89.488;1110.094;81.393;105.338;1189.390;-39.258;102.558;1173.833;26.530;-89.001;1274.489;16.337;-157.714;1083.320;72.273;-124.650;1201.191;-47.743;-118.017;1213.091;187.316;-61.788;1230.940;183.805;13.947;1298.921;191.461;72.517;1233.280;242.033;44.817;1154.667;215.601;66.129;981.787;268.124;19.166;1008.024;271.050;-74.517;977.885;202.141;-205.457;1039.820;206.969;-214.089;969.644;231.889;-183.268;1005.244;-157.421;-57.253;1243.961;-143.133;7.754;1311.747;-152.008;78.516;1250.788;-214.869;0.975;1163.153;-199.947;77.735;996.417;-243.252;26.334;1028.067;-216.332;-44.915;1048.939;-186.536;-191.705;1043.916;-172.734;-191.168;976.276;-204.287;-166.980;1005.244;132.599;-133.672;865.964;-133.915;-114.604;868.158;107.435;64.324;938.822;-86.416;73.298;949.210
17.800;19.409;1596.305;94.999;-47.987;1544.514;-53.693;-54.863;1539.394;80.174;63.788;1447.516;-44.378;56.570;1449.272;19.361;91.293;1275.708;30.187;90.074;1110.045;81.490;105.972;1189.341;-39.307;103.192;1173.784;26.481;-88.415;1274.538;16.142;-157.275;1083.369;72.176;-124.016;1201.240;-47.890;-117.383;1213.188;187.170;-61.154;1230.988;183.658;14.484;1298.726;191.510;72.907;1232.988;242.813;44.378;1154.619;220.526;63.398;981.445;272.122;16.191;1009.243;274.024;-78.028;979.982;200.922;-207.164;1041.478;208.188;-216.528;971.692;232.377;-185.853;1007.585;-157.519;-56.570;1244.058;-143.035;8.388;1311.796;-151.911;79.198;1250.886;-215.503;1.658;1163.689;-202.434;78.516;996.807;-245.154;26.871;1029.286;-217.064;-43.452;1051.329;-185.170;-189.559;1048.842;-170.881;-189.803;981.201;-203.019;-165.858;1009.584;132.452;-133.184;866.110;-133.964;-114.018;868.305;107.483;64.763;938.774;-86.367;73.883;949.210
17.751;20.190;1596.159;94.999;-47.207;1544.417;-53.693;-54.278;1539.394;79.979;64.422;1447.272;-44.573;57.009;1449.125;19.068;92.171;1275.659;29.846;90.805;1109.996;81.247;106.752;1189.195;-39.843;103.826;1173.784;26.334;-87.586;1274.538;15.996;-156.397;1083.467;72.030;-122.894;1201.240;-48.133;-116.554;1213.237;186.731;-60.179;1231.817;183.122;15.557;1299.117;191.315;73.444;1232.500;244.618;42.818;1155.399;232.084;56.180;981.835;281.242;8.388;1013.193;280.608;-87.147;986.273;195.801;-211.553;1045.038;212.285;-223.306;977.300;232.767;-192.388;1014.315;-157.616;-55.936;1244.497;-142.937;8.924;1312.186;-152.203;79.589;1251.129;-217.210;1.707;1165.152;-208.481;78.028;997.831;-249.592;25.847;1031.968;-219.015;-42.720;1056.450;-182.732;-187.413;1057.961;-166.004;-188.145;990.760;-200.093;-165.224;1017.728;132.404;-132.452;866.305;-133.964;-113.433;868.451;107.386;65.495;938.871;-86.465;74.614;949.210
17.361;20.824;1596.208;94.658;-46.280;1544.271;-53.937;-53.644;1539.296;79.345;65.495;1447.370;-45.110;57.838;1449.272;18.532;93.682;1275.659;29.114;91.975;1109.996;80.661;107.971;1189.097;-41.013;104.753;1173.784;26.139;-86.075;1274.977;16.044;-154.934;1083.906;71.932;-120.992;1201.582;-48.280;-115.140;1213.627;186.048;-59.106;1235.036;181.951;17.751;1300.384;190.778;74.127;1232.110;247.934;38.575;1157.886;254.078;40.379;985.152;297.189;-8.583;1023.093;289.923;-105.777;1001.147;182.293;-218.722;1051.280;216.528;-237.205;992.174;229.207;-204.823;1029.920;-157.178;-54.961;1246.009;-142.694;9.949;1313.357;-152.984;80.125;1251.519;-220.283;0.000;1168.371;-220.526;73.395;999.684;-257.834;20.238;1037.040;-222.477;-44.525;1065.374;-177.075;-185.902;1074.396;-155.812;-186.682;1008.121;-193.461;-166.297;1032.407;132.355;-131.233;866.598;-133.964;-112.653;868.695;107.093;66.665;938.969;-86.855;75.541;949.210
16.532;21.214;1596.647;93.926;-45.110;1543.783;-54.668;-52.961;1539.296;77.930;67.494;1448.004;-46.524;59.350;1450.247;18.239;96.169;1275.367;28.431;93.536;1109.850;80.320;109.580;1188.805;-42.038;106.557;1173.540;25.505;-83.831;1275.854;15.996;-153.276;1084.784;71.493;-119.090;1202.606;-48.572;-112.945;1214.554;184.146;-59.301;1240.644;180.440;20.092;1301.896;190.778;73.395;1231.622;254.322;29.358;1163.543;284.217;13.509;994.710;316.501;-36.819;1040.698;297.725;-134.111;1024.653;164.639;-227.647;1057.425;214.187;-257.151;1017.046;219.259;-221.551;1052.012;-156.105;-52.230;1249.032;-142.108;13.216;1315.356;-153.959;82.076;1251.324;-224.184;-3.560;1173.882;-238.327;61.349;1002.171;-269.440;7.949;1045.087;-226.330;-49.304;1079.126;-165.663;-183.366;1100.438;-141.816;-184.877;1034.602;-182.829;-168.345;1056.693;132.452;-129.673;866.988;-133.818;-111.677;868.939;106.703;68.177;939.115;-87.294;76.711;949.307
15.215;21.799;1597.232;92.414;-43.793;1543.198;-56.180;-51.596;1539.052;76.126;70.128;1449.028;-48.280;61.935;1451.515;19.117;99.729;1274.635;28.578;95.292;1109.362;81.295;111.190;1188.122;-42.038;109.385;1172.858;23.799;-80.954;1276.976;15.020;-151.521;1086.003;69.835;-117.432;1204.069;-49.499;-109.824;1215.919;179.074;-61.447;1247.813;178.977;20.921;1303.749;191.705;69.347;1230.111;262.125;13.557;1173.394;314.453;-22.677;1013.681;332.155;-73.541;1066.740;299.676;-167.760;1054.304;148.497;-238.668;1062.789;203.360;-278.170;1045.038;204.141;-239.009;1074.835;-154.398;-47.451;1254.007;-140.597;19.653;1317.697;-154.203;86.075;1250.593;-227.695;-8.095;1182.075;-258.906;42.038;1007.097;-281.535;-9.851;1056.889;-229.646;-55.644;1096.195;-150.009;-175.173;1132.234;-123.382;-177.952;1067.374;-168.101;-166.931;1087.173;132.501;-128.258;867.476;-133.769;-110.410;869.329;106.654;69.689;939.261;-87.343;78.125;949.307
13.704;22.774;1597.622;90.220;-42.574;1542.320;-58.375;-49.304;1538.711;74.370;72.761;1449.906;-50.084;65.348;1452.734;21.750;104.216;1273.660;30.870;97.194;1108.485;85.099;111.775;1187.683;-39.843;113.043;1171.638;20.921;-77.540;1278.147;12.875;-149.765;1087.514;66.860;-116.115;1205.824;-51.401;-105.289;1217.333;172.003;-65.348;1255.909;177.123;19.653;1306.919;195.704;63.446;1232.110;268.075;-5.511;1187.732;336.008;-61.935;1040.649;339.080;-111.044;1097.999;295.531;-200.288;1086.295;136.061;-252.762;1070.934;189.169;-298.164;1071.129;188.779;-256.419;1095.951;-151.618;-40.087;1260.590;-138.256;29.504;1319.648;-153.081;92.366;1248.886;-229.305;-10.583;1192.365;-277.146;19.214;1015.680;-291.191;-28.383;1072.543;-232.133;-61.106;1115.361;-135.525;-160.933;1164.031;-108.166;-165.809;1099.853;-154.983;-160.640;1119.311;132.355;-127.381;867.963;-133.867;-108.800;869.719;107.093;70.762;939.213;-86.806;79.881;949.112
