UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20.866;21.012;1595.627;98.578;-46.120;1544.437;-50.069;-54.554;1539.708;82.441;64.451;1446.249;-42.025;55.968;1448.346;22.573;92.630;1277.419;33.883;93.654;1112.098;85.512;107.256;1191.467;-37.296;105.988;1175.477;29.934;-86.975;1275.956;18.721;-157.081;1085.382;75.274;-122.418;1202.096;-44.901;-114.228;1214.235;190.038;-61.038;1232.810;187.503;13.943;1301.307;196.522;72.837;1236.661;248.298;44.414;1156.317;215.828;75.567;987.974;262.972;19.306;1005.671;255.708;-67.327;946.973;181.458;-204.079;972.178;173.901;-193.012;902.949;207.102;-174.730;939.904;-153.571;-56.699;1243.974;-139.628;8.483;1312.667;-149.086;79.223;1253.042;-212.123;1.755;1164.653;-204.615;89.656;1005.866;-240.497;28.667;1027.073;-203.786;-48.655;1022.491;-157.423;-178.337;970.764;-147.038;-161.030;905.484;-179.264;-148.550;942.487;131.730;-131.096;866.579;-134.411;-106.573;870.285;110.864;67.279;938.392;-82.587;80.686;948.972
20.817;21.110;1595.627;98.578;-46.023;1544.437;-50.069;-54.506;1539.708;82.392;64.500;1446.200;-42.025;55.968;1448.297;22.621;92.679;1277.321;33.981;93.605;1112.001;85.561;107.256;1191.370;-37.198;105.988;1175.379;29.934;-86.877;1275.956;18.770;-157.081;1085.382;75.274;-122.369;1202.096;-44.852;-114.179;1214.186;190.038;-60.941;1232.810;187.503;13.992;1301.259;196.522;72.885;1236.612;248.298;44.462;1156.317;215.926;75.567;987.925;263.118;19.355;1005.671;255.952;-67.327;947.119;181.750;-204.176;972.519;174.291;-193.158;903.290;207.443;-174.827;940.196;-153.522;-56.602;1243.877;-139.579;8.580;1312.569;-149.037;79.321;1252.896;-212.026;1.901;1164.556;-204.420;89.705;1005.720;-240.400;28.813;1026.976;-203.786;-48.606;1022.393;-157.618;-178.289;970.715;-147.136;-161.030;905.435;-179.361;-148.501;942.390;131.827;-131.242;866.579;-134.314;-106.720;870.236;110.961;67.181;938.343;-82.490;80.588;948.923
20.817;21.159;1595.579;98.529;-45.974;1544.437;-50.118;-54.408;1539.659;82.392;64.646;1446.249;-42.025;56.066;1448.297;22.670;92.776;1277.224;34.029;93.605;1111.903;85.659;107.305;1191.321;-37.101;106.037;1175.282;29.934;-86.780;1275.907;18.770;-157.032;1085.430;75.274;-122.272;1202.096;-44.901;-114.081;1214.186;189.989;-60.892;1232.761;187.503;14.041;1301.210;196.522;72.934;1236.564;248.346;44.462;1156.268;215.975;75.469;987.827;263.216;19.355;1005.671;256.147;-67.376;947.265;181.945;-204.323;972.812;174.632;-193.353;903.631;207.735;-174.925;940.537;-153.522;-56.407;1243.779;-139.579;8.775;1312.423;-148.988;79.467;1252.750;-212.026;2.048;1164.410;-204.323;89.802;1005.573;-240.351;28.910;1026.830;-203.835;-48.509;1022.344;-157.764;-178.289;970.764;-147.282;-161.079;905.484;-179.459;-148.452;942.439;131.925;-131.389;866.579;-134.216;-106.817;870.236;111.107;67.084;938.343;-82.343;80.442;948.923
20.769;21.256;1595.579;98.480;-45.876;1544.388;-50.118;-54.262;1539.611;82.392;64.744;1446.298;-42.025;56.261;1448.346;22.719;92.971;1277.126;34.127;93.654;1111.806;85.707;107.402;1191.224;-37.003;106.135;1175.135;29.885;-86.585;1275.907;18.819;-156.984;1085.479;75.274;-122.174;1202.096;-44.901;-113.886;1214.186;189.989;-60.746;1232.761;187.503;14.187;1301.210;196.571;73.032;1236.515;248.395;44.511;1156.219;216.121;75.420;987.779;263.362;19.355;1005.671;256.293;-67.474;947.460;181.896;-204.469;973.299;174.876;-193.548;904.168;207.882;-175.071;941.074;-153.474;-56.163;1243.682;-139.579;9.068;1312.325;-148.940;79.711;1252.555;-211.977;2.291;1164.312;-204.274;89.900;1005.378;-240.351;29.057;1026.732;-203.884;-48.363;1022.296;-157.959;-178.289;970.813;-147.428;-161.079;905.533;-179.556;-148.452;942.487;132.071;-131.486;866.579;-134.119;-106.866;870.236;111.205;66.986;938.343;-82.246;80.393;948.874
20.720;21.451;1595.579;98.432;-45.681;1544.388;-50.167;-54.067;1539.611;82.343;64.987;1446.298;-42.074;56.504;1448.346;22.719;93.166;1277.028;34.224;93.751;1111.708;85.756;107.597;1191.126;-36.857;106.281;1175.038;29.885;-86.341;1275.907;18.867;-156.886;1085.528;75.274;-121.979;1202.144;-44.852;-113.643;1214.186;189.989;-60.551;1232.810;187.503;14.382;1301.161;196.620;73.227;1236.466;248.493;44.657;1156.219;216.218;75.420;987.681;263.460;19.355;1005.720;256.342;-67.571;947.850;181.604;-204.566;974.128;175.120;-193.743;904.948;207.882;-175.168;941.951;-153.425;-55.919;1243.584;-139.530;9.361;1312.179;-148.891;80.003;1252.408;-212.026;2.535;1164.166;-204.274;90.095;1005.232;-240.400;29.300;1026.683;-203.981;-48.119;1022.344;-158.105;-178.240;971.105;-147.721;-161.030;905.825;-179.800;-148.354;942.731;132.169;-131.535;866.628;-134.021;-106.915;870.285;111.351;66.937;938.295;-82.100;80.393;948.874
20.622;21.695;1595.627;98.383;-45.340;1544.437;-50.215;-53.774;1539.611;82.295;65.329;1446.347;-42.122;56.797;1448.346;22.768;93.459;1276.980;34.371;93.995;1111.659;85.854;107.890;1191.126;-36.760;106.573;1174.940;29.934;-86.049;1275.956;18.965;-156.691;1085.577;75.323;-121.736;1202.193;-44.852;-113.350;1214.186;189.989;-60.258;1232.810;187.552;14.723;1301.161;196.668;73.568;1236.466;248.590;44.852;1156.171;216.365;75.420;987.584;263.606;19.452;1005.768;256.488;-67.718;948.484;181.068;-204.761;975.590;175.802;-194.036;906.264;208.028;-175.412;943.414;-153.327;-55.578;1243.438;-139.530;9.702;1311.984;-148.793;80.344;1252.213;-212.026;2.876;1163.971;-204.274;90.339;1005.086;-240.497;29.642;1026.683;-204.274;-47.680;1022.491;-158.690;-178.240;971.690;-148.501;-161.079;906.313;-180.434;-148.306;943.316;132.266;-131.584;866.677;-133.875;-106.915;870.333;111.497;66.937;938.295;-81.905;80.393;948.825
20.525;22.134;1595.676;98.285;-44.901;1544.437;-50.313;-53.335;1539.562;82.197;65.865;1446.444;-42.220;57.284;1448.346;22.816;93.995;1276.931;34.566;94.434;1111.611;85.902;108.377;1191.126;-36.662;107.110;1174.843;29.983;-85.464;1275.956;19.062;-156.350;1085.674;75.420;-121.248;1202.291;-44.755;-112.765;1214.186;189.989;-59.722;1232.810;187.600;15.211;1301.112;196.717;74.055;1236.417;248.736;45.194;1156.073;217.047;75.079;987.242;264.337;19.306;1005.915;257.171;-68.400;949.995;179.800;-205.444;978.418;177.655;-194.865;909.043;208.564;-176.144;946.680;-153.230;-55.139;1243.292;-139.482;10.238;1311.789;-148.696;80.881;1252.067;-212.123;3.315;1163.825;-204.810;90.436;1004.793;-241.131;29.983;1026.927;-205.103;-47.241;1023.124;-159.714;-178.727;973.397;-150.743;-161.713;907.824;-182.091;-148.745;945.023;132.412;-131.535;866.774;-133.777;-106.817;870.431;111.692;67.035;938.295;-81.758;80.539;948.874
20.427;22.865;1595.774;98.188;-44.121;1544.437;-50.362;-52.555;1539.464;82.148;66.791;1446.639;-42.269;58.211;1448.492;22.816;95.019;1276.931;34.712;95.360;1111.562;85.951;109.401;1191.126;-36.613;108.134;1174.697;30.032;-84.391;1276.053;19.209;-155.570;1085.918;75.567;-120.273;1202.486;-44.706;-111.692;1214.137;189.941;-58.650;1233.005;187.552;16.283;1301.015;196.717;75.030;1236.271;249.175;45.438;1156.073;219.777;73.080;986.560;266.921;17.697;1006.792;259.754;-71.228;953.652;177.704;-207.930;984.122;182.579;-197.692;915.088;210.417;-178.727;953.701;-153.084;-54.067;1243.048;-139.433;11.164;1311.448;-148.647;81.758;1251.677;-213.001;3.461;1163.971;-207.540;88.974;1004.208;-243.764;29.105;1027.902;-207.638;-47.631;1025.221;-160.494;-181.165;978.418;-157.520;-164.784;912.212;-186.138;-151.475;950.532;132.559;-131.291;867.018;-133.534;-106.476;870.626;111.936;67.279;938.441;-81.515;80.881;948.972
20.330;24.133;1595.725;98.090;-42.805;1544.340;-50.508;-51.093;1539.318;82.148;68.303;1446.688;-42.220;59.820;1448.492;22.865;96.872;1276.833;34.809;97.067;1111.416;86.049;111.107;1191.077;-36.565;110.035;1174.404;30.032;-82.490;1276.102;19.355;-153.864;1086.064;75.664;-118.274;1202.583;-44.706;-109.547;1214.040;189.551;-56.992;1233.882;187.405;18.185;1301.307;196.668;76.444;1235.979;250.004;44.901;1156.171;226.554;66.742;985.244;272.918;12.139;1009.327;265.995;-79.126;963.061;173.560;-213.586;994.799;194.523;-205.931;928.690;214.707;-185.845;969.301;-152.693;-52.263;1243.340;-139.140;13.114;1311.253;-148.696;83.318;1250.751;-215.292;2.925;1165.287;-215.097;83.318;1003.282;-250.394;24.425;1030.779;-213.196;-51.824;1030.730;-160.933;-186.772;988.559;-172.146;-173.706;922.596;-194.231;-159.373;963.110;132.607;-130.560;867.506;-133.436;-105.647;870.967;112.180;68.254;938.441;-81.320;81.905;948.923
