UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.385;29.506;1595.706;98.711;-37.602;1542.352;-49.989;-46.966;1542.889;78.422;72.180;1443.934;-45.795;62.865;1450.421;18.338;97.686;1276.360;32.725;98.564;1110.981;82.470;112.415;1191.354;-38.772;110.513;1173.212;25.409;-81.397;1274.361;17.899;-149.431;1082.548;72.472;-117.243;1201.059;-47.892;-109.245;1210.911;186.545;-55.598;1233.443;183.083;19.264;1302.208;192.349;79.398;1238.515;243.801;50.282;1156.142;204.737;77.691;985.398;256.189;26.677;1006.028;255.067;-64.230;963.257;191.032;-203.322;1013.002;187.277;-200.396;942.773;216.149;-174.792;979.497;-157.235;-52.379;1239.246;-145.383;13.265;1307.622;-152.992;83.446;1246.903;-212.003;5.170;1155.752;-189.618;83.836;990.422;-232.779;29.994;1017.196;-206.151;-45.746;1030.462;-173.182;-193.178;1008.613;-162.063;-181.863;941.310;-192.300;-161.575;975.303;133.142;-126.948;867.326;-133.776;-104.953;869.911;109.781;71.594;937.750;-83.689;83.348;947.699
22.434;29.018;1595.755;98.759;-38.041;1542.303;-49.941;-47.404;1542.889;78.422;71.789;1443.983;-45.746;62.426;1450.469;18.338;97.345;1276.409;32.725;98.320;1110.981;82.470;112.171;1191.403;-38.772;110.220;1173.261;25.458;-81.690;1274.361;17.947;-149.675;1082.499;72.521;-117.536;1201.011;-47.892;-109.537;1210.911;186.545;-55.842;1233.394;183.131;18.972;1302.208;192.349;79.105;1238.515;243.753;50.038;1156.093;204.785;77.447;985.398;256.238;26.482;1006.028;255.116;-64.425;963.306;191.130;-203.517;1013.100;187.374;-200.640;942.871;216.246;-174.987;979.595;-157.235;-52.672;1239.246;-145.335;12.924;1307.622;-152.992;83.153;1246.952;-211.955;4.877;1155.752;-189.569;83.592;990.470;-232.779;29.750;1017.245;-206.200;-45.990;1030.462;-173.280;-193.422;1008.613;-162.160;-182.156;941.359;-192.398;-161.819;975.352;133.142;-127.095;867.277;-133.776;-105.148;869.911;109.781;71.399;937.799;-83.641;83.104;947.748
22.532;28.530;1595.755;98.808;-38.480;1542.255;-49.843;-47.892;1542.840;78.422;71.399;1444.032;-45.746;62.035;1450.518;18.338;97.052;1276.409;32.725;98.077;1111.030;82.470;111.878;1191.403;-38.723;109.928;1173.358;25.458;-81.982;1274.312;17.996;-149.919;1082.451;72.521;-117.828;1200.962;-47.843;-109.830;1210.862;186.594;-56.134;1233.345;183.131;18.630;1302.160;192.349;78.812;1238.515;243.753;49.794;1156.142;204.834;77.252;985.398;256.286;26.287;1006.028;255.165;-64.620;963.354;191.178;-203.712;1013.100;187.472;-200.786;942.871;216.344;-175.182;979.595;-157.186;-53.013;1239.149;-145.286;12.631;1307.573;-152.992;82.812;1246.952;-211.955;4.682;1155.703;-189.520;83.446;990.470;-232.779;29.652;1017.245;-206.297;-46.088;1030.462;-173.670;-193.519;1008.710;-162.550;-182.351;941.408;-192.739;-161.965;975.401;133.191;-127.290;867.229;-133.727;-105.343;869.862;109.781;71.204;937.799;-83.641;82.909;947.748
22.581;27.994;1595.706;98.857;-38.918;1542.206;-49.745;-48.380;1542.840;78.422;71.009;1444.032;-45.746;61.548;1450.567;18.289;96.613;1276.507;32.725;97.833;1111.127;82.470;111.586;1191.549;-38.626;109.781;1173.553;25.507;-82.324;1274.263;18.045;-150.163;1082.353;72.570;-118.121;1200.864;-47.843;-110.123;1210.716;186.594;-56.427;1233.296;183.131;18.289;1302.111;192.300;78.569;1238.564;243.801;49.599;1156.142;205.127;77.105;985.447;256.530;26.141;1006.126;255.409;-64.864;963.452;191.130;-203.810;1013.246;187.570;-200.933;943.066;216.393;-175.328;979.790;-157.088;-53.549;1238.954;-145.286;12.144;1307.232;-152.894;82.568;1246.952;-211.808;4.438;1155.508;-189.910;83.348;990.519;-233.218;29.652;1017.538;-206.785;-45.990;1030.754;-174.597;-193.422;1009.296;-163.721;-182.497;941.944;-193.763;-162.014;975.937;133.191;-127.485;867.180;-133.727;-105.538;869.862;109.830;70.960;937.848;-83.592;82.665;947.797
22.434;27.506;1595.706;98.808;-39.357;1542.157;-49.745;-49.014;1542.840;78.178;70.570;1444.032;-45.893;60.963;1450.567;18.142;96.174;1276.750;32.822;97.833;1111.420;82.373;111.488;1191.842;-38.333;109.879;1173.846;25.604;-82.665;1274.068;18.338;-150.309;1082.158;72.814;-118.414;1200.718;-47.648;-110.367;1210.326;186.740;-56.573;1233.296;183.083;18.045;1302.111;192.203;78.569;1238.759;244.143;49.599;1156.337;207.419;76.520;985.593;258.530;25.312;1006.808;256.823;-65.986;964.525;190.496;-203.956;1014.417;187.813;-201.323;944.188;216.441;-175.865;981.058;-156.893;-54.135;1238.173;-145.091;11.461;1306.256;-152.845;82.324;1246.611;-212.198;3.950;1155.411;-193.568;82.470;990.470;-236.535;28.969;1018.660;-209.662;-46.283;1032.266;-177.718;-193.568;1012.124;-167.623;-183.570;944.480;-197.324;-162.746;978.473;133.288;-127.680;867.180;-133.630;-105.636;869.862;109.976;70.814;937.848;-83.494;82.519;947.845
21.898;26.872;1595.658;98.515;-39.796;1542.206;-50.038;-49.794;1542.645;77.739;70.131;1444.032;-46.332;60.182;1450.421;17.947;95.784;1276.848;33.115;97.979;1111.615;82.470;111.440;1192.232;-37.992;109.928;1173.748;25.946;-83.055;1273.727;19.167;-150.163;1081.719;73.399;-118.511;1200.474;-47.258;-110.269;1209.399;186.984;-56.037;1233.833;182.790;18.142;1302.696;192.154;78.861;1239.295;245.313;49.550;1157.849;218.002;74.179;986.618;267.309;21.703;1010.369;262.675;-70.863;969.304;184.692;-203.859;1018.074;189.179;-202.688;947.845;215.564;-178.011;986.179;-156.259;-54.671;1237.149;-144.554;10.827;1305.037;-152.845;81.787;1245.294;-215.466;2.682;1156.971;-206.834;79.203;991.007;-247.947;25.702;1022.805;-219.416;-48.575;1037.777;-186.106;-194.787;1020.805;-177.572;-187.667;952.576;-207.126;-166.159;986.471;133.532;-127.680;867.131;-133.337;-105.587;869.862;110.367;70.863;937.848;-83.104;82.568;947.894
20.971;25.946;1595.706;97.784;-40.430;1542.303;-50.721;-50.623;1542.255;77.252;69.692;1444.422;-46.819;59.597;1450.372;17.460;96.028;1276.604;33.261;98.077;1111.469;82.373;111.927;1192.330;-38.382;109.391;1173.212;26.336;-82.860;1273.483;20.240;-149.675;1081.524;74.082;-117.780;1200.425;-46.624;-109.879;1208.960;186.692;-54.574;1234.955;181.863;19.264;1303.769;192.008;79.300;1239.246;247.996;47.746;1161.166;244.192;66.766;989.934;287.109;11.266;1019.342;274.526;-82.958;981.497;169.378;-201.469;1023.439;192.739;-206.931;957.161;212.101;-182.741;998.371;-156.405;-55.549;1238.222;-143.823;10.144;1305.378;-153.333;80.129;1244.123;-223.074;0.049;1163.458;-231.024;73.448;996.177;-268.381;20.630;1034.168;-234.876;-51.599;1050.701;-195.031;-194.495;1039.484;-199.030;-195.373;970.914;-223.562;-171.427;1006.174;134.215;-127.339;867.082;-132.654;-105.587;869.862;110.903;71.107;937.799;-82.568;82.568;947.894
19.996;24.970;1596.048;96.857;-41.357;1542.596;-51.794;-51.062;1541.767;77.203;69.449;1445.300;-47.014;59.743;1450.567;16.533;97.150;1276.165;32.237;98.077;1110.981;81.446;113.049;1191.891;-39.943;109.001;1172.773;26.531;-81.739;1274.068;21.313;-149.041;1082.158;74.667;-116.024;1201.059;-45.941;-109.196;1209.740;185.375;-53.159;1238.417;180.205;21.947;1305.232;191.569;79.495;1238.368;254.677;42.284;1167.896;281.696;49.648;998.810;311.982;-9.705;1035.680;286.329;-102.905;1002.614;149.334;-193.568;1027.584;192.690;-215.417;976.376;203.273;-188.204;1017.196;-157.186;-55.939;1242.611;-142.506;10.486;1307.671;-154.211;78.666;1244.172;-232.877;-2.536;1175.358;-262.578;64.572;1008.223;-293.839;13.558;1053.969;-252.629;-55.061;1071.624;-200.591;-191.764;1065.576;-224.732;-206.102;1003.443;-240.339;-176.986;1039.436;135.581;-126.461;867.424;-131.435;-106.172;869.716;111.147;71.936;938.091;-82.470;82.226;947.992
19.557;24.044;1596.682;96.077;-42.137;1542.547;-52.525;-50.867;1541.279;77.349;70.034;1446.616;-46.917;61.011;1451.493;16.143;99.052;1275.531;31.018;98.369;1110.396;80.763;114.561;1191.110;-41.601;108.855;1172.431;26.385;-79.934;1275.239;21.995;-148.602;1083.475;74.667;-114.219;1202.376;-45.551;-108.221;1211.447;182.400;-52.769;1243.538;178.596;24.726;1306.647;192.105;78.715;1237.491;265.358;31.359;1177.991;318.224;21.361;1014.807;332.173;-39.943;1057.822;291.060;-127.826;1027.877;133.435;-183.034;1031.632;181.863;-223.464;1000.566;189.667;-192.008;1037.826;-157.820;-55.598;1249.829;-140.653;12.485;1311.328;-154.845;77.837;1245.343;-242.143;-5.804;1191.354;-296.522;52.867;1027.487;-318.712;3.365;1080.159;-268.381;-59.451;1097.423;-202.639;-188.301;1093.180;-240.534;-214.832;1043.337;-249.898;-180.888;1077.135;137.385;-124.949;867.960;-129.728;-107.197;869.570;110.854;73.204;938.579;-82.860;81.592;948.041
