UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.056;28.351;1596.989;98.912;-36.305;1541.311;-49.871;-45.137;1539.310;80.369;78.417;1448.401;-43.966;69.341;1452.646;19.763;108.818;1276.147;32.597;110.526;1111.017;82.907;123.945;1190.312;-38.501;122.530;1173.965;26.253;-69.829;1275.220;16.786;-138.340;1083.788;72.366;-105.646;1201.243;-47.968;-96.863;1212.417;187.186;-44.162;1232.034;184.259;31.181;1300.106;192.603;90.080;1234.620;243.303;61.729;1153.617;206.900;85.639;982.192;258.626;35.329;1004.151;257.308;-56.898;964.576;198.800;-192.993;1020.937;182.453;-193.335;951.889;218.075;-166.692;983.314;-157.322;-39.233;1241.940;-143.854;26.107;1310.110;-151.662;96.863;1249.503;-212.415;19.470;1158.984;-185.869;94.960;992.488;-234.032;45.577;1018.692;-227.737;-33.865;1023.621;-234.373;-179.672;978.825;-178.549;-171.132;938.811;-224.077;-145.855;950.571;132.875;-118.285;869.226;-134.241;-96.521;871.178;109.257;81.345;936.762;-84.322;93.008;946.765
21.959;28.449;1596.891;98.863;-36.208;1541.311;-49.920;-45.137;1539.262;80.272;78.417;1448.303;-44.015;69.243;1452.549;19.763;108.720;1276.098;32.694;110.379;1110.968;82.955;123.799;1190.312;-38.306;122.432;1173.916;26.302;-69.878;1275.171;16.786;-138.438;1083.739;72.366;-105.695;1201.243;-47.968;-96.960;1212.369;187.186;-44.308;1232.083;184.259;31.035;1300.155;192.700;89.982;1234.669;243.450;61.485;1153.763;207.242;85.249;982.289;258.821;34.841;1004.346;257.064;-57.532;965.015;198.263;-193.140;1021.815;181.526;-193.628;952.621;217.392;-166.984;983.997;-157.322;-39.331;1241.793;-143.952;26.058;1309.963;-151.564;96.716;1249.357;-212.073;19.421;1158.692;-185.186;94.960;992.244;-233.495;45.674;1018.399;-227.151;-33.719;1023.523;-233.837;-179.330;978.825;-177.769;-171.474;939.445;-223.101;-145.855;950.864;132.924;-118.480;869.177;-134.193;-96.716;871.178;109.404;81.150;936.762;-84.224;92.764;946.765
21.861;28.644;1596.794;98.912;-36.061;1541.360;-49.822;-45.040;1539.164;80.320;78.368;1448.206;-43.918;69.195;1452.305;19.714;108.525;1276.195;32.645;110.331;1111.017;83.004;123.799;1190.410;-38.306;122.091;1174.014;26.546;-69.878;1275.073;17.030;-138.438;1083.641;72.610;-105.402;1201.096;-47.724;-97.155;1212.320;187.138;-43.966;1232.327;184.405;31.181;1300.301;192.847;90.129;1234.962;243.840;60.948;1153.861;208.218;83.687;982.289;259.309;32.987;1004.883;256.674;-59.777;966.723;197.727;-194.213;1025.621;178.988;-194.848;957.159;215.977;-168.351;987.267;-157.225;-40.014;1241.696;-143.854;25.472;1309.817;-151.467;96.179;1249.455;-211.536;18.933;1158.301;-184.259;94.813;992.049;-232.714;45.723;1018.302;-226.371;-33.426;1024.157;-233.495;-178.988;980.581;-176.744;-172.645;942.178;-222.028;-146.197;952.816;133.070;-118.480;869.177;-134.046;-97.058;871.129;109.404;81.052;936.810;-84.175;92.471;946.765
22.105;28.790;1596.647;99.351;-35.817;1541.409;-49.285;-45.137;1539.164;80.516;78.466;1447.913;-43.674;68.853;1452.061;19.275;108.379;1276.391;32.206;110.672;1111.163;82.614;124.287;1190.654;-38.940;121.603;1174.307;26.936;-69.878;1274.976;17.811;-137.999;1083.397;73.196;-104.914;1200.852;-47.187;-97.546;1212.125;186.698;-42.990;1232.766;184.307;32.011;1300.448;192.603;90.812;1234.815;244.328;59.435;1153.470;212.024;78.271;980.777;261.895;27.326;1005.712;256.479;-66.755;972.042;196.019;-196.702;1037.626;173.230;-198.947;970.627;212.805;-172.547;997.807;-156.981;-41.331;1241.793;-143.806;23.959;1309.914;-151.711;94.813;1249.943;-211.146;17.567;1158.301;-183.331;93.788;992.049;-231.982;45.089;1018.741;-225.834;-33.133;1027.085;-233.544;-178.891;986.681;-175.524;-176.012;950.962;-220.613;-147.807;959.013;133.558;-117.943;869.324;-133.656;-97.643;871.129;109.208;81.589;936.810;-84.468;92.129;946.814
23.081;28.937;1596.550;100.522;-35.427;1541.311;-48.114;-45.479;1539.310;81.052;78.466;1447.572;-43.137;68.365;1451.963;18.397;108.720;1276.586;30.889;111.502;1111.407;81.443;125.263;1190.605;-40.258;121.505;1174.892;27.814;-69.585;1275.024;19.177;-137.023;1083.153;74.221;-103.841;1200.755;-46.211;-97.692;1212.027;186.113;-41.136;1234.376;183.868;34.500;1300.789;191.773;92.471;1233.888;244.865;56.410;1152.836;220.271;65.486;977.849;267.751;14.883;1007.957;257.894;-81.150;983.997;192.896;-201.972;1061.439;166.740;-207.779;996.245;209.145;-181.428;1019.619;-156.200;-42.746;1242.818;-143.659;22.447;1310.890;-152.492;93.105;1250.772;-210.951;14.883;1159.277;-183.234;88.909;991.610;-232.226;41.429;1020.205;-226.517;-34.841;1033.624;-235.740;-181.770;1000.588;-175.377;-184.649;970.285;-220.076;-153.858;972.628;134.534;-116.430;869.665;-132.826;-98.473;871.178;108.476;83.004;936.908;-85.346;91.739;946.814
24.838;28.839;1596.696;102.426;-35.036;1541.165;-46.113;-45.869;1539.652;81.979;78.905;1447.669;-42.063;68.072;1452.402;17.616;109.648;1276.732;29.376;112.429;1111.505;80.272;126.629;1190.410;-41.770;121.408;1175.136;29.034;-68.414;1275.561;21.032;-135.412;1083.397;75.733;-102.279;1201.145;-44.552;-97.302;1212.564;185.235;-39.135;1237.792;183.478;37.964;1301.570;191.237;94.130;1232.522;245.499;50.993;1152.690;230.030;43.625;975.848;274.778;-4.587;1013.178;259.894;-101.694;1003.516;189.675;-207.779;1096.524;160.250;-218.661;1034.063;205.583;-192.749;1052.411;-154.785;-44.113;1245.258;-143.171;21.764;1312.549;-153.565;91.495;1251.162;-210.853;9.857;1161.131;-184.112;76.709;989.414;-233.593;32.353;1022.108;-229.054;-40.843;1043.481;-241.498;-189.333;1024.987;-179.525;-198.849;999.808;-223.150;-166.106;995.611;135.998;-113.844;870.300;-131.509;-99.351;871.276;107.110;85.444;937.054;-86.762;91.495;946.911
27.034;28.742;1597.135;104.621;-34.451;1540.823;-43.869;-45.918;1539.847;83.297;79.930;1448.206;-40.697;68.609;1453.378;17.128;111.502;1276.586;27.912;113.600;1111.309;79.296;128.678;1189.775;-43.283;121.896;1174.990;30.206;-66.511;1276.342;22.837;-133.705;1084.081;77.197;-100.230;1201.828;-42.893;-96.814;1213.686;183.917;-37.281;1242.623;183.039;42.063;1302.351;191.383;95.155;1230.180;246.621;43.625;1153.275;237.448;14.493;976.775;280.340;-28.644;1021.620;262.481;-124.872;1028.159;191.383;-212.073;1136.928;156.981;-229.445;1079.006;205.241;-204.265;1091.205;-153.126;-44.894;1249.357;-142.439;22.300;1314.794;-154.541;90.129;1251.016;-210.560;2.977;1163.962;-184.503;56.166;986.437;-234.861;17.421;1024.548;-231.153;-50.896;1056.217;-247.500;-199.337;1059.877;-185.674;-214.903;1037.869;-228.274;-181.867;1027.817;137.560;-110.721;870.983;-130.191;-99.937;871.471;105.500;88.421;937.249;-88.469;91.495;947.155
28.839;29.132;1597.428;106.280;-33.524;1540.335;-42.112;-45.284;1539.994;84.322;81.540;1448.596;-39.623;69.829;1454.257;16.591;114.137;1276.049;26.448;114.674;1110.626;78.320;130.777;1188.653;-44.796;122.872;1174.599;31.181;-64.071;1277.269;24.106;-131.899;1084.910;78.173;-97.887;1202.609;-41.429;-96.082;1215.199;182.843;-35.573;1247.210;182.599;46.211;1302.692;190.846;95.643;1226.959;246.719;36.012;1154.056;239.985;-16.737;981.362;283.463;-51.579;1032.111;267.165;-145.221;1054.802;200.410;-213.879;1176.991;160.445;-237.789;1125.802;210.902;-213.195;1130.731;-151.418;-44.991;1255.164;-141.561;24.496;1317.380;-155.663;89.250;1250.040;-209.877;-5.368;1168.061;-184.405;26.741;984.827;-235.301;-4.831;1028.598;-230.226;-65.388;1072.174;-247.402;-208.852;1104.868;-186.454;-230.079;1084.910;-228.664;-198.751;1069.490;138.584;-107.793;871.422;-129.313;-99.888;871.617;103.841;91.105;937.542;-90.080;91.788;947.399
28.986;29.962;1597.721;106.329;-32.450;1540.189;-42.210;-43.869;1539.798;84.566;83.248;1449.182;-39.428;71.781;1454.842;16.103;116.918;1275.171;25.326;115.796;1109.748;77.685;132.924;1187.482;-45.967;124.238;1173.770;31.572;-61.387;1278.196;24.350;-130.484;1085.984;78.320;-95.496;1203.439;-40.404;-95.155;1216.907;182.892;-33.817;1252.138;181.965;50.164;1303.132;190.797;96.423;1224.958;245.060;29.815;1154.934;237.936;-45.869;989.511;284.049;-70.707;1043.530;272.435;-160.104;1081.006;213.586;-211.390;1214.125;169.424;-241.547;1170.305;220.759;-217.246;1168.158;-148.832;-44.796;1262.044;-140.829;27.912;1319.625;-157.030;87.933;1247.454;-208.267;-16.884;1173.819;-183.575;-10.687;987.267;-234.129;-34.744;1036.113;-226.273;-83.883;1091.205;-239.887;-215.977;1154.690;-179.720;-241.351;1136.928;-222.516;-214.025;1116.775;138.584;-105.646;871.666;-129.313;-98.961;871.812;102.621;93.056;937.835;-91.397;93.008;947.692
