UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10.102;46.606;1597.148;87.161;-21.034;1545.320;-61.588;-25.280;1537.414;76.034;92.968;1450.302;-48.607;87.795;1449.765;22.156;121.517;1277.201;35.528;120.834;1112.103;86.477;131.668;1192.041;-35.479;136.646;1173.984;20.204;-58.611;1277.689;9.663;-131.327;1087.312;65.785;-97.019;1205.023;-53.926;-83.500;1215.125;182.618;-41.579;1237.281;182.032;34.991;1304.774;195.013;93.261;1239.721;246.548;60.905;1161.833;217.218;90.186;990.537;262.312;34.162;1011.522;249.184;-57.147;969.894;165.586;-182.569;1024.894;161.584;-184.814;954.960;194.233;-160.413;988.146;-160.461;-18.594;1243.381;-144.406;46.801;1311.411;-149.335;117.320;1249.969;-213.558;41.775;1161.930;-193.305;122.201;998.638;-236.544;68.030;1024.406;-208.727;-10.102;1031.873;-174.175;-151.043;1001.371;-174.712;-143.381;933.439;-198.918;-122.689;971.212;126.788;-110.342;868.532;-137.817;-75.448;868.483;112.977;89.064;939.881;-79.987;109.268;948.714
10.200;46.460;1597.148;87.209;-21.131;1545.271;-61.540;-25.426;1537.414;76.034;92.919;1450.351;-48.607;87.697;1449.814;22.205;121.517;1277.250;35.577;120.834;1112.152;86.526;131.619;1192.090;-35.479;136.695;1174.033;20.204;-58.660;1277.787;9.614;-131.424;1087.361;65.785;-97.116;1205.071;-53.975;-83.500;1215.173;182.618;-41.531;1237.378;182.032;34.894;1304.872;195.062;93.163;1239.770;246.597;60.856;1161.930;217.316;90.186;990.586;262.409;34.162;1011.669;249.379;-57.147;970.089;165.830;-182.569;1025.089;161.828;-184.863;955.156;194.477;-160.461;988.341;-160.510;-18.545;1243.479;-144.357;46.850;1311.460;-149.335;117.320;1250.067;-213.558;41.872;1162.028;-193.305;122.249;998.736;-236.593;68.128;1024.504;-208.776;-10.004;1031.970;-174.224;-150.945;1001.469;-174.809;-143.332;933.536;-199.015;-122.640;971.309;126.788;-110.293;868.581;-137.817;-75.351;868.483;113.026;89.113;939.929;-79.938;109.366;948.714
10.248;46.167;1597.197;87.307;-21.327;1545.222;-61.442;-25.621;1537.365;75.985;92.968;1450.546;-48.558;87.600;1449.961;22.254;121.517;1277.299;35.528;120.785;1112.201;86.624;131.571;1192.139;-35.382;136.744;1174.082;20.155;-58.709;1277.787;9.614;-131.375;1087.409;65.736;-97.165;1205.120;-53.975;-83.549;1215.222;182.618;-41.531;1237.427;182.032;34.894;1304.921;195.111;93.163;1239.819;246.500;60.856;1161.979;217.365;90.138;990.684;262.507;34.210;1011.717;249.525;-57.196;970.187;166.025;-182.569;1025.333;162.023;-184.911;955.448;194.672;-160.461;988.585;-160.510;-18.545;1243.528;-144.308;46.801;1311.509;-149.286;117.320;1250.116;-213.607;41.970;1162.126;-193.354;122.396;998.882;-236.642;68.274;1024.601;-208.873;-9.858;1032.068;-174.321;-150.750;1001.518;-174.907;-143.186;933.487;-199.113;-122.445;971.407;126.739;-110.244;868.581;-137.817;-75.302;868.483;113.075;89.162;939.929;-79.938;109.414;948.763
10.297;45.923;1597.197;87.356;-21.522;1545.174;-61.344;-25.816;1537.316;76.034;92.773;1450.546;-48.558;87.453;1450.009;22.156;121.566;1277.347;35.479;120.737;1112.201;86.624;131.619;1192.139;-35.528;136.646;1174.131;20.302;-58.709;1277.787;9.614;-131.327;1087.409;65.834;-97.067;1205.023;-53.975;-83.647;1215.222;182.813;-40.994;1237.281;182.081;34.991;1304.872;195.209;93.407;1239.819;246.744;61.100;1162.028;218.292;89.601;990.684;263.385;33.576;1012.059;250.062;-57.977;970.724;165.586;-182.520;1026.065;161.779;-185.107;956.083;194.428;-160.705;989.268;-160.510;-18.642;1243.576;-144.210;46.655;1311.509;-149.286;117.223;1250.213;-213.607;41.970;1162.223;-193.501;122.591;999.078;-236.788;68.421;1024.796;-208.971;-9.663;1032.165;-174.468;-150.603;1001.469;-174.956;-142.941;933.536;-199.259;-122.249;971.407;126.739;-110.146;868.581;-137.817;-75.204;868.483;113.075;89.259;939.929;-79.889;109.512;948.763
10.297;45.825;1597.050;87.405;-21.571;1545.174;-61.247;-25.914;1537.024;76.327;92.724;1450.595;-48.265;87.405;1449.765;21.815;121.761;1277.396;35.138;121.029;1112.201;86.331;132.059;1192.090;-36.211;136.402;1174.326;20.692;-58.270;1277.543;9.907;-131.034;1087.263;66.176;-96.043;1204.779;-53.780;-83.598;1215.125;182.764;-39.725;1237.476;181.934;36.065;1305.116;195.062;94.335;1239.623;247.524;60.856;1162.418;225.954;84.574;990.537;269.144;27.671;1014.499;252.746;-64.663;975.750;159.388;-183.106;1032.605;160.461;-187.644;962.378;191.890;-164.024;996.247;-160.657;-19.618;1244.064;-144.259;45.679;1311.851;-149.676;116.100;1250.799;-214.290;40.799;1163.102;-195.745;121.176;1000.054;-238.594;66.713;1026.065;-210.191;-11.224;1033.141;-175.785;-151.970;1001.957;-174.175;-143.722;934.024;-199.650;-123.469;971.504;126.690;-109.756;868.629;-137.768;-75.107;868.581;112.977;89.601;939.929;-80.084;109.658;948.763
10.688;46.118;1597.050;87.941;-21.034;1545.076;-60.710;-25.670;1536.926;76.668;93.359;1450.644;-47.924;87.746;1449.765;20.839;122.493;1277.689;34.113;122.201;1112.640;85.355;133.230;1192.236;-37.968;136.548;1175.156;21.571;-57.147;1277.591;10.980;-129.277;1087.117;67.201;-94.188;1204.681;-52.853;-82.671;1214.978;182.276;-38.163;1240.160;181.398;38.651;1306.287;194.623;95.311;1239.087;249.379;56.318;1163.736;244.792;68.567;990.781;281.588;9.956;1021.429;256.162;-83.208;990.488;144.796;-184.082;1052.272;152.116;-195.989;983.266;183.203;-172.711;1016.939;-159.632;-21.766;1245.968;-144.064;43.971;1313.363;-151.043;113.758;1251.775;-216.242;35.821;1165.542;-202.431;113.465;1000.932;-243.328;58.514;1028.749;-214.241;-18.642;1036.802;-179.885;-160.266;1006.300;-173.004;-150.506;939.002;-201.748;-131.473;974.725;126.983;-108.536;868.825;-137.476;-74.911;868.678;112.538;90.918;939.881;-80.621;110.146;948.811
11.810;47.094;1597.343;89.015;-19.814;1544.978;-59.587;-24.743;1537.316;77.156;94.823;1450.888;-47.338;88.966;1450.400;20.009;124.397;1277.591;33.283;123.762;1112.640;84.574;135.182;1192.041;-39.432;137.427;1175.156;22.449;-55.244;1278.226;12.298;-127.130;1087.458;68.225;-92.285;1205.413;-51.535;-81.402;1215.564;180.324;-36.358;1245.968;180.519;42.799;1308.093;194.330;96.433;1237.964;253.771;46.167;1167.152;268.705;35.430;994.149;294.423;-23.230;1034.459;253.381;-114.051;1016.207;119.468;-181.300;1084.237;131.668;-206.970;1019.916;163.682;-183.691;1052.077;-157.826;-23.132;1248.701;-143.576;43.971;1314.535;-152.312;112.391;1251.238;-218.438;27.768;1168.323;-213.021;96.482;999.468;-250.306;41.433;1031.824;-217.658;-33.673;1044.073;-179.250;-176.322;1020.014;-171.735;-168.026;952.276;-201.748;-149.432;987.267;127.569;-106.291;869.264;-137.085;-74.228;869.069;111.903;93.261;939.929;-81.402;111.318;948.860
13.567;48.753;1597.880;90.577;-17.666;1544.539;-58.123;-22.742;1537.805;77.888;97.555;1451.278;-46.655;91.455;1451.522;20.058;127.422;1276.908;32.844;125.812;1112.055;84.672;137.573;1191.114;-40.213;139.379;1174.326;22.937;-52.365;1279.104;13.421;-124.787;1088.190;68.567;-90.089;1206.438;-50.559;-79.645;1216.638;175.785;-35.626;1253.581;179.836;46.752;1309.508;195.453;94.481;1234.450;258.554;28.598;1172.911;287.347;-14.104;1005.080;299.499;-68.616;1056.078;240.204;-149.432;1052.906;89.113;-169.636;1120.644;102.973;-213.314;1066.815;135.816;-188.864;1096.340;-155.825;-23.181;1252.654;-142.893;46.557;1315.267;-153.288;111.855;1249.140;-219.805;17.666;1171.544;-222.538;70.422;996.881;-255.723;16.690;1035.240;-218.390;-54.707;1054.468;-172.125;-196.868;1043.634;-163.926;-193.501;975.311;-195.697;-174.419;1008.594;128.350;-103.607;869.801;-136.548;-73.106;869.459;111.269;96.091;940.027;-82.134;112.879;948.958
15.763;51.340;1598.319;92.431;-14.543;1543.856;-56.366;-19.765;1538.293;78.864;101.411;1451.620;-45.630;95.115;1452.840;21.327;131.131;1275.444;33.527;127.959;1110.542;86.819;138.745;1189.455;-39.871;141.721;1173.057;22.986;-48.851;1279.885;13.567;-122.396;1089.118;68.128;-87.697;1207.414;-50.120;-77.351;1217.809;170.612;-35.674;1262.268;179.006;49.827;1311.607;199.162;91.553;1233.181;259.481;7.418;1182.769;293.399;-70.470;1027.871;292.715;-116.344;1087.849;216.779;-181.300;1095.267;60.807;-152.116;1151.340;70.275;-210.386;1112.543;104.778;-185.448;1138.310;-153.141;-22.156;1257.924;-141.868;51.193;1315.706;-153.532;111.611;1245.480;-219.268;6.881;1175.888;-227.906;37.431;996.149;-256.846;-13.128;1041.291;-214.485;-78.571;1068.669;-159.632;-218.438;1075.014;-149.725;-221.855;1006.886;-183.642;-201.602;1037.387;128.838;-101.020;870.338;-136.304;-71.739;869.703;110.683;98.824;940.027;-82.768;114.685;948.860
