UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10.967;58.103;1596.565;87.398;-8.725;1542.898;-61.369;-16.719;1541.484;69.265;102.899;1446.238;-55.081;94.661;1451.064;13.453;132.535;1278.266;29.490;134.924;1113.413;79.160;144.673;1194.133;-43.431;148.133;1174.587;12.917;-46.843;1277.047;3.802;-117.230;1085.873;58.737;-83.937;1204.077;-60.784;-71.166;1213.534;174.260;-29.539;1238.052;174.065;46.551;1305.611;187.714;105.287;1242.341;238.359;70.630;1159.379;202.434;95.928;986.386;250.935;43.967;1009.539;243.721;-49.232;975.126;170.458;-177.429;1041.077;166.266;-181.962;970.739;197.414;-154.519;1003.203;-167.241;-12.820;1241.366;-153.495;53.911;1308.731;-158.955;123.859;1248.532;-221.006;42.310;1156.942;-199.266;117.717;990.383;-241.381;63.319;1018.508;-210.672;-9.359;1034.643;-170.507;-151.156;1020.946;-165.291;-151.935;952.850;-193.709;-127.758;985.070;122.396;-95.928;870.667;-142.674;-63.660;869.205;106.750;103.971;939.592;-86.570;122.689;947.732
11.016;58.200;1596.516;87.447;-8.628;1542.898;-61.320;-16.670;1541.533;69.314;102.996;1446.189;-55.032;94.710;1451.015;13.502;132.584;1278.217;29.490;134.972;1113.413;79.209;144.673;1194.133;-43.382;148.133;1174.587;12.966;-46.843;1277.047;3.851;-117.181;1085.873;58.785;-83.889;1204.028;-60.784;-71.166;1213.534;174.260;-29.539;1238.052;174.065;46.599;1305.611;187.714;105.336;1242.293;238.407;70.630;1159.330;202.483;95.928;986.386;250.983;43.967;1009.539;243.769;-49.232;975.077;170.458;-177.477;1040.931;166.364;-182.011;970.642;197.462;-154.568;1003.105;-167.192;-12.820;1241.366;-153.446;53.960;1308.731;-158.906;123.908;1248.581;-221.006;42.359;1156.990;-199.315;117.717;990.432;-241.430;63.319;1018.557;-210.721;-9.310;1034.643;-170.556;-151.156;1020.897;-165.340;-151.887;952.850;-193.758;-127.758;985.070;122.396;-95.880;870.667;-142.625;-63.660;869.205;106.798;104.020;939.592;-86.570;122.689;947.683
11.114;58.200;1596.565;87.544;-8.579;1542.946;-61.174;-16.670;1541.533;69.363;103.094;1446.287;-54.935;94.661;1451.112;13.551;132.584;1278.217;29.539;134.680;1113.316;79.258;144.673;1194.085;-43.480;148.085;1174.587;13.063;-46.843;1277.047;3.997;-116.986;1085.775;58.883;-83.840;1203.980;-60.638;-71.166;1213.485;174.358;-29.393;1238.003;174.163;46.697;1305.562;187.762;105.434;1242.244;238.310;70.728;1159.330;202.532;95.928;986.337;251.032;44.016;1009.491;243.916;-49.183;974.882;170.604;-177.672;1040.394;166.656;-182.011;970.154;197.706;-154.616;1002.666;-167.144;-12.820;1241.415;-153.300;53.911;1308.780;-158.857;123.859;1248.629;-220.957;42.359;1157.088;-199.266;117.620;990.480;-241.430;63.319;1018.655;-210.916;-9.359;1034.691;-171.141;-151.594;1020.897;-165.876;-151.643;952.947;-194.343;-127.856;985.070;122.494;-95.831;870.619;-142.577;-63.660;869.205;106.798;104.069;939.592;-86.570;122.689;947.683
11.260;58.200;1596.516;87.691;-8.628;1542.946;-60.979;-16.622;1541.484;69.607;103.045;1446.287;-54.691;94.661;1451.064;13.795;132.730;1278.314;29.636;135.070;1113.462;79.453;144.575;1194.036;-43.577;148.182;1174.684;13.161;-46.648;1276.950;4.338;-116.645;1085.678;59.078;-83.499;1203.882;-60.491;-70.728;1213.290;174.553;-29.198;1238.539;174.211;47.038;1306.001;188.006;105.336;1242.293;236.799;70.776;1159.574;202.922;95.782;986.825;251.276;43.772;1010.222;244.549;-49.183;974.249;170.946;-178.647;1037.421;167.875;-182.400;967.132;198.437;-155.201;1000.181;-166.900;-12.089;1242.098;-153.057;54.155;1309.511;-158.760;123.956;1249.019;-221.055;42.261;1158.063;-198.535;115.719;991.017;-241.283;62.344;1019.727;-211.891;-10.334;1036.300;-173.919;-155.006;1022.993;-169.922;-152.179;955.092;-197.706;-129.562;987.312;122.494;-95.880;870.619;-142.577;-63.562;869.205;106.847;104.117;939.592;-86.521;122.738;947.683
11.504;58.249;1596.614;87.544;-9.018;1543.092;-61.174;-16.134;1541.435;70.289;102.801;1446.433;-54.057;95.197;1451.112;14.623;133.461;1278.607;30.075;135.411;1113.754;80.135;144.673;1194.231;-43.187;149.303;1175.172;13.405;-45.868;1277.291;4.338;-115.767;1086.019;59.273;-82.816;1204.272;-60.199;-68.973;1213.534;175.333;-28.954;1240.538;174.260;47.672;1307.463;188.640;105.385;1242.975;235.727;71.313;1161.475;203.263;95.002;989.262;251.568;42.846;1012.415;245.914;-49.524;971.568;170.751;-182.547;1025.235;172.213;-183.668;954.995;200.436;-157.443;990.627;-165.535;-9.115;1244.925;-151.887;56.836;1311.655;-158.272;125.906;1249.458;-220.957;41.238;1161.182;-201.118;104.946;990.773;-242.697;53.082;1023.334;-211.939;-18.328;1043.173;-164.901;-165.096;1034.301;-182.108;-161.051;967.961;-200.631;-139.457;1003.446;122.201;-96.026;870.765;-142.772;-62.831;869.351;107.091;104.117;939.592;-86.228;123.371;947.683
11.747;58.347;1596.857;86.813;-9.749;1542.995;-62.100;-14.672;1541.338;71.118;102.704;1446.823;-53.326;96.952;1451.502;16.476;135.265;1278.314;31.927;136.142;1113.511;82.280;144.916;1194.426;-41.140;151.399;1174.489;12.966;-44.113;1277.973;3.168;-114.305;1086.701;58.493;-82.036;1205.101;-60.443;-66.243;1214.265;175.479;-29.880;1242.536;174.406;47.331;1308.877;189.858;104.312;1243.852;236.458;69.899;1163.522;205.261;93.101;992.138;252.348;39.580;1014.463;248.546;-50.304;964.890;170.117;-188.542;1000.181;179.427;-183.034;930.818;203.214;-160.271;971.178;-163.390;-4.874;1249.458;-149.888;62.977;1312.777;-157.151;129.659;1246.826;-220.177;35.973;1164.741;-210.282;78.819;988.092;-246.158;28.710;1029.329;-207.699;-36.899;1058.137;-140.968;-181.328;1056.919;-188.883;-184.009;1004.178;-190.979;-160.319;1040.004;121.129;-96.318;870.911;-143.503;-60.784;869.693;107.871;104.020;939.592;-85.253;125.077;947.586
10.919;58.639;1597.052;84.912;-10.431;1542.849;-64.099;-12.576;1540.850;71.459;103.045;1447.505;-53.034;99.633;1451.843;18.572;137.166;1277.388;34.413;136.337;1112.487;84.864;145.404;1193.938;-38.654;153.203;1173.076;12.040;-42.212;1278.363;1.072;-112.891;1087.091;56.884;-81.256;1205.393;-61.515;-63.757;1214.898;173.968;-31.245;1242.731;174.748;46.258;1308.926;191.272;102.265;1243.414;238.359;66.341;1164.107;210.087;89.982;993.356;254.542;33.926;1014.609;252.641;-51.084;952.996;170.653;-193.319;963.135;186.592;-176.795;896.892;207.016;-160.904;941.493;-160.076;-2.340;1255.063;-148.085;69.022;1313.020;-156.322;130.537;1240.928;-220.031;23.738;1171.467;-223.979;41.725;989.701;-250.399;-6.580;1040.687;-200.826;-61.320;1078.025;-110.990;-195.123;1086.214;-173.042;-207.699;1050.972;-166.071;-180.061;1082.997;119.521;-96.903;870.765;-144.721;-57.616;870.034;109.479;103.533;939.348;-83.304;127.515;947.439
8.384;59.907;1597.052;81.744;-10.577;1543.824;-67.267;-10.188;1540.217;71.313;102.850;1448.090;-53.229;101.680;1451.161;19.790;138.190;1276.998;35.583;136.581;1112.389;85.985;145.745;1193.597;-38.020;154.031;1172.978;11.650;-41.481;1278.217;-0.341;-111.819;1086.994;55.910;-80.866;1205.198;-61.905;-63.075;1215.337;172.457;-32.025;1242.341;174.845;45.576;1308.341;191.662;100.998;1242.488;240.065;62.685;1163.668;215.254;84.864;993.941;257.028;25.981;1013.293;257.369;-51.620;938.909;172.018;-193.027;916.487;195.805;-164.024;857.165;211.891;-157.638;905.324;-155.396;-1.657;1261.741;-145.794;71.849;1315.409;-156.761;130.147;1239.709;-219.007;10.285;1183.556;-234.947;6.873;1000.814;-253.469;-35.583;1059.746;-195.464;-75.066;1102.348;-89.445;-193.465;1129.157;-151.984;-217.886;1103.908;-146.184;-183.765;1128.134;117.912;-97.634;870.521;-145.696;-54.447;870.326;111.137;102.899;939.055;-81.256;129.903;947.439
5.654;61.564;1597.052;78.332;-10.626;1545.286;-70.533;-7.945;1540.265;70.533;102.070;1448.236;-53.960;102.655;1450.137;20.716;138.531;1277.437;35.096;136.922;1113.023;86.180;145.306;1193.792;-37.923;154.811;1173.856;11.065;-41.530;1278.656;-1.657;-111.868;1087.384;55.032;-81.354;1205.442;-61.808;-64.001;1216.799;170.751;-34.267;1241.951;174.748;43.626;1307.561;191.564;98.707;1241.659;240.308;57.713;1162.547;218.861;78.332;995.014;258.100;16.524;1011.684;261.171;-50.694;925.748;173.675;-183.424;867.402;207.211;-143.503;819.779;217.009;-148.036;869.449;-153.300;0.292;1269.979;-143.064;74.822;1318.772;-157.200;131.170;1240.440;-216.424;2.242;1197.594;-237.969;-32.171;1018.411;-252.787;-63.660;1084.654;-191.028;-85.643;1133.447;-73.116;-179.963;1185.359;-131.414;-216.473;1167.422;-130.927;-177.185;1182.386;116.888;-98.073;870.521;-146.184;-52.107;870.521;112.063;102.314;939.543;-80.038;131.512;947.976
3.412;62.734;1597.150;75.261;-11.065;1546.358;-73.604;-6.093;1540.607;69.655;100.852;1448.334;-54.740;103.386;1449.601;22.130;138.726;1277.486;35.583;135.655;1112.926;87.203;143.649;1193.841;-37.143;154.665;1173.953;9.798;-41.774;1279.484;-3.948;-112.794;1088.164;53.180;-82.621;1206.124;-62.344;-64.440;1218.749;167.875;-37.435;1241.805;174.601;40.409;1307.415;192.149;95.002;1241.415;240.503;50.401;1161.621;221.055;71.751;996.183;257.564;7.360;1010.124;263.364;-46.648;914.342;175.918;-162.903;822.606;217.594;-116.108;789.703;221.591;-131.219;837.765;-150.522;2.583;1279.338;-139.944;78.819;1321.989;-157.395;131.950;1240.830;-212.183;-6.093;1214.606;-234.703;-74.676;1044.684;-248.595;-91.980;1116.484;-185.179;-92.370;1167.714;-58.688;-153.983;1241.171;-111.916;-200.290;1233.762;-116.108;-158.808;1238.198;116.011;-98.756;870.375;-146.574;-50.499;870.570;112.794;101.290;940.274;-79.014;132.292;948.512
1.609;63.319;1597.150;72.434;-11.942;1547.333;-76.138;-4.484;1540.558;69.412;99.438;1448.626;-54.935;104.117;1449.016;23.105;138.482;1277.193;35.778;134.193;1112.779;87.788;142.089;1193.743;-37.435;153.544;1174.051;9.066;-42.310;1280.264;-5.996;-113.720;1088.992;51.425;-84.279;1206.856;-62.685;-65.073;1220.699;165.389;-40.116;1242.000;174.601;37.874;1307.415;192.637;91.931;1241.220;240.698;43.480;1160.841;220.372;65.512;996.817;254.688;-0.146;1008.565;263.511;-39.629;906.494;180.304;-133.218;786.535;226.319;-82.914;767.427;226.124;-107.188;811.882;-145.696;3.558;1289.282;-135.947;81.208;1325.401;-158.175;131.414;1242.829;-206.724;-13.843;1233.567;-227.830;-110.405;1076.465;-241.771;-114.646;1150.361;-178.745;-97.050;1198.569;-47.136;-124.346;1280.995;-94.564;-176.795;1285.431;-103.776;-136.142;1280.313;115.134;-99.828;870.034;-147.012;-49.719;870.570;113.476;99.828;940.761;-78.039;132.438;948.999
0.780;63.660;1597.052;70.630;-13.112;1548.113;-77.796;-3.217;1540.363;70.094;97.586;1448.724;-54.203;104.459;1448.334;23.495;137.507;1277.145;34.608;133.364;1113.121;87.008;140.724;1193.548;-38.995;152.130;1174.782;9.700;-43.334;1280.849;-6.629;-115.036;1089.528;51.376;-86.131;1207.197;-62.197;-66.000;1222.356;164.414;-42.066;1241.318;175.284;36.071;1306.537;192.637;89.933;1240.148;240.211;39.531;1158.891;216.326;63.611;996.720;250.350;-2.340;1006.079;261.902;-28.857;902.010;186.300;-101.778;763.138;232.656;-48.890;755.436;230.511;-80.282;795.455;-139.408;3.217;1298.202;-131.853;81.500;1328.716;-159.247;129.757;1245.900;-200.338;-19.985;1250.043;-218.032;-137.800;1106.881;-232.607;-131.560;1180.485;-171.920;-99.487;1223.087;-39.142;-97.293;1307.366;-81.841;-151.887;1322.087;-94.661;-114.110;1309.218;114.695;-101.095;869.839;-147.207;-49.914;870.619;113.769;98.414;941.054;-77.601;131.853;949.340
