UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16.464;50.952;1595.982;93.380;-15.003;1541.913;-55.434;-23.771;1540.013;74.967;97.569;1446.292;-49.393;88.557;1450.773;20.167;127.721;1275.363;35.170;127.770;1110.232;84.807;139.412;1190.849;-36.387;142.822;1171.900;19.631;-51.147;1275.948;9.888;-123.337;1085.389;65.176;-88.655;1203.173;-54.362;-75.600;1212.769;181.304;-33.611;1235.469;180.963;42.623;1303.032;193.531;101.028;1238.538;243.216;67.563;1155.485;204.783;90.506;982.754;254.907;39.651;1005.551;251.010;-52.852;968.433;180.379;-185.932;1025.815;180.038;-189.293;955.378;208.729;-161.722;990.207;-160.991;-14.613;1238.830;-147.011;50.903;1306.734;-151.152;121.925;1245.942;-212.967;44.230;1155.192;-186.662;120.463;989.914;-232.402;68.878;1016.803;-209.313;-7.307;1031.319;-185.347;-151.980;1013.442;-171.026;-149.739;946.220;-201.130;-124.994;978.711;127.624;-106.581;868.818;-137.610;-72.239;868.623;113.011;93.282;938.572;-79.887;113.352;947.292
16.659;51.342;1595.982;93.526;-14.613;1541.961;-55.239;-23.333;1540.062;75.162;97.861;1446.243;-49.150;88.898;1450.725;20.361;127.965;1275.315;35.170;127.673;1110.134;84.953;139.656;1190.752;-36.241;143.066;1171.852;19.826;-50.903;1275.948;10.035;-123.094;1085.437;65.322;-88.363;1203.173;-54.216;-75.357;1212.818;181.401;-33.270;1235.469;181.158;42.915;1302.983;193.677;101.320;1238.489;243.314;67.855;1155.387;204.880;90.701;982.705;255.004;39.895;1005.502;251.156;-52.657;968.481;180.573;-185.639;1026.058;180.184;-189.098;955.573;208.923;-161.478;990.450;-160.845;-14.370;1238.879;-146.865;51.196;1306.734;-151.006;122.120;1245.893;-212.820;44.425;1155.192;-186.516;120.561;989.914;-232.305;68.975;1016.803;-209.216;-7.209;1031.319;-185.298;-151.882;1013.442;-170.880;-149.593;946.318;-200.983;-124.896;978.759;127.770;-106.483;868.866;-137.464;-72.142;868.623;113.157;93.429;938.524;-79.741;113.498;947.243
16.854;51.732;1595.934;93.721;-14.224;1541.913;-55.044;-22.992;1540.062;75.308;98.202;1446.195;-49.004;89.191;1450.676;20.508;128.209;1275.266;35.218;127.819;1110.085;85.050;139.899;1190.703;-36.144;143.260;1171.803;20.020;-50.611;1275.948;10.229;-122.802;1085.486;65.468;-88.022;1203.173;-54.021;-75.113;1212.818;181.596;-32.978;1235.420;181.304;43.256;1302.934;193.823;101.661;1238.391;243.460;68.099;1155.338;204.978;90.896;982.656;255.102;40.138;1005.405;251.205;-52.462;968.481;180.720;-185.445;1026.058;180.379;-188.903;955.670;209.070;-161.235;990.450;-160.650;-14.126;1238.927;-146.670;51.439;1306.734;-150.859;122.363;1245.893;-212.674;44.620;1155.241;-186.516;120.707;989.866;-232.208;69.073;1016.803;-209.070;-7.063;1031.368;-185.055;-151.785;1013.539;-170.685;-149.495;946.415;-200.789;-124.799;978.857;127.868;-106.337;868.915;-137.415;-71.996;868.720;113.254;93.623;938.475;-79.643;113.644;947.194
17.049;52.024;1595.885;93.964;-13.883;1541.913;-54.752;-22.748;1540.062;75.454;98.543;1446.195;-48.809;89.483;1450.676;20.654;128.501;1275.217;35.316;128.014;1109.988;85.196;140.094;1190.606;-35.998;143.504;1171.803;20.167;-50.270;1275.948;10.327;-122.509;1085.486;65.614;-87.729;1203.173;-53.875;-74.821;1212.818;181.742;-32.637;1235.420;181.499;43.597;1302.837;193.872;101.953;1238.343;243.606;68.391;1155.290;205.075;91.090;982.559;255.248;40.333;1005.356;251.351;-52.219;968.335;180.866;-185.250;1025.912;180.525;-188.708;955.524;209.118;-161.040;990.304;-160.456;-13.883;1238.927;-146.475;51.732;1306.685;-150.713;122.655;1245.844;-212.577;44.863;1155.241;-186.565;120.853;989.866;-232.208;69.170;1016.852;-208.972;-6.917;1031.368;-184.665;-151.639;1013.685;-170.344;-149.301;946.561;-200.448;-124.653;979.003;127.965;-106.240;868.915;-137.269;-71.849;868.720;113.352;93.770;938.426;-79.546;113.839;947.146
17.341;52.267;1595.885;94.257;-13.639;1541.864;-54.508;-22.505;1540.062;75.649;98.836;1446.195;-48.565;89.727;1450.725;20.800;128.842;1275.169;35.462;128.209;1109.988;85.342;140.386;1190.508;-35.852;143.796;1171.754;20.361;-49.929;1275.948;10.473;-122.266;1085.535;65.809;-87.437;1203.173;-53.680;-74.480;1212.867;181.937;-32.247;1235.371;181.645;43.986;1302.788;194.018;102.343;1238.294;243.801;68.732;1155.241;205.270;91.285;982.510;255.394;40.528;1005.307;251.497;-52.024;968.092;180.963;-185.201;1025.328;180.720;-188.465;954.939;209.313;-160.894;989.817;-160.261;-13.542;1238.976;-146.281;52.073;1306.734;-150.567;122.948;1245.796;-212.479;45.107;1155.290;-186.662;121.048;989.866;-232.208;69.316;1016.949;-208.826;-6.722;1031.465;-184.129;-151.493;1013.832;-169.954;-149.106;946.659;-200.107;-124.506;979.149;128.062;-106.142;868.964;-137.123;-71.752;868.720;113.449;93.916;938.426;-79.448;113.985;947.146
17.682;52.462;1595.885;94.549;-13.347;1541.766;-54.167;-22.261;1540.062;75.941;99.177;1446.195;-48.322;90.067;1450.773;20.946;129.232;1275.071;35.559;128.501;1109.939;85.489;140.727;1190.411;-35.900;144.088;1171.608;20.459;-49.442;1275.997;10.668;-121.973;1085.632;65.955;-86.999;1203.222;-53.583;-73.993;1212.915;182.035;-31.809;1235.420;181.791;44.474;1302.788;194.115;102.732;1238.197;243.996;69.024;1155.192;205.708;91.480;982.510;255.686;40.577;1005.307;251.741;-51.878;967.653;181.012;-185.347;1024.110;180.866;-188.172;953.673;209.411;-160.797;988.794;-160.115;-13.201;1239.220;-146.134;52.511;1306.928;-150.421;123.240;1245.844;-212.382;45.204;1155.533;-186.808;120.999;990.060;-232.256;69.170;1017.241;-208.631;-6.868;1031.709;-183.642;-151.639;1014.173;-169.370;-149.008;947.048;-199.620;-124.604;979.490;128.160;-105.996;869.012;-137.074;-71.606;868.818;113.498;94.111;938.378;-79.400;114.082;947.146
18.072;52.706;1595.885;94.841;-13.152;1541.620;-53.875;-21.920;1539.964;76.233;99.518;1446.195;-47.981;90.457;1450.822;21.189;129.767;1275.120;35.657;128.891;1109.939;85.732;141.020;1190.362;-36.046;144.478;1171.754;20.654;-48.858;1275.948;10.765;-121.486;1085.681;66.101;-86.512;1203.270;-53.388;-73.213;1212.867;182.230;-31.419;1235.566;181.986;44.961;1302.885;194.310;103.073;1238.099;244.191;69.365;1155.387;206.439;91.675;982.802;256.222;40.577;1005.551;252.228;-51.829;966.825;180.866;-185.786;1021.625;181.109;-187.685;951.237;209.508;-160.894;986.748;-159.676;-12.665;1240.096;-145.793;53.095;1307.659;-150.275;123.630;1246.331;-212.431;44.766;1156.459;-187.588;119.294;990.499;-232.646;67.465;1018.216;-208.826;-8.232;1033.170;-183.399;-153.587;1016.511;-168.834;-150.275;949.435;-199.425;-126.260;981.633;128.111;-105.947;869.110;-137.123;-71.362;868.866;113.644;94.257;938.329;-79.254;114.375;947.146
18.510;53.095;1595.690;95.036;-13.201;1541.669;-53.729;-21.238;1539.818;77.062;99.420;1446.048;-47.153;90.944;1450.481;21.725;130.547;1275.266;35.949;129.524;1109.891;86.219;141.458;1190.459;-35.803;145.258;1171.949;20.946;-47.981;1275.997;10.717;-120.707;1085.827;66.296;-85.830;1203.368;-53.144;-71.801;1212.915;182.522;-30.834;1235.956;182.278;45.545;1303.226;194.554;103.414;1238.148;244.337;69.657;1155.874;207.852;91.578;983.338;257.245;40.138;1006.038;253.153;-52.073;965.071;180.427;-187.247;1016.267;181.645;-187.247;945.928;209.752;-161.478;982.315;-158.507;-11.204;1241.460;-145.111;54.508;1308.585;-149.983;124.458;1246.380;-212.626;43.353;1157.823;-190.364;113.108;989.817;-234.400;61.571;1019.823;-209.703;-13.006;1037.213;-182.376;-159.384;1025.230;-169.126;-156.266;957.619;-199.620;-132.398;989.427;127.819;-105.947;869.207;-137.269;-70.729;868.964;113.839;94.354;938.329;-79.010;114.910;947.146
18.997;53.972;1595.105;94.987;-13.493;1541.718;-53.777;-20.118;1539.769;78.231;98.543;1445.123;-46.178;91.285;1449.604;22.748;131.862;1275.461;36.923;130.595;1110.183;87.242;142.091;1190.654;-34.926;146.768;1171.998;21.287;-46.519;1276.192;10.473;-119.294;1086.022;66.442;-84.709;1203.563;-52.803;-69.657;1213.159;182.765;-30.299;1236.589;182.668;46.178;1303.811;195.138;103.804;1238.440;244.873;69.755;1156.654;210.336;90.896;984.410;258.950;38.823;1007.012;254.664;-52.803;961.856;179.697;-190.316;1005.405;182.814;-186.419;935.309;210.141;-162.745;973.450;-156.656;-8.963;1244.334;-143.796;57.382;1309.900;-149.447;126.065;1245.796;-212.479;39.797;1160.112;-194.846;98.592;987.527;-236.786;48.419;1022.648;-211.164;-22.943;1047.150;-179.063;-170.880;1048.953;-170.052;-169.759;980.123;-199.376;-145.404;1011.055;127.186;-105.947;869.256;-137.756;-69.365;869.207;114.228;94.549;938.134;-78.523;116.128;947.048
