UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
21.068;43.161;1595.639;96.368;-26.726;1544.333;-52.573;-30.676;1540.773;82.908;83.737;1445.575;-41.600;79.153;1448.648;27.408;114.462;1280.393;40.332;117.973;1114.870;91.394;126.654;1194.998;-31.798;133.141;1177.685;24.824;-65.107;1276.053;10.827;-133.482;1084.340;68.667;-102.611;1202.362;-50.623;-87.785;1213.481;187.128;-48.574;1234.208;186.933;25.750;1304.875;199.808;86.224;1243.084;249.504;58.084;1162.420;223.510;97.002;991.922;268.720;39.698;1011.722;253.845;-50.330;969.683;161.281;-174.156;1017.526;169.523;-175.375;947.688;196.590;-153.087;985.923;-154.599;-25.360;1242.499;-140.163;37.650;1311.947;-145.869;110.219;1252.448;-211.269;29.408;1162.566;-203.710;108.366;998.359;-238.580;48.965;1025.670;-198.297;-22.336;1037.765;-139.481;-158.452;1013.966;-138.456;-150.698;945.883;-167.572;-134.506;981.875;126.752;-112.853;867.170;-136.701;-71.935;868.535;117.632;86.322;940.129;-74.910;110.999;949.736
21.117;43.502;1595.590;96.368;-26.433;1544.285;-52.573;-30.335;1540.773;83.006;84.030;1445.575;-41.552;79.543;1448.599;27.555;114.706;1280.393;40.527;118.412;1114.870;91.589;126.849;1194.949;-31.603;133.384;1177.685;24.872;-64.912;1276.150;10.924;-133.287;1084.437;68.667;-102.416;1202.460;-50.574;-87.541;1213.530;187.226;-48.379;1234.306;186.982;25.945;1304.924;199.955;86.371;1243.133;249.748;58.182;1162.566;223.901;96.954;991.922;269.061;39.650;1011.869;254.186;-50.428;969.878;161.427;-174.302;1017.916;169.718;-175.375;948.176;196.833;-153.087;986.313;-154.550;-24.921;1242.402;-140.017;38.040;1311.947;-145.674;110.609;1252.497;-211.318;30.140;1162.664;-203.759;109.487;998.603;-238.775;50.135;1025.914;-198.687;-21.215;1037.911;-140.358;-157.525;1013.868;-139.286;-149.625;945.786;-168.450;-133.482;981.924;126.898;-112.853;867.170;-136.554;-71.935;868.584;117.827;86.322;940.129;-74.666;111.048;949.736
21.166;43.600;1595.639;96.466;-26.238;1544.285;-52.427;-30.140;1540.724;83.054;84.322;1445.673;-41.454;79.787;1448.648;27.701;115.047;1280.344;40.625;118.315;1114.821;91.833;127.093;1194.900;-31.456;133.628;1177.636;24.970;-64.620;1276.199;10.973;-133.043;1084.535;68.716;-102.123;1202.508;-50.574;-87.200;1213.579;187.372;-48.038;1234.355;187.128;26.189;1304.973;200.199;86.615;1243.133;250.041;58.182;1162.566;224.437;96.417;991.775;269.598;39.211;1011.917;254.528;-51.013;970.171;161.963;-175.034;1018.745;169.523;-175.716;949.151;197.077;-153.575;986.947;-154.550;-24.482;1242.353;-139.920;38.382;1311.947;-145.430;110.999;1252.546;-211.269;30.871;1162.664;-203.564;110.512;998.750;-238.824;51.354;1026.060;-199.077;-20.044;1038.058;-141.334;-156.696;1014.307;-140.310;-148.844;946.176;-169.279;-132.555;982.314;127.044;-112.755;867.218;-136.408;-71.789;868.584;118.022;86.419;940.129;-74.520;111.146;949.736
21.361;43.600;1595.688;96.710;-26.043;1544.187;-52.135;-29.993;1540.481;83.396;84.810;1445.917;-41.161;80.226;1448.794;27.750;115.632;1280.247;40.674;118.559;1114.626;91.930;127.581;1194.754;-31.603;133.823;1177.441;25.165;-63.986;1276.248;11.168;-132.604;1084.633;68.960;-101.440;1202.557;-50.379;-86.761;1213.628;187.470;-47.063;1234.647;187.275;27.018;1305.022;200.394;87.297;1243.036;250.577;58.084;1162.371;225.461;93.784;991.044;270.427;36.870;1011.917;255.113;-53.841;971.146;162.207;-177.765;1020.940;169.376;-177.862;951.199;197.419;-156.062;988.849;-154.550;-24.190;1242.499;-139.773;38.577;1311.947;-145.284;111.097;1252.692;-211.513;31.212;1162.956;-203.905;110.365;998.945;-239.507;51.549;1026.694;-200.150;-19.703;1038.789;-143.138;-157.038;1016.014;-142.894;-149.381;947.981;-171.473;-132.799;984.119;127.142;-112.609;867.316;-136.311;-71.594;868.584;118.217;86.663;940.129;-74.373;111.292;949.736
21.849;43.795;1595.834;97.246;-25.701;1544.187;-51.598;-29.262;1539.944;84.469;85.834;1446.551;-39.991;81.396;1448.989;27.750;116.803;1280.149;40.527;119.534;1114.431;91.735;128.654;1194.413;-32.139;134.604;1177.343;25.799;-62.766;1276.248;11.753;-131.336;1084.633;69.545;-100.270;1202.703;-49.842;-85.834;1213.725;187.616;-45.502;1235.428;187.567;28.969;1305.022;200.540;88.614;1242.304;251.309;56.573;1161.152;228.680;85.151;988.313;272.914;28.823;1011.869;257.015;-63.108;974.121;161.866;-186.299;1027.133;170.010;-185.519;957.295;198.199;-164.256;994.702;-153.819;-24.190;1243.231;-139.188;38.918;1312.191;-145.479;110.853;1252.399;-213.220;29.262;1164.614;-210.684;104.464;999.384;-245.310;46.282;1029.523;-204.832;-24.190;1042.008;-146.747;-161.866;1021.232;-149.137;-154.941;953.248;-176.789;-138.359;989.678;127.386;-111.877;867.560;-136.067;-71.106;868.681;118.315;87.346;940.275;-74.276;111.877;949.834
23.068;44.770;1596.029;98.222;-24.726;1544.041;-50.671;-27.457;1539.359;86.322;87.639;1447.233;-38.138;83.737;1449.233;28.335;119.290;1279.466;40.332;121.143;1113.650;91.930;130.653;1193.291;-32.529;135.969;1176.904;27.408;-60.474;1276.540;12.583;-128.995;1084.876;70.764;-98.173;1202.996;-48.526;-83.786;1214.262;188.153;-43.502;1237.281;188.591;32.578;1304.583;201.028;90.419;1239.768;252.479;52.281;1158.421;235.264;66.814;983.582;277.352;11.363;1012.259;259.502;-82.811;980.412;158.940;-201.906;1038.740;168.937;-201.906;968.756;197.370;-181.227;1006.016;-151.966;-24.385;1246.547;-137.335;40.381;1313.459;-145.626;110.463;1251.375;-216.683;23.458;1169.784;-226.583;88.614;1000.944;-257.844;31.846;1037.180;-215.512;-37.114;1051.518;-156.501;-176.106;1035.766;-161.963;-170.596;967.001;-188.591;-154.063;1003.968;127.873;-110.463;867.852;-135.628;-69.935;868.828;118.559;88.955;940.226;-74.130;113.243;949.736
24.531;46.819;1596.175;99.343;-22.970;1544.089;-49.501;-24.482;1538.774;88.712;90.077;1447.916;-35.846;87.151;1449.428;29.749;122.997;1278.589;40.722;123.582;1112.772;92.759;133.531;1191.779;-32.529;138.164;1176.465;29.408;-56.963;1277.223;13.509;-126.020;1085.559;72.081;-95.198;1203.532;-46.672;-80.665;1215.578;188.006;-41.454;1240.012;190.298;37.016;1303.607;202.296;91.491;1235.525;254.235;44.478;1155.495;243.018;40.040;979.876;281.936;-14.094;1014.795;259.551;-110.658;990.215;152.648;-221.316;1055.615;162.353;-223.949;984.850;192.395;-204.246;1021.330;-149.527;-23.604;1253.911;-134.018;44.136;1316.482;-145.235;110.268;1249.815;-221.706;15.314;1180.562;-248.529;61.596;1007.626;-274.621;8.340;1052.201;-229.460;-57.597;1071.075;-167.426;-198.687;1065.515;-174.936;-195.175;995.043;-201.223;-178.642;1032.108;128.556;-108.512;868.242;-135.043;-68.228;869.218;118.949;91.199;939.982;-73.739;115.291;949.541
25.945;49.794;1596.322;100.416;-20.483;1544.333;-48.428;-20.678;1538.335;91.199;93.101;1448.550;-33.310;91.199;1449.477;32.383;127.288;1277.369;41.552;125.923;1111.456;94.564;136.359;1189.682;-31.505;141.188;1175.978;31.164;-52.866;1278.491;13.948;-122.948;1086.925;73.105;-91.979;1204.557;-44.965;-77.153;1217.724;186.251;-40.088;1243.816;192.249;40.918;1302.729;204.295;90.809;1230.599;256.088;33.992;1154.519;249.017;9.510;980.315;283.546;-43.161;1021.330;255.113;-140.602;1004.163;141.041;-239.799;1075.561;150.015;-247.407;1004.309;181.861;-227.948;1039.960;-145.967;-21.410;1265.372;-129.727;50.671;1320.628;-143.919;110.658;1247.913;-226.095;5.560;1197.339;-273.548;24.238;1023.817;-291.593;-22.922;1078.146;-240.726;-82.128;1102.433;-169.230;-221.803;1111.943;-180.057;-223.267;1040.545;-206.734;-206.831;1077.658;129.141;-106.464;868.779;-134.555;-66.083;869.803;119.485;93.491;939.885;-73.105;117.681;949.395
26.872;53.354;1596.517;101.148;-17.313;1544.821;-47.648;-16.484;1537.945;93.150;96.417;1449.233;-31.310;95.393;1449.379;35.309;131.336;1276.101;43.210;128.264;1110.383;97.100;138.700;1188.073;-29.749;144.162;1175.490;32.432;-49.013;1280.052;13.558;-120.119;1088.632;73.252;-89.394;1205.825;-43.649;-74.130;1220.309;183.910;-39.845;1248.010;193.907;43.356;1302.486;206.148;89.004;1226.600;257.161;22.239;1155.348;250.431;-19.361;984.119;280.863;-70.277;1030.011;245.944;-166.792;1020.745;126.605;-254.089;1099.702;132.507;-264.867;1028.158;167.523;-246.871;1062.052;-141.578;-17.996;1279.369;-124.606;58.133;1325.407;-142.992;112.462;1247.864;-227.509;-3.755;1219.724;-294.421;-18.240;1053.274;-303.005;-56.621;1115.894;-244.920;-106.171;1143.839;-159.915;-238.385;1168.418;-178.106;-250.529;1099.263;-202.344;-231.752;1136.670;129.288;-104.806;869.267;-134.262;-63.547;870.340;120.509;95.393;939.787;-72.081;120.265;949.297
