UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20.620;66.882;1595.132;95.254;-5.704;1546.872;-53.720;-9.018;1544.239;81.848;100.275;1442.892;-42.752;96.131;1446.889;24.228;125.672;1280.318;38.462;128.938;1115.306;88.380;138.201;1194.960;-34.319;142.637;1177.654;24.033;-54.208;1277.295;12.333;-121.919;1085.228;68.832;-91.403;1203.832;-50.649;-78.533;1214.215;185.584;-35.342;1236.347;185.047;40.071;1305.374;196.893;99.300;1241.465;249.541;67.077;1160.300;220.633;96.375;989.779;264.848;38.706;1009.620;255.196;-48.407;951.561;174.128;-181.976;976.325;171.154;-170.959;906.567;202.645;-154.629;947.076;-155.604;-16.331;1243.025;-142.295;47.139;1312.394;-148.145;119.335;1253.360;-211.859;38.511;1161.811;-198.648;115.971;997.384;-236.330;57.669;1023.026;-201.670;-19.597;1024.975;-159.406;-156.725;983.345;-155.067;-142.539;916.511;-183.585;-127.671;954.827;127.622;-101.883;868.933;-136.299;-62.690;869.616;117.044;98.032;939.813;-75.803;121.529;948.977
20.718;67.126;1595.132;95.449;-5.460;1546.872;-53.574;-8.823;1544.239;81.945;100.470;1442.892;-42.508;96.277;1446.938;24.277;125.916;1280.220;38.413;128.938;1115.111;88.380;138.396;1194.862;-34.270;142.832;1177.654;24.082;-53.964;1277.295;12.333;-121.724;1085.228;68.881;-91.110;1203.734;-50.649;-78.338;1214.264;185.632;-35.050;1236.249;185.096;40.315;1305.228;196.942;99.543;1241.319;249.541;67.370;1160.202;220.633;96.570;989.633;264.848;38.950;1009.522;255.245;-48.212;951.512;174.177;-181.830;976.227;171.300;-170.813;906.518;202.743;-154.482;946.979;-155.604;-16.087;1243.123;-142.149;47.383;1312.345;-148.096;119.579;1253.409;-211.908;38.803;1161.909;-198.794;116.313;997.530;-236.525;58.059;1023.172;-201.768;-19.255;1025.122;-159.552;-156.432;983.491;-155.214;-142.198;916.560;-183.731;-127.330;954.973;127.671;-101.835;868.933;-136.299;-62.592;869.616;117.044;98.130;939.813;-75.754;121.626;948.929
20.864;67.029;1595.132;95.546;-5.460;1546.823;-53.428;-8.823;1544.190;81.994;100.518;1442.990;-42.411;96.424;1447.036;24.325;126.209;1280.123;38.365;129.085;1114.964;88.429;138.639;1194.716;-34.221;143.075;1177.557;24.130;-53.623;1277.246;12.382;-121.431;1085.179;68.930;-90.769;1203.686;-50.600;-78.046;1214.215;185.681;-34.709;1236.152;185.194;40.656;1305.081;196.991;99.885;1241.124;249.492;67.711;1160.007;220.536;96.862;989.438;264.848;39.291;1009.327;255.293;-47.871;951.463;174.372;-181.684;976.227;171.495;-170.618;906.567;202.938;-154.239;946.979;-155.555;-15.746;1243.074;-142.100;47.724;1312.296;-148.048;119.871;1253.311;-211.956;39.145;1161.909;-198.941;116.654;997.530;-236.672;58.449;1023.269;-201.914;-18.865;1025.219;-159.698;-156.091;983.637;-155.506;-141.857;916.706;-184.024;-126.989;955.168;127.720;-101.786;868.933;-136.251;-62.544;869.616;117.093;98.178;939.764;-75.754;121.675;948.880
20.962;66.736;1595.230;95.595;-5.655;1546.628;-53.282;-8.970;1544.093;82.043;100.665;1443.185;-42.411;96.472;1447.231;24.374;126.501;1279.976;38.365;129.231;1114.818;88.429;138.981;1194.570;-34.124;143.319;1177.410;24.228;-53.282;1277.198;12.479;-121.139;1085.179;68.978;-90.428;1203.686;-50.552;-77.704;1214.166;185.730;-34.270;1236.054;185.194;41.095;1304.984;196.991;100.323;1241.027;249.444;68.150;1159.861;220.438;97.155;989.341;264.799;39.681;1009.279;255.440;-47.529;951.415;174.518;-181.489;976.325;171.837;-170.423;906.664;203.230;-154.044;947.125;-155.457;-15.453;1242.977;-142.052;48.066;1312.150;-147.950;120.261;1253.165;-212.005;39.583;1161.860;-199.282;117.141;997.579;-237.013;58.985;1023.416;-202.450;-18.329;1025.414;-160.235;-155.799;984.027;-156.384;-141.515;917.047;-184.804;-126.599;955.558;127.817;-101.737;868.982;-136.153;-62.544;869.616;117.141;98.276;939.666;-75.706;121.675;948.831
20.962;66.395;1595.327;95.692;-5.752;1546.579;-53.184;-9.213;1544.044;82.043;100.713;1443.380;-42.460;96.472;1447.474;24.423;126.794;1279.879;38.413;129.426;1114.721;88.478;139.273;1194.521;-34.075;143.514;1177.264;24.277;-52.940;1277.149;12.577;-120.895;1085.179;69.076;-90.086;1203.686;-50.454;-77.363;1214.166;185.779;-33.782;1236.054;185.242;41.485;1304.984;196.991;100.762;1241.027;249.395;68.686;1159.861;220.292;97.545;989.292;264.799;40.266;1009.279;255.732;-47.091;951.658;174.713;-181.294;976.764;172.519;-170.179;907.103;203.767;-153.751;947.661;-155.409;-15.063;1242.879;-141.857;48.456;1312.004;-147.804;120.651;1253.067;-212.200;40.168;1162.055;-199.867;117.726;997.774;-237.695;59.765;1023.854;-203.279;-17.598;1025.999;-161.015;-155.457;984.856;-158.626;-141.077;917.827;-186.412;-126.306;956.631;127.964;-101.737;868.982;-136.056;-62.592;869.616;117.190;98.325;939.618;-75.608;121.724;948.782
21.010;66.200;1595.425;95.741;-5.899;1546.579;-53.184;-9.408;1543.995;82.043;100.811;1443.526;-42.508;96.521;1447.572;24.471;127.086;1279.733;38.511;129.621;1114.623;88.575;139.566;1194.424;-33.929;143.758;1177.118;24.423;-52.599;1277.149;12.723;-120.700;1085.228;69.222;-89.745;1203.686;-50.308;-76.924;1214.118;185.876;-33.295;1235.957;185.340;41.923;1304.935;197.039;101.250;1240.929;249.395;69.320;1159.861;220.341;98.081;989.243;265.043;40.948;1009.376;256.219;-46.603;952.243;174.859;-180.953;977.836;173.835;-169.984;908.127;204.498;-153.507;948.880;-155.311;-14.624;1242.879;-141.710;48.797;1311.955;-147.609;121.090;1253.019;-212.590;40.753;1162.396;-201.378;118.360;998.213;-239.060;60.448;1024.683;-204.352;-16.769;1026.925;-160.966;-154.726;986.172;-161.258;-140.638;919.144;-187.875;-125.965;958.434;128.061;-101.688;869.031;-135.958;-62.592;869.664;117.288;98.373;939.618;-75.511;121.724;948.782
21.010;66.005;1595.522;95.741;-5.996;1546.579;-53.135;-9.457;1543.898;82.189;100.860;1443.672;-42.362;96.619;1447.621;24.520;127.379;1279.684;38.511;129.865;1114.574;88.526;140.004;1194.375;-33.782;144.050;1177.118;24.666;-52.209;1277.149;12.918;-120.456;1085.277;69.368;-89.355;1203.734;-50.162;-76.583;1214.118;186.022;-32.612;1235.762;185.486;42.508;1304.838;197.039;101.883;1240.832;249.395;70.148;1159.764;220.341;98.568;988.999;265.433;41.826;1009.474;257.194;-46.116;953.511;175.054;-181.050;980.176;176.468;-170.082;910.418;206.155;-153.507;951.561;-155.067;-14.283;1242.830;-141.467;49.138;1311.906;-147.463;121.431;1252.970;-212.931;41.143;1162.786;-202.743;118.799;998.505;-240.474;61.130;1025.512;-205.960;-15.941;1028.144;-162.233;-154.677;988.171;-165.353;-140.589;921.240;-190.848;-126.014;960.872;128.256;-101.688;869.079;-135.812;-62.641;869.664;117.385;98.471;939.618;-75.413;121.724;948.782
21.108;65.907;1595.571;95.839;-6.094;1546.628;-53.087;-9.457;1543.800;82.433;100.908;1443.867;-42.118;96.765;1447.718;24.569;127.866;1279.538;38.511;130.157;1114.428;88.478;140.589;1194.180;-33.685;144.343;1176.972;24.959;-51.673;1277.198;13.113;-120.115;1085.374;69.710;-88.673;1203.734;-49.869;-76.096;1214.215;186.315;-31.540;1235.664;185.632;43.483;1304.692;196.991;102.907;1240.588;249.249;71.367;1159.569;220.390;98.666;988.317;266.115;42.703;1009.766;259.047;-46.067;956.631;174.664;-181.684;985.051;182.415;-171.642;915.585;209.031;-154.385;957.654;-155.019;-13.747;1242.977;-141.223;49.625;1311.955;-147.316;121.870;1252.921;-213.175;41.777;1163.176;-203.474;118.604;998.505;-241.790;61.715;1026.584;-207.959;-15.404;1030.289;-164.573;-155.799;991.778;-172.860;-141.905;925.042;-195.674;-127.086;965.552;128.451;-101.591;869.128;-135.666;-62.641;869.664;117.483;98.568;939.618;-75.364;121.724;948.782
21.254;65.907;1595.620;95.985;-6.045;1546.530;-52.892;-9.360;1543.605;82.677;101.201;1444.062;-41.875;97.057;1447.767;24.715;128.646;1279.343;38.608;130.742;1114.136;88.526;141.467;1193.936;-33.587;144.928;1176.679;25.349;-50.844;1277.246;13.454;-119.628;1085.569;70.051;-87.795;1203.783;-49.528;-75.267;1214.313;186.607;-29.980;1235.518;185.779;44.702;1304.497;197.039;104.126;1240.247;249.297;72.537;1159.325;222.145;97.399;987.440;268.358;42.411;1010.644;261.972;-47.919;962.822;172.275;-183.097;994.605;190.117;-174.713;926.212;211.908;-156.481;969.452;-154.726;-12.821;1243.269;-140.784;50.503;1312.101;-147.121;122.455;1252.629;-214.004;42.021;1163.956;-205.863;116.605;998.310;-244.374;60.838;1028.242;-210.835;-15.892;1033.994;-165.987;-158.529;998.310;-182.220;-144.782;932.744;-201.134;-129.816;973.888;128.695;-101.298;869.226;-135.471;-62.592;869.713;117.580;98.861;939.618;-75.267;121.919;948.782
