UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
11.905;8.977;1596.961;91.531;-55.084;1544.755;-56.938;-66.794;1538.803;73.381;57.524;1449.028;-50.888;45.961;1449.955;19.467;87.286;1279.140;33.861;89.531;1112.911;82.944;102.997;1194.147;-37.471;101.728;1175.753;26.249;-92.165;1275.627;18.540;-161.350;1084.076;72.893;-126.855;1202.685;-47.376;-118.610;1212.151;187.697;-62.842;1233.960;183.794;10.002;1304.804;191.747;71.771;1241.132;242.342;46.449;1160.823;210.872;77.479;991.130;260.736;24.493;1011.280;259.077;-64.208;960.294;194.089;-203.993;996.399;185.013;-195.991;926.287;217.508;-174.963;963.075;-156.081;-57.866;1240.059;-143.249;3.757;1311.488;-151.055;76.406;1251.622;-212.141;3.025;1161.067;-195.113;87.628;1000.058;-237.366;33.031;1025.722;-209.750;-43.863;1031.431;-177.841;-187.404;995.960;-180.574;-174.280;928.629;-203.895;-156.764;967.174;135.686;-139.102;867.885;-130.563;-115.097;868.666;113.438;60.305;939.168;-80.260;72.795;948.389
12.051;8.831;1596.961;91.677;-55.084;1544.609;-56.743;-66.892;1538.754;73.381;57.719;1449.126;-50.840;46.058;1450.102;19.419;87.530;1279.042;33.763;89.726;1112.813;82.895;103.192;1194.049;-37.520;101.972;1175.704;26.249;-91.872;1275.627;18.540;-161.155;1084.124;72.893;-126.611;1202.685;-47.327;-118.366;1212.199;187.697;-62.501;1233.911;183.794;10.392;1304.706;191.698;72.112;1241.034;242.196;46.790;1160.725;210.628;77.723;991.032;260.639;24.883;1011.231;259.077;-63.916;960.392;194.381;-203.749;996.789;185.257;-195.845;926.677;217.752;-174.670;963.417;-156.081;-57.622;1240.107;-143.200;4.050;1311.488;-151.055;76.650;1251.573;-212.190;3.220;1161.116;-195.211;87.774;1000.010;-237.463;33.178;1025.771;-209.799;-43.667;1031.577;-177.841;-187.209;996.301;-180.720;-174.182;928.922;-203.993;-156.617;967.466;135.686;-139.053;867.934;-130.563;-115.097;868.714;113.389;60.354;939.119;-80.309;72.844;948.340
12.198;8.685;1597.010;91.824;-55.133;1544.511;-56.597;-66.941;1538.656;73.430;57.817;1449.223;-50.742;46.156;1450.248;19.419;87.823;1278.945;33.714;89.921;1112.716;82.846;103.485;1193.903;-37.520;102.167;1175.606;26.298;-91.531;1275.627;18.589;-161.009;1084.222;72.942;-126.319;1202.685;-47.327;-118.122;1212.199;187.746;-62.159;1233.862;183.794;10.783;1304.608;191.649;72.454;1240.888;242.147;47.180;1160.628;210.628;78.016;990.837;260.639;25.225;1011.134;259.175;-63.672;960.538;194.528;-203.505;997.277;185.404;-195.699;927.165;217.898;-174.475;963.807;-156.032;-57.378;1240.059;-143.151;4.294;1311.390;-151.055;76.894;1251.476;-212.190;3.464;1161.067;-195.357;87.920;999.961;-237.561;33.373;1025.771;-209.945;-43.375;1031.772;-177.988;-187.111;997.033;-180.915;-174.182;929.605;-204.139;-156.520;968.101;135.686;-139.004;867.934;-130.612;-115.048;868.714;113.340;60.403;939.070;-80.358;72.893;948.292
12.295;8.490;1597.010;91.872;-55.231;1544.414;-56.499;-66.989;1538.559;73.527;57.914;1449.321;-50.645;46.302;1450.394;19.370;88.116;1278.847;33.665;90.116;1112.618;82.797;103.729;1193.805;-37.569;102.314;1175.460;26.347;-91.238;1275.578;18.638;-160.862;1084.222;72.942;-125.977;1202.685;-47.278;-117.829;1212.151;187.746;-61.720;1233.862;183.745;11.173;1304.608;191.600;72.844;1240.791;242.147;47.571;1160.579;210.775;78.162;990.739;260.785;25.469;1011.134;259.273;-63.525;960.684;194.576;-203.359;997.619;185.501;-195.503;927.556;217.996;-174.328;964.197;-156.032;-57.231;1239.912;-143.200;4.440;1311.293;-151.104;77.040;1251.378;-212.190;3.659;1160.921;-195.601;88.213;999.814;-237.756;33.665;1025.917;-209.994;-42.789;1032.455;-177.792;-186.868;998.839;-181.061;-174.280;931.313;-204.188;-156.422;969.711;135.686;-138.955;867.983;-130.563;-115.048;868.763;113.291;60.500;939.070;-80.407;72.893;948.292
12.393;8.246;1596.961;91.921;-55.377;1544.170;-56.499;-67.038;1538.412;73.625;57.914;1449.370;-50.547;46.400;1450.443;19.272;88.457;1278.798;33.568;90.458;1112.569;82.700;104.021;1193.757;-37.861;102.606;1175.460;26.200;-90.750;1275.383;18.736;-160.521;1084.173;72.942;-125.538;1202.636;-47.327;-117.195;1211.907;187.746;-61.378;1234.009;183.599;11.563;1304.657;191.503;73.186;1240.839;242.196;47.863;1160.725;211.165;78.260;990.837;261.078;25.469;1011.280;259.517;-63.476;960.782;194.430;-203.554;997.570;185.599;-195.308;927.507;218.045;-174.280;964.246;-156.227;-57.280;1240.059;-143.395;4.489;1311.342;-151.250;77.040;1251.476;-212.385;3.464;1160.921;-196.235;88.116;999.717;-238.049;33.324;1026.454;-210.189;-42.448;1034.748;-177.695;-187.014;1004.108;-178.817;-174.914;935.899;-202.968;-156.764;973.468;135.638;-138.906;868.031;-130.612;-115.048;868.763;113.243;60.598;939.021;-80.455;72.942;948.243
12.539;7.855;1596.912;91.872;-55.865;1543.926;-56.548;-67.087;1538.217;73.869;57.768;1449.419;-50.352;46.595;1450.541;19.223;88.847;1278.993;33.617;90.994;1112.764;82.749;104.216;1193.854;-38.252;103.192;1175.753;26.005;-90.214;1275.090;18.638;-159.789;1083.929;72.795;-125.099;1202.539;-47.473;-116.121;1211.419;187.697;-61.281;1234.301;183.452;11.661;1304.901;191.405;73.235;1241.083;242.391;47.815;1161.116;212.092;78.162;991.178;261.761;25.225;1011.719;259.907;-63.720;960.928;193.503;-204.481;996.985;185.892;-194.772;927.019;217.996;-174.426;964.149;-156.032;-57.134;1240.449;-143.542;4.586;1311.586;-151.592;76.991;1251.622;-213.068;2.196;1161.262;-198.284;85.042;998.790;-238.976;29.957;1027.430;-210.092;-43.619;1040.847;-173.499;-188.673;1018.745;-174.377;-179.207;950.048;-199.455;-160.228;985.860;135.442;-138.955;868.080;-130.758;-114.609;868.861;113.291;60.695;938.973;-80.358;73.332;948.194
12.978;7.416;1596.863;91.677;-56.841;1543.633;-56.841;-66.892;1538.120;74.454;57.085;1449.419;-49.864;46.839;1450.638;19.614;89.531;1279.042;34.007;91.629;1112.813;83.188;104.363;1194.000;-38.154;104.216;1175.704;25.713;-89.433;1275.041;18.101;-158.764;1083.832;72.454;-124.660;1202.539;-47.717;-114.658;1211.321;187.551;-61.574;1234.643;183.355;11.466;1305.243;191.649;72.893;1241.327;242.781;47.327;1161.750;214.093;77.821;991.862;263.176;24.346;1012.549;260.541;-64.501;961.319;191.015;-206.335;995.618;186.233;-193.601;925.799;217.410;-174.865;963.905;-154.959;-55.865;1241.718;-143.298;6.245;1312.171;-151.690;78.016;1250.988;-213.507;-1.073;1162.091;-202.871;74.210;995.277;-241.415;20.199;1029.235;-208.189;-48.107;1052.703;-161.301;-192.088;1049.971;-170.669;-191.112;980.786;-192.966;-169.108;1015.622;134.808;-138.955;868.178;-131.246;-113.438;869.007;113.584;60.891;938.875;-80.016;74.405;948.096
13.564;7.221;1596.815;91.336;-58.207;1543.633;-57.280;-66.062;1538.120;75.820;55.963;1449.370;-48.644;47.522;1450.541;20.638;90.848;1278.798;34.934;92.458;1112.618;84.456;104.851;1193.854;-37.081;105.534;1175.265;25.517;-88.213;1275.383;16.930;-157.691;1084.173;71.820;-123.928;1202.783;-48.107;-113.194;1211.955;187.307;-61.866;1234.936;183.696;11.368;1305.487;192.576;72.259;1241.230;243.757;46.253;1162.433;217.166;76.991;992.545;265.176;22.688;1013.329;261.419;-65.916;961.416;185.843;-208.530;992.203;187.160;-191.795;923.018;216.044;-175.694;962.978;-153.495;-54.401;1245.133;-142.371;9.612;1313.147;-151.348;79.528;1249.378;-213.556;-7.270;1164.189;-208.482;51.669;990.056;-244.635;1.708;1032.358;-206.530;-58.256;1068.365;-145.981;-194.479;1092.467;-165.839;-208.433;1026.698;-184.623;-180.476;1058.070;133.735;-139.150;868.226;-132.173;-111.437;869.251;114.267;60.939;938.875;-79.285;76.162;948.048
14.344;7.172;1596.815;90.897;-59.817;1543.731;-57.914;-64.501;1537.876;78.016;54.743;1449.565;-46.595;48.986;1450.492;21.858;92.702;1278.262;36.007;93.287;1112.276;85.774;105.827;1193.366;-35.910;107.095;1174.582;25.859;-86.603;1276.017;15.808;-156.666;1084.954;71.429;-122.806;1203.271;-48.107;-111.925;1213.273;187.209;-61.427;1235.277;184.379;12.051;1305.535;193.747;72.356;1240.644;244.977;45.424;1162.726;221.216;75.576;992.935;267.616;19.907;1013.866;262.249;-68.063;960.538;176.963;-209.994;984.250;189.258;-189.990;916.919;213.361;-177.012;959.806;-150.811;-53.670;1250.744;-140.809;13.613;1314.464;-151.055;79.675;1246.206;-213.019;-17.321;1168.629;-214.483;17.711;987.373;-247.563;-25.322;1039.286;-203.603;-72.893;1086.613;-128.612;-192.576;1137.062;-157.788;-222.972;1081.734;-173.255;-188.185;1106.422;132.417;-139.199;868.373;-133.296;-108.949;869.641;114.999;60.988;938.924;-78.309;78.162;948.145
