UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25.314;12.242;1598.125;100.377;-55.407;1543.938;-48.530;-60.626;1542.669;84.525;56.870;1447.512;-40.287;51.359;1453.023;26.338;87.549;1284.119;39.653;94.231;1118.776;90.085;104.132;1199.399;-32.630;105.010;1181.157;31.362;-93.012;1275.974;21.119;-155.101;1082.585;77.063;-127.934;1202.081;-43.116;-117.838;1213.055;193.193;-66.332;1234.565;191.535;4.877;1305.921;198.997;68.137;1243.783;249.039;41.458;1159.551;212.508;71.161;989.476;262.452;18.680;1009.863;257.038;-72.380;967.528;182.463;-208.752;1014.302;185.292;-203.826;943.531;212.508;-181.634;982.111;-149.541;-57.163;1243.490;-137.689;3.853;1314.749;-146.370;77.746;1256.464;-207.191;-0.975;1163.696;-194.900;81.257;1000.499;-232.700;23.850;1026.739;-200.802;-49.359;1036.835;-158.808;-192.901;1008.742;-148.517;-179.585;941.580;-180.073;-162.807;975.380;137.445;-130.958;868.565;-128.178;-104.279;870.321;117.643;68.235;940.019;-75.892;82.672;949.774
25.216;11.657;1598.125;100.328;-55.895;1543.840;-48.579;-61.211;1542.621;84.330;56.529;1447.560;-40.434;50.871;1453.121;26.240;87.305;1284.070;39.507;93.939;1118.678;89.939;103.937;1199.350;-32.727;104.718;1181.060;31.362;-93.207;1275.925;21.119;-155.345;1082.537;77.063;-128.080;1202.033;-43.116;-118.033;1213.007;193.145;-66.381;1234.516;191.438;4.780;1305.872;198.851;68.088;1243.734;248.942;41.507;1159.551;212.362;71.161;989.476;262.355;18.729;1009.863;257.087;-72.283;967.430;182.512;-208.752;1014.058;185.536;-203.777;943.336;212.654;-181.585;981.965;-149.541;-57.504;1243.393;-137.786;3.560;1314.651;-146.468;77.453;1256.367;-207.289;-1.366;1163.550;-195.047;80.818;1000.353;-232.798;23.363;1026.593;-200.802;-49.749;1036.787;-158.564;-193.291;1008.888;-148.419;-180.024;941.678;-179.878;-163.246;975.527;137.494;-131.202;868.517;-128.129;-104.669;870.224;117.594;67.942;940.019;-75.941;82.282;949.774
25.070;11.169;1598.125;100.230;-56.334;1543.840;-48.676;-61.699;1542.523;84.233;56.139;1447.609;-40.531;50.432;1453.121;26.045;87.061;1283.973;39.409;93.695;1118.580;89.793;103.791;1199.252;-32.825;104.425;1180.962;31.313;-93.402;1275.827;21.168;-155.540;1082.439;77.063;-128.227;1201.935;-43.116;-118.228;1212.909;193.096;-66.430;1234.418;191.389;4.682;1305.823;198.705;67.991;1243.637;248.796;41.507;1159.502;212.313;71.064;989.427;262.355;18.729;1009.815;257.282;-72.283;967.284;182.658;-208.947;1013.619;186.121;-203.875;942.946;212.996;-181.683;981.672;-149.541;-57.797;1243.149;-137.884;3.268;1314.408;-146.614;77.112;1256.172;-207.338;-1.756;1163.355;-195.339;80.428;1000.157;-232.993;22.924;1026.447;-200.900;-50.042;1036.738;-158.418;-193.584;1009.278;-148.273;-180.463;942.117;-179.781;-163.636;975.722;137.494;-131.446;868.468;-128.129;-105.010;870.175;117.496;67.698;940.019;-76.038;81.940;949.774
25.070;11.120;1597.930;100.084;-56.626;1543.791;-48.774;-61.894;1542.718;84.086;55.505;1447.170;-40.629;49.896;1452.828;25.801;86.818;1283.875;39.361;93.500;1118.483;89.598;103.596;1199.252;-32.971;104.230;1180.767;31.118;-93.548;1275.584;21.168;-155.735;1082.293;76.916;-128.324;1201.789;-43.262;-118.277;1212.617;192.901;-66.430;1234.418;191.096;4.585;1305.823;198.461;67.893;1243.637;248.649;41.458;1159.551;212.410;70.868;989.427;262.501;18.632;1009.912;257.672;-72.332;967.040;182.902;-209.338;1012.644;187.097;-204.070;942.117;213.532;-181.927;981.087;-149.687;-58.187;1242.661;-138.176;2.829;1313.969;-146.809;76.721;1255.879;-207.435;-2.049;1162.867;-195.486;80.379;999.816;-233.090;22.875;1026.447;-201.290;-49.749;1037.713;-158.271;-193.340;1011.668;-148.419;-180.805;944.165;-179.781;-163.685;977.380;137.494;-131.690;868.419;-128.129;-105.303;870.126;117.399;67.454;940.019;-76.136;81.599;949.774
26.582;13.754;1596.369;100.425;-56.236;1543.645;-48.432;-60.480;1544.523;84.037;52.773;1443.707;-40.629;48.237;1450.975;25.314;86.379;1284.070;39.409;93.597;1118.678;89.354;103.254;1199.691;-33.166;104.279;1180.816;30.191;-93.792;1275.047;21.119;-155.442;1081.756;76.477;-128.519;1201.496;-43.848;-117.496;1211.592;192.267;-67.113;1234.857;190.218;3.707;1306.409;197.924;67.259;1244.417;248.259;40.970;1160.477;212.947;70.625;990.305;262.891;18.290;1010.839;258.355;-72.478;967.089;183.292;-210.069;1010.985;188.072;-204.070;940.605;214.166;-182.219;979.916;-150.028;-57.456;1241.442;-139.054;2.585;1313.140;-147.395;76.624;1255.342;-208.557;-2.146;1162.282;-196.998;79.111;998.499;-234.310;21.753;1026.593;-201.631;-49.164;1042.883;-154.077;-191.828;1025.227;-146.273;-183.244;956.310;-177.147;-164.856;988.500;137.396;-131.885;868.370;-128.178;-105.449;870.126;117.448;67.308;939.970;-76.136;81.501;949.725
29.801;18.827;1593.150;101.303;-55.212;1542.621;-47.506;-57.309;1547.791;83.598;48.042;1437.025;-40.824;45.652;1447.902;25.167;85.110;1284.607;40.629;93.841;1119.458;89.988;101.547;1201.301;-32.191;104.961;1180.621;27.996;-94.865;1274.169;20.192;-153.979;1080.342;74.819;-129.592;1200.813;-45.457;-116.375;1209.836;190.950;-70.430;1235.979;188.560;-0.146;1308.165;197.681;63.504;1246.709;247.186;38.580;1163.501;214.215;70.332;993.427;263.818;17.607;1013.765;259.575;-72.478;967.772;183.585;-211.142;1007.522;189.340;-203.241;937.434;215.093;-182.463;977.526;-150.565;-54.919;1240.125;-140.079;4.292;1311.676;-148.078;78.380;1253.148;-209.972;-3.219;1161.160;-202.509;69.942;992.890;-237.968;13.949;1026.300;-200.997;-50.091;1054.443;-142.176;-187.682;1060.978;-134.518;-190.999;992.012;-167.343;-169.636;1019.911;137.152;-131.787;868.468;-128.275;-104.766;870.273;117.789;67.503;939.775;-75.746;82.282;949.530
32.776;22.582;1590.175;101.645;-54.773;1541.011;-46.872;-54.432;1550.766;82.086;43.799;1431.367;-41.946;43.799;1446.097;25.753;84.135;1285.485;43.165;93.939;1120.775;91.988;99.157;1203.496;-30.045;105.839;1180.377;24.338;-95.743;1273.681;17.510;-152.955;1079.513;71.356;-131.202;1200.521;-48.628;-115.253;1208.812;188.121;-75.600;1237.686;186.463;-6.048;1310.750;198.168;57.700;1249.977;247.332;33.508;1168.086;217.385;69.454;998.645;265.915;15.608;1018.253;261.623;-72.771;968.015;183.536;-213.044;1000.109;190.608;-201.290;930.752;215.971;-182.756;972.064;-151.345;-52.286;1241.588;-141.152;8.487;1310.798;-148.321;81.013;1249.148;-210.215;-8.389;1160.916;-207.533;44.921;984.355;-240.407;-6.487;1027.227;-198.071;-57.797;1070.636;-126.568;-178.610;1112.094;-117.984;-200.607;1047.273;-153.248;-175.586;1068.246;136.421;-131.787;868.517;-128.909;-102.815;870.468;118.667;67.649;939.775;-74.770;84.037;949.335
33.703;24.094;1588.663;100.474;-55.407;1540.036;-47.847;-52.481;1552.375;80.526;41.263;1428.782;-43.165;43.506;1445.707;26.240;84.330;1285.777;45.408;93.792;1121.507;93.743;97.401;1204.813;-28.484;106.912;1179.938;20.778;-95.499;1274.120;14.242;-152.760;1079.805;67.552;-132.226;1201.301;-51.749;-114.033;1209.202;184.999;-79.697;1239.881;184.317;-10.194;1313.286;198.412;52.920;1252.514;248.113;28.143;1172.427;222.555;66.967;1003.572;268.842;11.072;1022.545;264.403;-74.527;966.503;182.414;-216.020;986.501;192.559;-198.802;918.705;216.849;-183.975;961.967;-150.370;-50.871;1246.222;-141.883;13.705;1310.603;-148.955;82.623;1243.051;-208.801;-19.607;1163.745;-208.362;4.682;979.526;-240.016;-37.702;1032.641;-194.120;-71.307;1088.828;-113.399;-163.929;1163.062;-103.693;-205.143;1108.631;-140.518;-177.049;1121.361;135.055;-132.275;868.565;-129.982;-99.986;870.565;120.130;67.015;940.263;-73.015;86.086;949.676
32.435;24.289;1588.322;97.889;-56.431;1539.889;-50.335;-51.213;1552.766;79.014;40.141;1428.343;-44.531;44.189;1445.609;25.899;85.501;1285.631;46.335;93.256;1121.361;94.280;96.962;1205.105;-28.386;108.034;1179.401;18.290;-94.475;1274.803;11.998;-152.565;1080.488;64.967;-132.372;1202.423;-53.603;-113.351;1209.934;182.561;-81.696;1242.369;182.268;-11.462;1315.237;197.876;50.627;1253.782;248.308;24.289;1175.304;227.433;62.528;1006.693;271.085;4.585;1025.374;267.378;-77.550;962.016;180.756;-219.141;964.796;196.803;-195.778;899.976;218.361;-185.731;945.775;-148.224;-50.725;1252.562;-142.078;17.559;1310.750;-150.516;83.208;1238.808;-205.875;-34.093;1170.622;-204.948;-42.433;983.818;-236.212;-73.746;1044.737;-189.194;-88.378;1108.289;-102.279;-146.468;1203.837;-91.939;-202.217;1164.623;-129.543;-173.001;1168.574;133.397;-133.055;868.565;-131.153;-96.962;870.565;121.593;66.089;940.800;-71.259;88.086;950.115
