UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
19.689;12.525;1595.793;96.688;-53.412;1541.991;-51.950;-62.428;1539.993;78.364;58.627;1445.742;-46.005;49.416;1450.225;20.078;85.577;1275.173;32.116;84.553;1109.185;82.555;99.076;1189.011;-38.402;97.273;1172.442;27.145;-93.667;1276.050;18.226;-166.134;1086.085;73.247;-130.217;1203.436;-46.638;-121.591;1213.427;188.454;-68.325;1235.698;184.458;8.041;1301.343;192.548;66.619;1234.821;241.720;35.625;1153.679;200.833;47.759;982.282;256.243;2.583;1005.869;262.091;-89.865;970.975;208.679;-229.196;1034.963;203.757;-233.387;964.396;231.681;-202.831;996.707;-155.169;-63.695;1243.252;-142.254;2.096;1310.310;-151.855;72.370;1248.661;-211.408;-10.429;1159.235;-186.066;57.604;990.225;-231.584;7.797;1019.368;-209.264;-67.935;1033.745;-192.938;-217.938;1014.056;-179.682;-212.480;946.560;-208.728;-188.259;979.504;135.627;-145.276;868.634;-131.046;-122.079;868.878;113.160;53.169;937.982;-80.508;65.742;947.632
19.640;12.963;1595.793;96.639;-53.071;1542.089;-51.999;-62.038;1539.944;78.462;58.919;1445.742;-45.907;49.806;1450.079;20.225;85.820;1275.173;32.213;84.651;1109.136;82.702;99.271;1188.962;-38.402;97.370;1172.393;27.340;-93.472;1276.147;18.519;-166.037;1086.182;73.491;-130.071;1203.534;-46.443;-121.494;1213.573;188.649;-68.081;1235.844;184.604;8.382;1301.392;192.694;66.863;1234.821;242.062;35.771;1153.776;201.612;47.759;982.330;256.877;2.485;1006.064;262.627;-89.963;971.073;208.971;-229.293;1034.963;203.952;-233.338;964.396;231.974;-202.879;996.756;-155.071;-63.647;1243.496;-142.011;2.193;1310.407;-151.709;72.419;1248.759;-211.359;-10.429;1159.478;-186.310;57.409;990.371;-231.827;7.700;1019.758;-209.605;-67.935;1034.281;-193.815;-218.231;1014.933;-180.364;-212.675;947.388;-209.410;-188.357;980.284;135.870;-145.081;868.732;-130.802;-122.030;868.878;113.258;53.412;937.982;-80.411;65.840;947.632
19.640;13.451;1595.696;96.639;-52.681;1542.235;-51.950;-61.502;1539.896;78.754;59.212;1445.742;-45.664;50.196;1449.933;20.371;86.015;1275.221;32.359;84.797;1109.185;82.848;99.417;1188.962;-38.500;97.468;1172.442;27.632;-93.277;1276.196;18.860;-165.890;1086.329;73.832;-129.925;1203.631;-46.151;-121.348;1213.622;188.942;-67.789;1235.991;184.750;8.723;1301.489;192.840;67.107;1234.870;242.549;35.966;1154.020;202.733;48.003;982.525;257.803;2.583;1006.405;263.358;-90.012;971.073;208.922;-229.391;1034.378;204.000;-233.046;963.909;232.022;-202.782;996.414;-154.877;-63.841;1243.983;-141.767;2.096;1310.846;-151.611;72.175;1249.100;-211.457;-10.819;1160.112;-187.138;56.824;990.859;-232.364;7.018;1020.587;-209.995;-68.325;1035.402;-194.254;-218.913;1016.883;-179.926;-213.309;949.484;-209.507;-188.942;982.038;136.065;-144.935;868.780;-130.607;-121.932;868.975;113.453;53.607;937.982;-80.265;65.937;947.632
19.786;14.035;1595.647;96.737;-52.292;1542.381;-51.755;-60.869;1539.847;79.193;59.455;1445.742;-45.225;50.683;1449.738;20.566;86.259;1275.416;32.506;85.089;1109.429;83.091;99.563;1189.060;-38.743;97.712;1172.783;28.071;-93.082;1276.294;19.201;-165.549;1086.377;74.222;-129.730;1203.729;-45.761;-121.055;1213.670;189.283;-67.545;1236.283;184.945;9.016;1301.733;193.084;67.350;1235.113;243.280;36.209;1154.507;204.634;48.490;983.061;259.313;2.632;1007.038;264.284;-90.060;970.975;208.094;-229.586;1033.111;203.708;-232.412;962.691;231.730;-202.685;995.537;-154.292;-64.134;1245.006;-141.328;1.949;1311.528;-151.563;71.785;1249.685;-211.554;-12.086;1161.233;-188.649;54.338;991.297;-233.289;4.532;1021.902;-210.336;-70.031;1038.131;-193.961;-221.155;1022.341;-178.512;-215.940;954.991;-208.971;-191.476;986.765;136.114;-144.789;868.829;-130.412;-121.542;869.073;113.696;53.851;937.934;-80.021;66.327;947.681
20.127;14.669;1595.598;96.981;-51.999;1542.625;-51.609;-60.089;1539.749;80.021;59.650;1445.742;-44.397;51.317;1449.494;21.102;86.600;1275.563;32.847;85.333;1109.575;83.579;99.661;1189.109;-38.695;98.101;1173.026;28.656;-92.789;1276.440;19.542;-165.111;1086.475;74.709;-129.437;1203.875;-45.176;-120.665;1213.865;189.819;-67.302;1236.429;185.384;9.308;1301.879;193.523;67.594;1235.211;244.498;36.356;1155.141;207.850;49.270;983.646;261.701;2.534;1007.818;265.356;-90.353;970.780;205.560;-230.073;1031.064;202.685;-231.145;960.595;230.463;-202.538;994.270;-153.220;-64.231;1246.566;-140.549;2.193;1312.454;-151.416;71.347;1249.929;-211.700;-14.523;1162.841;-191.866;48.003;991.151;-235.190;-1.608;1023.803;-211.018;-74.709;1043.102;-192.061;-226.272;1033.355;-175.540;-222.617;965.907;-207.071;-197.762;996.463;136.016;-144.740;868.926;-130.461;-120.763;869.219;114.037;54.046;937.934;-79.680;67.009;947.681
20.907;15.351;1595.550;97.468;-51.853;1542.820;-51.122;-59.017;1539.603;81.434;59.797;1445.742;-43.081;52.243;1449.202;21.930;87.136;1275.611;33.480;85.772;1109.575;84.358;99.953;1189.011;-38.354;98.589;1173.173;29.630;-92.400;1276.635;19.786;-164.380;1086.621;75.391;-129.048;1203.924;-44.397;-120.129;1214.255;190.452;-67.009;1236.429;186.115;9.649;1301.928;194.302;67.789;1235.162;246.204;36.307;1155.775;212.529;50.342;984.328;264.967;2.096;1008.695;266.380;-90.840;970.634;200.491;-230.609;1028.043;200.686;-228.952;957.574;227.783;-202.295;992.613;-151.465;-64.329;1249.051;-139.233;2.924;1313.673;-151.075;70.762;1249.734;-211.603;-19.152;1165.278;-196.642;35.966;990.518;-237.919;-13.158;1026.727;-211.359;-83.091;1051.143;-188.064;-234.557;1052.312;-169.838;-234.167;985.157;-203.123;-208.728;1013.276;135.627;-144.789;868.975;-130.704;-119.544;869.414;114.574;54.192;937.885;-79.095;68.033;947.729
22.028;16.082;1595.550;98.199;-51.755;1542.966;-50.488;-57.701;1539.554;83.189;59.992;1445.839;-41.424;53.461;1449.104;23.002;87.916;1275.611;34.309;86.357;1109.526;85.431;100.489;1188.767;-37.915;99.222;1173.270;30.800;-91.815;1276.976;19.932;-163.600;1086.865;76.171;-128.414;1204.021;-43.471;-119.642;1214.986;191.183;-66.619;1236.234;187.090;10.137;1301.781;195.326;68.081;1234.821;248.056;36.307;1156.359;218.182;51.658;985.059;268.719;1.462;1009.621;267.013;-91.425;970.244;192.548;-230.853;1023.413;197.860;-225.638;953.187;223.591;-201.661;990.323;-149.126;-64.621;1252.853;-137.527;4.094;1315.330;-150.637;69.836;1249.198;-211.067;-26.024;1169.030;-201.807;17.154;990.323;-240.697;-30.166;1031.552;-210.969;-94.934;1063.424;-181.193;-244.450;1081.748;-161.943;-249.177;1014.690;-196.934;-223.055;1039.739;135.091;-144.740;868.975;-131.094;-117.985;869.657;115.256;54.387;937.836;-78.315;69.348;947.827
23.392;17.008;1595.598;99.076;-51.463;1543.209;-49.660;-56.288;1539.506;85.138;60.333;1445.985;-39.523;54.777;1449.007;24.318;88.745;1275.563;35.088;87.039;1109.477;86.552;101.074;1188.524;-37.428;99.807;1173.611;32.164;-91.230;1277.414;20.078;-162.771;1087.206;77.048;-127.829;1204.167;-42.350;-119.252;1215.961;191.963;-66.278;1235.747;188.308;10.673;1301.392;196.544;68.374;1234.285;250.054;36.209;1156.700;224.322;53.266;985.839;272.569;0.682;1010.255;266.916;-91.912;968.929;182.119;-229.683;1016.542;193.425;-221.350;947.144;217.597;-200.345;986.278;-146.056;-65.255;1258.311;-135.334;5.604;1317.669;-150.149;68.276;1248.369;-210.141;-35.088;1174.976;-207.119;-8.967;992.467;-243.231;-52.681;1039.934;-209.117;-109.067;1080.627;-169.253;-252.686;1121.320;-150.880;-264.138;1054.554;-187.187;-237.724;1076.631;134.506;-144.594;868.975;-131.435;-116.279;869.999;115.889;54.631;937.836;-77.584;70.762;947.924
24.757;18.129;1595.647;100.051;-51.073;1543.551;-48.685;-54.631;1539.408;87.331;60.674;1446.131;-37.379;56.190;1448.763;25.829;89.670;1275.514;35.771;87.770;1109.380;87.624;101.757;1188.183;-36.940;100.294;1173.952;33.870;-90.548;1277.902;20.273;-161.943;1087.693;78.121;-127.147;1204.265;-40.937;-119.057;1217.179;192.792;-65.742;1235.016;189.770;11.258;1300.709;197.909;68.764;1233.554;252.344;35.917;1156.798;230.560;55.069;986.570;276.029;-0.146;1010.401;265.698;-91.961;966.394;171.007;-226.857;1007.818;186.602;-215.891;939.542;210.141;-198.104;980.137;-142.254;-65.888;1265.231;-132.459;7.261;1320.642;-149.857;66.619;1247.687;-208.435;-45.956;1183.797;-211.700;-41.765;999.192;-244.401;-80.362;1053.092;-205.462;-125.392;1101.777;-153.707;-257.656;1166.204;-135.139;-276.078;1100.998;-173.395;-250.346;1119.565;134.018;-144.350;868.975;-131.728;-114.671;870.340;116.377;54.972;937.836;-77.000;72.078;948.168
