UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.976;0.927;1596.104;98.491;-66.197;1541.566;-50.343;-71.563;1539.224;83.076;47.514;1446.782;-41.611;41.367;1450.880;24.830;78.832;1276.971;36.440;81.222;1110.819;87.710;91.954;1190.773;-34.245;94.881;1174.870;28.001;-101.077;1274.630;17.366;-169.421;1083.550;73.612;-137.907;1201.505;-46.538;-126.297;1211.993;189.665;-80.149;1233.360;187.616;-4.439;1300.972;196.982;54.929;1236.531;247.472;24.976;1155.357;212.544;49.416;983.839;264.155;-1.024;1006.864;260.594;-93.711;974.278;194.007;-224.593;1041.743;186.202;-228.642;971.399;218.203;-201.275;1003.010;-153.176;-67.271;1241.506;-139.761;-2.293;1309.460;-148.005;68.637;1250.482;-209.324;-12.342;1157.943;-187.909;63.027;991.010;-231.325;10.537;1019.499;-204.592;-63.027;1035.743;-177.323;-210.202;1020.865;-166.006;-205.958;953.057;-195.812;-182.787;985.790;134.346;-148.737;867.542;-131.712;-119.955;868.762;115.906;49.660;938.423;-77.515;66.344;948.521
23.172;0.585;1596.104;98.686;-66.441;1541.517;-50.148;-71.954;1539.322;83.125;47.221;1446.733;-41.514;40.977;1450.928;24.830;78.588;1276.873;36.440;80.881;1110.770;87.662;91.759;1190.675;-34.245;94.589;1174.821;28.050;-101.272;1274.532;17.415;-169.664;1083.501;73.710;-138.054;1201.407;-46.441;-126.492;1211.944;189.665;-80.295;1233.165;187.665;-4.586;1300.777;196.934;54.782;1236.384;247.374;24.830;1155.162;212.593;49.319;983.693;264.155;-1.220;1006.669;260.399;-93.857;974.083;193.568;-224.739;1041.499;185.714;-228.691;971.156;217.812;-201.422;1002.718;-153.127;-67.563;1241.458;-139.712;-2.585;1309.411;-148.005;68.344;1250.434;-209.276;-12.683;1157.943;-187.958;62.685;990.961;-231.374;10.195;1019.450;-204.592;-63.368;1035.743;-177.323;-210.544;1020.962;-166.055;-206.349;953.106;-195.860;-183.177;985.839;134.395;-148.883;867.493;-131.712;-120.248;868.713;115.858;49.514;938.472;-77.564;66.051;948.521
23.415;0.341;1596.055;98.979;-66.588;1541.468;-49.855;-72.246;1539.322;83.222;47.026;1446.635;-41.416;40.636;1450.928;24.830;78.344;1276.825;36.343;80.637;1110.673;87.613;91.515;1190.578;-34.245;94.296;1174.772;28.147;-101.418;1274.386;17.464;-169.860;1083.403;73.759;-138.151;1201.310;-46.392;-126.687;1211.847;189.665;-80.344;1233.018;187.714;-4.634;1300.679;196.934;54.636;1236.238;247.423;24.733;1155.113;212.885;49.172;983.595;264.302;-1.512;1006.620;260.155;-94.198;973.985;192.836;-224.837;1041.402;185.080;-228.740;971.058;217.276;-201.617;1002.571;-153.030;-67.856;1241.458;-139.712;-2.878;1309.362;-148.005;68.051;1250.434;-209.276;-12.976;1157.943;-188.007;62.295;990.961;-231.374;9.805;1019.450;-204.641;-63.758;1035.694;-177.274;-210.885;1020.962;-166.103;-206.690;953.106;-195.812;-183.519;985.888;134.395;-149.078;867.445;-131.712;-120.492;868.664;115.760;49.319;938.472;-77.661;65.807;948.521
23.659;0.195;1596.055;99.174;-66.685;1541.419;-49.563;-72.490;1539.419;83.271;46.880;1446.587;-41.319;40.392;1450.977;24.733;78.198;1276.727;36.294;80.442;1110.624;87.515;91.369;1190.480;-34.294;94.052;1174.724;28.245;-101.467;1274.288;17.562;-170.006;1083.403;73.905;-138.151;1201.212;-46.246;-126.785;1211.798;189.714;-80.344;1233.018;187.714;-4.586;1300.679;196.885;54.636;1236.140;247.570;24.586;1155.113;213.324;48.782;983.595;264.497;-2.098;1006.620;259.668;-94.881;974.083;191.129;-225.130;1041.548;183.665;-228.984;971.302;216.056;-202.007;1002.766;-152.932;-68.197;1241.409;-139.663;-3.171;1309.314;-148.054;67.758;1250.385;-209.227;-13.366;1157.894;-188.104;61.953;990.912;-231.423;9.415;1019.450;-204.592;-64.100;1035.694;-177.177;-211.227;1020.962;-166.006;-207.032;953.106;-195.763;-183.909;985.888;134.395;-149.273;867.396;-131.712;-120.736;868.664;115.760;49.075;938.520;-77.661;65.514;948.569
23.806;0.049;1596.006;99.418;-66.685;1541.322;-49.270;-72.734;1539.370;83.271;46.880;1446.587;-41.270;40.148;1450.977;24.684;78.149;1276.630;36.196;80.247;1110.477;87.466;91.320;1190.334;-34.343;93.857;1174.626;28.440;-101.369;1274.142;17.757;-170.055;1083.355;74.051;-138.005;1201.115;-46.050;-126.785;1211.701;189.714;-80.247;1233.067;187.763;-4.439;1300.630;196.885;54.734;1235.994;247.765;24.342;1155.064;214.251;48.050;983.595;264.887;-3.464;1006.718;258.497;-96.394;974.424;187.519;-225.374;1042.182;180.787;-229.471;971.936;213.276;-202.690;1003.401;-152.786;-68.441;1241.311;-139.615;-3.415;1309.216;-148.054;67.466;1250.287;-209.178;-13.708;1157.796;-188.250;61.612;990.864;-231.471;9.073;1019.401;-204.544;-64.441;1035.646;-176.933;-211.520;1020.962;-165.811;-207.324;953.106;-195.568;-184.202;985.888;134.444;-149.469;867.347;-131.663;-121.029;868.615;115.711;48.880;938.520;-77.710;65.222;948.569
23.952;0.000;1595.958;99.711;-66.588;1541.224;-49.026;-72.929;1539.273;83.320;47.026;1446.538;-41.221;40.050;1450.977;24.684;78.247;1276.483;36.148;80.149;1110.331;87.418;91.467;1190.188;-34.343;93.711;1174.431;28.635;-101.125;1273.995;18.049;-169.957;1083.257;74.295;-137.663;1201.017;-45.806;-126.736;1211.603;189.616;-80.052;1233.262;187.860;-4.098;1300.679;196.982;54.929;1235.896;248.155;23.562;1155.016;215.715;46.050;983.449;265.180;-6.488;1006.913;256.058;-99.516;975.644;179.518;-225.471;1043.987;176.299;-231.130;973.692;207.763;-204.153;1005.742;-152.591;-68.685;1241.214;-139.517;-3.561;1309.070;-148.054;67.271;1250.141;-209.080;-14.000;1157.747;-188.348;61.319;990.766;-231.520;8.683;1019.352;-204.446;-64.734;1035.597;-176.543;-211.812;1020.913;-165.469;-207.617;953.057;-195.275;-184.543;985.839;134.590;-149.566;867.298;-131.517;-121.419;868.567;115.711;48.782;938.472;-77.759;64.929;948.521
24.147;0.000;1595.958;100.003;-66.344;1541.127;-48.685;-72.978;1539.224;83.418;47.319;1446.587;-41.123;40.099;1451.026;24.635;78.491;1276.337;36.001;80.247;1110.136;87.369;91.808;1190.041;-34.440;93.613;1174.285;28.830;-100.735;1273.947;18.391;-169.811;1083.306;74.588;-137.224;1201.017;-45.563;-126.541;1211.603;189.226;-79.759;1233.652;187.958;-3.512;1300.630;197.080;55.173;1235.604;248.545;21.611;1154.577;218.008;41.904;982.522;265.570;-12.000;1007.010;252.448;-105.126;978.083;167.469;-225.374;1048.231;169.860;-234.642;978.570;199.617;-206.885;1011.011;-152.444;-68.880;1241.214;-139.468;-3.659;1309.070;-148.103;67.124;1250.043;-208.983;-14.391;1157.747;-188.543;60.783;990.717;-231.520;8.098;1019.450;-204.251;-65.222;1035.743;-175.957;-212.202;1021.206;-164.933;-208.056;953.301;-194.738;-185.031;986.083;134.883;-149.517;867.347;-131.322;-121.858;868.567;115.614;48.831;938.472;-77.856;64.636;948.521
24.440;0.293;1595.909;100.394;-65.905;1540.980;-48.246;-72.783;1539.126;83.564;47.855;1446.538;-40.928;40.392;1451.026;24.537;78.930;1276.093;35.806;80.491;1109.843;87.271;92.296;1189.749;-34.684;93.711;1173.992;29.025;-100.101;1273.898;18.732;-169.469;1083.355;74.783;-136.639;1201.066;-45.319;-126.053;1211.554;188.494;-79.320;1234.384;188.055;-2.585;1300.582;197.178;55.417;1234.970;248.838;18.391;1153.698;221.081;34.343;980.863;266.058;-21.025;1007.352;247.618;-114.102;982.180;151.810;-225.422;1054.719;161.128;-240.545;987.205;188.738;-211.227;1019.450;-152.200;-69.027;1241.506;-139.371;-3.561;1309.119;-148.200;66.978;1249.995;-208.885;-15.122;1157.943;-189.226;59.465;990.717;-231.862;6.683;1019.840;-204.007;-66.295;1036.621;-174.835;-213.081;1023.206;-164.006;-209.422;955.204;-193.860;-186.348;987.839;135.273;-149.273;867.445;-130.980;-122.248;868.518;115.516;49.075;938.472;-78.003;64.344;948.472
24.928;0.878;1595.958;100.930;-65.124;1540.883;-47.709;-72.198;1539.078;83.954;48.685;1446.587;-40.587;41.123;1451.123;24.440;79.710;1275.800;35.513;80.881;1109.551;87.125;93.125;1189.358;-34.977;93.954;1173.699;29.269;-99.272;1273.947;19.074;-168.933;1083.452;75.076;-135.956;1201.212;-44.977;-125.468;1211.603;187.226;-78.832;1235.653;188.055;-1.268;1300.533;197.275;55.856;1233.994;249.082;13.513;1152.479;224.983;22.098;978.668;266.399;-34.587;1008.279;241.667;-127.078;988.815;133.419;-225.861;1064.183;150.786;-248.789;1000.766;175.616;-217.081;1031.938;-151.566;-68.978;1241.945;-139.127;-3.268;1309.265;-148.395;66.880;1249.751;-208.934;-16.440;1158.430;-190.787;56.246;990.229;-232.886;3.659;1020.523;-204.153;-68.344;1038.865;-173.518;-214.934;1029.011;-163.469;-212.983;960.911;-193.275;-189.324;993.059;135.614;-148.786;867.542;-130.639;-122.541;868.518;115.370;49.611;938.472;-78.198;64.246;948.472
