UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
13.887;-0.828;1596.365;92.090;-66.412;1543.840;-56.472;-74.744;1537.651;76.887;47.019;1448.680;-47.653;38.298;1449.460;19.197;80.006;1277.949;32.402;83.709;1112.432;81.955;95.841;1192.389;-39.077;95.013;1175.628;27.481;-99.301;1273.954;19.928;-166.102;1082.417;74.451;-134.090;1201.208;-46.045;-126.392;1210.563;188.272;-72.356;1233.318;184.423;2.144;1302.019;192.024;62.806;1237.995;242.697;35.130;1156.235;202.743;60.906;988.087;254.684;10.037;1005.774;259.361;-75.085;946.719;207.226;-224.913;972.397;194.898;-211.124;904.183;226.716;-189.831;942.188;-154.165;-68.897;1240.334;-142.617;-5.067;1309.961;-152.216;66.899;1250.858;-211.416;-12.376;1159.354;-196.214;71.430;998.270;-235.389;13.204;1020.683;-206.397;-65.924;1016.103;-174.824;-202.646;963.919;-164.933;-183.156;899.115;-194.509;-168.831;937.559;136.526;-143.738;867.932;-130.290;-121.422;868.127;112.944;54.620;938.046;-80.834;66.022;948.620
13.789;-0.390;1596.365;91.943;-66.022;1543.791;-56.618;-74.354;1537.651;76.790;47.360;1448.583;-47.750;38.687;1449.460;19.051;80.298;1277.803;32.256;83.855;1112.286;81.809;96.085;1192.243;-39.272;95.257;1175.481;27.335;-98.960;1273.954;19.733;-165.907;1082.466;74.305;-133.847;1201.208;-46.191;-126.148;1210.661;188.077;-72.112;1233.318;184.228;2.534;1301.922;191.878;63.050;1237.849;242.551;35.179;1156.089;202.646;60.662;987.843;254.537;9.842;1005.676;259.166;-75.523;946.963;206.933;-225.205;973.226;194.704;-211.660;904.962;226.521;-190.270;942.870;-154.360;-68.653;1240.383;-142.763;-4.726;1309.961;-152.362;67.191;1250.810;-211.611;-12.230;1159.402;-196.458;71.333;998.173;-235.681;13.204;1020.732;-206.739;-65.924;1016.298;-175.506;-202.792;964.358;-165.371;-183.497;899.554;-195.045;-169.026;937.949;136.331;-143.786;867.980;-130.485;-121.470;868.175;112.700;54.620;937.998;-81.029;66.022;948.522
13.789;-0.097;1596.316;91.992;-65.632;1543.742;-56.569;-74.110;1537.651;76.595;47.750;1448.534;-47.896;38.931;1449.460;18.905;80.591;1277.657;32.012;84.001;1112.188;81.565;96.280;1192.096;-39.467;95.403;1175.384;27.237;-98.667;1274.003;19.636;-165.712;1082.564;74.208;-133.554;1201.257;-46.288;-125.904;1210.709;187.931;-71.820;1233.318;184.130;2.875;1301.824;191.683;63.342;1237.654;242.308;35.325;1155.894;202.548;60.467;987.599;254.489;9.647;1005.579;259.118;-75.816;947.158;206.933;-225.400;973.908;194.752;-212.147;905.596;226.521;-190.611;943.455;-154.408;-68.458;1240.480;-142.861;-4.483;1309.961;-152.508;67.337;1250.712;-211.757;-12.181;1159.451;-196.847;71.138;998.124;-236.022;13.009;1020.781;-207.226;-66.119;1016.347;-176.286;-203.084;964.504;-165.371;-183.741;899.846;-195.386;-169.269;937.998;136.185;-143.689;867.980;-130.679;-121.519;868.175;112.505;54.718;937.949;-81.273;66.022;948.473
13.789;0.049;1596.316;92.041;-65.291;1543.645;-56.472;-73.964;1537.700;76.449;48.042;1448.485;-47.994;39.077;1449.509;18.662;80.834;1277.608;31.817;84.147;1112.091;81.370;96.523;1191.999;-39.711;95.500;1175.335;27.188;-98.424;1274.003;19.539;-165.566;1082.564;74.110;-133.262;1201.257;-46.386;-125.758;1210.758;187.785;-71.430;1233.366;183.935;3.362;1301.776;191.488;63.683;1237.557;242.161;35.569;1155.797;202.500;60.370;987.404;254.440;9.599;1005.530;259.166;-75.913;947.255;207.128;-225.498;974.151;194.947;-212.391;905.839;226.667;-190.757;943.650;-154.506;-68.409;1240.480;-143.007;-4.385;1309.913;-152.752;67.386;1250.615;-212.001;-12.279;1159.451;-197.335;70.992;998.026;-236.363;12.815;1020.683;-207.762;-66.265;1016.298;-177.699;-203.377;964.163;-164.446;-183.741;900.041;-195.581;-169.269;937.559;136.088;-143.591;868.029;-130.777;-121.568;868.175;112.262;54.815;937.900;-81.468;66.022;948.473
13.789;0.244;1596.316;92.138;-64.999;1543.596;-56.374;-73.915;1537.700;76.303;48.384;1448.485;-48.140;39.175;1449.557;18.369;81.029;1277.511;31.427;84.294;1111.993;80.980;96.816;1191.853;-40.052;95.598;1175.287;27.140;-98.131;1274.003;19.587;-165.420;1082.612;74.110;-132.921;1201.305;-46.386;-125.661;1210.758;187.736;-70.894;1233.366;183.789;3.898;1301.678;191.195;64.219;1237.362;241.966;36.007;1155.699;202.548;60.370;987.258;254.440;9.696;1005.481;259.361;-75.816;947.060;207.421;-225.546;973.664;195.386;-212.293;905.352;227.008;-190.708;943.260;-154.554;-68.507;1240.431;-143.202;-4.434;1309.913;-152.995;67.337;1250.663;-212.098;-12.425;1159.402;-197.627;70.992;998.075;-236.509;12.668;1020.683;-208.200;-66.265;1016.298;-179.355;-203.669;963.919;-162.984;-183.594;900.528;-195.532;-169.123;937.169;135.990;-143.494;868.078;-130.923;-121.617;868.175;111.969;54.961;937.900;-81.760;65.973;948.425
13.887;0.439;1596.267;92.236;-64.706;1543.498;-56.277;-73.818;1537.749;76.157;48.578;1448.388;-48.286;39.272;1449.557;18.028;81.273;1277.462;31.086;84.440;1111.945;80.591;97.059;1191.707;-40.636;95.695;1175.287;26.993;-97.839;1273.905;19.587;-165.128;1082.564;74.013;-132.580;1201.208;-46.532;-125.271;1210.661;187.590;-70.456;1233.366;183.448;4.336;1301.629;190.806;64.658;1237.264;241.723;36.446;1155.699;202.743;60.613;987.258;254.635;9.891;1005.530;259.702;-75.474;946.622;207.616;-225.546;972.105;195.776;-211.660;903.890;227.300;-190.318;942.042;-154.701;-68.653;1240.724;-143.543;-4.531;1310.254;-153.385;67.143;1250.907;-212.244;-12.766;1159.597;-198.017;70.699;998.319;-236.558;12.181;1021.073;-208.541;-66.509;1017.078;-180.622;-204.400;964.699;-159.524;-183.935;902.770;-194.557;-169.367;937.608;135.893;-143.348;868.078;-131.020;-121.617;868.224;111.726;55.108;937.851;-82.052;66.022;948.376
14.033;0.585;1596.218;92.236;-64.658;1543.401;-56.277;-73.623;1537.895;76.157;48.578;1448.242;-48.335;39.369;1449.606;17.784;81.419;1277.608;30.843;84.781;1112.091;80.347;97.108;1191.804;-41.318;95.841;1175.628;26.701;-97.547;1273.808;19.344;-164.543;1082.417;73.769;-132.239;1201.208;-46.824;-124.686;1210.466;187.346;-70.456;1233.512;183.205;4.385;1301.824;190.562;64.560;1237.362;241.479;36.543;1156.138;203.669;60.906;987.697;255.317;9.891;1005.968;260.238;-75.085;945.988;206.885;-225.839;969.084;196.165;-210.295;901.113;227.398;-189.831;939.849;-154.701;-68.897;1241.406;-143.786;-4.726;1310.887;-153.824;66.801;1251.492;-212.829;-14.033;1160.328;-199.673;68.799;998.514;-236.948;9.599;1021.804;-208.395;-68.117;1020.001;-178.819;-206.739;969.864;-152.898;-186.615;909.835;-190.757;-171.852;941.847;135.649;-143.202;868.175;-131.215;-121.276;868.273;111.531;55.302;937.803;-82.247;66.412;948.279
14.228;0.828;1596.170;92.041;-64.950;1543.401;-56.472;-73.282;1538.187;76.303;48.091;1447.901;-48.189;39.418;1449.557;17.638;81.516;1277.852;30.940;85.219;1112.383;80.347;97.059;1192.145;-41.660;96.134;1175.822;26.311;-97.352;1273.710;18.856;-163.812;1082.271;73.379;-132.044;1201.159;-47.214;-124.102;1210.320;187.005;-70.651;1234.000;182.766;4.142;1302.312;190.416;64.219;1237.849;241.430;36.251;1157.063;205.715;60.760;988.720;256.730;9.112;1006.894;261.067;-75.182;945.111;204.448;-226.764;963.334;196.458;-208.054;895.851;226.862;-189.490;935.854;-154.165;-68.848;1241.991;-143.933;-4.580;1311.277;-154.311;66.558;1251.541;-213.463;-16.664;1160.864;-203.279;63.537;997.149;-238.312;3.703;1022.389;-207.469;-71.771;1025.799;-173.021;-212.147;983.458;-143.348;-194.070;924.696;-184.082;-179.014;953.297;135.065;-143.104;868.321;-131.654;-120.350;868.419;111.579;55.546;937.754;-82.150;67.289;948.230
14.374;1.023;1596.072;91.602;-65.486;1543.304;-57.008;-72.843;1538.577;76.351;47.312;1447.462;-48.189;39.418;1449.460;17.638;81.760;1278.047;31.379;85.609;1112.578;80.688;97.059;1192.535;-41.611;96.621;1175.676;25.678;-97.059;1273.856;18.077;-162.935;1082.222;72.697;-131.898;1201.257;-47.799;-123.468;1210.320;186.372;-71.187;1234.779;182.328;3.654;1303.091;190.465;63.586;1238.434;241.869;35.082;1158.233;209.029;59.590;990.036;258.825;6.627;1008.112;262.187;-76.205;942.968;200.112;-228.226;952.420;196.994;-204.838;886.008;225.692;-189.539;928.107;-153.677;-68.507;1243.062;-144.079;-3.606;1311.521;-154.749;66.704;1250.761;-213.950;-20.611;1161.546;-207.908;53.110;994.080;-240.310;-6.675;1022.876;-205.326;-78.106;1034.813;-161.522;-219.651;1007.820;-128.194;-205.374;950.130;-172.193;-190.513;974.103;134.188;-143.007;868.321;-132.385;-118.693;868.662;111.872;55.838;937.754;-81.809;68.702;948.181
