UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
9.545;41.444;1597.621;86.052;-24.314;1542.965;-62.844;-30.141;1538.645;71.133;91.026;1449.830;-53.550;83.993;1452.090;15.070;121.418;1273.907;29.136;115.641;1107.881;79.371;132.520;1188.056;-41.595;131.314;1169.469;19.642;-58.323;1276.318;11.956;-135.484;1088.540;66.310;-97.355;1205.688;-53.751;-86.856;1214.730;180.996;-35.114;1234.824;179.138;40.891;1302.441;188.280;100.420;1238.492;239.118;68.571;1155.202;199.834;91.327;984.303;250.572;39.836;1006.959;246.452;-51.491;970.890;173.863;-184.513;1029.112;177.379;-187.778;958.784;204.456;-160.802;995.053;-162.108;-26.876;1239.044;-150.303;39.635;1306.058;-156.582;108.759;1244.721;-216.563;27.026;1152.891;-191.295;100.420;983.901;-234.898;48.627;1014.795;-208.123;-20.898;1039.059;-173.160;-168.940;1037.703;-170.095;-168.689;968.780;-196.318;-143.772;1001.885;128.400;-114.737;868.361;-137.342;-89.267;871.073;107.201;84.746;937.735;-86.103;98.913;947.280
9.344;41.494;1597.621;85.851;-24.263;1542.965;-62.995;-30.040;1538.545;70.982;91.076;1449.830;-53.701;84.093;1452.040;14.970;121.568;1273.857;29.086;115.791;1107.881;79.321;132.670;1188.056;-41.645;131.415;1169.419;19.541;-58.172;1276.318;11.906;-135.433;1088.591;66.260;-97.205;1205.738;-53.852;-86.756;1214.730;180.896;-34.964;1234.925;179.037;41.042;1302.491;188.180;100.570;1238.492;239.018;68.671;1155.252;199.784;91.428;984.353;250.522;39.887;1007.009;246.452;-51.441;970.840;173.712;-184.563;1028.761;177.480;-187.728;958.432;204.456;-160.802;994.802;-162.209;-26.725;1239.044;-150.403;39.786;1306.058;-156.683;108.909;1244.670;-216.613;27.127;1152.841;-191.295;100.470;983.801;-234.898;48.678;1014.745;-208.123;-20.898;1038.958;-173.160;-168.940;1037.552;-170.045;-168.639;968.630;-196.318;-143.722;1001.684;128.400;-114.636;868.411;-137.392;-89.217;871.124;107.151;84.797;937.735;-86.103;98.963;947.280
9.093;41.595;1597.621;85.600;-24.163;1542.965;-63.196;-29.890;1538.494;70.781;91.227;1449.880;-53.902;84.244;1452.040;14.870;121.669;1273.907;29.036;115.942;1107.931;79.220;132.871;1188.106;-41.695;131.565;1169.469;19.441;-58.021;1276.318;11.855;-135.333;1088.641;66.109;-97.104;1205.738;-53.952;-86.555;1214.730;180.745;-34.813;1234.975;178.937;41.193;1302.491;188.080;100.721;1238.492;238.917;68.721;1155.252;199.734;91.277;984.353;250.471;39.836;1007.059;246.653;-51.390;970.689;173.913;-184.864;1028.108;177.982;-187.979;957.829;204.908;-160.953;994.300;-162.259;-26.574;1239.094;-150.504;40.037;1305.907;-156.733;109.211;1244.670;-216.613;27.378;1152.891;-191.646;100.671;983.951;-235.200;48.828;1014.946;-208.374;-20.847;1039.009;-173.461;-168.890;1037.100;-170.246;-168.387;968.228;-196.619;-143.622;1001.333;128.350;-114.586;868.411;-137.392;-89.217;871.124;107.151;84.897;937.735;-86.153;99.013;947.230
8.691;41.645;1597.571;85.249;-24.012;1542.965;-63.497;-29.840;1538.394;70.480;91.377;1449.981;-54.203;84.395;1451.990;14.819;121.820;1274.058;28.986;116.344;1108.132;79.120;133.273;1188.307;-41.846;131.917;1169.720;19.391;-57.720;1276.369;11.805;-135.082;1088.691;66.109;-96.853;1205.738;-54.003;-86.304;1214.730;180.645;-34.662;1234.925;178.836;41.494;1302.189;187.879;101.173;1238.441;238.967;68.721;1155.001;200.940;89.820;984.052;251.777;38.631;1007.361;248.562;-52.546;971.041;175.571;-186.623;1027.455;180.494;-189.587;957.176;207.169;-162.510;993.948;-162.359;-26.574;1239.446;-150.403;40.238;1306.058;-156.733;109.613;1244.972;-216.914;27.529;1153.595;-194.057;100.319;984.705;-237.259;48.527;1016.152;-209.982;-21.300;1039.662;-175.370;-169.493;1036.597;-172.306;-168.337;967.725;-198.830;-143.973;1001.031;128.300;-114.435;868.461;-137.392;-89.117;871.174;107.201;84.997;937.735;-86.103;99.113;947.280
8.239;41.494;1597.520;84.797;-24.113;1542.865;-63.949;-29.739;1537.992;70.379;91.578;1450.181;-54.304;84.746;1451.990;14.769;122.422;1274.309;28.684;117.299;1108.383;78.869;133.926;1188.458;-42.298;132.771;1170.172;19.541;-57.067;1276.318;11.805;-134.127;1088.591;66.159;-95.949;1205.638;-53.952;-85.500;1214.680;180.394;-34.059;1235.327;178.585;42.348;1301.938;187.577;101.776;1237.939;239.369;67.867;1154.850;207.370;83.943;983.198;257.655;33.607;1009.270;255.897;-58.323;973.703;181.800;-192.952;1028.359;188.230;-195.615;957.980;214.453;-168.639;995.405;-162.158;-25.971;1240.400;-149.951;40.640;1306.861;-157.034;109.864;1245.273;-219.024;26.926;1155.855;-201.794;96.652;986.111;-244.142;45.362;1019.417;-216.010;-24.917;1041.772;-182.353;-173.662;1036.849;-180.846;-171.351;967.876;-206.867;-147.741;1001.885;128.350;-113.883;868.662;-137.342;-88.665;871.274;107.252;85.651;937.635;-86.103;99.716;947.179
8.088;40.741;1597.470;84.495;-24.665;1542.312;-64.301;-29.588;1537.239;70.630;91.930;1450.684;-54.053;85.600;1452.291;14.920;124.331;1274.108;28.433;118.906;1108.132;79.020;135.082;1188.106;-42.800;134.378;1170.172;19.793;-55.057;1276.469;11.855;-132.218;1088.842;66.260;-93.789;1205.738;-53.802;-83.189;1214.881;179.992;-32.602;1237.185;178.284;44.508;1302.541;187.678;102.429;1236.884;240.475;65.456;1155.654;221.285;71.334;983.047;270.063;22.756;1014.695;270.565;-71.233;981.741;195.012;-205.863;1035.342;202.547;-208.525;964.912;228.468;-181.348;1002.840;-161.756;-24.314;1243.264;-148.896;42.750;1308.620;-157.235;110.818;1244.922;-223.596;25.117;1161.431;-217.768;86.404;989.125;-257.956;36.571;1026.701;-229.272;-35.265;1047.549;-197.825;-184.965;1040.064;-199.734;-181.649;970.790;-223.997;-158.441;1006.306;128.451;-112.727;868.913;-137.292;-87.760;871.425;107.201;87.007;937.534;-86.153;100.821;947.029
8.239;39.133;1597.520;84.244;-25.771;1541.207;-64.552;-29.538;1535.732;71.384;92.734;1451.839;-53.299;87.258;1453.095;15.221;127.747;1273.505;28.533;121.167;1107.479;79.572;137.593;1187.403;-43.353;136.438;1169.519;20.144;-51.441;1276.921;11.906;-129.305;1089.545;66.310;-90.172;1206.241;-53.450;-79.622;1215.635;179.489;-30.091;1241.455;177.781;48.678;1304.048;188.331;103.635;1235.779;243.489;60.784;1158.668;242.484;50.838;986.162;288.147;5.375;1025.797;291.061;-91.930;997.967;213.197;-224.701;1052.823;222.390;-229.523;982.846;247.558;-200.990;1020.522;-161.455;-22.455;1248.488;-147.289;46.266;1310.981;-157.436;111.220;1243.515;-230.980;21.149;1170.725;-241.429;69.475;995.606;-278.000;22.254;1039.561;-248.964;-51.139;1059.856;-220.983;-202.246;1051.869;-225.454;-198.880;982.746;-248.110;-175.420;1019.116;128.501;-111.120;869.315;-137.242;-86.605;871.726;107.151;88.715;937.434;-86.253;102.278;946.878
8.540;36.571;1597.621;84.194;-27.077;1539.449;-64.552;-29.840;1533.873;72.037;93.939;1453.547;-52.596;89.217;1454.652;15.271;132.269;1272.651;28.232;123.829;1106.725;79.723;141.160;1186.247;-44.156;139.352;1168.866;20.446;-46.819;1277.725;12.257;-125.889;1090.751;66.411;-85.600;1207.095;-52.747;-75.654;1216.891;179.037;-26.825;1248.287;176.626;54.404;1305.806;188.883;105.041;1233.870;248.763;55.108;1164.144;266.647;23.460;995.254;307.789;-16.778;1044.133;313.566;-117.449;1026.149;232.035;-246.352;1085.175;246.754;-256.499;1016.554;268.656;-224.600;1053.828;-161.204;-19.692;1256.677;-145.229;51.591;1314.246;-157.687;111.622;1242.209;-238.917;16.226;1184.439;-268.254;46.668;1008.164;-299.701;4.019;1059.655;-269.862;-70.279;1081.457;-246.000;-222.792;1078.544;-255.344;-222.390;1009.571;-274.885;-196.720;1046.544;128.853;-109.160;869.818;-137.041;-85.349;872.128;106.950;90.875;937.283;-86.505;103.936;946.777
8.942;33.607;1597.721;84.294;-28.383;1537.440;-64.502;-30.342;1531.863;72.489;95.446;1455.607;-52.043;91.176;1456.612;15.523;136.940;1271.747;27.679;126.542;1105.922;79.673;144.827;1185.092;-44.759;142.466;1168.464;20.647;-42.147;1278.830;12.408;-122.473;1092.157;66.310;-81.230;1208.200;-51.792;-72.087;1218.749;178.485;-23.460;1256.325;175.069;60.332;1308.167;188.130;105.142;1230.906;255.143;48.226;1172.734;289.454;-7.234;1012.635;325.673;-40.037;1069.953;333.560;-143.069;1064.729;248.261;-266.295;1131.039;268.003;-283.425;1065.131;286.992;-247.206;1100.245;-160.551;-16.025;1267.125;-142.567;58.021;1318.064;-157.687;113.079;1241.857;-245.247;11.906;1201.468;-293.221;20.094;1028.007;-318.841;-16.125;1086.782;-287.796;-90.021;1112.201;-267.300;-243.237;1120.490;-282.069;-248.412;1052.472;-298.194;-219.175;1088.792;129.154;-106.950;870.420;-136.790;-83.943;872.480;106.598;93.186;937.283;-86.906;105.694;946.576
