UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
17.036;44.568;1597.609;93.236;-22.601;1544.254;-55.551;-29.484;1542.009;76.590;89.526;1447.699;-48.034;81.960;1451.897;18.647;119.254;1282.314;29.142;119.791;1115.954;80.398;133.215;1195.278;-41.346;134.485;1180.145;24.163;-61.702;1276.994;9.958;-131.653;1087.202;68.634;-98.996;1204.455;-51.402;-88.257;1216.854;185.887;-35.049;1233.646;183.006;38.515;1303.549;189.938;100.070;1240.773;239.387;73.124;1157.544;201.556;98.459;987.913;254.520;48.571;1008.903;254.959;-42.274;971.169;189.841;-178.955;1027.306;188.718;-180.224;956.525;216.737;-153.718;991.720;-158.013;-26.018;1245.947;-143.759;35.879;1316.533;-153.083;109.150;1257.712;-214.590;32.901;1166.135;-196.577;113.494;1002.508;-238.314;59.310;1029.015;-212.393;-17.085;1037.118;-184.861;-160.649;1007.585;-179.443;-152.107;940.123;-205.949;-131.116;976.246;123.257;-110.809;868.512;-141.221;-80.203;872.417;107.148;87.915;939.732;-86.012;106.123;949.788
17.085;44.519;1597.658;93.187;-22.650;1544.205;-55.600;-29.386;1542.009;76.542;89.575;1447.747;-48.034;82.106;1451.946;18.745;119.450;1282.314;29.240;119.938;1115.954;80.496;133.313;1195.278;-41.248;134.777;1180.145;23.919;-61.507;1276.994;9.617;-131.409;1087.202;68.341;-98.850;1204.455;-51.695;-87.915;1216.854;185.691;-35.147;1233.646;182.909;38.417;1303.549;189.987;99.973;1240.773;239.339;72.929;1157.544;201.556;98.362;987.913;254.422;48.327;1008.854;254.666;-42.469;971.120;189.304;-179.052;1027.208;188.181;-180.322;956.427;216.298;-153.864;991.671;-158.257;-25.530;1245.899;-143.857;36.367;1316.485;-153.034;109.687;1257.663;-214.736;33.585;1166.135;-196.577;114.226;1002.508;-238.460;60.140;1029.112;-212.735;-16.255;1037.216;-185.545;-159.966;1007.780;-180.224;-151.472;940.318;-206.584;-130.384;976.441;123.013;-110.809;868.561;-141.465;-79.861;872.466;107.148;87.915;939.684;-85.963;106.416;949.740
17.134;44.470;1597.658;93.187;-22.650;1544.108;-55.600;-29.386;1542.009;76.542;89.624;1447.747;-48.034;82.204;1452.043;18.745;119.645;1282.265;29.191;120.133;1115.905;80.544;133.411;1195.229;-41.200;135.022;1180.145;23.724;-61.360;1276.994;9.372;-131.214;1087.202;68.097;-98.703;1204.455;-51.939;-87.671;1216.903;185.447;-35.098;1233.597;182.860;38.417;1303.500;190.036;99.973;1240.724;239.290;72.880;1157.495;201.458;98.313;987.864;254.325;48.278;1008.805;254.471;-42.566;970.974;188.962;-179.150;1026.916;187.839;-180.273;956.183;215.956;-153.913;991.427;-158.404;-25.042;1245.899;-143.857;36.757;1316.485;-152.937;110.077;1257.712;-214.834;34.170;1166.184;-196.675;114.812;1002.557;-238.655;60.823;1029.210;-213.028;-15.572;1037.313;-186.082;-159.331;1008.024;-180.761;-150.935;940.562;-207.072;-129.750;976.685;122.818;-110.809;868.561;-141.612;-79.617;872.466;107.148;87.964;939.684;-85.914;106.611;949.740
17.183;44.421;1597.658;93.236;-22.650;1544.010;-55.551;-29.338;1542.009;76.542;89.721;1447.796;-48.034;82.302;1452.141;18.794;119.791;1282.265;29.240;120.280;1115.856;80.544;133.508;1195.229;-41.200;135.217;1180.145;23.626;-61.165;1276.994;9.128;-131.019;1087.202;67.950;-98.606;1204.455;-52.085;-87.427;1216.903;185.350;-35.000;1233.548;182.811;38.466;1303.451;190.036;100.021;1240.675;239.241;72.880;1157.446;201.361;98.362;987.864;254.178;48.327;1008.757;254.325;-42.469;970.779;188.864;-179.199;1026.623;187.693;-180.175;955.890;215.810;-153.864;991.134;-158.501;-24.749;1245.947;-143.857;37.050;1316.485;-152.937;110.370;1257.760;-214.882;34.610;1166.282;-196.772;115.300;1002.703;-238.753;61.360;1029.308;-213.223;-14.937;1037.411;-186.472;-158.843;1008.317;-181.200;-150.447;940.855;-207.414;-129.213;977.027;122.623;-110.809;868.561;-141.758;-79.373;872.515;107.148;88.013;939.684;-85.914;106.807;949.691
17.329;44.421;1597.658;93.334;-22.699;1543.912;-55.454;-29.338;1542.009;76.542;89.770;1447.796;-47.985;82.350;1452.190;18.794;119.938;1282.217;29.191;120.426;1115.856;80.544;133.606;1195.180;-41.200;135.412;1180.194;23.578;-61.018;1276.994;8.982;-130.872;1087.251;67.852;-98.459;1204.455;-52.183;-87.232;1216.951;185.301;-34.903;1233.451;182.811;38.564;1303.353;189.987;100.119;1240.578;239.192;72.978;1157.397;201.361;98.459;987.815;254.178;48.424;1008.708;254.325;-42.371;970.583;188.815;-179.150;1026.232;187.693;-180.029;955.548;215.810;-153.766;990.793;-158.550;-24.456;1245.996;-143.857;37.294;1316.533;-152.888;110.614;1257.809;-214.980;34.951;1166.379;-196.919;115.642;1002.801;-238.948;61.751;1029.454;-213.369;-14.498;1037.606;-186.619;-158.501;1008.805;-181.396;-150.154;941.343;-207.609;-128.871;977.466;122.525;-110.761;868.609;-141.904;-79.275;872.515;107.100;88.062;939.635;-85.963;106.904;949.691
17.427;44.324;1597.658;93.431;-22.699;1543.815;-55.356;-29.386;1541.960;76.590;89.819;1447.796;-47.936;82.399;1452.287;18.842;120.084;1282.217;29.142;120.524;1115.807;80.544;133.752;1195.131;-41.200;135.559;1180.194;23.578;-60.921;1277.042;8.933;-130.775;1087.251;67.804;-98.362;1204.455;-52.232;-87.085;1217.000;185.252;-34.756;1233.402;182.811;38.710;1303.305;189.987;100.217;1240.529;239.241;73.124;1157.349;201.410;98.655;987.766;254.227;48.571;1008.610;254.374;-42.225;970.437;188.913;-179.052;1025.988;187.693;-179.882;955.256;215.859;-153.669;990.549;-158.550;-24.310;1246.045;-143.808;37.490;1316.631;-152.888;110.809;1257.858;-215.029;35.147;1166.526;-197.212;115.886;1002.948;-239.192;61.946;1029.649;-213.467;-14.156;1037.899;-186.472;-158.209;1009.391;-181.347;-149.959;941.929;-207.560;-128.676;978.052;122.427;-110.712;868.609;-141.953;-79.178;872.515;107.002;88.111;939.684;-86.060;107.002;949.642
17.573;44.226;1597.658;93.578;-22.699;1543.766;-55.209;-29.435;1541.911;76.688;89.868;1447.796;-47.887;82.448;1452.287;18.842;120.231;1282.217;29.142;120.670;1115.807;80.496;133.899;1195.082;-41.248;135.656;1180.194;23.626;-60.823;1277.042;8.884;-130.628;1087.251;67.852;-98.215;1204.406;-52.183;-86.988;1217.049;185.301;-34.610;1233.304;182.860;38.857;1303.256;190.036;100.363;1240.431;239.290;73.320;1157.300;201.458;98.801;987.717;254.325;48.766;1008.561;254.471;-42.029;970.339;189.011;-178.955;1025.842;187.741;-179.687;955.158;215.956;-153.474;990.402;-158.501;-24.212;1246.143;-143.759;37.539;1316.729;-152.888;110.858;1257.956;-215.078;35.147;1166.672;-197.602;115.984;1003.094;-239.436;61.995;1029.893;-213.467;-13.863;1038.387;-185.984;-158.013;1010.465;-181.005;-149.910;943.003;-207.267;-128.627;979.028;122.379;-110.663;868.609;-142.051;-79.178;872.563;106.904;88.159;939.635;-86.158;107.051;949.642
17.720;44.177;1597.609;93.724;-22.748;1543.668;-55.063;-29.484;1541.862;76.786;89.917;1447.796;-47.790;82.399;1452.336;18.842;120.328;1282.217;29.045;120.768;1115.807;80.447;133.996;1195.034;-41.346;135.754;1180.243;23.773;-60.774;1277.091;8.982;-130.433;1087.251;67.950;-98.069;1204.406;-52.085;-86.939;1217.049;185.398;-34.414;1233.304;182.909;39.052;1303.207;190.036;100.558;1240.382;239.339;73.515;1157.251;201.556;98.899;987.620;254.374;48.864;1008.512;254.520;-41.981;970.242;189.304;-178.955;1025.793;187.644;-179.541;955.109;216.054;-153.425;990.256;-158.355;-24.261;1246.240;-143.662;37.490;1316.778;-152.888;110.809;1258.102;-215.127;35.098;1166.819;-197.895;115.984;1003.192;-239.632;61.995;1030.186;-213.369;-13.522;1039.168;-185.301;-157.916;1012.369;-180.419;-150.056;944.956;-206.779;-128.724;980.786;122.330;-110.565;868.609;-142.051;-79.129;872.563;106.807;88.306;939.635;-86.256;107.100;949.593
17.866;44.031;1597.609;93.871;-22.796;1543.571;-54.868;-29.679;1541.862;76.834;89.819;1447.747;-47.692;82.253;1452.336;18.842;120.377;1282.265;29.045;120.914;1115.856;80.447;134.143;1195.082;-41.444;135.705;1180.292;23.919;-60.774;1277.091;9.128;-130.287;1087.202;68.097;-97.922;1204.357;-51.988;-86.890;1217.000;185.545;-34.268;1233.304;183.006;39.198;1303.207;190.085;100.754;1240.431;239.485;73.613;1157.251;201.751;98.752;987.571;254.569;48.717;1008.464;254.569;-42.225;970.095;190.182;-179.492;1025.939;186.814;-179.589;955.304;216.054;-153.669;990.060;-158.306;-24.456;1246.289;-143.613;37.294;1316.875;-152.888;110.614;1258.249;-215.273;34.854;1166.916;-198.432;116.033;1003.289;-240.071;61.995;1030.626;-213.223;-12.789;1040.681;-184.324;-157.623;1016.225;-179.297;-150.398;948.763;-205.852;-128.822;984.252;122.379;-110.468;868.658;-142.051;-79.178;872.563;106.758;88.403;939.635;-86.304;107.051;949.642
