UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
13.386;19.150;1598.120;89.401;-47.241;1543.503;-59.356;-55.204;1543.112;70.690;65.121;1447.605;-53.738;56.620;1453.321;10.552;95.703;1285.511;21.007;101.369;1119.363;71.911;113.778;1199.091;-49.879;111.726;1183.409;19.004;-84.564;1274.666;8.012;-148.464;1082.675;64.486;-118.810;1201.485;-56.034;-111.238;1213.893;179.925;-53.005;1231.578;176.163;17.782;1304.222;181.977;81.535;1242.961;230.976;58.770;1159.569;193.457;89.401;991.613;247.293;39.668;1009.542;250.517;-47.729;957.612;196.388;-192.578;998.648;186.276;-186.324;929.131;217.004;-161.849;963.328;-164.390;-52.321;1245.257;-150.564;8.305;1317.412;-160.677;83.099;1260.743;-221.889;7.963;1167.434;-207.087;95.116;1007.686;-247.195;38.154;1031.037;-218.909;-39.326;1030.451;-189.842;-178.117;984.578;-182.905;-163.657;918.530;-210.751;-146.265;955.462;123.549;-117.882;866.355;-142.259;-97.217;868.455;100.099;78.116;942.712;-93.748;88.814;952.043
13.141;19.248;1598.169;89.156;-47.192;1543.601;-59.503;-55.106;1543.112;70.543;65.170;1447.654;-53.885;56.718;1453.272;10.454;95.800;1285.560;21.007;101.369;1119.412;71.911;113.778;1199.140;-49.928;111.775;1183.409;19.004;-84.564;1274.764;8.012;-148.512;1082.772;64.486;-118.810;1201.582;-56.034;-111.238;1213.991;179.925;-52.956;1231.773;176.114;17.831;1304.369;181.928;81.584;1243.107;230.976;58.819;1159.764;193.555;89.449;991.760;247.439;39.717;1009.738;250.663;-47.680;957.758;196.583;-192.578;998.746;186.422;-186.227;929.131;217.151;-161.751;963.376;-164.390;-52.321;1245.306;-150.564;8.305;1317.412;-160.726;83.099;1260.792;-221.889;7.914;1167.434;-207.136;95.067;1007.686;-247.195;38.056;1030.989;-218.860;-39.424;1030.305;-189.646;-178.117;984.285;-182.465;-163.608;918.334;-210.458;-146.265;955.169;123.549;-117.882;866.355;-142.259;-97.217;868.504;100.050;78.116;942.760;-93.797;88.814;952.043
12.897;19.297;1598.169;88.912;-47.192;1543.649;-59.796;-54.910;1543.014;70.495;65.267;1447.751;-53.933;56.913;1453.272;10.406;95.947;1285.560;20.958;101.418;1119.363;71.862;113.827;1199.140;-50.074;111.726;1183.360;18.955;-84.418;1274.862;8.012;-148.512;1082.919;64.437;-118.712;1201.729;-56.083;-111.189;1214.089;179.925;-52.810;1231.969;176.016;18.027;1304.515;181.879;81.731;1243.205;230.976;58.965;1159.911;193.652;89.449;991.955;247.488;39.717;1009.933;250.810;-47.631;957.856;196.779;-192.578;998.550;186.666;-186.178;929.082;217.346;-161.751;963.328;-164.438;-52.272;1245.403;-150.662;8.403;1317.510;-160.823;83.099;1260.841;-221.938;7.816;1167.532;-207.331;94.921;1007.832;-247.293;37.763;1031.086;-218.714;-39.668;1030.256;-189.304;-178.215;983.846;-181.635;-163.510;917.992;-209.871;-146.265;954.632;123.500;-117.882;866.404;-142.308;-97.217;868.553;100.002;78.116;942.760;-93.846;88.765;952.091
12.799;19.248;1598.218;88.521;-47.436;1543.601;-60.187;-54.471;1542.819;70.690;65.267;1447.947;-53.738;57.549;1453.321;10.259;96.289;1285.560;20.909;101.565;1119.412;71.765;113.973;1199.042;-50.709;111.775;1183.556;18.955;-84.027;1275.008;8.110;-148.317;1083.163;64.486;-118.419;1201.973;-56.083;-110.603;1214.138;179.974;-52.566;1232.360;175.919;18.417;1304.711;181.830;81.975;1243.352;230.976;59.112;1160.204;193.799;89.401;992.199;247.635;39.668;1010.226;251.005;-47.631;957.856;196.877;-192.822;998.062;186.813;-186.080;928.642;217.541;-161.800;962.986;-164.292;-52.321;1246.527;-150.662;8.452;1318.487;-161.019;82.903;1261.525;-222.133;6.888;1168.607;-208.015;93.016;1008.516;-247.488;35.614;1031.819;-218.421;-41.720;1030.940;-188.865;-180.364;983.650;-178.459;-164.536;918.383;-208.064;-147.731;954.143;123.402;-117.931;866.501;-142.357;-97.119;868.651;100.002;78.164;942.760;-93.895;88.863;952.091
12.799;18.906;1598.462;87.788;-48.413;1543.649;-60.968;-53.396;1542.330;71.960;65.218;1448.777;-52.663;59.210;1453.663;10.308;97.022;1285.853;20.714;102.005;1119.656;71.716;114.364;1198.993;-51.393;112.215;1184.191;19.395;-83.294;1275.399;8.207;-147.780;1083.603;64.730;-117.833;1202.413;-55.692;-109.919;1214.675;180.364;-51.930;1232.897;176.114;19.346;1304.955;181.977;82.561;1243.303;231.220;59.503;1160.497;194.385;89.401;992.444;248.025;39.620;1010.519;251.396;-47.631;957.612;196.925;-193.310;996.889;187.106;-185.738;927.518;217.737;-161.800;962.057;-163.315;-52.468;1248.481;-150.222;8.549;1320.099;-161.361;82.317;1262.453;-222.231;3.908;1170.268;-209.578;86.665;1008.467;-247.977;29.019;1032.698;-218.372;-47.973;1032.698;-189.549;-187.497;985.409;-173.916;-170.936;921.265;-206.207;-154.228;955.169;123.158;-117.931;866.697;-142.552;-96.582;868.846;100.050;78.311;942.858;-93.797;89.303;952.140
13.190;18.613;1598.804;86.762;-50.025;1543.601;-62.092;-51.295;1541.549;74.207;64.974;1449.852;-50.611;61.896;1454.102;10.552;98.341;1285.951;20.616;102.835;1119.607;71.716;115.341;1198.749;-51.979;112.996;1184.533;20.420;-81.975;1275.936;8.500;-146.851;1084.189;65.512;-116.856;1202.950;-54.764;-108.795;1215.457;181.244;-50.563;1233.434;176.603;21.104;1305.150;182.172;83.880;1242.961;231.269;60.675;1160.693;195.216;89.743;992.541;248.612;39.815;1010.764;252.080;-47.241;956.684;197.023;-193.945;993.616;187.839;-184.663;924.392;218.274;-161.507;959.566;-161.312;-52.761;1251.510;-149.245;9.233;1322.004;-161.800;81.731;1262.795;-221.694;-1.661;1172.320;-211.972;73.279;1006.806;-248.661;15.828;1033.627;-217.932;-60.773;1035.972;-190.037;-202.055;991.320;-168.884;-186.276;928.447;-204.058;-168.737;959.957;122.620;-117.931;866.892;-142.894;-95.458;869.091;100.295;78.458;942.809;-93.553;90.329;952.140
13.776;18.369;1599.146;85.443;-51.833;1543.454;-63.313;-48.413;1540.621;76.894;64.583;1451.025;-47.876;65.463;1454.689;10.992;100.392;1285.707;20.811;104.154;1119.217;72.009;117.149;1198.212;-52.272;114.169;1184.386;21.837;-79.972;1276.523;8.940;-145.484;1084.873;66.489;-115.097;1203.488;-53.396;-107.525;1216.482;182.172;-48.169;1233.874;177.287;23.889;1305.101;182.563;86.225;1242.374;231.709;62.580;1160.497;196.339;90.231;992.493;249.491;40.108;1010.617;253.106;-46.312;954.094;196.974;-194.874;985.897;189.207;-182.416;917.113;219.202;-160.774;953.410;-158.674;-53.250;1255.565;-147.975;10.796;1323.714;-162.142;80.949;1262.111;-220.424;-9.966;1174.713;-212.851;52.321;1004.022;-248.416;-3.517;1035.043;-217.981;-80.021;1041.394;-192.529;-224.332;1003.045;-166.295;-211.337;941.393;-203.716;-191.845;970.069;121.888;-117.931;867.039;-143.481;-93.748;869.481;100.832;78.751;942.614;-92.967;91.892;952.043
14.265;18.076;1599.488;83.734;-53.689;1543.112;-64.779;-45.091;1539.546;79.728;64.290;1452.441;-44.896;69.469;1455.519;11.285;103.079;1285.072;21.056;105.864;1118.582;72.253;119.592;1197.332;-52.517;115.732;1183.849;23.400;-77.334;1277.060;9.673;-144.018;1085.704;67.808;-112.801;1204.123;-51.637;-106.108;1217.606;183.296;-44.993;1234.363;177.922;27.602;1304.955;182.856;89.254;1241.446;232.197;65.072;1160.155;197.707;90.671;992.297;250.322;40.108;1010.128;254.474;-44.700;949.404;196.925;-195.704;971.388;191.698;-178.166;903.483;220.668;-159.162;941.783;-155.498;-53.787;1260.450;-146.412;13.044;1325.229;-162.582;79.874;1259.717;-218.811;-19.688;1178.328;-213.291;24.866;1002.312;-248.123;-27.895;1038.903;-218.079;-104.301;1051.165;-195.069;-251.934;1022.830;-164.341;-243.336;962.448;-203.765;-221.401;987.754;121.204;-117.735;867.136;-143.969;-91.892;869.872;101.369;79.337;942.370;-92.283;93.602;951.994
14.167;17.538;1599.879;81.535;-55.546;1542.672;-66.586;-41.720;1538.227;82.317;64.144;1454.102;-42.062;73.621;1456.447;11.578;106.206;1284.290;21.202;107.720;1117.702;72.449;122.327;1196.306;-52.614;117.540;1183.165;24.866;-74.305;1277.744;10.454;-142.406;1086.681;69.078;-110.114;1204.807;-49.732;-104.496;1218.876;184.321;-41.574;1235.047;178.606;31.754;1304.857;183.198;92.625;1240.518;232.735;67.417;1159.667;198.782;90.817;992.248;250.859;39.473;1009.493;256.086;-42.209;942.467;196.437;-195.313;948.867;196.095;-170.789;882.965;222.817;-155.889;924.196;-151.932;-53.689;1266.410;-144.653;16.121;1326.841;-162.826;79.141;1256.835;-216.662;-30.191;1184.191;-212.558;-7.426;1004.168;-246.853;-55.741;1046.866;-217.883;-131.316;1066.407;-197.414;-281.880;1051.409;-161.410;-278.803;993.567;-203.081;-254.425;1014.183;120.813;-117.149;867.332;-144.164;-90.329;870.312;101.760;80.167;942.077;-91.843;95.214;951.896
