UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10.195;37.897;1598.796;86.686;-29.094;1545.482;-62.018;-34.316;1540.259;73.109;84.946;1450.639;-51.674;78.679;1452.280;15.268;113.891;1279.007;25.712;112.001;1112.946;76.988;127.369;1192.072;-44.064;125.827;1176.406;21.386;-66.295;1276.918;10.394;-137.763;1087.283;66.544;-103.347;1204.854;-53.563;-93.997;1216.342;182.275;-38.991;1234.843;179.440;35.709;1302.084;186.950;95.589;1236.534;238.027;66.295;1156.811;204.307;89.272;987.169;254.439;37.400;1009.002;251.405;-52.967;963.993;185.806;-189.934;1013.378;177.301;-189.436;943.303;209.579;-163.625;976.724;-161.038;-32.427;1245.337;-146.914;30.835;1314.318;-156.165;102.452;1253.494;-218.431;24.917;1164.321;-198.886;100.164;998.359;-242.900;48.242;1026.259;-220.819;-29.542;1033.272;-199.284;-174.268;1001.890;-195.405;-167.056;934.102;-220.023;-144.378;971.552;125.479;-113.045;867.757;-140.150;-89.223;870.294;104.193;84.597;940.518;-89.322;97.827;949.918
10.394;38.345;1598.747;86.736;-28.696;1545.382;-61.919;-33.720;1540.160;73.308;85.393;1450.589;-51.475;79.276;1452.230;15.219;114.388;1278.709;25.613;112.200;1112.647;76.889;127.866;1191.774;-44.114;126.125;1176.157;21.386;-65.748;1276.869;10.345;-137.614;1087.382;66.544;-102.899;1204.854;-53.563;-93.550;1216.342;182.126;-38.544;1234.694;179.440;36.306;1301.736;186.900;96.036;1236.137;238.126;66.395;1156.463;205.202;88.676;986.671;255.036;36.654;1008.853;251.654;-53.862;964.191;184.911;-190.381;1013.826;177.053;-189.984;943.651;209.231;-164.271;977.222;-160.939;-32.029;1245.238;-146.964;31.283;1314.219;-156.264;102.800;1253.344;-218.581;24.817;1164.172;-199.383;100.015;998.110;-243.050;47.745;1026.060;-220.321;-29.890;1033.073;-197.444;-174.516;1001.542;-193.962;-167.106;933.754;-218.630;-144.775;971.353;125.479;-113.244;867.807;-140.150;-89.422;870.294;104.193;84.448;940.468;-89.372;97.628;949.818
10.544;39.141;1598.548;86.885;-27.901;1545.133;-61.819;-32.924;1540.011;73.407;86.139;1450.341;-51.375;80.072;1452.031;15.020;115.134;1278.410;25.464;112.697;1112.299;76.690;128.662;1191.426;-44.412;126.523;1175.909;21.336;-64.903;1276.670;10.394;-137.266;1087.432;66.594;-102.004;1204.754;-53.613;-92.803;1216.193;181.827;-37.549;1234.645;179.241;37.300;1301.437;186.751;96.782;1235.689;238.325;66.295;1156.115;206.993;86.537;986.124;256.428;34.466;1009.250;252.400;-56.697;965.485;183.717;-192.122;1015.964;176.555;-192.023;945.790;208.733;-166.410;979.261;-160.889;-31.681;1245.288;-147.113;31.681;1314.119;-156.463;103.049;1253.245;-218.581;24.519;1163.973;-199.781;99.070;997.911;-242.900;46.501;1026.160;-219.476;-30.934;1033.719;-195.106;-175.461;1002.984;-190.929;-168.150;935.097;-216.193;-145.870;972.398;125.479;-113.344;867.857;-140.150;-89.670;870.344;104.093;84.398;940.319;-89.422;97.528;949.669
10.544;40.384;1598.349;86.935;-26.657;1545.084;-61.720;-31.830;1540.011;73.308;87.233;1450.142;-51.425;81.017;1451.882;14.672;116.178;1278.211;24.966;113.592;1112.150;76.391;129.656;1191.078;-45.059;127.170;1175.809;21.336;-63.659;1276.570;10.494;-136.221;1087.482;66.643;-100.562;1204.655;-53.613;-91.610;1216.094;181.280;-36.455;1235.291;178.793;38.842;1301.338;186.403;97.827;1235.142;238.872;64.505;1155.617;211.767;79.077;984.582;259.810;27.204;1010.593;255.135;-65.301;970.408;182.971;-198.040;1024.618;177.699;-199.632;954.245;209.479;-173.621;987.566;-160.541;-31.133;1245.884;-147.113;32.327;1314.318;-157.010;103.198;1253.245;-219.227;22.679;1164.470;-202.218;94.296;997.165;-243.895;41.379;1026.757;-219.675;-34.764;1036.803;-193.763;-179.838;1010.295;-185.159;-173.522;942.657;-213.209;-151.042;977.968;125.479;-113.045;868.006;-140.100;-89.471;870.493;103.994;84.846;940.170;-89.571;97.827;949.570
10.494;42.324;1597.951;86.935;-24.867;1544.934;-61.670;-30.188;1539.862;73.258;88.626;1449.545;-51.425;82.359;1451.285;14.323;117.919;1277.664;24.419;114.836;1111.603;76.093;130.949;1190.431;-45.805;128.363;1175.113;21.485;-61.670;1276.520;10.693;-134.182;1087.382;66.743;-98.573;1204.605;-53.464;-89.720;1215.994;180.335;-35.560;1237.529;178.396;41.180;1301.586;186.104;98.672;1233.749;239.519;59.581;1154.672;219.923;61.919;981.996;265.977;11.489;1013.876;260.606;-83.851;982.096;184.364;-210.026;1046.203;180.783;-217.188;976.078;212.314;-189.039;1007.559;-159.497;-30.736;1247.476;-146.964;33.769;1314.567;-157.905;103.347;1252.002;-220.023;17.954;1165.664;-208.435;80.469;994.579;-247.824;28.448;1028.547;-222.012;-45.158;1044.760;-193.316;-191.277;1029.989;-181.827;-189.287;962.351;-211.817;-165.117;994.927;125.479;-111.852;868.255;-140.051;-88.526;870.692;103.795;86.239;940.021;-89.819;98.921;949.371
10.494;44.959;1597.802;86.885;-22.529;1545.084;-61.770;-27.602;1539.961;73.358;90.665;1449.296;-51.325;84.597;1450.987;14.124;120.754;1277.018;24.071;116.825;1110.956;75.993;133.088;1189.586;-46.501;130.402;1174.417;21.684;-58.785;1276.819;10.842;-131.198;1087.532;66.693;-95.986;1204.904;-53.116;-87.233;1216.442;178.992;-34.764;1242.652;177.848;44.562;1302.183;186.254;99.020;1231.810;240.066;50.530;1154.324;231.213;30.487;981.499;274.780;-15.467;1022.281;268.314;-113.891;1005.719;186.353;-226.936;1086.189;185.657;-245.138;1018.203;216.541;-212.613;1045.904;-157.905;-30.437;1252.051;-146.168;36.753;1315.711;-158.950;103.347;1249.813;-221.266;9.201;1169.990;-218.183;52.967;992.888;-254.538;4.327;1034.565;-225.145;-63.809;1061.023;-190.133;-209.330;1068.235;-180.982;-216.939;1000.746;-210.971;-189.039;1030.188;125.528;-109.812;868.603;-140.100;-86.736;870.940;103.496;88.526;939.872;-90.118;101.010;949.222
10.494;47.894;1598.199;86.636;-19.844;1545.382;-62.018;-24.171;1540.011;73.805;93.748;1449.943;-50.878;88.278;1451.435;14.224;124.484;1275.774;23.624;118.964;1109.862;75.993;135.674;1187.845;-47.297;132.988;1173.323;21.883;-55.304;1277.913;10.693;-128.662;1088.675;66.494;-93.301;1205.998;-52.519;-84.896;1218.033;177.202;-34.068;1250.112;177.401;48.789;1302.830;186.701;97.130;1227.383;241.707;37.251;1156.065;242.353;-13.776;988.312;283.434;-51.375;1039.091;275.625;-149.997;1043.368;187.497;-242.154;1142.537;190.232;-275.277;1080.768;220.122;-237.131;1101.805;-155.617;-30.238;1259.710;-145.024;41.130;1317.352;-160.044;102.551;1245.984;-222.708;-3.481;1178.246;-227.931;11.787;995.922;-261.302;-29.343;1047.197;-227.582;-88.228;1086.189;-186.104;-226.986;1123.091;-178.992;-249.416;1058.785;-209.032;-216.343;1082.459;125.479;-107.376;869.100;-140.200;-84.398;871.289;103.198;91.113;940.120;-90.416;103.447;949.371
10.643;51.176;1598.747;86.388;-16.711;1545.631;-62.317;-20.043;1540.110;74.302;97.528;1450.838;-50.331;92.803;1452.181;14.622;128.314;1274.183;23.474;120.654;1108.470;76.690;137.266;1185.806;-48.192;135.227;1172.129;21.783;-51.872;1279.306;10.245;-126.473;1090.267;65.699;-90.914;1207.540;-51.872;-83.105;1220.222;175.412;-34.217;1259.909;176.655;52.569;1304.322;187.895;93.898;1224.101;243.547;20.590;1162.431;250.709;-64.157;1007.808;289.402;-90.317;1066.693;278.858;-184.712;1092.953;184.165;-249.664;1207.540;188.392;-296.812;1156.314;218.730;-254.787;1168.349;-152.832;-29.492;1269.458;-143.582;46.004;1319.690;-161.287;101.855;1243.447;-223.106;-17.854;1191.625;-234.993;-38.146;1009.748;-265.480;-68.285;1069.777;-227.582;-113.891;1119.809;-177.351;-237.231;1187.447;-172.975;-274.879;1130.402;-203.163;-237.778;1146.914;125.230;-105.237;869.498;-140.498;-82.210;871.537;102.999;93.201;940.518;-90.615;105.635;949.669
10.842;54.906;1599.393;86.239;-13.229;1546.029;-62.466;-15.815;1540.558;74.700;101.358;1451.584;-49.933;97.329;1453.026;15.368;130.999;1272.840;24.370;122.047;1107.326;78.331;137.067;1184.463;-48.839;136.321;1171.482;21.485;-49.286;1280.698;9.648;-124.981;1091.660;64.455;-89.471;1209.131;-51.027;-82.111;1222.410;171.781;-34.565;1271.448;175.362;54.409;1307.306;190.531;90.466;1224.648;245.288;3.332;1174.864;254.638;-111.702;1039.837;290.695;-126.424;1103.844;276.073;-211.419;1149.102;174.168;-246.680;1271.149;180.335;-305.217;1233.700;211.021;-261.252;1236.385;-149.948;-28.746;1281.096;-141.344;50.032;1322.922;-162.680;100.512;1242.900;-221.465;-31.631;1210.374;-236.485;-88.377;1036.604;-264.734;-106.530;1102.104;-223.405;-137.813;1159.148;-165.813;-240.314;1251.007;-162.133;-290.347;1204.555;-193.117;-251.007;1213.010;124.932;-103.695;869.896;-140.747;-80.469;871.786;102.800;94.693;940.916;-90.715;107.226;950.017
