UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33.692;46.369;1597.261;107.658;-21.307;1541.726;-41.249;-25.159;1541.775;91.665;92.689;1447.233;-32.863;87.520;1453.279;35.252;122.919;1275.361;48.514;118.969;1108.268;99.515;131.451;1188.718;-22.087;137.741;1171.556;31.254;-56.754;1275.654;16.431;-130.574;1086.961;74.112;-97.516;1204.419;-44.760;-80.353;1214.414;193.520;-42.907;1233.039;196.153;33.838;1300.228;206.295;91.470;1234.551;256.613;56.852;1153.369;221.507;82.303;983.984;267.291;25.988;1004.804;254.126;-64.994;963.164;173.968;-192.643;1017.188;166.313;-192.155;947.074;200.883;-170.409;979.888;-147.834;-17.358;1240.256;-133.012;48.124;1308.273;-137.936;117.604;1246.594;-203.662;36.032;1157.075;-189.620;109.998;989.786;-227.456;53.780;1019.236;-192.204;-17.699;1035.570;-145.055;-158.415;1020.699;-138.570;-155.928;952.633;-168.605;-134.669;986.081;131.256;-119.798;869.013;-133.012;-76.745;871.402;123.845;82.303;935.567;-69.188;109.705;946.001
33.887;45.394;1597.310;107.853;-22.185;1541.628;-41.103;-25.988;1541.726;91.811;92.006;1447.379;-32.717;86.887;1453.474;35.398;122.529;1275.361;48.563;118.628;1108.317;99.564;131.061;1188.718;-21.941;137.351;1171.653;31.303;-57.096;1275.605;16.529;-130.818;1086.863;74.161;-97.808;1204.370;-44.662;-80.694;1214.365;193.618;-43.248;1232.942;196.251;33.448;1300.130;206.344;91.080;1234.502;256.662;56.559;1153.271;221.605;82.011;983.935;267.437;25.695;1004.755;254.273;-65.287;962.969;174.261;-193.033;1016.749;166.557;-192.448;946.635;201.126;-170.750;979.498;-147.737;-17.699;1240.207;-132.914;47.734;1308.273;-137.790;117.263;1246.643;-203.564;35.740;1157.075;-189.522;109.803;989.835;-227.407;53.536;1019.285;-192.058;-17.845;1035.667;-144.909;-158.512;1021.040;-138.375;-156.123;952.876;-168.410;-134.816;986.324;131.354;-120.091;868.964;-132.914;-76.989;871.353;123.943;81.962;935.567;-69.090;109.413;946.050
34.033;44.467;1597.359;107.950;-23.014;1541.482;-40.859;-26.817;1541.628;91.957;91.372;1447.526;-32.570;86.253;1453.620;35.447;122.139;1275.361;48.612;118.238;1108.317;99.661;130.671;1188.670;-21.844;137.010;1171.702;31.400;-57.437;1275.508;16.578;-131.061;1086.766;74.258;-98.101;1204.272;-44.565;-80.987;1214.268;193.667;-43.590;1232.893;196.348;33.058;1300.082;206.392;90.739;1234.453;256.711;56.218;1153.223;221.605;81.670;983.886;267.486;25.354;1004.657;254.468;-65.579;962.725;174.553;-193.569;1016.067;166.947;-192.789;945.904;201.419;-171.140;978.913;-147.639;-18.040;1240.207;-132.817;47.344;1308.273;-137.741;116.873;1246.643;-203.467;35.447;1157.075;-189.571;109.462;989.835;-227.407;53.195;1019.333;-191.911;-17.992;1035.814;-144.567;-158.658;1021.576;-138.082;-156.513;953.510;-168.215;-135.059;986.861;131.403;-120.383;868.866;-132.865;-77.233;871.304;124.040;81.670;935.616;-68.992;109.120;946.099
34.228;43.590;1597.408;108.145;-23.745;1541.385;-40.713;-27.597;1541.580;92.006;90.787;1447.623;-32.473;85.619;1453.767;35.496;121.749;1275.410;48.660;117.897;1108.365;99.661;130.281;1188.718;-21.795;136.620;1171.751;31.449;-57.778;1275.410;16.675;-131.354;1086.668;74.258;-98.442;1204.175;-44.516;-81.231;1214.170;193.667;-43.931;1232.844;196.397;32.668;1300.033;206.392;90.348;1234.405;256.808;55.828;1153.223;221.654;81.279;983.886;267.486;24.964;1004.609;254.663;-65.872;962.287;174.895;-194.252;1014.945;167.337;-193.130;944.880;201.809;-171.628;977.938;-147.542;-18.528;1240.158;-132.768;46.905;1308.273;-137.692;116.434;1246.643;-203.321;35.008;1156.977;-189.717;109.120;989.835;-227.407;52.805;1019.382;-191.667;-18.138;1036.252;-144.031;-158.610;1022.746;-137.254;-156.952;954.729;-167.581;-135.303;987.836;131.451;-120.627;868.818;-132.817;-77.525;871.256;124.138;81.377;935.665;-68.895;108.779;946.148
34.326;42.809;1597.408;108.243;-24.428;1541.336;-40.567;-28.377;1541.580;92.006;90.251;1447.672;-32.473;84.985;1453.913;35.496;121.310;1275.459;48.660;117.555;1108.414;99.661;129.940;1188.718;-21.844;136.230;1171.848;31.498;-58.168;1275.361;16.724;-131.598;1086.571;74.356;-98.735;1204.126;-44.467;-81.523;1214.073;193.715;-44.223;1232.893;196.397;32.327;1300.082;206.392;90.056;1234.453;256.857;55.487;1153.223;221.702;80.841;983.984;267.584;24.525;1004.657;255.053;-66.165;961.702;175.431;-195.178;1013.141;168.117;-193.569;943.076;202.443;-172.213;976.426;-147.493;-19.016;1240.207;-132.768;46.418;1308.322;-137.741;115.946;1246.740;-203.223;34.423;1156.977;-189.766;108.438;989.786;-227.310;52.073;1019.528;-191.034;-18.187;1037.276;-142.812;-158.415;1025.623;-135.352;-157.781;957.606;-166.167;-135.645;990.176;131.549;-120.920;868.769;-132.768;-77.818;871.207;124.186;81.084;935.714;-68.846;108.438;946.197
34.374;42.029;1597.505;108.340;-25.062;1541.238;-40.518;-29.157;1541.531;92.006;89.715;1447.818;-32.473;84.351;1454.010;35.496;120.920;1275.459;48.758;117.214;1108.463;99.710;129.550;1188.767;-21.892;135.888;1171.799;31.498;-58.461;1275.313;16.821;-131.890;1086.522;74.356;-99.076;1204.077;-44.418;-81.816;1213.975;193.667;-44.565;1232.942;196.397;31.985;1300.130;206.392;89.666;1234.453;256.954;55.048;1153.320;221.897;80.256;984.081;267.681;23.891;1004.706;255.638;-66.506;960.678;176.162;-196.494;1010.069;169.239;-193.959;939.956;203.272;-172.993;973.794;-147.395;-19.503;1240.304;-132.768;46.027;1308.322;-137.741;115.459;1246.692;-203.028;33.594;1156.977;-190.010;107.024;989.494;-227.310;50.611;1019.821;-190.400;-18.528;1039.080;-141.642;-158.268;1030.499;-132.280;-159.243;962.823;-164.070;-136.425;994.223;131.598;-121.115;868.720;-132.719;-78.061;871.158;124.186;80.841;935.762;-68.846;108.145;946.245
34.423;41.298;1597.456;108.291;-25.744;1541.141;-40.518;-29.840;1541.531;91.909;89.032;1447.769;-32.522;83.717;1454.108;35.545;120.578;1275.508;48.953;117.019;1108.463;99.759;129.160;1188.865;-21.892;135.645;1171.653;31.400;-58.802;1275.215;16.919;-131.988;1086.327;74.356;-99.369;1203.980;-44.418;-81.816;1213.683;193.618;-45.004;1233.186;196.299;31.595;1300.423;206.344;89.227;1234.697;257.052;54.463;1153.564;222.287;79.475;984.472;267.876;22.965;1004.999;256.564;-66.945;959.020;177.138;-198.445;1004.901;170.945;-194.349;934.836;204.588;-173.968;969.454;-147.054;-19.454;1240.304;-132.768;45.735;1308.224;-137.936;114.971;1246.350;-203.321;32.131;1157.172;-191.960;103.513;988.762;-228.187;46.710;1020.406;-190.302;-20.478;1042.981;-138.375;-158.122;1039.861;-125.454;-161.779;973.208;-159.438;-138.229;1001.976;131.598;-121.310;868.671;-132.670;-78.208;871.109;124.284;80.646;935.762;-68.797;107.999;946.294
34.326;40.518;1597.456;108.048;-26.671;1541.043;-40.762;-30.571;1541.775;91.567;88.057;1447.574;-32.863;82.840;1454.157;35.837;120.432;1275.556;49.489;116.922;1108.560;100.246;128.623;1189.157;-21.551;135.645;1171.361;31.108;-58.997;1275.166;16.821;-131.793;1086.181;74.112;-99.661;1204.028;-44.565;-81.377;1213.390;193.374;-45.832;1233.868;196.104;30.766;1301.057;206.441;88.398;1235.282;257.149;53.439;1154.295;222.873;78.061;985.349;268.169;21.405;1005.730;257.881;-67.725;956.436;178.210;-201.468;996.027;173.627;-194.642;926.059;206.295;-175.382;962.092;-146.274;-18.577;1240.938;-132.573;46.515;1308.419;-138.082;115.166;1245.326;-204.052;29.157;1158.245;-197.616;94.590;987.007;-231.356;37.885;1022.064;-189.668;-24.379;1050.100;-130.818;-157.001;1059.071;-113.655;-166.508;993.979;-150.760;-141.934;1019.041;131.451;-121.456;868.623;-132.768;-77.866;871.158;124.479;80.499;935.811;-68.554;108.194;946.294
33.936;39.786;1597.408;107.365;-27.695;1540.946;-41.493;-31.205;1542.067;90.934;86.935;1447.331;-33.497;82.060;1454.254;36.325;120.481;1275.654;50.513;116.922;1108.755;101.026;128.136;1189.596;-20.722;136.035;1171.019;30.425;-58.900;1275.410;16.139;-131.305;1086.181;73.332;-99.856;1204.272;-45.150;-80.646;1213.488;192.594;-46.954;1234.990;195.714;29.694;1302.032;206.734;87.033;1236.111;257.393;51.196;1155.368;223.994;75.331;986.714;268.559;18.187;1006.754;259.685;-69.139;952.096;179.283;-206.100;981.010;177.479;-194.544;911.627;208.684;-177.479;949.805;-145.152;-17.407;1242.840;-132.232;48.563;1308.809;-138.229;115.751;1243.522;-204.442;24.038;1160.195;-204.491;78.208;984.569;-235.160;23.209;1025.331;-189.668;-31.351;1061.216;-123.114;-155.538;1088.326;-101.953;-172.749;1025.965;-141.934;-147.590;1046.150;131.013;-121.554;868.720;-132.963;-76.940;871.256;125.015;80.451;935.811;-67.920;108.974;946.294
