UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20.473;16.125;1597.706;99.289;-48.130;1544.837;-49.302;-58.146;1539.169;82.040;65.622;1450.190;-42.315;55.361;1451.607;27.510;98.018;1280.198;42.804;100.266;1113.674;92.008;113.166;1195.030;-29.024;114.192;1176.218;32.347;-81.112;1275.360;23.845;-150.790;1084.454;78.571;-116.390;1202.506;-41.387;-105.348;1211.937;194.913;-56.778;1235.586;191.443;17.835;1304.678;199.945;78.131;1241.010;250.274;52.332;1161.902;217.585;82.187;992.642;268.695;31.077;1011.991;268.011;-58.391;962.298;204.636;-201.362;1004.320;192.763;-191.443;935.082;226.575;-170.677;969.188;-148.933;-47.201;1238.958;-136.913;16.027;1309.662;-143.607;88.099;1250.294;-203.463;11.727;1158.188;-185.042;95.917;996.991;-225.549;39.921;1021.764;-198.626;-34.986;1028.458;-166.963;-180.058;995.183;-157.777;-166.084;928.730;-186.801;-148.249;963.471;140.626;-125.528;866.381;-125.626;-97.920;867.603;121.570;72.756;939.919;-72.463;88.197;949.594
20.473;16.467;1597.706;99.289;-47.788;1544.788;-49.302;-57.853;1539.267;81.894;65.964;1450.141;-42.462;55.703;1451.705;27.265;98.311;1280.100;42.413;100.461;1113.577;91.666;113.410;1194.933;-29.366;114.387;1176.169;32.103;-80.819;1275.360;23.503;-150.594;1084.503;78.278;-116.146;1202.555;-41.680;-105.152;1212.034;194.619;-56.485;1235.488;191.199;18.177;1304.482;199.603;78.473;1240.814;249.981;52.527;1161.755;217.389;82.333;992.495;268.451;31.174;1011.845;267.718;-58.342;962.298;204.294;-201.216;1004.418;192.421;-191.346;935.228;226.282;-170.579;969.237;-149.177;-46.957;1239.104;-137.206;16.320;1309.711;-143.900;88.295;1250.294;-203.757;11.825;1158.286;-185.482;95.819;996.942;-225.940;39.872;1021.813;-198.968;-34.986;1028.653;-167.159;-180.156;995.720;-158.021;-166.279;929.218;-187.046;-148.395;963.960;140.235;-125.381;866.430;-126.065;-97.872;867.603;121.130;72.903;939.870;-72.903;88.295;949.594
20.425;16.858;1597.706;99.191;-47.348;1544.739;-49.302;-57.462;1539.316;81.698;66.355;1450.093;-42.608;56.045;1451.754;26.923;98.653;1280.002;41.973;100.657;1113.479;91.275;113.703;1194.786;-29.708;114.583;1176.121;31.858;-80.477;1275.360;23.210;-150.399;1084.552;78.033;-115.804;1202.506;-41.875;-104.908;1212.083;194.375;-56.045;1235.440;190.906;18.617;1304.385;199.261;78.864;1240.619;249.687;52.918;1161.608;217.292;82.480;992.300;268.304;31.321;1011.747;267.522;-58.293;962.298;203.952;-201.020;1004.613;191.932;-191.248;935.424;225.891;-170.481;969.383;-149.422;-46.810;1239.153;-137.450;16.564;1309.711;-144.242;88.490;1250.294;-204.099;11.922;1158.286;-186.020;95.771;996.893;-226.429;39.823;1021.910;-199.310;-34.888;1028.996;-167.354;-180.254;996.600;-158.119;-166.426;930.049;-187.241;-148.542;964.741;139.893;-125.283;866.430;-126.456;-97.872;867.554;120.690;73.049;939.870;-73.343;88.343;949.545
20.327;17.297;1597.657;99.093;-46.859;1544.642;-49.351;-57.071;1539.364;81.454;66.795;1449.995;-42.804;56.436;1451.705;26.532;98.995;1279.904;41.533;100.901;1113.332;90.835;114.045;1194.639;-30.197;114.778;1176.023;31.614;-79.988;1275.263;22.965;-150.154;1084.601;77.789;-115.364;1202.506;-42.168;-104.517;1212.034;194.082;-55.606;1235.342;190.564;19.105;1304.287;198.870;79.304;1240.472;249.443;53.309;1161.559;217.438;82.578;992.153;268.353;31.370;1011.747;267.180;-58.440;962.347;203.610;-200.971;1004.906;190.710;-191.150;935.961;225.110;-170.432;969.481;-149.715;-46.664;1239.202;-137.792;16.760;1309.759;-144.633;88.637;1250.245;-204.490;11.922;1158.335;-186.752;95.673;996.844;-227.064;39.725;1022.057;-199.799;-34.644;1029.777;-167.794;-180.596;998.603;-157.533;-166.621;932.150;-187.241;-148.786;966.305;139.551;-125.088;866.479;-126.798;-97.920;867.554;120.202;73.196;939.870;-73.831;88.441;949.496
20.327;17.591;1597.560;99.093;-46.468;1544.397;-49.351;-56.778;1539.267;81.258;67.333;1449.897;-43.048;56.827;1451.754;26.044;99.533;1279.856;41.093;101.341;1113.332;90.493;114.289;1194.542;-31.077;114.973;1175.974;31.223;-79.255;1275.165;22.770;-149.568;1084.601;77.545;-114.436;1202.457;-42.559;-103.637;1211.790;193.593;-55.312;1235.879;190.124;19.594;1304.727;198.626;79.646;1240.912;249.736;53.016;1162.097;218.757;81.747;992.642;268.890;29.757;1012.529;265.177;-60.345;963.275;202.388;-202.144;1005.346;183.576;-191.297;937.769;221.054;-171.361;969.383;-150.154;-46.761;1240.033;-138.281;16.906;1310.395;-145.219;88.490;1250.636;-205.174;11.287;1159.067;-187.827;93.914;996.942;-227.846;38.015;1022.888;-200.434;-35.376;1032.709;-167.598;-183.039;1004.906;-155.725;-167.892;938.600;-186.508;-150.790;971.484;139.209;-124.844;866.577;-127.091;-97.774;867.603;119.811;73.489;939.773;-74.271;88.637;949.398
20.718;17.151;1597.804;99.240;-46.419;1543.762;-49.107;-56.681;1539.071;81.063;68.163;1450.239;-43.243;57.609;1452.389;25.653;100.266;1280.100;40.702;102.074;1113.674;90.298;114.436;1194.688;-32.054;115.511;1176.267;30.832;-78.229;1275.507;22.428;-148.249;1084.845;77.154;-113.361;1202.848;-42.852;-102.562;1212.083;192.811;-55.263;1237.492;189.684;20.034;1305.948;198.577;79.548;1241.889;251.104;50.670;1163.221;222.764;78.131;993.228;270.210;23.796;1013.506;259.655;-67.039;963.764;197.844;-205.516;1005.786;162.859;-192.323;945.978;209.034;-174.195;969.628;-150.106;-47.006;1241.889;-138.623;17.297;1311.665;-146.099;88.148;1251.124;-206.640;8.209;1160.875;-193.105;86.682;996.355;-230.973;30.344;1024.598;-200.483;-40.605;1038.963;-159.292;-190.173;1019.174;-149.226;-174.048;951.548;-180.400;-158.363;984.237;138.818;-124.355;866.821;-127.385;-97.139;867.798;119.518;74.076;939.773;-74.564;89.418;949.301
21.255;16.418;1598.293;99.435;-46.517;1542.931;-48.911;-56.436;1538.729;81.161;69.434;1451.070;-43.194;59.026;1453.660;25.457;101.634;1280.344;40.507;103.393;1113.870;90.347;115.364;1194.884;-32.787;116.439;1176.414;30.588;-76.861;1276.142;21.793;-146.441;1085.187;76.568;-112.433;1203.484;-43.243;-101.585;1212.816;191.199;-55.117;1239.251;189.440;20.913;1306.779;198.822;79.548;1241.987;252.863;45.589;1162.976;225.647;69.238;991.420;269.721;12.802;1012.724;252.033;-78.620;964.497;190.319;-213.138;1008.864;142.874;-197.258;960.148;195.597;-182.062;973.927;-149.177;-47.543;1244.723;-138.476;18.323;1312.887;-147.076;87.659;1250.831;-208.057;1.173;1163.172;-202.535;71.144;994.010;-235.762;13.779;1026.210;-199.603;-52.478;1046.928;-144.535;-201.558;1039.501;-132.075;-184.603;972.315;-167.207;-171.849;1002.121;138.232;-123.476;867.212;-127.922;-95.575;868.189;119.567;75.102;939.870;-74.515;91.080;949.252
22.086;15.685;1598.928;99.728;-46.615;1541.954;-48.667;-55.850;1538.387;81.454;71.046;1452.291;-42.901;61.078;1455.272;25.018;103.637;1280.149;40.018;105.299;1113.723;89.956;117.221;1194.591;-33.813;117.661;1176.169;30.588;-75.151;1276.680;21.157;-144.584;1085.529;76.128;-111.162;1203.923;-43.341;-100.754;1213.794;189.049;-54.531;1240.668;189.440;22.770;1306.437;198.773;80.232;1240.717;253.059;39.530;1160.289;225.500;55.703;987.511;267.034;-1.612;1011.356;244.801;-94.451;967.771;179.912;-223.888;1018.295;129.486;-207.568;972.852;184.309;-194.717;982.772;-147.418;-48.716;1248.242;-138.379;19.643;1313.815;-148.493;86.193;1249.219;-208.985;-9.235;1165.957;-211.917;47.494;991.274;-239.329;-10.066;1028.409;-196.769;-69.434;1056.163;-127.433;-213.529;1063.590;-105.983;-195.499;999.043;-147.614;-187.485;1022.252;137.743;-122.010;867.700;-128.411;-93.523;868.482;119.615;76.763;939.870;-74.418;93.181;949.154
23.356;15.099;1599.465;100.119;-46.615;1540.781;-48.276;-54.775;1538.045;82.138;72.854;1453.513;-42.364;63.717;1457.129;24.236;106.129;1279.660;38.748;107.498;1113.186;88.881;119.615;1193.809;-35.523;119.176;1175.827;30.930;-72.854;1277.119;20.815;-142.630;1086.018;75.932;-109.354;1204.314;-43.048;-99.777;1214.868;187.046;-52.967;1242.036;189.489;25.848;1305.557;198.431;81.356;1238.176;250.909;34.106;1156.673;223.351;39.530;983.065;263.027;-17.542;1010.281;235.957;-112.481;973.488;167.256;-234.735;1033.931;116.097;-220.223;988.684;171.654;-208.594;996.404;-144.682;-49.986;1252.688;-138.281;21.157;1314.939;-150.350;84.044;1246.483;-208.154;-21.402;1169.768;-217.096;18.079;989.954;-238.987;-38.015;1032.660;-191.248;-88.734;1067.743;-107.937;-223.839;1091.295;-79.744;-204.490;1030.266;-125.968;-202.291;1047.123;137.548;-120.104;868.091;-128.655;-91.666;868.678;119.273;78.864;939.870;-74.760;95.184;949.056
