UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
27.718;37.478;1598.968;105.602;-26.010;1543.775;-42.797;-37.380;1542.067;84.863;87.644;1449.739;-39.284;76.176;1454.375;27.913;113.947;1278.208;41.284;113.752;1111.997;91.109;126.781;1191.882;-31.232;127.709;1175.485;35.575;-66.611;1276.305;25.425;-136.736;1085.694;81.642;-103.309;1204.228;-38.405;-93.988;1214.183;197.785;-42.700;1236.728;193.393;34.501;1303.681;200.322;93.110;1239.022;253.758;63.195;1158.551;219.549;87.986;987.850;269.325;35.673;1009.127;261.029;-57.096;971.649;180.949;-186.902;1026.841;183.584;-188.562;956.570;211.839;-164.308;992.242;-145.374;-36.209;1241.999;-135.273;29.377;1309.781;-144.935;99.600;1248.879;-204.129;13.761;1158.942;-194.418;91.353;992.877;-228.041;31.720;1020.400;-189.782;-40.016;1030.989;-135.614;-177.094;1006.394;-131.564;-168.359;938.709;-161.527;-151.767;974.333;139.420;-114.045;868.389;-126.684;-84.472;869.902;121.804;85.595;938.319;-72.028;102.674;948.274
27.865;37.136;1598.968;105.749;-26.303;1543.727;-42.651;-37.722;1542.067;85.009;87.351;1449.739;-39.186;75.835;1454.375;27.962;113.703;1278.208;41.284;113.557;1111.948;91.109;126.537;1191.833;-31.232;127.465;1175.485;35.673;-66.807;1276.256;25.425;-136.932;1085.645;81.691;-103.504;1204.130;-38.356;-94.232;1214.183;197.882;-42.895;1236.680;193.442;34.306;1303.681;200.371;92.914;1238.973;253.758;63.049;1158.551;219.549;87.742;987.802;269.325;35.477;1009.127;260.931;-57.340;971.795;180.510;-187.049;1027.183;183.535;-188.708;956.911;211.546;-164.406;992.584;-145.374;-36.502;1241.950;-135.273;29.085;1309.830;-144.886;99.356;1248.928;-204.129;13.566;1158.942;-194.515;91.158;992.974;-228.138;31.573;1020.497;-189.830;-40.113;1031.136;-135.663;-177.240;1006.736;-131.613;-168.554;939.002;-161.575;-151.913;974.626;139.420;-114.191;868.340;-126.684;-84.716;869.853;121.755;85.351;938.319;-72.077;102.430;948.323
28.011;36.893;1598.821;105.895;-26.645;1543.629;-42.553;-38.064;1541.970;85.155;86.912;1449.543;-38.991;75.444;1454.179;27.865;113.459;1278.306;41.333;113.459;1112.045;91.109;126.342;1191.979;-31.329;127.123;1175.534;35.819;-66.855;1276.061;25.620;-136.980;1085.498;81.837;-103.406;1203.984;-38.161;-94.232;1213.939;197.980;-42.846;1237.119;193.490;34.355;1304.072;200.420;92.914;1239.315;253.904;62.756;1158.893;219.549;86.570;988.143;269.179;34.209;1009.810;260.248;-58.901;973.796;175.923;-187.537;1029.086;184.560;-189.782;959.547;209.936;-165.187;996.049;-145.130;-37.039;1241.950;-135.224;28.499;1309.830;-144.935;98.722;1249.075;-204.031;12.883;1159.088;-195.296;90.474;993.267;-228.529;30.841;1021.181;-189.977;-40.406;1032.160;-135.370;-177.582;1008.737;-131.320;-168.993;940.905;-161.283;-152.352;976.431;139.420;-114.337;868.291;-126.684;-84.960;869.853;121.706;85.253;938.319;-72.126;102.186;948.323
28.060;36.600;1598.675;105.993;-27.084;1543.727;-42.407;-38.454;1541.970;85.399;86.278;1449.397;-38.747;74.810;1453.887;27.816;113.313;1278.696;41.333;113.654;1112.436;91.109;126.293;1192.370;-31.476;126.928;1175.875;36.112;-66.758;1276.207;26.010;-136.590;1085.498;82.130;-103.065;1204.033;-37.917;-93.793;1213.841;197.931;-41.968;1238.583;193.393;34.989;1305.341;200.371;93.402;1240.144;254.051;61.927;1159.723;220.574;82.520;988.338;269.423;29.963;1011.567;258.882;-63.635;979.554;164.894;-189.635;1035.040;186.902;-192.758;968.526;206.081;-167.822;1006.394;-144.398;-37.332;1242.780;-134.882;28.109;1310.562;-145.032;98.136;1249.465;-204.178;11.224;1160.357;-197.638;86.912;993.706;-229.602;27.230;1023.084;-190.514;-42.602;1036.406;-133.516;-179.875;1016.935;-130.197;-171.872;948.860;-160.112;-155.329;983.898;139.469;-114.240;868.340;-126.586;-85.009;869.853;121.755;85.351;938.319;-72.175;102.186;948.372
28.304;36.502;1598.529;106.042;-27.718;1543.922;-42.358;-38.503;1542.019;86.034;85.351;1449.104;-38.112;74.371;1453.496;27.669;113.654;1278.940;41.284;113.996;1112.729;90.962;126.684;1192.662;-31.671;127.025;1176.070;36.356;-66.123;1276.842;26.254;-135.760;1085.791;82.276;-102.284;1204.521;-37.624;-93.061;1214.232;197.541;-40.357;1241.364;192.905;36.941;1307.244;200.274;94.866;1240.681;254.051;59.731;1160.503;224.234;72.223;987.753;270.838;19.227;1014.495;256.344;-74.810;989.949;147.716;-194.759;1044.897;186.707;-199.932;986.240;197.931;-174.410;1024.206;-143.520;-37.185;1244.683;-134.443;28.597;1311.733;-145.276;97.892;1249.465;-204.324;8.345;1162.358;-200.908;77.787;992.926;-231.603;19.081;1025.865;-191.441;-47.775;1045.092;-130.295;-185.536;1036.504;-129.514;-180.803;967.501;-158.599;-163.186;1001.905;139.567;-113.801;868.487;-126.440;-84.716;869.951;121.804;85.790;938.416;-72.126;102.528;948.420
28.841;36.941;1598.236;106.090;-28.206;1544.117;-42.407;-37.917;1542.263;86.912;84.375;1448.567;-37.283;74.371;1453.008;27.181;114.972;1278.891;40.943;114.825;1112.777;90.377;128.148;1192.662;-32.305;127.806;1175.973;36.551;-64.757;1277.671;26.498;-134.443;1086.328;82.276;-100.869;1205.204;-37.332;-92.134;1215.061;195.491;-38.112;1245.317;191.978;40.308;1308.952;199.932;96.770;1240.242;253.856;54.363;1160.845;231.847;53.533;987.021;273.424;-0.634;1019.473;251.123;-94.281;1004.345;124.097;-201.152;1054.950;179.143;-212.083;1010.591;181.925;-184.707;1046.752;-142.007;-36.649;1248.245;-133.857;30.305;1313.539;-145.960;97.892;1248.733;-204.129;2.879;1165.725;-204.763;60.219;991.462;-233.897;4.246;1030.404;-191.050;-56.608;1058.805;-121.950;-192.661;1068.907;-126.342;-194.759;999.465;-153.865;-174.947;1032.746;139.811;-112.971;868.682;-126.245;-84.131;869.999;121.755;86.668;938.514;-72.175;103.211;948.420
29.377;37.966;1597.797;106.042;-28.450;1544.410;-42.553;-36.649;1542.409;88.083;83.496;1447.835;-36.112;74.712;1452.130;26.791;117.509;1278.501;40.552;116.143;1112.485;90.035;130.344;1192.272;-32.891;129.319;1175.534;36.746;-62.561;1278.794;26.449;-132.979;1087.304;82.081;-99.014;1206.180;-36.941;-90.962;1216.379;191.831;-36.063;1250.246;190.806;44.456;1310.757;199.981;98.185;1239.022;254.148;45.384;1162.455;240.728;27.669;988.924;274.449;-27.621;1028.110;242.192;-118.729;1021.620;99.600;-208.423;1063.197;163.235;-227.113;1035.869;159.526;-196.760;1068.907;-139.469;-35.477;1253.759;-132.881;33.574;1315.930;-146.643;98.234;1247.415;-202.909;-4.782;1171.044;-207.935;33.867;991.364;-234.872;-17.324;1037.968;-188.269;-68.417;1076.666;-107.164;-196.906;1109.459;-121.706;-210.717;1042.360;-145.276;-186.268;1074.274;140.006;-111.946;869.023;-126.049;-83.447;870.146;121.657;87.742;938.563;-72.321;104.041;948.372
29.914;39.088;1597.309;105.944;-28.499;1544.507;-42.700;-35.087;1542.311;89.401;83.008;1447.250;-34.892;75.688;1451.398;26.986;120.828;1278.159;40.601;117.656;1112.289;90.377;132.881;1191.882;-32.891;131.320;1175.143;36.649;-59.926;1280.014;26.059;-131.369;1088.573;81.544;-96.916;1207.400;-36.551;-89.450;1218.038;187.927;-34.892;1255.175;189.830;47.677;1312.709;200.518;98.185;1237.802;254.246;34.648;1165.969;246.828;0.244;994.926;272.302;-54.704;1040.115;231.847;-142.153;1039.285;79.202;-217.451;1074.030;144.788;-241.314;1056.755;138.542;-208.765;1086.621;-136.053;-33.623;1260.494;-131.320;38.064;1318.321;-146.887;99.014;1245.707;-200.664;-13.859;1178.657;-210.229;1.952;995.414;-234.336;-43.041;1049.631;-183.828;-82.667;1096.088;-91.353;-197.541;1148.547;-112.873;-224.088;1087.011;-133.809;-194.710;1115.657;140.104;-111.068;869.365;-126.049;-82.715;870.390;121.560;88.718;938.612;-72.419;104.919;948.372
30.451;40.357;1596.821;105.846;-28.304;1544.459;-42.846;-33.330;1542.116;90.572;82.959;1446.664;-33.769;76.957;1450.715;27.425;124.293;1278.208;41.236;119.315;1112.485;91.304;135.273;1191.882;-32.647;133.125;1174.899;36.600;-57.486;1280.990;25.522;-129.953;1089.744;80.812;-95.159;1208.571;-36.161;-87.790;1219.453;184.609;-33.721;1260.445;188.610;50.459;1315.247;201.103;98.185;1237.851;253.612;25.571;1170.995;247.951;-23.326;1003.417;267.763;-76.323;1053.339;222.380;-161.624;1055.877;64.220;-227.992;1086.816;129.417;-255.320;1073.591;123.414;-220.965;1101.602;-132.345;-31.817;1267.423;-129.319;42.309;1320.908;-147.082;99.698;1244.878;-197.590;-22.838;1188.319;-210.473;-29.524;1004.491;-231.847;-68.222;1064.612;-178.265;-96.379;1115.559;-76.127;-195.589;1182.463;-101.406;-232.677;1127.905;-121.316;-199.590;1152.403;139.860;-110.580;869.609;-126.245;-81.935;870.634;121.560;89.303;938.514;-72.419;105.846;948.225
