UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30.407;21.036;1597.093;106.255;-45.635;1542.770;-42.365;-53.933;1543.258;86.732;65.695;1445.837;-37.533;57.056;1452.231;30.847;93.321;1281.696;46.123;96.396;1115.603;96.005;107.817;1197.063;-25.966;109.867;1177.345;32.750;-86.976;1275.156;21.573;-154.135;1083.243;77.897;-123.484;1202.139;-41.877;-111.136;1211.462;195.964;-63.353;1235.524;194.353;8.883;1305.905;203.675;70.869;1242.601;253.362;44.562;1162.507;221.490;75.359;993.485;270.786;22.403;1012.667;266.101;-66.867;963.224;196.013;-204.847;1003.101;188.691;-198.795;933.403;220.514;-177.026;969.716;-148.718;-51.688;1239.917;-135.637;11.519;1310.346;-141.250;83.998;1250.947;-202.309;8.590;1158.700;-179.125;89.758;995.096;-223.101;36.460;1021.403;-196.257;-37.338;1035.314;-166.630;-183.518;1014.229;-157.650;-177.661;946.581;-186.153;-155.746;980.112;136.076;-129.243;865.023;-129.048;-95.712;867.903;122.361;68.673;940.138;-71.260;88.928;950.486
30.114;20.792;1597.142;106.060;-45.831;1542.867;-42.561;-54.226;1543.160;86.536;65.549;1445.935;-37.680;56.812;1452.231;30.798;93.272;1281.745;46.123;96.396;1115.603;96.005;107.768;1197.112;-25.966;109.818;1177.345;32.701;-87.073;1275.156;21.573;-154.184;1083.243;77.849;-123.582;1202.188;-41.877;-111.233;1211.462;195.964;-63.353;1235.621;194.304;8.883;1306.002;203.627;70.869;1242.699;253.264;44.659;1162.605;221.246;75.506;993.681;270.689;22.647;1012.764;266.394;-66.476;963.078;196.842;-204.944;1002.515;189.570;-198.697;932.817;221.295;-176.880;969.277;-148.815;-51.590;1239.770;-135.637;11.470;1310.298;-141.250;83.998;1250.947;-202.455;8.737;1158.700;-179.418;90.002;995.096;-223.443;36.801;1021.550;-196.501;-36.752;1035.851;-166.825;-183.079;1015.839;-157.650;-177.661;948.143;-186.251;-155.502;981.430;136.125;-129.292;865.023;-129.048;-95.664;867.854;122.410;68.624;940.138;-71.211;88.928;950.486
29.724;20.255;1597.191;105.718;-46.319;1542.916;-42.902;-54.616;1543.014;86.439;65.207;1446.179;-37.777;56.568;1452.231;30.847;93.223;1281.745;46.221;96.347;1115.603;96.054;107.621;1197.112;-25.917;109.769;1177.296;32.653;-87.171;1275.156;21.573;-154.233;1083.292;77.800;-123.630;1202.188;-41.926;-111.282;1211.462;195.964;-63.401;1235.670;194.256;8.834;1306.100;203.675;70.723;1242.747;253.167;44.610;1162.849;221.198;75.603;993.925;270.689;22.744;1012.960;266.735;-66.184;962.688;197.233;-205.140;1001.099;190.351;-198.307;931.450;221.783;-176.685;968.056;-148.815;-51.492;1239.721;-135.686;11.519;1310.298;-141.201;84.047;1250.898;-202.553;8.981;1158.749;-179.906;90.295;995.096;-223.980;37.192;1021.843;-196.647;-35.971;1036.827;-166.045;-182.395;1018.573;-157.601;-177.612;950.681;-186.007;-155.209;983.870;136.125;-129.390;865.023;-128.999;-95.664;867.854;122.508;68.575;940.187;-71.113;88.879;950.486
29.285;19.572;1597.239;105.230;-47.100;1543.111;-43.341;-55.055;1542.770;86.536;64.573;1446.472;-37.729;56.227;1452.182;30.798;93.126;1281.696;46.319;96.152;1115.603;96.103;107.475;1197.112;-25.917;109.574;1177.247;32.604;-87.220;1275.058;21.622;-154.379;1083.243;77.751;-123.728;1202.139;-41.975;-111.233;1211.266;195.964;-63.450;1235.817;194.207;8.785;1306.247;203.675;70.527;1242.845;253.167;44.513;1163.142;221.393;75.603;994.315;270.933;22.696;1013.301;267.223;-66.086;962.639;194.353;-205.335;998.513;193.133;-197.770;929.010;221.881;-176.587;967.129;-148.913;-51.639;1239.428;-135.686;11.275;1310.054;-141.201;83.852;1250.850;-202.895;9.029;1158.798;-180.980;90.441;995.145;-225.005;37.387;1022.477;-196.598;-34.995;1039.023;-161.798;-180.736;1024.234;-158.723;-177.807;955.952;-184.884;-154.819;989.630;136.174;-129.487;864.974;-128.951;-95.712;867.805;122.606;68.429;940.236;-71.016;88.782;950.534
28.455;18.937;1597.337;104.498;-48.173;1543.844;-44.122;-55.446;1542.428;86.927;63.450;1446.862;-37.436;55.690;1451.743;30.603;93.272;1281.403;46.319;95.615;1115.408;95.956;107.231;1196.868;-25.868;109.330;1176.857;32.604;-86.927;1274.765;21.720;-154.672;1083.243;77.751;-123.679;1202.237;-41.926;-111.038;1211.071;196.159;-62.962;1236.500;193.963;9.420;1306.735;203.578;70.918;1242.943;253.264;44.854;1163.727;222.564;74.871;994.950;271.909;21.671;1014.278;267.858;-66.916;964.005;180.638;-204.652;991.338;203.627;-198.453;926.277;220.124;-177.222;968.935;-148.718;-51.492;1238.940;-135.686;11.323;1309.565;-141.299;83.852;1250.313;-203.773;8.737;1158.847;-184.006;89.807;994.559;-227.299;36.606;1024.088;-195.232;-33.726;1044.734;-148.767;-176.441;1036.876;-164.434;-179.223;970.546;-182.639;-154.135;1006.078;136.174;-129.634;864.925;-128.902;-95.664;867.805;122.752;68.282;940.334;-70.869;88.733;950.583
26.503;18.352;1597.679;102.887;-49.150;1545.259;-45.684;-55.641;1541.745;87.269;62.425;1447.985;-37.192;55.446;1451.206;31.091;94.150;1280.134;46.514;93.906;1114.139;96.103;106.743;1195.599;-25.234;109.037;1175.246;32.653;-86.146;1275.156;21.524;-155.746;1084.268;77.702;-123.630;1203.067;-41.828;-110.355;1211.803;196.550;-62.377;1237.574;193.865;10.689;1307.125;203.627;71.357;1242.357;253.313;45.050;1164.411;225.981;73.163;995.731;273.764;18.254;1015.547;268.151;-69.551;965.470;164.141;-202.309;970.936;214.462;-199.380;924.178;214.804;-178.149;967.178;-148.278;-49.394;1239.331;-135.003;13.764;1309.224;-140.811;85.707;1248.702;-204.896;9.225;1159.530;-189.668;85.511;992.460;-231.545;33.580;1026.919;-194.402;-33.238;1054.349;-132.172;-170.584;1054.202;-171.804;-182.688;1001.197;-178.979;-152.525;1034.923;136.174;-129.634;864.876;-128.902;-95.712;867.561;122.801;68.087;940.773;-70.869;88.440;950.876
22.305;18.693;1598.264;99.959;-48.515;1547.309;-48.515;-54.958;1540.232;86.585;63.597;1450.279;-37.973;56.666;1450.572;33.141;95.175;1278.426;47.685;91.612;1112.430;97.713;105.620;1193.695;-23.233;108.598;1173.294;32.897;-85.560;1276.034;20.841;-157.308;1085.732;77.507;-124.216;1204.238;-41.682;-109.818;1213.463;196.794;-63.304;1238.062;194.792;10.689;1306.735;204.944;70.186;1240.893;254.240;42.902;1164.508;230.373;70.625;996.219;275.277;12.983;1015.986;268.541;-72.968;961.614;156.917;-199.039;943.750;217.976;-199.185;912.367;210.411;-178.832;954.049;-147.302;-46.026;1241.674;-132.953;18.010;1309.810;-138.907;88.635;1246.750;-205.774;9.176;1162.019;-197.819;74.823;990.020;-237.304;25.331;1031.116;-194.500;-36.167;1065.428;-121.239;-167.411;1073.530;-172.975;-188.106;1037.168;-173.951;-151.988;1064.598;136.076;-129.585;864.876;-128.853;-95.956;867.366;122.654;67.745;941.505;-71.016;87.952;951.462
16.058;22.208;1598.313;95.517;-45.050;1550.286;-52.664;-51.834;1538.231;85.170;66.574;1452.377;-39.290;59.448;1448.570;36.069;96.200;1277.011;49.589;89.709;1111.064;100.398;104.058;1191.938;-20.841;108.402;1171.585;33.629;-85.267;1276.669;20.011;-158.870;1087.050;77.556;-125.388;1205.214;-41.243;-109.623;1215.171;197.086;-65.110;1238.062;196.550;9.566;1306.198;207.336;67.989;1239.428;256.534;39.046;1163.776;234.180;66.769;996.414;276.643;6.833;1015.254;269.469;-75.848;953.707;155.404;-195.573;917.540;218.952;-196.891;891.330;209.191;-178.930;933.696;-145.448;-43.000;1245.041;-130.073;22.208;1310.688;-136.613;90.783;1244.407;-206.506;6.394;1165.582;-207.092;57.593;988.605;-243.649;12.104;1036.876;-195.427;-42.365;1076.654;-116.016;-167.460;1097.690;-170.340;-194.500;1071.188;-169.754;-153.989;1091.687;135.832;-129.878;864.632;-128.902;-95.956;867.463;122.703;67.062;942.042;-70.918;87.513;952.096
8.932;28.943;1597.386;90.148;-39.095;1553.556;-57.447;-46.319;1536.132;83.462;70.723;1453.256;-40.803;63.304;1445.007;38.900;97.372;1275.644;51.736;88.245;1109.843;103.278;102.741;1190.425;-18.498;108.793;1169.926;34.507;-84.779;1277.303;19.718;-160.090;1088.270;77.849;-126.266;1206.239;-40.364;-109.183;1216.586;197.672;-66.769;1239.136;198.111;8.834;1306.247;209.679;66.037;1238.550;258.438;35.239;1163.386;236.816;61.156;997.000;277.424;-0.342;1014.131;270.835;-78.093;942.627;157.406;-192.450;892.697;219.489;-190.888;864.291;210.655;-178.100;909.585;-143.593;-40.511;1249.141;-127.193;26.307;1311.274;-134.515;92.247;1242.015;-207.238;1.318;1169.633;-215.682;34.507;988.458;-249.506;-5.515;1043.221;-197.819;-52.420;1087.782;-112.649;-169.949;1123.656;-166.289;-202.309;1102.425;-166.630;-159.163;1116.725;135.198;-130.756;864.437;-129.195;-95.712;867.756;123.094;66.037;942.237;-70.381;87.366;952.584
