UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26.528;32.146;1598.942;103.180;-34.784;1545.935;-45.532;-40.549;1541.050;88.817;78.801;1450.670;-35.761;72.108;1452.624;30.827;108.798;1278.899;43.822;108.212;1112.698;93.165;122.526;1192.770;-27.065;122.281;1175.769;38.155;-71.229;1275.382;26.283;-141.383;1084.803;83.394;-107.967;1202.834;-36.689;-97.708;1213.582;200.546;-43.627;1233.612;197.223;30.045;1302.936;202.500;91.210;1238.693;253.259;65.367;1157.595;217.449;91.699;988.316;269.772;41.477;1008.395;266.938;-50.417;966.185;198.543;-187.453;1016.114;196.100;-185.938;945.960;224.777;-161.072;982.405;-144.754;-36.152;1240.500;-132.052;25.941;1311.241;-140.162;98.343;1251.443;-202.793;24.476;1161.894;-187.941;110.605;1001.311;-228.979;55.352;1027.692;-199.764;-18.613;1037.658;-166.739;-164.687;1010.544;-161.560;-153.743;943.224;-188.869;-134.055;978.741;139.625;-118.275;866.963;-126.385;-89.110;869.161;122.379;80.560;938.778;-71.522;97.659;948.842
27.309;32.390;1598.893;104.010;-34.442;1545.837;-44.750;-40.451;1541.196;89.305;79.046;1450.475;-35.273;72.108;1452.624;31.120;108.896;1278.850;44.017;108.212;1112.649;93.409;122.575;1192.623;-26.821;122.330;1175.769;38.595;-71.083;1275.382;26.577;-141.335;1084.754;83.785;-107.821;1202.834;-36.299;-97.610;1213.630;200.936;-43.431;1233.465;197.614;30.289;1302.789;202.793;91.406;1238.497;253.601;65.611;1157.595;218.182;91.943;988.267;270.456;41.721;1008.395;267.671;-50.173;966.038;198.933;-187.306;1015.674;196.784;-185.596;945.520;225.363;-160.876;982.111;-144.363;-36.152;1240.647;-131.613;25.990;1311.338;-139.869;98.343;1251.541;-202.597;24.427;1162.138;-188.186;110.557;1001.506;-229.076;55.254;1027.985;-199.617;-18.711;1037.903;-166.152;-164.736;1010.691;-161.218;-153.695;943.370;-188.527;-134.104;978.936;139.820;-118.324;866.963;-126.239;-89.207;869.161;122.477;80.560;938.729;-71.425;97.561;948.891
28.140;32.683;1598.844;104.841;-34.051;1545.789;-43.871;-40.305;1541.294;89.842;79.339;1450.328;-34.686;72.255;1452.673;31.511;108.993;1278.802;44.213;108.260;1112.552;93.702;122.672;1192.477;-26.528;122.330;1175.817;39.083;-70.985;1275.382;26.919;-141.237;1084.851;84.175;-107.674;1202.785;-35.859;-97.561;1213.728;201.327;-43.187;1233.416;198.005;30.583;1302.642;203.184;91.503;1238.253;253.748;65.953;1157.595;218.817;92.236;988.267;271.091;42.014;1008.395;268.355;-49.880;965.794;199.324;-187.111;1014.941;197.565;-185.108;944.787;225.950;-160.632;981.525;-143.973;-36.152;1240.793;-131.173;25.990;1311.485;-139.429;98.294;1251.737;-202.207;24.427;1162.334;-187.892;110.605;1001.702;-228.783;55.303;1028.230;-199.422;-18.613;1038.196;-165.957;-164.736;1011.131;-161.023;-153.646;943.908;-188.430;-134.055;979.327;140.015;-118.373;866.963;-126.043;-89.354;869.210;122.575;80.511;938.729;-71.327;97.464;948.891
29.068;33.074;1598.746;105.671;-33.660;1545.642;-42.943;-40.011;1541.392;90.575;79.583;1450.181;-33.954;72.450;1452.624;31.853;109.091;1278.753;44.457;108.407;1112.503;93.995;122.770;1192.330;-26.283;122.428;1175.866;39.572;-70.838;1275.333;27.358;-141.139;1084.851;84.713;-107.430;1202.736;-35.370;-97.415;1213.679;201.865;-42.894;1233.367;198.396;30.973;1302.545;203.575;91.601;1237.960;253.699;66.393;1157.693;219.354;92.676;988.316;271.677;42.503;1008.493;269.088;-49.294;965.355;199.862;-187.111;1013.427;198.640;-184.326;943.224;226.829;-160.241;980.353;-143.582;-36.299;1240.793;-130.782;25.844;1311.436;-139.038;98.148;1251.834;-201.718;24.329;1162.236;-187.013;110.263;1001.506;-228.197;55.303;1028.278;-199.129;-18.516;1038.977;-166.494;-165.126;1012.596;-162.488;-154.232;945.373;-189.456;-134.446;980.841;140.162;-118.422;867.011;-125.946;-89.452;869.259;122.672;80.560;938.631;-71.229;97.415;948.891
30.045;33.563;1598.600;106.599;-33.270;1545.495;-42.063;-39.669;1541.489;91.259;79.827;1449.839;-33.172;72.646;1452.478;32.292;109.335;1278.753;44.897;108.602;1112.454;94.386;122.917;1192.281;-25.893;122.721;1175.817;40.011;-70.496;1275.138;27.896;-140.797;1084.754;85.201;-107.137;1202.638;-34.931;-96.682;1213.386;202.451;-42.552;1233.514;198.738;31.315;1302.642;203.965;91.699;1237.960;253.894;66.979;1158.181;220.087;93.458;988.853;272.459;43.333;1008.932;270.211;-48.219;964.573;200.546;-187.306;1010.202;200.448;-182.909;940.048;228.148;-159.655;977.910;-142.947;-35.859;1240.793;-130.440;26.088;1311.387;-138.745;98.245;1251.590;-201.523;23.645;1162.285;-187.208;107.381;1000.627;-228.246;52.860;1028.865;-198.885;-20.372;1041.958;-163.172;-166.836;1018.215;-166.543;-157.847;951.089;-190.237;-137.182;987.534;140.260;-118.520;867.060;-125.799;-89.403;869.356;122.819;80.609;938.534;-71.083;97.464;948.842
31.071;33.905;1598.551;107.381;-33.172;1545.349;-41.330;-39.083;1541.489;92.236;79.974;1449.644;-32.244;73.183;1452.526;33.270;109.921;1278.655;45.776;109.091;1112.307;95.461;123.112;1192.379;-25.209;123.307;1175.427;40.353;-69.910;1275.089;28.042;-140.015;1084.656;85.494;-106.746;1202.638;-34.589;-95.461;1213.191;203.037;-42.650;1233.856;199.178;31.169;1302.936;204.796;91.406;1238.204;254.627;67.174;1159.158;221.699;94.239;990.172;273.924;43.822;1009.812;272.019;-46.900;962.765;200.643;-187.990;1003.021;202.939;-180.711;933.160;229.760;-158.971;972.390;-142.019;-34.686;1241.917;-129.658;27.456;1311.778;-138.208;99.076;1250.955;-201.376;21.447;1162.773;-188.821;98.490;997.549;-228.979;45.288;1029.891;-197.321;-25.648;1048.699;-152.718;-172.161;1033.652;-176.998;-168.546;970.777;-190.433;-145.047;1008.395;140.162;-118.520;867.158;-125.848;-88.865;869.454;123.112;80.804;938.534;-70.789;98.001;948.842
32.097;34.295;1598.600;107.772;-33.172;1545.105;-40.940;-38.008;1541.538;93.360;80.267;1449.742;-31.169;74.405;1452.820;34.442;110.899;1278.509;46.802;109.628;1112.161;96.633;123.454;1192.232;-24.329;124.431;1175.085;40.402;-68.982;1275.284;27.554;-138.990;1084.900;85.348;-106.209;1202.834;-34.637;-93.995;1213.582;203.233;-42.943;1234.051;199.568;30.973;1303.082;205.675;90.917;1238.204;255.604;66.686;1160.038;224.728;94.630;991.540;276.074;43.236;1010.740;274.364;-45.825;958.759;200.301;-189.309;989.195;205.871;-177.291;920.262;231.275;-158.385;961.446;-141.188;-33.025;1245.141;-128.730;30.192;1313.048;-137.817;100.395;1249.782;-201.230;17.050;1164.630;-192.436;80.169;993.152;-230.249;29.752;1032.578;-193.950;-36.103;1061.011;-136.987;-181.102;1059.838;-182.518;-184.717;1010.447;-183.838;-156.235;1044.156;139.820;-118.569;867.256;-126.092;-87.546;869.698;123.601;80.951;938.485;-70.203;99.076;948.842
32.488;35.273;1598.795;107.674;-32.781;1545.251;-41.037;-36.250;1541.489;94.337;81.000;1450.084;-30.241;76.212;1452.966;35.712;112.266;1278.313;47.633;110.410;1112.063;97.903;123.943;1191.939;-23.401;126.092;1174.938;40.402;-67.809;1275.773;26.381;-137.817;1085.340;84.811;-105.476;1203.127;-34.833;-92.725;1214.608;203.135;-43.382;1234.198;200.057;30.778;1302.984;206.701;90.282;1237.862;256.679;65.611;1160.428;228.099;93.848;992.615;278.175;40.988;1011.033;276.904;-45.141;951.675;199.422;-190.775;966.625;209.388;-172.064;899.646;232.936;-157.554;943.419;-139.722;-31.999;1250.759;-127.313;33.856;1314.758;-137.768;101.030;1247.926;-201.230;7.817;1168.831;-199.324;48.512;990.124;-233.522;2.834;1038.049;-190.824;-53.104;1077.279;-120.620;-190.433;1100.192;-172.064;-204.552;1059.789;-171.233;-170.256;1086.122;138.745;-118.617;867.500;-126.825;-85.201;870.040;124.382;81.049;938.485;-69.226;101.030;948.891
32.146;36.934;1598.991;107.039;-31.560;1545.593;-41.770;-33.856;1541.196;95.021;82.612;1450.670;-29.654;78.801;1453.064;36.934;114.074;1277.825;48.805;111.582;1111.770;99.320;124.675;1191.402;-22.473;127.802;1174.450;40.451;-66.295;1276.359;24.867;-136.449;1085.975;84.078;-104.645;1203.567;-35.028;-91.797;1216.024;202.842;-43.822;1234.589;200.594;30.973;1302.789;207.776;89.794;1237.276;257.851;63.461;1160.135;231.079;91.113;993.250;279.396;36.201;1010.398;279.054;-44.897;941.612;198.836;-191.117;935.212;213.834;-163.856;872.043;234.743;-155.404;918.357;-136.498;-32.048;1257.990;-125.652;37.764;1316.517;-138.110;99.516;1243.724;-200.301;-6.888;1177.039;-207.874;2.638;993.885;-236.014;-35.957;1051.289;-184.717;-76.212;1099.361;-96.780;-195.025;1147.042;-149.249;-222.579;1116.020;-150.470;-183.251;1133.168;136.987;-118.813;867.549;-128.095;-81.928;870.431;125.310;81.000;938.436;-68.005;103.619;948.891
