UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
35.352;38.710;1597.872;109.761;-30.859;1545.189;-39.056;-34.365;1543.560;95.294;80.185;1447.032;-29.279;75.544;1451.723;37.574;107.588;1280.589;50.017;108.971;1114.195;101.219;119.586;1194.479;-21.330;123.832;1177.247;38.562;-73.223;1276.540;25.132;-142.694;1085.706;82.851;-111.390;1203.663;-36.537;-97.664;1214.723;201.944;-53.522;1236.003;201.252;21.330;1304.091;209.646;81.814;1240.250;259.268;51.597;1157.645;222.780;75.001;984.981;274.525;26.119;1009.965;269.192;-67.594;988.931;197.599;-186.390;1069.610;194.834;-201.252;1000.584;224.705;-170.146;1030.554;-142.891;-35.599;1244.150;-128.918;28.687;1312.337;-135.238;100.132;1251.310;-197.944;20.342;1161.348;-177.947;93.615;992.387;-220.805;41.919;1024.679;-189.699;-25.823;1051.193;-154.939;-168.961;1056.229;-147.434;-176.170;988.635;-176.071;-148.717;1018.605;138.793;-119.339;866.926;-126.005;-84.135;870.184;126.499;79.691;939.309;-66.952;101.120;950.073
35.649;38.611;1597.823;110.106;-30.958;1545.140;-38.710;-34.562;1543.560;95.442;80.136;1447.032;-29.082;75.396;1451.772;37.673;107.489;1280.490;50.116;108.822;1114.146;101.268;119.487;1194.331;-21.231;123.734;1177.198;38.759;-73.272;1276.491;25.231;-142.792;1085.706;82.999;-111.439;1203.663;-36.389;-97.713;1214.723;202.092;-53.473;1235.905;201.400;21.429;1303.993;209.745;81.814;1240.102;259.367;51.547;1157.497;222.977;74.803;984.882;274.722;25.922;1009.866;269.390;-67.841;988.734;197.697;-186.785;1069.264;195.031;-201.450;1000.287;224.854;-170.442;1030.258;-142.743;-35.747;1244.200;-128.721;28.588;1312.337;-135.090;99.984;1251.310;-197.845;20.244;1161.398;-178.095;93.516;992.437;-220.904;41.771;1024.777;-189.649;-25.922;1051.242;-154.791;-169.010;1056.377;-147.286;-176.170;988.783;-175.972;-148.816;1018.754;138.842;-119.586;866.876;-126.005;-84.332;870.184;126.499;79.494;939.309;-66.952;100.922;950.073
35.896;38.562;1597.774;110.452;-30.859;1545.041;-38.364;-34.711;1543.560;95.590;80.185;1446.983;-28.884;75.297;1451.772;37.722;107.539;1280.391;50.116;108.773;1113.998;101.317;119.487;1194.183;-21.281;123.586;1177.099;38.957;-73.174;1276.441;25.477;-142.792;1085.706;83.246;-111.341;1203.613;-36.192;-97.713;1214.673;202.240;-53.226;1235.954;201.499;21.725;1303.894;209.794;82.012;1239.904;259.268;51.646;1157.448;223.175;74.556;984.784;274.920;25.675;1009.767;269.686;-68.137;988.141;197.895;-187.724;1068.178;195.475;-201.894;999.102;225.199;-171.035;1029.221;-142.595;-35.945;1244.200;-128.622;28.391;1312.337;-134.991;99.787;1251.310;-197.796;19.947;1161.497;-178.342;93.171;992.535;-221.052;41.376;1024.925;-189.600;-26.169;1051.489;-154.297;-169.257;1056.970;-146.841;-176.367;989.425;-175.627;-149.014;1019.247;138.892;-119.734;866.926;-125.956;-84.629;870.234;126.499;79.395;939.210;-67.002;100.725;949.974
36.241;38.562;1597.675;110.797;-30.711;1544.893;-37.920;-34.711;1543.461;95.837;80.333;1446.884;-28.687;75.297;1451.673;37.722;107.736;1280.243;50.116;108.773;1113.899;101.317;119.438;1193.985;-21.676;123.586;1177.099;39.204;-72.877;1276.244;25.872;-142.496;1085.607;83.592;-111.044;1203.515;-35.846;-97.318;1214.525;202.487;-52.979;1236.152;201.598;22.219;1303.894;209.942;81.864;1239.509;258.478;52.041;1157.843;223.718;74.704;985.129;275.463;25.872;1010.113;270.427;-68.088;987.252;198.191;-189.353;1065.610;196.463;-202.042;996.337;225.940;-171.677;1027.049;-142.200;-36.093;1244.940;-128.424;28.341;1312.930;-135.139;99.392;1251.655;-198.043;18.762;1162.484;-180.169;90.603;993.227;-221.990;38.463;1026.407;-188.958;-28.341;1053.760;-149.902;-170.294;1060.278;-144.570;-177.947;992.832;-172.714;-150.643;1022.506;139.089;-119.882;867.024;-125.906;-85.024;870.283;126.449;79.395;939.112;-67.051;100.429;949.974
36.834;38.858;1597.527;111.242;-30.662;1544.794;-37.525;-34.217;1543.214;96.676;80.432;1446.785;-27.847;75.840;1451.525;37.871;108.131;1280.540;50.116;109.464;1114.245;101.317;119.784;1194.133;-22.120;124.030;1177.543;39.697;-72.236;1276.096;26.169;-141.509;1085.459;84.036;-110.649;1203.416;-35.303;-96.034;1214.328;203.030;-52.239;1236.497;201.647;22.910;1304.240;209.893;82.407;1239.657;258.626;53.078;1158.682;225.249;75.692;986.265;276.796;26.712;1010.903;271.809;-67.397;985.277;197.994;-191.970;1059.439;198.043;-201.549;989.622;226.927;-172.368;1021.864;-140.669;-36.241;1246.816;-127.782;28.292;1314.164;-135.633;98.454;1251.705;-198.784;13.973;1164.854;-187.526;79.247;993.128;-225.249;26.218;1030.060;-187.526;-37.574;1060.574;-133.806;-173.800;1073.560;-138.497;-184.761;1007.397;-163.826;-156.914;1037.220;139.040;-120.031;867.321;-125.906;-85.024;870.332;126.449;79.494;939.062;-67.150;100.429;949.925
38.117;39.599;1597.329;111.785;-30.761;1544.597;-36.982;-32.884;1543.313;98.059;80.284;1446.390;-26.465;76.877;1451.377;38.315;109.168;1280.540;50.264;110.501;1114.146;101.564;120.672;1194.133;-22.169;125.314;1177.642;40.438;-71.248;1276.145;25.971;-139.731;1085.360;84.481;-109.761;1203.367;-34.711;-94.701;1214.575;203.622;-51.251;1236.349;201.894;23.799;1304.190;209.992;83.049;1239.312;258.922;54.609;1159.522;228.014;77.716;987.647;279.018;27.847;1011.545;273.735;-66.014;980.389;197.105;-195.475;1045.712;199.524;-199.870;975.501;227.668;-173.010;1010.212;-137.806;-36.389;1251.458;-126.202;30.267;1315.645;-136.226;97.861;1250.075;-199.228;2.864;1169.545;-199.277;48.486;991.597;-230.532;-2.469;1036.874;-185.255;-57.472;1074.695;-111.538;-181.650;1104.370;-130.399;-204.511;1045.120;-151.482;-172.467;1072.523;138.546;-120.080;867.518;-126.252;-83.542;870.530;126.894;79.592;939.013;-66.607;101.762;949.727
39.006;40.389;1597.379;111.785;-30.761;1544.597;-36.982;-31.007;1543.214;99.540;80.679;1446.538;-25.033;78.802;1451.525;39.253;111.341;1279.750;51.202;111.686;1113.356;102.651;122.055;1193.442;-21.527;126.943;1176.753;41.376;-69.421;1276.639;25.280;-138.052;1085.854;84.678;-108.181;1203.564;-34.118;-93.763;1215.858;204.165;-49.721;1236.152;202.585;25.527;1304.042;210.683;84.135;1238.620;259.614;56.238;1160.065;231.174;80.481;989.277;281.042;29.181;1011.890;275.562;-63.546;971.403;195.574;-198.932;1021.321;201.203;-195.920;951.209;228.112;-173.010;989.425;-133.411;-36.834;1259.703;-123.882;34.414;1317.077;-136.571;95.985;1244.842;-198.734;-14.319;1179.469;-210.930;-6.073;996.189;-236.407;-46.462;1054.304;-182.885;-85.567;1101.605;-91.689;-188.810;1152.757;-124.869;-230.680;1113.948;-139.632;-189.945;1131.131;137.312;-120.228;867.518;-127.091;-80.580;870.777;128.177;79.642;938.717;-65.027;104.181;949.480
38.266;40.932;1598.021;110.748;-30.464;1545.140;-38.019;-28.884;1542.178;100.824;82.308;1448.316;-23.799;81.864;1451.969;39.697;114.550;1278.663;51.794;113.019;1112.517;103.194;124.474;1192.455;-21.676;127.733;1175.519;43.302;-66.607;1277.824;25.280;-136.621;1087.286;85.567;-105.909;1204.700;-32.192;-92.874;1218.080;205.153;-46.215;1237.090;203.524;29.674;1304.388;211.275;87.542;1238.225;260.848;58.756;1160.558;233.494;82.703;991.153;281.734;29.181;1011.940;276.994;-60.089;959.059;193.895;-201.450;985.771;204.116;-188.217;917.436;228.705;-171.183;959.701;-128.819;-38.512;1272.393;-120.771;37.722;1319.842;-137.954;92.134;1241.484;-197.549;-35.451;1199.663;-220.262;-74.902;1021.124;-240.505;-99.244;1089.804;-180.860;-118.747;1141.598;-76.778;-197.352;1210.872;-115.883;-247.862;1196.010;-128.375;-203.672;1199.022;136.077;-120.228;867.518;-127.881;-77.667;871.122;129.560;79.592;938.667;-63.299;106.403;949.579
36.241;41.672;1598.860;109.069;-29.674;1546.374;-39.599;-26.613;1540.548;102.058;84.481;1450.982;-22.614;85.221;1452.216;38.068;117.167;1277.528;49.523;114.698;1111.381;100.626;127.585;1190.973;-25.527;126.548;1175.371;46.956;-64.089;1279.157;27.452;-135.584;1088.915;88.529;-103.144;1205.934;-27.996;-93.664;1220.747;207.375;-40.784;1237.781;204.314;36.439;1303.548;210.239;93.368;1236.744;261.391;63.002;1159.472;234.827;84.481;991.301;281.289;28.736;1010.261;277.882;-55.349;945.580;191.328;-200.117;945.086;209.152;-174.491;881.837;229.544;-165.554;928.002;-121.709;-42.166;1287.896;-116.525;36.932;1325.273;-140.966;85.024;1243.805;-193.797;-55.201;1228.005;-220.509;-136.571;1065.018;-238.580;-144.027;1137.945;-177.009;-148.915;1190.134;-69.668;-209.054;1273.183;-111.686;-258.922;1276.096;-122.697;-215.571;1266.369;136.275;-119.339;867.617;-127.486;-76.679;871.616;129.955;80.432;938.914;-62.854;107.242;950.122
34.562;42.956;1599.452;108.032;-28.440;1548.004;-40.438;-24.539;1539.215;103.589;86.357;1453.204;-21.034;87.789;1451.969;35.451;118.105;1276.836;43.549;114.945;1110.097;95.146;129.511;1189.443;-32.242;123.783;1177.148;51.794;-62.756;1279.898;31.699;-135.781;1090.150;93.417;-100.676;1206.280;-21.330;-96.429;1223.561;209.844;-34.414;1236.398;205.153;44.042;1300.833;207.572;100.132;1233.485;260.601;68.483;1155.868;234.630;87.147;989.375;280.252;29.822;1006.114;278.425;-47.746;931.162;189.649;-191.822;902.722;215.620;-154.988;848.212;230.976;-154.939;896.402;-111.834;-46.215;1303.104;-110.649;33.229;1332.334;-144.027;77.025;1251.013;-187.625;-68.137;1256.889;-210.288;-181.206;1114.590;-229.989;-175.429;1186.530;-170.245;-173.257;1239.756;-68.384;-225.347;1337.666;-114.896;-268.896;1350.010;-122.006;-228.014;1330.507;138.596;-117.068;867.913;-125.412;-78.358;871.912;128.523;82.703;939.309;-64.681;106.354;950.616
34.513;44.586;1599.699;108.477;-26.959;1549.189;-39.796;-22.811;1538.524;105.416;87.838;1454.339;-19.207;89.517;1451.525;33.032;118.500;1276.985;38.167;114.599;1109.949;89.665;131.732;1188.011;-38.414;120.129;1179.518;57.522;-62.114;1280.293;37.081;-136.423;1090.989;99.342;-98.701;1206.082;-14.368;-99.441;1226.326;212.362;-27.847;1233.238;206.289;51.054;1297.130;204.412;106.847;1229.634;259.021;74.655;1150.683;231.519;91.442;986.364;277.635;33.427;1000.337;278.722;-36.192;916.103;190.192;-174.392;860.754;224.360;-131.041;816.267;234.087;-138.546;864.802;-101.712;-50.757;1315.892;-104.231;28.637;1338.901;-145.409;68.829;1258.617;-178.935;-77.716;1280.737;-192.612;-211.374;1159.768;-216.164;-196.611;1228.153;-161.357;-192.661;1284.983;-74.062;-241.197;1400.422;-124.919;-279.117;1413.506;-126.992;-240.456;1388.128;142.052;-114.007;868.209;-122.549;-81.814;872.061;125.857;85.616;939.655;-67.891;104.329;950.814
35.945;46.215;1599.699;110.353;-25.379;1549.880;-37.920;-21.626;1538.376;107.440;88.924;1454.438;-17.084;90.356;1451.031;30.366;117.907;1276.787;32.736;114.204;1109.998;84.086;133.066;1186.727;-44.141;115.587;1181.592;63.644;-61.620;1280.737;42.709;-136.719;1091.680;105.514;-96.429;1205.638;-7.307;-102.552;1228.893;215.028;-20.935;1230.128;206.980;58.213;1293.723;200.808;113.513;1226.178;256.750;81.913;1145.697;225.545;96.874;983.401;273.636;39.697;994.659;278.425;-20.342;902.722;194.685;-150.248;823.476;232.408;-101.811;787.629;238.777;-115.735;835.326;-91.541;-55.596;1326.409;-98.256;23.404;1344.332;-146.101;59.892;1265.530;-168.714;-86.702;1299.253;-169.899;-232.655;1195.960;-198.981;-211.967;1259.753;-152.766;-206.338;1322.706;-83.691;-247.912;1454.488;-135.041;-286.869;1460.906;-134.102;-248.998;1433.948;145.360;-110.946;868.407;-119.833;-86.011;872.159;122.993;88.332;939.704;-71.199;101.367;951.011
37.871;47.696;1599.551;112.575;-23.947;1550.275;-35.698;-20.836;1538.672;109.316;89.616;1454.093;-15.207;90.652;1450.587;27.354;117.068;1277.281;27.601;113.019;1110.591;78.506;133.757;1186.184;-49.177;111.192;1183.814;69.125;-60.929;1281.231;48.091;-136.966;1092.470;111.094;-94.059;1205.440;-0.395;-105.416;1231.214;217.645;-14.072;1228.153;206.684;64.977;1291.550;196.710;119.784;1224.153;253.442;89.912;1142.142;217.398;102.552;981.525;268.748;47.943;990.560;276.895;-0.395;892.057;202.585;-122.845;793.456;237.296;-67.891;765.114;244.357;-87.641;810.737;-82.012;-59.003;1333.963;-93.467;18.812;1348.085;-146.742;51.251;1270.813;-158.247;-94.899;1312.732;-144.570;-247.418;1223.610;-180.070;-224.162;1282.761;-142.990;-215.176;1350.257;-90.307;-246.579;1493.691;-137.016;-291.658;1493.543;-136.472;-253.689;1465.794;147.977;-108.773;868.654;-117.611;-90.060;872.307;120.376;90.060;939.852;-74.062;98.207;951.307
