UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24.574;29.362;1599.743;100.543;-37.081;1545.221;-48.268;-41.526;1540.580;87.010;78.558;1452.300;-37.716;72.793;1454.352;29.606;108.555;1280.234;41.380;109.581;1114.177;91.847;122.234;1194.006;-29.215;123.749;1177.249;33.172;-71.963;1276.179;19.786;-139.480;1084.523;77.386;-109.727;1202.604;-42.161;-97.172;1214.280;196.493;-47.194;1233.089;194.637;26.284;1302.218;200.597;88.134;1238.854;248.719;61.361;1155.166;208.658;83.932;984.078;263.522;37.569;1006.893;264.059;-55.938;978.704;201.867;-187.455;1049.005;199.229;-195.076;979.192;227.125;-164.591;1010.459;-149.544;-33.905;1245.059;-135.229;29.459;1313.260;-142.264;101.617;1252.191;-203.919;23.059;1161.908;-176.463;90.332;992.285;-224.731;44.751;1024.431;-204.798;-26.772;1048.370;-188.334;-177.244;1049.885;-184.963;-180.811;981.537;-208.707;-151.742;1012.267;134.594;-115.883;867.413;-131.370;-85.154;869.025;118.814;82.760;939.571;-74.992;101.227;949.000
24.574;28.726;1599.792;100.543;-37.569;1545.075;-48.219;-42.015;1540.482;86.912;78.314;1452.397;-37.813;72.500;1454.498;29.655;108.457;1280.136;41.478;109.434;1114.128;91.895;122.039;1193.957;-29.068;123.749;1177.102;32.928;-71.963;1276.081;19.444;-139.382;1084.425;77.044;-109.727;1202.555;-42.455;-97.025;1214.183;196.298;-47.438;1233.089;194.539;25.991;1302.218;200.597;87.889;1238.805;248.719;60.970;1155.117;208.756;83.639;984.029;263.473;37.129;1006.844;263.864;-56.378;978.655;201.379;-187.797;1049.054;198.740;-195.369;979.192;226.685;-164.933;1010.508;-149.690;-33.612;1244.961;-135.376;29.752;1313.113;-142.167;101.862;1251.996;-203.772;23.352;1161.615;-175.974;90.381;991.992;-224.291;44.800;1024.089;-204.408;-26.723;1048.077;-187.797;-177.147;1049.738;-184.279;-180.762;981.439;-208.120;-151.693;1012.071;134.350;-116.127;867.413;-131.565;-85.202;869.025;118.765;82.467;939.571;-75.041;101.129;949.000
24.672;28.043;1599.792;100.592;-38.058;1544.879;-48.171;-42.503;1540.336;86.912;78.070;1452.593;-37.765;72.256;1454.742;29.508;108.457;1280.039;41.331;109.337;1114.031;91.749;121.990;1193.810;-29.264;123.749;1177.053;32.830;-71.865;1276.032;19.298;-139.333;1084.376;76.946;-109.630;1202.506;-42.552;-96.976;1214.134;196.102;-47.389;1233.040;194.441;26.137;1302.121;200.499;87.841;1238.561;248.621;60.775;1154.922;208.853;83.102;983.784;263.522;36.543;1006.746;263.815;-56.964;978.606;201.134;-188.237;1049.054;198.496;-195.907;979.241;226.490;-165.470;1010.508;-149.788;-33.661;1245.059;-135.425;29.752;1313.113;-142.216;101.813;1251.996;-203.870;23.059;1161.664;-176.316;89.795;991.943;-224.487;44.165;1024.236;-204.310;-27.212;1048.517;-187.260;-177.537;1050.569;-183.693;-181.348;982.319;-207.681;-152.280;1012.853;134.252;-116.323;867.364;-131.712;-85.300;868.976;118.668;82.320;939.522;-75.138;101.031;948.951
24.769;27.407;1599.792;100.689;-38.546;1544.684;-48.024;-42.992;1540.140;87.010;77.874;1452.739;-37.667;72.012;1454.840;29.410;108.506;1279.990;41.087;109.385;1113.933;91.505;121.892;1193.615;-29.606;123.749;1177.102;32.977;-71.767;1275.935;19.493;-139.187;1084.327;77.093;-109.483;1202.409;-42.357;-96.781;1214.036;196.249;-47.096;1233.236;194.392;26.577;1302.072;200.304;88.036;1238.317;248.230;60.824;1154.873;208.853;82.613;983.638;263.522;36.152;1006.697;263.912;-57.502;978.557;201.281;-188.872;1048.908;198.740;-196.395;979.094;226.685;-166.057;1010.410;-149.495;-33.563;1245.449;-135.229;29.606;1313.308;-142.411;101.520;1252.094;-204.456;21.985;1162.348;-178.710;87.205;992.187;-226.246;41.575;1025.409;-205.140;-29.362;1050.324;-187.211;-179.443;1053.353;-183.791;-183.644;985.201;-208.023;-154.625;1015.540;134.155;-116.420;867.413;-131.761;-85.349;868.976;118.570;82.271;939.571;-75.236;100.885;948.951
24.916;26.821;1599.694;100.934;-38.986;1544.537;-47.829;-43.334;1539.652;87.596;77.728;1452.984;-37.081;72.012;1454.791;29.948;108.848;1279.892;41.136;109.532;1113.835;91.847;121.892;1193.419;-29.508;124.091;1176.955;33.563;-71.377;1275.739;19.835;-138.894;1084.278;77.630;-109.190;1202.311;-41.820;-95.950;1213.841;196.835;-46.900;1233.382;194.832;27.017;1302.023;200.597;87.889;1237.926;247.742;61.068;1155.069;209.146;82.613;983.833;263.864;36.397;1006.990;264.547;-57.453;978.264;202.062;-189.458;1047.930;199.522;-196.395;978.068;227.467;-166.252;1009.531;-148.176;-33.026;1246.769;-134.155;30.290;1313.895;-142.313;101.715;1251.703;-205.336;19.542;1164.204;-184.817;79.096;991.992;-230.984;34.345;1028.193;-208.756;-35.713;1055.014;-190.679;-185.599;1061.805;-188.334;-191.314;993.604;-212.127;-161.709;1023.454;133.959;-116.469;867.462;-131.907;-85.251;868.976;118.521;82.271;939.620;-75.334;100.934;949.000
25.502;26.137;1599.694;101.422;-39.719;1544.391;-47.340;-43.383;1539.017;88.769;77.532;1453.375;-35.908;72.354;1454.840;31.413;109.727;1279.648;42.064;109.825;1113.542;93.117;121.941;1193.126;-28.482;124.921;1176.662;34.491;-70.497;1275.788;19.884;-138.258;1084.425;78.216;-108.555;1202.262;-41.038;-94.338;1214.134;197.763;-46.754;1233.431;195.858;27.163;1302.170;201.672;87.792;1237.682;248.328;61.459;1155.557;210.563;83.492;984.566;265.280;37.276;1007.577;266.257;-56.622;976.994;203.675;-190.337;1043.973;201.232;-195.565;974.014;229.177;-166.154;1006.062;-146.466;-31.707;1250.433;-131.956;32.781;1315.360;-141.239;102.595;1250.433;-206.655;15.585;1168.699;-195.223;61.850;992.187;-239.387;20.323;1034.300;-216.133;-47.584;1065.665;-198.594;-197.470;1082.519;-198.985;-206.850;1014.514;-221.409;-175.437;1043.240;133.617;-116.518;867.462;-132.103;-84.665;868.976;118.619;82.320;939.669;-75.187;101.373;949.049
26.039;25.160;1599.841;101.764;-40.598;1544.293;-46.949;-43.432;1538.235;90.234;77.483;1454.303;-34.491;72.989;1455.133;33.368;111.046;1279.208;43.236;110.265;1113.102;94.778;122.576;1192.687;-27.017;125.801;1176.271;35.664;-69.178;1276.277;19.835;-137.379;1085.060;78.900;-107.529;1202.555;-40.012;-92.775;1215.355;198.692;-46.119;1233.285;197.079;27.798;1302.023;203.137;88.085;1237.193;249.500;62.338;1156.192;213.446;85.007;985.494;267.723;38.253;1008.114;268.993;-55.108;973.623;205.531;-192.096;1034.056;203.968;-193.953;963.949;231.620;-166.057;997.610;-145.049;-30.241;1257.517;-128.732;36.641;1317.999;-139.822;103.230;1248.820;-209.146;9.966;1177.004;-208.414;35.371;996.193;-250.429;0.440;1045.781;-226.148;-63.560;1084.132;-210.563;-211.198;1118.281;-214.911;-228.151;1051.790;-235.088;-193.024;1077.683;133.178;-116.616;867.511;-132.396;-83.639;869.220;119.156;82.271;939.620;-74.552;102.204;949.147
25.844;23.841;1600.085;101.617;-41.722;1544.293;-47.096;-43.529;1537.160;91.456;77.532;1455.622;-33.270;73.819;1455.573;35.224;112.659;1278.622;44.116;110.802;1112.565;96.195;123.504;1191.954;-25.698;126.875;1175.881;37.081;-67.761;1277.010;19.835;-136.695;1085.988;79.682;-106.356;1203.044;-38.595;-91.602;1216.918;199.766;-45.093;1232.894;198.301;28.873;1301.583;204.408;88.818;1236.314;250.624;63.560;1156.436;216.328;87.010;986.471;270.068;39.377;1008.309;272.218;-52.665;967.174;207.974;-194.539;1015.980;208.120;-190.777;945.873;234.990;-165.568;982.221;-143.877;-28.678;1267.141;-124.872;40.940;1321.369;-138.845;103.132;1247.599;-212.469;2.931;1189.560;-223.852;1.954;1007.430;-262.935;-23.499;1064.541;-236.847;-81.050;1110.806;-221.555;-222.191;1167.380;-230.838;-249.207;1104.748;-248.474;-209.635;1125.902;132.836;-116.665;867.511;-132.591;-82.564;869.514;119.694;82.271;939.571;-73.917;103.034;949.195
24.769;22.229;1600.280;100.885;-42.797;1544.293;-47.682;-44.018;1535.743;91.895;77.728;1457.185;-32.781;74.454;1455.915;36.787;114.271;1278.084;44.800;111.193;1112.174;97.367;124.384;1191.221;-24.769;127.657;1175.587;38.155;-66.296;1277.693;19.884;-136.011;1086.965;80.317;-105.330;1203.581;-37.276;-90.869;1218.579;200.597;-44.213;1232.650;199.327;29.948;1301.095;205.482;89.550;1235.532;251.650;64.439;1156.534;218.184;88.769;987.546;271.241;39.816;1008.114;275.051;-49.245;957.696;210.807;-196.982;989.256;213.543;-184.866;919.931;238.948;-163.907;959.601;-141.336;-26.968;1277.303;-120.866;44.897;1324.936;-138.356;102.741;1247.550;-215.839;-4.690;1205.682;-240.511;-34.442;1027.607;-275.540;-48.903;1090.874;-246.080;-97.465;1144.467;-227.955;-226.539;1224.784;-240.755;-264.205;1168.455;-257.073;-221.116;1183.209;132.640;-116.616;867.608;-132.689;-81.880;869.758;120.036;82.320;939.522;-73.477;103.669;949.244
