UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22.586;41.953;1597.086;101.906;-21.269;1543.572;-46.246;-34.343;1540.011;81.467;91.077;1448.105;-42.587;78.198;1451.081;25.025;117.907;1277.123;38.538;117.517;1110.531;88.442;131.761;1191.022;-34.196;130.493;1173.997;34.050;-62.393;1276.586;24.050;-134.688;1086.481;79.564;-99.272;1203.851;-40.245;-90.345;1214.486;195.959;-36.197;1234.682;192.007;39.953;1302.245;198.105;98.931;1237.804;251.912;69.954;1157.118;219.326;96.248;986.428;269.523;44.246;1008.380;263.035;-48.295;971.647;187.276;-178.983;1029.601;187.032;-181.227;959.013;216.155;-155.860;994.526;-148.981;-33.660;1242.877;-137.322;32.294;1310.490;-146.884;102.541;1249.609;-206.740;20.098;1159.996;-191.666;97.906;994.673;-230.741;41.758;1021.649;-199.227;-31.465;1033.113;-159.811;-174.934;1008.234;-146.591;-166.250;941.646;-179.031;-146.835;973.062;139.371;-111.614;867.204;-127.029;-86.101;869.448;118.688;87.808;937.500;-75.710;102.394;947.354
22.635;41.855;1597.086;101.955;-21.415;1543.572;-46.197;-34.392;1539.962;81.515;91.028;1448.154;-42.538;78.198;1451.129;25.074;118.005;1277.074;38.636;117.614;1110.531;88.540;131.810;1190.973;-34.099;130.493;1173.948;34.050;-62.344;1276.537;24.098;-134.542;1086.432;79.515;-99.223;1203.803;-40.245;-90.199;1214.388;195.959;-36.099;1234.731;192.056;40.002;1302.294;198.154;99.028;1237.804;251.961;70.003;1157.069;219.326;96.150;986.428;269.474;44.197;1008.332;263.083;-48.343;971.550;187.422;-179.129;1029.357;187.178;-181.324;958.769;216.252;-155.957;994.282;-148.981;-33.562;1242.829;-137.274;32.391;1310.441;-146.786;102.638;1249.561;-206.691;20.196;1159.947;-191.568;98.053;994.624;-230.643;41.855;1021.600;-199.325;-31.416;1033.016;-161.128;-174.934;1007.454;-145.664;-166.250;941.402;-179.080;-146.737;972.086;139.420;-111.712;867.204;-126.981;-86.150;869.448;118.785;87.808;937.500;-75.613;102.394;947.354
22.976;41.806;1597.086;101.906;-21.757;1543.474;-46.294;-34.099;1539.962;81.954;90.784;1448.154;-42.099;78.540;1451.178;25.074;118.102;1277.025;38.684;117.761;1110.482;88.589;131.908;1190.924;-34.294;130.444;1173.899;34.001;-62.100;1276.391;24.196;-134.298;1086.335;79.564;-99.028;1203.803;-40.245;-89.906;1214.193;195.959;-36.001;1234.828;192.007;40.148;1302.294;198.154;99.077;1237.755;251.863;69.954;1157.118;219.423;95.955;986.477;269.571;44.002;1008.380;263.230;-48.538;971.257;187.422;-179.617;1028.674;187.373;-181.519;958.135;216.399;-156.201;993.746;-148.981;-33.660;1243.072;-137.371;32.343;1310.587;-146.884;102.492;1249.658;-206.691;19.903;1160.142;-191.520;97.516;994.819;-230.448;41.172;1021.796;-199.325;-32.148;1033.406;-163.470;-175.763;1006.868;-142.249;-166.445;942.573;-178.348;-147.176;971.062;139.469;-111.760;867.253;-126.932;-86.101;869.448;118.834;87.808;937.500;-75.515;102.394;947.305
23.903;42.050;1596.989;101.760;-22.830;1543.328;-46.636;-32.733;1540.011;83.564;90.003;1448.007;-40.733;79.808;1451.178;25.220;118.248;1277.220;38.831;118.102;1110.677;88.784;131.761;1190.973;-34.587;130.639;1174.192;34.001;-61.758;1276.244;24.098;-133.615;1086.140;79.515;-98.833;1203.705;-40.294;-89.028;1213.852;196.056;-36.343;1235.170;192.056;39.953;1302.489;198.349;98.492;1237.755;251.180;69.661;1157.606;219.813;95.809;986.916;269.913;43.807;1008.917;263.669;-48.685;970.818;187.568;-180.446;1026.723;187.910;-181.519;956.281;216.789;-156.591;992.185;-148.494;-33.709;1244.048;-137.322;32.294;1311.465;-147.128;102.004;1250.243;-206.740;18.049;1161.021;-192.300;93.418;994.673;-230.155;36.782;1022.430;-199.374;-35.611;1036.235;-165.226;-179.763;1010.478;-134.786;-169.763;950.232;-175.275;-151.274;973.989;139.225;-111.809;867.302;-127.078;-85.662;869.497;118.980;87.857;937.500;-75.418;102.784;947.305
25.855;42.489;1597.086;101.370;-24.879;1543.182;-47.270;-29.952;1540.352;86.589;88.442;1447.861;-37.953;82.345;1451.422;25.855;118.492;1277.464;39.416;118.395;1110.921;89.467;131.420;1191.217;-34.245;131.127;1174.338;34.050;-61.368;1276.293;23.611;-132.786;1086.091;79.320;-98.687;1203.851;-40.343;-88.003;1213.901;196.495;-36.977;1235.901;192.349;39.465;1303.075;198.983;97.662;1238.145;250.839;69.076;1158.533;220.887;95.662;988.233;270.791;43.465;1010.088;264.742;-48.685;969.208;187.422;-182.105;1020.332;189.373;-181.275;949.988;217.618;-157.323;987.111;-147.323;-33.074;1245.707;-136.786;33.367;1312.246;-147.176;102.053;1249.804;-206.447;13.659;1162.240;-195.276;81.271;992.087;-230.936;24.830;1023.113;-198.447;-44.685;1042.870;-161.372;-189.520;1025.357;-121.566;-180.348;971.013;-166.592;-163.177;987.697;138.396;-111.907;867.351;-127.712;-84.345;869.643;119.175;87.857;937.597;-75.174;103.906;947.305
28.294;42.977;1597.379;100.687;-27.318;1542.889;-48.051;-26.245;1540.889;89.955;86.833;1447.958;-34.684;85.808;1452.251;26.684;119.322;1277.318;40.343;118.736;1110.775;90.540;131.371;1191.314;-33.513;131.956;1173.948;34.001;-60.685;1276.732;22.684;-131.956;1086.432;78.881;-98.443;1204.193;-40.538;-87.223;1214.584;196.593;-37.562;1236.975;192.495;39.172;1303.855;199.764;96.784;1238.487;251.278;68.295;1160.045;223.082;95.174;990.331;272.108;42.002;1011.551;266.401;-48.734;964.867;186.641;-185.032;1005.210;191.812;-180.105;935.256;218.643;-158.445;974.818;-145.469;-32.343;1249.121;-136.152;35.953;1313.173;-147.323;102.199;1247.902;-204.837;6.147;1164.094;-196.788;57.953;987.794;-230.106;3.659;1024.966;-195.178;-59.710;1055.163;-151.762;-203.813;1057.553;-105.711;-197.715;1007.941;-154.055;-182.495;1017.552;137.030;-112.102;867.351;-128.883;-82.052;869.887;119.663;87.808;937.646;-74.491;105.711;947.402
30.343;43.611;1597.867;99.321;-29.367;1542.596;-49.173;-21.903;1541.377;93.077;85.613;1448.349;-31.416;90.003;1453.276;27.513;120.590;1276.976;41.221;119.175;1110.628;91.565;131.664;1191.070;-32.928;132.883;1173.460;33.709;-59.807;1277.318;21.269;-131.176;1086.920;78.149;-98.199;1204.730;-40.782;-86.784;1215.706;196.300;-38.294;1237.560;192.593;38.880;1304.099;200.398;95.955;1238.389;252.254;66.929;1160.972;226.399;94.101;991.990;273.718;39.123;1012.234;268.596;-48.636;956.769;185.227;-187.910;979.892;195.081;-175.958;911.352;219.765;-158.738;954.134;-142.688;-31.952;1254.439;-135.420;39.172;1314.344;-147.762;101.614;1244.585;-202.105;-5.025;1168.045;-195.178;23.367;985.648;-226.887;-26.001;1030.479;-189.666;-79.027;1073.359;-138.396;-216.984;1104.189;-87.711;-214.642;1059.017;-138.200;-202.983;1061.651;135.274;-112.346;867.302;-130.249;-79.369;870.180;120.395;87.613;937.792;-73.515;107.760;947.646
31.855;44.880;1598.257;97.467;-30.830;1542.499;-50.539;-17.074;1541.962;95.662;84.491;1448.593;-28.538;94.199;1454.056;28.196;122.054;1276.488;41.709;119.419;1110.189;92.247;131.859;1190.583;-32.635;133.859;1172.826;33.172;-58.783;1277.806;19.806;-130.688;1087.554;77.125;-97.857;1205.217;-41.075;-86.784;1216.925;195.569;-39.221;1237.999;192.544;38.587;1303.953;200.837;95.028;1237.902;253.278;64.637;1161.216;229.228;91.711;993.209;274.450;34.538;1011.746;270.791;-47.904;945.402;184.251;-188.934;944.671;200.447;-167.372;879.693;221.765;-156.738;925.889;-138.883;-31.318;1261.220;-134.542;42.733;1315.807;-148.786;101.028;1241.121;-197.959;-18.928;1175.460;-190.398;-19.074;989.843;-220.789;-61.173;1042.577;-181.666;-99.175;1096.823;-122.834;-222.252;1159.362;-69.222;-224.448;1117.458;-120.834;-217.716;1115.068;133.712;-112.541;867.253;-131.420;-77.027;870.473;120.932;87.467;937.939;-72.783;109.565;947.890
33.123;46.636;1598.403;95.516;-31.660;1542.499;-51.856;-12.244;1542.694;97.565;83.418;1448.300;-26.099;97.906;1454.398;28.635;123.029;1276.098;41.367;119.810;1109.750;92.296;131.810;1190.046;-33.074;134.542;1172.582;32.294;-58.100;1278.147;18.342;-130.444;1087.945;76.052;-98.053;1205.559;-40.977;-87.369;1218.096;194.300;-41.367;1237.511;192.495;37.221;1302.831;200.935;93.223;1236.975;253.668;60.783;1160.142;230.497;89.223;993.697;273.718;29.757;1010.039;272.206;-45.807;934.134;182.885;-186.007;907.401;207.520;-153.567;849.594;223.814;-151.128;898.132;-135.859;-30.830;1268.878;-133.469;45.465;1317.807;-150.396;100.101;1239.511;-192.739;-32.343;1186.534;-182.251;-62.490;1002.624;-211.911;-96.052;1061.504;-171.909;-116.834;1123.263;-106.931;-217.082;1213.364;-50.880;-222.838;1174.923;-102.882;-222.252;1169.265;132.639;-112.590;867.302;-132.103;-75.466;870.717;121.175;87.369;938.036;-72.344;110.785;948.085
