UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
34.713;41.490;1597.551;111.210;-24.036;1542.702;-37.444;-32.520;1541.532;92.488;89.270;1447.825;-31.837;80.299;1452.896;32.032;118.913;1276.208;45.196;117.646;1110.002;94.975;132.613;1190.351;-26.718;131.346;1173.140;41.003;-60.359;1275.915;30.667;-133.345;1086.064;86.394;-97.217;1203.222;-33.056;-88.198;1214.240;202.577;-33.641;1232.280;199.261;41.295;1301.170;204.722;101.215;1236.765;256.012;74.741;1155.442;216.813;102.483;986.848;268.737;51.095;1006.155;265.373;-39.491;965.347;193.021;-174.786;1012.103;199.993;-178.394;941.993;223.639;-149.775;981.095;-141.877;-31.154;1241.299;-130.663;34.226;1309.410;-139.878;104.823;1248.418;-197.409;24.280;1157.587;-174.640;100.776;992.016;-217.934;47.390;1018.392;-192.143;-29.107;1029.167;-162.451;-171.861;1004.594;-147.922;-169.082;937.898;-178.589;-143.876;970.417;145.387;-111.064;866.764;-121.351;-85.906;869.592;124.276;88.539;937.166;-69.963;102.678;947.502
35.055;42.173;1597.356;111.502;-23.402;1542.507;-37.151;-31.934;1541.532;92.634;89.758;1447.533;-31.691;80.787;1452.749;31.983;119.449;1276.062;45.196;118.036;1109.807;95.023;132.955;1190.107;-26.961;131.638;1172.945;41.003;-59.725;1275.769;30.764;-133.003;1086.064;86.491;-96.486;1203.124;-33.007;-87.466;1214.045;202.674;-33.056;1232.475;199.261;41.832;1301.122;204.819;101.654;1236.716;256.304;74.790;1155.345;216.764;101.410;986.653;268.591;49.974;1006.301;264.934;-40.808;966.322;191.899;-175.518;1013.614;199.749;-179.759;943.651;222.956;-150.750;982.606;-141.828;-30.911;1241.543;-130.761;34.567;1309.605;-139.927;104.969;1248.466;-197.555;24.085;1157.782;-175.566;99.996;992.162;-218.373;46.415;1018.977;-192.045;-29.838;1030.191;-160.940;-172.202;1006.252;-146.996;-169.862;939.507;-177.565;-144.558;971.929;145.387;-111.015;866.813;-121.351;-85.955;869.641;124.227;88.636;937.069;-70.061;102.678;947.454
35.445;43.002;1597.210;111.746;-22.720;1542.361;-36.810;-31.154;1541.678;92.781;90.343;1447.240;-31.496;81.421;1452.701;32.129;120.083;1276.159;45.196;118.669;1109.905;95.267;133.150;1190.058;-27.205;132.028;1173.043;41.052;-58.798;1275.623;30.764;-131.931;1086.015;86.491;-95.511;1203.076;-33.007;-86.247;1213.802;202.869;-32.861;1233.547;199.310;42.270;1301.755;205.258;101.800;1237.155;256.938;73.279;1155.393;218.129;96.973;986.214;269.273;45.342;1007.081;264.593;-46.025;969.637;188.730;-178.394;1019.367;199.164;-184.976;949.940;221.250;-154.846;988.310;-141.487;-30.521;1242.421;-130.566;35.055;1310.044;-140.122;104.872;1248.613;-198.432;22.330;1158.855;-179.223;95.608;992.064;-220.275;41.344;1020.489;-191.948;-33.543;1033.506;-156.308;-174.981;1012.785;-144.412;-174.445;945.601;-174.689;-148.849;977.828;145.290;-110.625;866.911;-121.302;-85.614;869.738;124.227;89.075;937.020;-70.061;103.117;947.405
35.884;44.269;1597.015;111.892;-21.891;1542.312;-36.712;-29.789;1541.776;93.268;90.879;1446.850;-31.008;82.396;1452.408;32.276;121.302;1276.013;45.293;119.644;1109.710;95.657;133.881;1189.912;-27.205;132.760;1172.506;41.003;-57.433;1275.525;30.667;-130.322;1085.869;86.345;-94.341;1203.076;-33.007;-84.687;1213.704;202.430;-32.568;1235.449;199.212;43.294;1302.487;205.746;101.898;1236.814;257.718;68.939;1154.906;223.785;85.077;983.874;272.784;33.007;1008.641;265.324;-59.969;976.902;181.904;-185.659;1032.531;197.457;-198.286;964.957;217.496;-165.328;1001.767;-140.755;-30.082;1243.835;-130.224;36.371;1310.239;-140.512;104.921;1247.638;-199.505;17.942;1160.220;-186.146;83.712;989.919;-224.224;29.253;1022.195;-192.192;-42.807;1040.137;-149.482;-182.685;1027.997;-140.707;-187.072;960.569;-170.740;-160.209;991.821;145.192;-109.601;867.154;-121.400;-84.541;869.933;124.276;90.197;937.020;-70.061;104.238;947.356
36.517;46.122;1596.869;112.039;-20.575;1542.166;-36.566;-27.742;1542.020;93.756;92.000;1446.460;-30.569;84.151;1452.311;32.129;123.496;1275.282;45.001;121.058;1108.881;95.608;135.539;1189.083;-27.595;134.222;1171.531;40.905;-55.288;1275.672;30.618;-128.030;1085.918;86.150;-92.634;1203.271;-32.910;-83.078;1213.997;201.065;-32.227;1238.472;198.871;45.635;1302.633;205.941;102.093;1235.108;258.303;61.041;1153.541;231.391;63.333;980.266;277.415;11.604;1011.079;265.470;-83.322;989.090;172.885;-197.116;1054.958;193.021;-219.787;991.236;211.645;-182.538;1024.145;-139.732;-29.740;1246.760;-130.029;38.663;1310.483;-141.438;104.677;1245.346;-200.090;10.336;1162.219;-191.802;61.919;986.555;-226.905;9.068;1024.486;-190.583;-57.921;1050.375;-138.951;-194.532;1054.422;-135.149;-208.915;987.871;-164.255;-178.540;1016.783;145.241;-107.943;867.349;-121.400;-82.981;870.080;124.227;91.952;937.020;-70.158;105.896;947.259
37.200;48.414;1596.966;112.185;-18.624;1541.971;-36.469;-25.011;1542.361;94.194;94.146;1446.411;-30.131;86.881;1452.701;31.934;126.519;1274.209;44.659;122.814;1107.809;95.560;137.684;1187.718;-28.278;136.367;1170.312;40.710;-52.460;1276.110;30.521;-125.885;1086.454;85.857;-90.538;1203.856;-32.715;-81.372;1214.874;198.432;-31.837;1242.713;198.627;48.706;1302.584;206.526;101.361;1232.085;258.303;50.461;1151.980;236.022;33.007;978.121;279.414;-16.235;1016.003;262.984;-112.234;1007.325;163.475;-210.329;1086.454;186.390;-244.457;1029.069;204.332;-202.479;1055.592;-138.025;-29.399;1251.148;-129.981;41.929;1310.678;-142.511;103.897;1241.397;-198.871;0.049;1164.998;-192.094;31.057;984.069;-225.784;-17.454;1028.679;-186.536;-77.276;1064.660;-128.810;-208.135;1090.062;-128.177;-235.437;1027.704;-156.601;-200.090;1051.497;145.338;-105.896;867.739;-121.448;-81.226;870.323;123.984;94.048;937.118;-70.353;107.748;947.259
37.931;51.388;1597.113;112.283;-16.187;1541.873;-36.420;-21.501;1542.702;94.779;96.730;1446.411;-29.545;90.343;1453.042;31.739;129.834;1272.941;44.367;124.715;1106.590;95.706;139.683;1186.158;-28.912;138.561;1169.045;40.564;-49.242;1276.793;30.472;-123.886;1087.331;85.321;-88.344;1204.831;-32.324;-79.714;1216.093;195.653;-31.203;1248.125;198.384;52.216;1302.828;206.721;100.143;1228.331;257.036;38.468;1151.688;235.047;-1.853;980.656;276.977;-46.561;1025.266;257.426;-141.340;1031.410;154.407;-222.079;1124.434;178.492;-266.397;1074.948;196.141;-220.616;1093.718;-135.782;-28.960;1256.511;-129.981;45.683;1311.068;-143.583;103.263;1237.204;-195.897;-11.360;1169.483;-186.439;-4.875;985.629;-220.421;-46.805;1036.334;-180.539;-97.900;1082.553;-119.840;-219.787;1131.503;-120.473;-259.522;1076.069;-148.507;-219.836;1092.499;145.387;-103.897;868.129;-121.448;-79.665;870.518;123.740;96.047;937.264;-70.646;109.552;947.259
38.711;54.898;1597.161;112.331;-13.408;1541.922;-36.420;-17.503;1543.092;95.511;99.509;1446.265;-28.814;94.146;1453.188;31.544;132.808;1271.869;44.269;126.421;1105.566;95.803;141.389;1184.695;-29.740;140.317;1168.118;40.515;-46.317;1277.427;30.569;-122.131;1088.209;84.834;-86.296;1205.757;-31.496;-78.934;1217.458;193.411;-30.764;1254.122;198.140;55.532;1303.364;207.647;99.362;1225.893;254.305;26.523;1153.102;228.709;-36.176;988.213;270.492;-75.131;1037.796;249.040;-166.595;1058.566;145.826;-229.002;1164.803;169.326;-281.364;1123.556;187.414;-233.292;1134.039;-133.296;-28.473;1262.362;-129.834;48.706;1311.896;-144.802;102.629;1234.864;-191.509;-22.427;1176.017;-176.054;-40.515;992.844;-211.742;-75.034;1047.840;-172.690;-116.280;1102.640;-111.746;-226.515;1173.530;-112.380;-276.050;1126.579;-140.317;-233.828;1134.867;145.533;-102.337;868.520;-121.351;-78.593;870.762;123.447;97.705;937.313;-70.890;110.820;947.259
39.491;58.701;1597.113;112.429;-10.531;1542.068;-36.371;-13.213;1543.531;96.486;102.093;1445.924;-27.888;97.900;1453.091;31.301;135.051;1270.845;44.026;127.738;1104.688;95.608;142.316;1183.574;-30.521;141.340;1167.680;40.613;-44.026;1277.866;30.618;-120.815;1088.892;84.005;-85.370;1206.781;-30.082;-78.934;1218.775;191.314;-30.326;1259.826;197.896;58.262;1303.998;208.817;98.680;1224.479;251.088;15.407;1156.222;219.251;-66.697;999.573;261.229;-100.191;1052.423;238.509;-186.585;1085.869;137.879;-230.367;1203.319;158.990;-288.873;1169.581;178.150;-240.118;1172.165;-130.371;-28.278;1268.310;-129.347;50.705;1313.213;-146.216;101.459;1233.840;-186.244;-32.324;1183.769;-163.183;-71.572;1004.399;-201.065;-99.509;1061.491;-163.670;-131.248;1122.532;-104.384;-228.465;1211.461;-104.530;-284.972;1172.945;-132.174;-241.775;1173.628;145.680;-101.264;868.812;-121.253;-78.057;870.957;123.204;98.826;937.313;-71.182;111.551;947.210
