UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
28.287;49.649;1596.813;103.200;-18.484;1543.019;-45.552;-23.849;1542.482;86.569;93.299;1446.013;-37.846;86.959;1451.573;23.995;122.610;1276.680;35.554;120.855;1110.176;86.130;136.266;1189.770;-36.530;134.316;1174.358;34.140;-57.989;1277.412;22.825;-130.999;1087.400;79.107;-94.274;1204.255;-40.626;-86.520;1216.253;194.889;-30.726;1232.981;191.426;45.942;1300.773;196.499;104.516;1235.664;250.244;75.595;1156.069;219.762;101.395;985.078;269.265;48.820;1007.952;259.560;-44.333;976.494;178.941;-168.114;1039.945;181.623;-176.795;970.349;209.618;-148.557;1005.318;-148.703;-28.043;1246.149;-136.803;37.310;1313.746;-147.923;107.735;1251.807;-208.740;24.483;1165.238;-200.595;100.517;998.783;-237.710;44.235;1029.069;-200.303;-23.117;1047.700;-146.167;-163.139;1038.726;-144.899;-164.651;970.447;-173.576;-142.216;1002.538;137.193;-107.833;867.832;-129.243;-83.594;870.125;115.636;91.885;936.990;-78.814;105.443;947.037
28.482;50.332;1596.765;103.346;-17.850;1542.970;-45.357;-23.215;1542.482;86.764;93.884;1445.965;-37.700;87.593;1451.524;24.190;123.098;1276.485;35.652;121.099;1109.981;86.276;136.608;1189.526;-36.432;134.657;1174.212;34.237;-57.550;1277.509;22.825;-130.902;1087.595;79.204;-93.933;1204.401;-40.529;-86.178;1216.399;195.035;-30.336;1233.030;191.524;46.381;1300.724;196.645;104.907;1235.469;250.488;75.888;1156.069;220.396;101.395;984.932;269.850;48.917;1008.000;260.291;-44.333;976.933;179.575;-167.870;1040.775;182.306;-176.795;971.276;210.252;-148.459;1006.147;-148.557;-27.556;1246.296;-136.657;37.895;1313.795;-147.776;108.272;1251.758;-208.691;24.922;1165.336;-200.644;100.712;998.734;-237.759;44.479;1029.167;-200.352;-22.825;1047.944;-146.313;-162.895;1039.360;-144.996;-164.554;971.081;-173.723;-142.070;1003.123;137.144;-107.833;867.881;-129.243;-83.496;870.173;115.685;91.933;936.941;-78.765;105.541;946.988
28.726;50.868;1596.716;103.541;-17.314;1542.921;-45.211;-22.630;1542.434;86.959;94.421;1445.916;-37.456;88.178;1451.524;24.337;123.586;1276.290;35.749;121.294;1109.786;86.422;136.949;1189.331;-36.237;134.950;1174.066;34.384;-57.062;1277.509;22.874;-130.706;1087.692;79.302;-93.592;1204.450;-40.431;-85.788;1216.545;195.182;-29.897;1232.981;191.670;46.869;1300.627;196.742;105.297;1235.225;250.586;76.278;1155.923;220.640;101.541;984.737;270.143;49.210;1007.952;260.730;-44.089;977.226;180.355;-167.626;1041.701;182.794;-176.649;972.202;210.935;-148.166;1006.927;-148.459;-27.068;1246.393;-136.461;38.480;1313.746;-147.581;108.759;1251.661;-208.594;25.458;1165.385;-200.449;101.005;998.685;-237.710;44.918;1029.167;-200.400;-22.337;1048.090;-146.655;-162.603;1040.092;-145.338;-164.407;971.812;-174.015;-141.777;1003.806;137.193;-107.833;867.881;-129.243;-83.447;870.222;115.734;91.982;936.892;-78.668;105.638;946.939
28.970;51.258;1596.667;103.736;-16.972;1542.873;-44.967;-22.142;1542.385;87.203;94.860;1445.916;-37.164;88.666;1451.524;24.532;123.976;1276.095;35.798;121.586;1109.590;86.520;137.291;1189.087;-36.139;135.242;1173.871;34.530;-56.623;1277.509;22.922;-130.414;1087.790;79.399;-93.202;1204.401;-40.334;-85.349;1216.545;195.279;-29.360;1232.737;191.865;47.308;1300.285;196.889;105.736;1234.932;250.732;76.717;1155.630;220.787;101.493;984.346;270.484;49.454;1007.757;261.364;-43.943;977.470;181.672;-167.724;1042.969;183.526;-176.551;973.373;212.008;-148.069;1007.903;-148.362;-26.580;1246.442;-136.266;38.968;1313.746;-147.386;109.198;1251.612;-208.448;25.946;1165.385;-200.205;101.346;998.588;-237.613;45.357;1029.216;-200.547;-21.801;1048.285;-147.142;-162.310;1040.872;-146.069;-164.261;972.593;-174.552;-141.485;1004.635;137.193;-107.833;867.930;-129.195;-83.350;870.271;115.783;92.080;936.795;-78.619;105.736;946.841
29.214;51.551;1596.667;103.980;-16.631;1542.775;-44.674;-21.801;1542.287;87.544;95.201;1445.965;-36.871;89.105;1451.524;24.678;124.415;1275.949;35.847;121.928;1109.395;86.617;137.778;1188.941;-36.091;135.535;1173.724;34.725;-56.135;1277.363;23.020;-130.024;1087.741;79.546;-92.665;1204.304;-40.187;-84.959;1216.497;195.474;-28.824;1232.542;192.012;47.844;1299.944;197.035;106.223;1234.542;250.927;76.961;1155.289;222.055;100.566;983.712;271.704;48.820;1007.708;262.730;-44.772;978.201;183.526;-168.650;1044.627;184.160;-177.234;974.934;213.568;-148.849;1009.171;-148.313;-26.336;1246.442;-136.071;39.261;1313.649;-147.240;109.442;1251.563;-208.545;26.190;1165.482;-200.644;101.395;998.636;-238.100;45.552;1029.460;-201.181;-21.410;1048.724;-148.654;-162.359;1042.189;-146.264;-164.163;973.909;-175.381;-141.387;1005.611;137.242;-107.687;867.930;-129.146;-83.252;870.271;115.831;92.226;936.697;-78.570;105.931;946.744
29.506;51.795;1596.667;104.273;-16.290;1542.678;-44.430;-21.459;1542.190;87.788;95.689;1445.965;-36.627;89.544;1451.573;24.727;124.951;1275.851;35.896;122.464;1109.249;86.617;138.412;1188.746;-36.286;135.925;1173.578;34.969;-55.501;1277.168;23.264;-129.390;1087.595;79.838;-91.933;1204.109;-39.944;-84.325;1216.302;195.523;-28.190;1232.786;192.109;48.576;1299.846;197.133;106.760;1234.249;251.464;76.571;1155.143;225.225;97.201;982.932;274.484;45.796;1008.391;265.510;-48.235;979.811;186.842;-172.162;1047.749;184.989;-179.965;977.909;216.251;-152.068;1011.463;-148.069;-26.239;1246.588;-135.876;39.407;1313.697;-147.289;109.442;1251.466;-209.130;25.702;1165.970;-203.034;100.127;998.783;-240.002;44.382;1030.289;-203.180;-22.142;1050.187;-152.019;-164.017;1045.408;-144.753;-164.554;977.372;-176.502;-142.509;1007.561;137.339;-107.345;867.979;-129.097;-83.057;870.320;115.831;92.616;936.600;-78.570;106.223;946.695
29.555;52.283;1596.667;104.419;-15.704;1542.629;-44.284;-21.020;1542.092;87.837;96.420;1446.062;-36.578;90.178;1451.622;24.629;125.781;1275.802;35.798;123.293;1109.200;86.617;139.144;1188.648;-36.627;136.461;1173.529;35.115;-54.429;1276.973;23.556;-128.268;1087.448;80.082;-90.665;1203.963;-39.748;-83.155;1216.058;195.426;-27.507;1233.859;192.012;49.649;1300.139;197.230;107.199;1233.908;252.341;74.522;1155.143;230.785;89.007;981.810;279.117;38.285;1010.000;270.631;-56.526;983.517;192.597;-180.648;1054.187;186.988;-186.842;984.151;221.226;-160.067;1016.389;-147.679;-26.190;1247.418;-135.730;39.797;1314.136;-147.679;109.198;1251.319;-210.350;23.849;1167.335;-207.814;95.250;998.880;-243.514;39.700;1032.191;-206.448;-25.654;1053.796;-156.897;-168.406;1051.992;-142.850;-167.675;984.785;-178.209;-146.801;1012.682;137.437;-106.614;868.076;-128.951;-82.618;870.466;115.783;93.397;936.502;-78.668;106.760;946.695
29.409;52.965;1596.667;104.370;-14.826;1542.580;-44.333;-20.240;1541.897;87.837;97.445;1446.208;-36.578;91.104;1451.622;24.386;127.292;1275.558;35.554;124.513;1109.005;86.471;140.266;1188.356;-37.212;137.339;1173.286;35.261;-52.575;1276.924;23.800;-126.463;1087.448;80.228;-88.812;1204.011;-39.553;-81.448;1216.106;195.231;-26.824;1236.444;191.719;51.600;1300.773;197.181;107.784;1233.274;253.463;70.279;1154.948;238.929;73.400;980.493;285.603;23.898;1013.073;276.727;-72.376;990.199;198.840;-195.913;1065.111;187.135;-199.230;995.417;226.054;-174.942;1025.412;-146.947;-25.946;1249.368;-135.388;40.919;1314.917;-148.313;109.150;1250.783;-211.910;19.899;1169.774;-214.983;83.837;998.295;-248.293;28.921;1035.117;-210.008;-33.847;1060.527;-159.286;-177.185;1065.258;-137.193;-174.991;999.807;-176.990;-156.360;1024.144;137.632;-105.394;868.320;-128.853;-81.789;870.564;115.636;94.713;936.502;-78.863;107.735;946.646
29.116;53.697;1597.057;104.126;-13.753;1542.531;-44.577;-19.118;1541.605;87.739;99.298;1446.989;-36.725;92.909;1452.207;24.190;129.487;1274.973;35.310;125.976;1108.518;86.422;141.875;1187.624;-37.798;138.754;1172.651;35.310;-50.185;1277.265;23.947;-124.464;1087.887;80.228;-86.861;1204.450;-39.212;-79.497;1216.594;194.353;-26.093;1240.346;191.329;54.233;1301.358;197.669;107.784;1231.860;254.731;63.207;1154.801;247.221;50.283;980.298;291.553;2.439;1017.998;280.677;-95.786;1000.051;200.205;-215.032;1080.864;184.501;-217.226;1011.463;227.371;-195.767;1039.068;-145.533;-25.507;1252.490;-134.998;43.211;1315.697;-149.191;109.003;1249.173;-212.934;12.680;1172.993;-223.225;63.939;997.222;-252.634;10.339;1038.921;-210.593;-46.869;1070.281;-152.214;-187.330;1087.497;-124.708;-185.379;1023.753;-168.358;-169.918;1044.335;137.778;-103.785;868.613;-128.756;-80.619;870.759;115.392;96.420;936.551;-79.107;109.101;946.598
