UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
28.918;47.114;1596.820;105.294;-19.475;1543.115;-43.327;-26.705;1540.804;88.278;93.196;1447.215;-36.098;85.278;1451.346;28.131;126.589;1277.692;40.327;127.327;1111.661;90.196;140.949;1190.889;-31.229;141.244;1175.742;36.688;-52.770;1275.380;25.426;-122.113;1084.661;82.081;-88.770;1202.102;-37.918;-80.212;1213.758;197.703;-26.655;1233.135;194.211;49.081;1301.249;200.752;108.048;1235.987;254.850;78.884;1156.611;226.867;105.245;985.416;274.276;50.704;1007.154;258.096;-43.180;972.482;175.228;-166.080;1037.645;165.539;-166.375;967.908;201.441;-144.490;1000.268;-145.621;-21.344;1242.233;-134.015;42.295;1311.822;-143.408;113.950;1251.430;-203.309;35.360;1162.267;-192.293;117.933;998.990;-229.768;60.294;1026.727;-191.801;-9.885;1042.022;-133.228;-149.408;1024.809;-144.835;-145.080;957.580;-167.556;-125.654;994.416;138.933;-103.376;868.270;-127.622;-75.442;870.778;119.556;97.278;935.892;-74.507;113.458;946.220
28.819;46.967;1596.869;105.196;-19.574;1543.066;-43.475;-26.852;1540.804;88.130;93.147;1447.264;-36.246;85.229;1451.395;28.032;126.589;1277.741;40.278;127.425;1111.710;90.147;140.999;1190.988;-31.328;141.343;1175.791;36.541;-52.721;1275.331;25.377;-121.917;1084.612;81.983;-88.720;1202.102;-38.016;-80.114;1213.660;197.605;-26.655;1233.184;194.113;49.081;1301.298;200.654;108.048;1236.086;254.751;78.884;1156.660;226.817;105.343;985.514;274.227;50.754;1007.252;257.997;-43.082;972.531;175.129;-166.031;1037.645;165.441;-166.326;967.859;201.391;-144.441;1000.268;-145.720;-21.295;1242.184;-134.113;42.295;1311.822;-143.507;114.048;1251.430;-203.359;35.459;1162.168;-192.342;118.032;998.940;-229.768;60.393;1026.678;-191.752;-9.688;1042.071;-132.982;-149.261;1025.055;-144.736;-144.884;957.875;-167.457;-125.507;994.711;138.884;-103.228;868.319;-127.671;-75.294;870.778;119.556;97.425;935.892;-74.557;113.655;946.220
28.770;46.721;1596.770;105.097;-19.721;1542.918;-43.524;-27.049;1540.804;87.934;92.999;1447.215;-36.393;85.032;1451.395;27.885;126.540;1277.839;40.278;127.671;1111.857;90.097;140.999;1191.135;-31.573;141.392;1175.939;36.246;-52.672;1275.233;25.278;-121.720;1084.513;81.835;-88.622;1202.053;-38.262;-79.720;1213.463;197.359;-26.705;1233.331;193.867;48.885;1301.446;200.506;107.901;1236.331;254.653;78.835;1156.906;226.867;105.442;985.760;274.227;50.803;1007.498;257.997;-42.983;972.678;174.982;-165.982;1037.497;165.392;-166.129;967.760;201.293;-144.343;1000.219;-145.867;-21.246;1242.331;-134.458;42.295;1312.019;-143.703;113.950;1251.626;-203.457;35.213;1162.316;-192.637;117.294;998.990;-229.817;59.655;1027.170;-191.506;-9.934;1043.251;-131.900;-149.556;1027.268;-144.490;-145.031;960.285;-166.867;-125.851;996.875;138.835;-103.130;868.368;-127.720;-75.048;870.778;119.556;97.573;935.892;-74.557;113.851;946.220
28.672;46.426;1596.672;104.704;-20.262;1542.771;-43.918;-27.147;1540.804;87.786;92.458;1447.018;-36.590;84.835;1451.346;27.934;126.589;1278.282;40.475;128.261;1112.300;90.245;140.802;1191.627;-31.721;141.687;1176.381;35.803;-52.573;1275.085;24.983;-120.982;1084.267;81.393;-88.622;1202.004;-38.705;-78.589;1212.922;197.162;-27.344;1233.823;193.473;48.196;1301.987;200.408;107.261;1237.020;254.604;78.343;1157.742;227.309;105.392;986.695;274.522;50.606;1008.334;258.145;-43.032;973.072;174.638;-166.129;1037.055;165.343;-165.982;967.318;201.145;-144.392;1000.022;-145.326;-20.164;1243.217;-134.458;42.885;1312.855;-143.949;114.343;1251.872;-203.752;33.541;1163.250;-194.555;111.786;998.154;-230.260;54.196;1028.891;-190.769;-12.688;1049.497;-124.818;-151.474;1039.760;-146.900;-149.507;975.580;-165.195;-129.490;1011.875;138.540;-103.179;868.417;-127.868;-74.409;870.876;119.802;97.671;935.892;-74.262;114.441;946.171
28.229;45.983;1596.475;103.573;-21.639;1542.623;-45.147;-27.000;1540.804;87.737;91.081;1446.674;-36.688;84.786;1451.149;29.114;126.982;1278.577;41.459;128.802;1112.644;91.425;140.310;1192.168;-30.639;142.720;1176.430;35.016;-52.377;1275.233;24.000;-119.900;1084.218;80.557;-88.868;1202.201;-39.393;-77.114;1213.020;196.818;-29.114;1234.315;193.326;46.377;1302.626;201.096;105.294;1237.807;254.702;76.770;1159.070;228.440;105.146;988.219;275.309;50.016;1009.662;258.637;-43.327;973.416;174.097;-166.670;1035.825;165.195;-165.736;966.138;200.949;-144.687;999.137;-144.294;-16.918;1246.413;-133.523;46.475;1314.527;-143.556;116.999;1251.233;-203.998;30.344;1165.808;-199.424;94.622;994.367;-232.571;39.737;1032.727;-189.293;-20.606;1064.153;-110.950;-154.523;1071.235;-150.687;-163.326;1015.022;-160.080;-138.294;1049.153;137.900;-103.228;868.516;-128.310;-72.934;870.975;120.343;97.769;935.941;-73.622;115.671;946.072
27.147;44.901;1596.623;101.261;-23.852;1542.623;-47.508;-26.410;1540.558;87.688;89.606;1447.165;-36.836;85.573;1451.444;31.475;128.113;1278.479;43.524;129.097;1112.595;93.933;139.622;1192.414;-28.180;144.244;1175.939;33.885;-51.639;1275.970;21.836;-118.622;1084.710;78.934;-89.015;1202.742;-40.623;-75.540;1214.201;195.932;-31.721;1234.856;193.572;43.770;1303.314;202.719;102.196;1238.397;255.440;73.868;1160.742;230.604;104.409;990.236;276.686;48.491;1011.285;259.473;-44.213;973.269;173.113;-167.949;1032.875;164.998;-165.539;963.039;200.604;-145.474;996.777;-142.769;-13.229;1253.298;-131.261;52.868;1317.036;-142.376;120.392;1249.167;-203.949;23.164;1172.250;-208.375;61.081;992.596;-237.047;12.049;1041.776;-187.818;-35.360;1085.595;-93.294;-154.572;1117.562;-141.244;-178.326;1072.563;-147.097;-146.753;1100.448;136.671;-103.524;868.614;-129.294;-70.376;871.220;121.425;97.573;936.039;-72.344;117.786;946.023
25.180;43.524;1597.065;97.966;-26.360;1542.722;-50.852;-25.377;1539.820;87.638;88.573;1448.493;-36.983;87.343;1452.034;33.983;129.835;1278.282;46.032;129.245;1112.693;96.786;139.277;1192.561;-25.524;145.769;1175.250;32.852;-50.508;1277.102;19.377;-118.032;1085.841;77.065;-89.015;1203.774;-41.655;-74.016;1216.069;195.047;-33.934;1236.135;193.867;41.803;1304.495;204.539;99.589;1239.233;256.571;70.770;1162.808;233.506;102.737;992.547;278.407;45.786;1013.301;260.653;-45.885;972.285;171.293;-170.457;1026.481;165.343;-165.933;956.547;200.211;-147.343;991.711;-138.687;-10.180;1262.200;-128.064;59.655;1319.593;-141.294;121.769;1245.577;-202.768;10.721;1183.955;-218.211;15.049;1000.072;-240.735;-24.492;1060.071;-185.113;-53.852;1111.808;-75.884;-149.359;1166.742;-124.130;-186.785;1132.906;-131.310;-150.146;1152.529;134.949;-103.917;868.663;-130.572;-67.130;871.466;122.950;97.179;936.285;-70.573;120.195;946.171
22.770;42.590;1597.459;94.327;-28.328;1542.820;-54.344;-23.951;1538.935;87.245;87.688;1449.723;-37.426;89.261;1452.428;35.557;131.851;1278.282;47.557;129.736;1112.988;98.655;139.474;1192.758;-24.442;146.851;1175.103;32.114;-49.131;1278.233;17.705;-117.589;1087.169;75.688;-88.622;1205.004;-41.754;-73.032;1217.741;194.309;-35.016;1238.151;193.768;41.360;1305.921;205.572;98.261;1240.118;257.309;68.360;1164.824;236.161;99.983;994.957;279.686;42.049;1015.465;262.276;-48.295;969.678;169.080;-174.736;1014.432;167.802;-167.359;944.597;200.506;-150.441;982.318;-135.785;-8.115;1271.790;-125.113;64.573;1322.249;-141.441;122.359;1244.151;-199.867;-3.000;1200.086;-223.227;-34.721;1018.858;-240.293;-62.311;1086.923;-180.637;-72.835;1141.169;-60.885;-140.556;1211.840;-106.671;-187.867;1190.348;-116.556;-148.572;1200.971;133.474;-104.212;868.712;-131.507;-64.426;871.712;124.179;96.786;936.580;-68.999;122.163;946.466
20.557;42.196;1597.803;91.179;-29.508;1543.017;-57.344;-22.672;1538.443;86.409;87.294;1450.755;-38.164;90.884;1452.870;35.508;133.622;1278.577;47.311;130.277;1113.579;98.556;139.966;1192.955;-25.672;147.589;1175.398;31.623;-48.196;1279.167;17.065;-117.441;1088.153;74.999;-88.229;1205.988;-41.360;-72.934;1219.315;193.523;-35.557;1240.217;193.129;41.754;1306.904;205.375;97.868;1240.708;257.112;66.344;1166.103;237.981;96.638;996.678;279.981;37.623;1017.039;264.489;-50.655;964.711;167.654;-179.752;995.203;173.556;-168.539;926.056;202.473;-154.031;967.318;-132.933;-7.279;1280.593;-122.605;67.081;1325.003;-143.261;121.671;1244.692;-195.834;-14.311;1217.741;-220.817;-80.557;1045.710;-235.621;-94.819;1118.152;-174.785;-88.229;1171.414;-49.573;-128.949;1252.905;-92.950;-182.015;1243.807;-104.950;-142.031;1245.085;132.982;-104.114;868.761;-131.704;-63.049;871.909;124.818;96.786;936.974;-68.262;123.146;946.810
