UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
9.330;44.694;1597.714;85.969;-22.469;1544.960;-62.767;-29.992;1542.420;68.971;88.949;1447.658;-55.392;80.889;1451.517;12.358;117.622;1280.701;26.230;119.429;1114.184;76.347;132.373;1195.025;-45.574;132.960;1177.684;16.119;-62.670;1274.302;6.887;-129.443;1082.287;61.693;-99.109;1201.375;-57.785;-87.972;1211.388;178.045;-37.905;1234.590;175.554;35.560;1304.636;185.225;96.667;1241.331;235.000;69.215;1159.074;195.190;98.572;989.724;247.358;48.309;1009.018;247.895;-40.836;963.640;181.269;-178.045;1012.291;186.739;-181.757;942.782;210.479;-152.694;978.049;-165.784;-28.624;1240.549;-152.352;34.290;1310.986;-159.532;106.778;1252.517;-220.688;31.359;1159.660;-198.756;114.056;997.246;-242.668;60.374;1021.767;-218.001;-16.705;1028.508;-195.190;-160.704;993.729;-178.582;-151.082;927.982;-210.039;-130.371;961.149;125.388;-103.505;865.703;-141.068;-76.591;866.289;105.899;94.518;940.829;-88.607;109.562;949.963
10.013;44.890;1597.665;86.653;-22.274;1544.911;-62.084;-29.845;1542.517;69.508;89.096;1447.560;-54.854;81.036;1451.565;12.749;117.866;1280.603;26.426;119.527;1114.086;76.591;132.569;1194.829;-45.281;133.106;1177.587;16.559;-62.426;1274.253;7.180;-129.198;1082.287;62.035;-98.816;1201.326;-57.394;-87.679;1211.388;178.387;-37.563;1234.395;175.993;35.902;1304.440;185.518;97.009;1241.087;235.195;69.508;1158.781;195.141;98.718;989.431;247.358;48.553;1008.676;247.895;-40.689;963.396;181.366;-177.898;1012.340;186.788;-181.611;942.880;210.576;-152.498;978.049;-165.394;-28.477;1240.598;-151.912;34.534;1311.035;-159.190;106.973;1252.517;-220.443;31.408;1159.806;-199.000;113.958;997.197;-242.815;60.325;1022.011;-217.952;-16.559;1029.143;-194.750;-160.753;995.243;-178.582;-151.472;929.350;-209.893;-130.615;962.516;125.535;-103.408;865.654;-140.922;-76.542;866.289;105.996;94.566;940.780;-88.509;109.562;949.963
10.648;45.232;1597.616;87.288;-21.834;1544.862;-61.400;-29.601;1542.566;69.948;89.389;1447.462;-54.366;81.134;1451.565;12.993;118.110;1280.555;26.572;119.722;1113.989;76.786;132.862;1194.683;-45.036;133.204;1177.538;16.950;-62.084;1274.156;7.425;-128.954;1082.287;62.377;-98.425;1201.228;-57.052;-87.435;1211.388;178.729;-37.074;1234.199;176.335;36.342;1304.245;185.762;97.448;1240.842;235.439;69.948;1158.536;195.434;99.011;989.235;247.700;48.846;1008.481;248.237;-40.396;963.200;181.659;-177.703;1012.046;187.130;-181.317;942.636;210.869;-152.254;977.805;-165.003;-28.282;1240.696;-151.570;34.681;1311.083;-158.848;107.120;1252.566;-220.297;31.555;1159.953;-199.342;114.056;997.246;-243.059;60.472;1022.402;-217.903;-15.973;1030.168;-193.920;-160.509;998.028;-178.777;-151.814;931.890;-209.746;-130.762;965.056;125.682;-103.359;865.654;-140.775;-76.591;866.338;105.996;94.713;940.731;-88.461;109.562;949.963
11.186;45.574;1597.567;87.874;-21.395;1544.813;-60.765;-29.357;1542.615;70.339;89.779;1447.365;-53.975;81.378;1451.517;13.140;118.501;1280.359;26.572;119.869;1113.793;76.835;133.204;1194.390;-44.987;133.399;1177.391;17.292;-61.644;1274.107;7.767;-128.759;1082.287;62.719;-97.937;1201.179;-56.759;-87.093;1211.388;179.022;-36.390;1234.053;176.579;37.074;1304.050;185.860;98.083;1240.452;235.683;70.632;1158.341;196.069;99.353;988.942;248.237;49.237;1008.334;248.872;-40.103;962.809;181.952;-177.654;1011.265;187.765;-180.829;941.952;211.211;-151.863;977.219;-164.759;-28.087;1240.598;-151.277;34.827;1311.035;-158.653;107.266;1252.566;-220.248;31.750;1160.002;-199.928;114.300;997.295;-243.450;60.765;1023.086;-217.708;-14.898;1032.464;-190.403;-159.630;1003.889;-179.754;-152.352;936.677;-208.769;-130.762;970.576;125.877;-103.261;865.654;-140.628;-76.738;866.338;105.996;94.762;940.731;-88.461;109.465;949.914
11.430;46.111;1597.469;88.119;-20.955;1544.813;-60.472;-28.966;1542.615;70.583;90.024;1447.218;-53.682;81.622;1451.370;13.286;118.990;1280.066;26.670;120.015;1113.451;76.884;133.448;1194.097;-44.890;133.643;1177.049;17.585;-61.156;1274.058;8.157;-128.466;1082.336;63.061;-97.351;1201.179;-56.466;-86.409;1211.242;179.364;-35.560;1234.248;176.726;37.905;1304.147;185.958;98.670;1240.256;235.439;71.413;1158.536;197.193;99.695;988.991;249.214;49.530;1008.871;250.044;-40.054;962.663;179.950;-178.289;1008.627;190.452;-179.950;940.096;211.651;-151.619;976.535;-164.319;-27.354;1240.403;-150.984;35.316;1310.888;-158.457;107.755;1252.419;-220.541;31.945;1160.197;-201.491;113.665;997.002;-244.476;60.081;1024.209;-216.584;-13.921;1037.398;-180.292;-157.920;1015.808;-183.076;-154.550;947.667;-206.278;-131.690;983.471;126.023;-103.163;865.703;-140.482;-76.738;866.387;106.045;94.908;940.633;-88.461;109.513;949.865
11.088;46.990;1597.372;87.728;-20.467;1545.204;-60.814;-28.331;1542.859;70.485;90.024;1446.974;-53.829;81.769;1451.028;13.726;119.576;1279.773;27.207;120.113;1113.207;77.275;133.546;1193.999;-44.304;134.181;1176.463;17.585;-60.618;1274.156;8.450;-128.075;1082.532;63.256;-96.862;1201.424;-56.271;-85.334;1211.144;179.706;-35.218;1235.176;176.628;38.442;1304.880;186.251;98.865;1240.598;235.000;71.951;1159.660;199.781;99.793;990.163;251.217;49.091;1010.581;251.949;-40.249;962.663;175.651;-179.608;1001.593;194.848;-178.533;935.260;211.944;-151.765;973.995;-163.635;-25.498;1240.501;-150.593;36.928;1310.742;-158.164;109.123;1251.589;-221.078;31.897;1160.490;-204.764;109.660;995.146;-246.674;56.613;1025.821;-214.631;-14.361;1045.164;-163.977;-155.136;1033.197;-189.182;-161.681;970.771;-202.321;-134.132;1007.162;126.072;-103.066;865.752;-140.384;-76.493;866.484;106.241;95.104;940.584;-88.265;109.806;949.767
9.574;48.162;1597.323;86.409;-19.685;1545.839;-62.181;-27.500;1543.006;69.557;90.170;1446.827;-54.757;81.964;1450.442;14.752;120.699;1279.236;28.526;120.260;1112.767;78.643;133.448;1193.852;-42.789;135.109;1175.340;17.047;-59.690;1274.595;8.011;-127.684;1083.069;62.767;-96.471;1202.010;-56.515;-83.869;1211.584;179.510;-35.853;1236.642;176.433;38.051;1306.052;187.081;97.741;1241.184;235.928;70.974;1161.956;204.178;99.207;992.606;254.196;47.088;1012.975;254.489;-40.982;961.295;170.962;-181.269;987.526;199.049;-176.384;924.660;212.091;-152.498;966.082;-163.000;-22.030;1241.868;-149.958;40.787;1310.839;-157.480;112.102;1249.781;-221.371;31.213;1161.223;-209.013;99.011;991.140;-249.605;48.114;1027.580;-212.921;-18.171;1055.275;-150.984;-154.208;1055.666;-192.454;-173.307;1006.283;-197.486;-138.235;1037.788;126.023;-102.968;865.801;-140.384;-75.761;866.631;106.631;95.250;940.633;-87.826;110.441;949.767
6.985;49.384;1597.323;84.162;-18.464;1546.474;-64.379;-26.475;1542.859;67.750;91.049;1447.072;-56.564;82.697;1450.051;16.461;122.458;1278.503;30.675;120.406;1112.181;81.036;133.106;1193.706;-40.591;136.672;1173.923;15.777;-58.274;1275.181;6.692;-127.147;1083.997;61.351;-96.130;1202.840;-57.541;-81.769;1212.463;178.484;-37.612;1238.302;176.237;36.781;1307.371;188.449;95.641;1242.064;237.735;67.896;1164.398;209.599;97.302;995.390;257.273;42.838;1015.368;257.371;-42.301;957.436;167.054;-182.685;965.301;203.103;-172.574;907.369;212.384;-153.377;951.575;-162.560;-17.585;1244.799;-149.128;46.795;1311.181;-156.406;116.205;1246.753;-221.420;28.917;1162.884;-214.142;80.254;986.793;-252.828;33.118;1030.266;-211.407;-26.279;1066.754;-141.166;-156.894;1082.776;-189.621;-184.981;1046.141;-191.038;-144.097;1069.880;125.535;-103.163;865.947;-140.677;-74.393;866.826;107.462;95.055;940.731;-86.898;111.516;949.767
3.859;50.800;1597.225;81.378;-17.047;1546.865;-67.115;-25.156;1542.420;65.454;92.417;1447.316;-58.860;83.967;1449.563;18.366;124.753;1277.673;33.069;120.943;1111.497;83.576;133.106;1193.266;-38.149;139.114;1172.311;13.970;-56.173;1275.719;4.738;-126.365;1084.876;59.299;-95.592;1203.817;-58.860;-79.082;1213.195;176.824;-39.761;1240.061;175.847;35.462;1308.446;189.914;93.199;1242.747;239.542;63.500;1166.254;213.947;93.248;997.832;259.081;36.244;1016.687;259.813;-44.352;950.842;164.807;-182.832;935.602;207.548;-166.615;883.874;213.214;-153.817;930.522;-161.681;-13.140;1248.365;-148.151;53.633;1310.937;-155.331;120.015;1242.552;-221.127;24.619;1165.375;-218.734;55.538;984.302;-255.173;13.189;1034.418;-209.941;-37.807;1078.282;-133.008;-160.460;1112.767;-181.122;-195.922;1082.336;-183.857;-151.668;1099.237;124.656;-103.750;865.947;-141.263;-72.439;867.217;108.585;94.664;940.682;-85.530;113.079;949.719
