UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
14.685;43.469;1597.310;91.279;-22.637;1543.206;-57.373;-31.272;1542.084;72.496;89.620;1447.146;-51.762;80.546;1452.171;15.856;119.038;1278.931;30.004;119.819;1111.838;79.766;133.138;1193.458;-41.761;133.382;1175.212;20.344;-60.544;1273.565;11.318;-128.893;1082.274;66.105;-97.182;1200.825;-53.567;-85.669;1210.728;182.217;-37.809;1234.389;179.875;36.492;1303.373;189.193;96.743;1239.512;239.443;67.423;1155.990;196.804;90.694;985.336;249.932;42.346;1006.265;253.786;-47.079;963.089;198.706;-189.632;1014.168;193.681;-188.754;944.160;221.929;-160.751;976.993;-161.531;-28.442;1238.341;-149.432;34.980;1308.057;-156.555;106.988;1249.074;-216.172;29.808;1155.746;-190.754;106.696;990.702;-236.077;54.933;1017.291;-217.001;-21.856;1027.194;-197.145;-168.800;1000.264;-180.899;-160.799;933.769;-211.196;-137.772;964.602;128.796;-104.695;865.712;-137.821;-78.887;866.736;108.305;93.816;939.574;-86.108;107.818;949.088
15.416;44.249;1597.018;91.279;-22.783;1543.060;-57.470;-30.345;1542.670;72.887;88.840;1446.317;-51.372;80.741;1451.927;15.270;118.453;1279.126;29.760;119.917;1112.034;79.375;132.894;1193.653;-42.444;133.138;1175.456;19.905;-61.032;1273.028;11.221;-128.405;1081.542;65.813;-97.182;1200.239;-54.055;-85.717;1209.801;181.875;-38.297;1233.950;179.338;35.760;1302.837;188.705;96.304;1239.512;239.540;66.788;1155.844;199.194;89.181;984.653;252.225;41.127;1006.753;256.274;-48.835;965.919;203.341;-191.584;1020.852;193.877;-189.242;951.137;224.661;-162.019;982.360;-162.165;-29.711;1237.365;-150.164;33.419;1307.179;-157.189;105.427;1248.879;-217.391;28.735;1155.112;-192.706;106.647;989.873;-238.077;55.031;1017.681;-219.684;-20.198;1032.561;-200.219;-168.313;1012.412;-178.021;-161.287;947.234;-211.244;-138.260;974.408;128.698;-104.354;865.761;-137.821;-78.546;866.785;108.354;94.157;939.525;-86.108;108.208;949.039
16.978;46.054;1596.481;91.181;-23.271;1543.158;-57.568;-28.296;1544.231;73.814;86.791;1444.463;-50.543;80.888;1451.293;14.782;117.624;1279.566;29.077;120.112;1112.424;78.936;132.064;1194.043;-43.176;132.845;1175.797;19.124;-61.910;1272.345;10.782;-127.039;1080.274;65.227;-97.475;1199.312;-54.738;-85.815;1208.825;180.899;-39.761;1234.243;178.509;34.297;1303.032;188.120;94.645;1239.463;239.736;64.008;1156.380;206.610;83.181;983.384;259.055;36.151;1009.339;263.251;-55.616;975.432;210.366;-195.730;1040.074;197.194;-194.169;970.261;230.710;-167.093;999.045;-162.458;-29.857;1237.853;-150.408;33.028;1307.666;-158.019;104.890;1248.635;-220.172;26.784;1156.771;-201.634;100.500;988.458;-245.590;50.006;1020.901;-222.904;-21.320;1045.050;-197.340;-169.239;1042.806;-174.557;-168.069;976.944;-209.683;-144.212;1001.240;128.698;-103.329;866.053;-137.772;-77.473;866.834;108.452;95.328;939.525;-86.059;109.379;948.990
18.636;47.469;1596.530;90.938;-24.149;1543.597;-57.860;-25.905;1545.890;75.131;85.034;1443.585;-49.225;81.863;1451.439;14.831;117.575;1279.907;29.028;120.453;1112.912;79.180;131.333;1194.482;-43.273;132.796;1176.236;18.295;-62.056;1272.931;9.562;-125.966;1080.469;64.154;-97.426;1199.605;-55.665;-85.473;1209.606;179.924;-41.224;1236.585;177.631;33.614;1304.300;188.022;92.743;1239.414;240.467;59.519;1158.283;219.587;70.496;982.799;270.617;25.320;1014.705;273.154;-69.228;991.629;217.635;-200.414;1070.321;198.218;-203.634;1001.728;236.369;-176.509;1025.633;-162.556;-29.711;1241.512;-150.066;34.492;1309.569;-158.409;104.793;1248.001;-223.539;22.198;1161.113;-215.147;83.668;986.555;-256.372;35.955;1026.365;-228.271;-27.808;1061.930;-194.316;-171.776;1084.860;-169.239;-178.753;1019.828;-207.390;-154.604;1039.440;128.601;-101.768;866.492;-137.870;-75.667;866.980;108.452;96.841;940.111;-86.108;111.086;949.331
20.344;48.201;1597.408;90.791;-24.783;1543.938;-57.958;-23.466;1547.061;76.790;84.888;1444.170;-47.615;84.303;1452.757;14.685;118.404;1280.151;28.930;120.697;1113.302;79.229;131.430;1194.677;-43.810;133.138;1176.529;17.856;-61.373;1274.150;8.684;-125.332;1081.591;63.276;-97.133;1200.776;-56.055;-85.083;1211.216;178.997;-42.005;1240.634;176.753;34.346;1305.959;187.973;91.328;1239.219;242.468;53.519;1160.625;233.491;50.835;982.799;282.424;8.928;1021.584;282.765;-87.230;1011.827;227.149;-205.536;1106.423;197.048;-213.781;1041.928;241.638;-187.827;1058.027;-161.922;-30.296;1246.830;-149.627;36.297;1311.862;-159.141;103.427;1246.488;-227.002;13.807;1166.625;-227.295;57.421;985.677;-266.227;15.514;1033.488;-233.686;-37.809;1079.591;-194.901;-173.630;1129.255;-165.873;-188.949;1067.101;-207.195;-165.093;1081.445;128.210;-100.109;866.834;-138.211;-73.423;867.175;108.452;98.304;941.038;-86.059;112.989;950.014
22.295;49.518;1598.140;90.986;-24.539;1543.938;-57.665;-20.441;1548.036;78.399;85.913;1444.756;-45.908;87.474;1454.123;14.197;120.112;1279.809;28.491;121.429;1113.107;78.985;132.601;1194.190;-44.883;133.918;1176.285;17.758;-59.910;1275.175;8.538;-124.551;1082.615;62.934;-96.011;1201.898;-55.909;-84.449;1212.484;178.119;-41.859;1245.415;175.972;36.736;1307.325;187.876;90.694;1238.097;244.565;47.225;1162.137;243.687;25.954;983.921;291.303;-10.440;1029.097;290.278;-106.696;1033.585;235.930;-210.415;1142.769;196.218;-221.587;1084.372;246.419;-198.804;1092.568;-160.897;-30.979;1252.636;-149.188;38.346;1313.716;-160.068;101.573;1243.708;-229.393;5.025;1172.480;-235.345;26.784;987.141;-273.252;-7.367;1041.537;-238.126;-50.250;1095.446;-196.901;-174.801;1167.991;-164.068;-197.487;1109.936;-208.122;-174.313;1119.547;127.722;-98.353;866.932;-138.602;-71.033;867.273;108.501;99.865;941.721;-86.010;114.989;950.649
24.686;52.152;1598.530;91.669;-23.076;1543.743;-56.836;-16.539;1549.207;80.058;87.376;1444.609;-44.152;91.084;1455.050;13.807;122.210;1279.224;28.003;122.649;1112.717;78.643;134.113;1193.360;-45.664;135.284;1175.895;17.709;-57.958;1275.907;8.538;-123.234;1083.347;62.788;-94.109;1202.630;-55.568;-83.376;1213.363;176.850;-41.127;1250.099;175.387;39.566;1308.301;187.486;90.255;1236.146;244.858;40.932;1162.771;248.712;0.732;987.043;296.132;-29.174;1036.708;294.864;-124.063;1053.929;240.321;-212.659;1175.017;197.975;-229.100;1119.888;249.932;-207.537;1123.791;-159.433;-31.223;1257.807;-148.993;40.639;1314.936;-160.995;100.695;1241.854;-230.564;-3.317;1177.651;-238.516;-1.854;990.849;-276.520;-28.784;1049.051;-240.516;-63.227;1107.740;-199.731;-177.826;1196.629;-162.946;-205.049;1142.915;-209.098;-183.144;1148.428;127.332;-96.499;867.078;-138.943;-68.740;867.419;108.403;101.671;942.111;-86.108;117.136;951.039
27.320;55.860;1598.530;92.645;-20.637;1543.548;-55.616;-12.001;1550.524;81.473;89.425;1443.829;-42.493;94.889;1455.586;13.563;124.405;1279.126;27.808;124.405;1112.814;78.546;135.675;1193.068;-46.201;137.041;1175.895;17.612;-55.860;1276.394;8.489;-121.478;1083.884;62.642;-92.206;1203.166;-55.372;-81.863;1214.046;175.338;-40.639;1253.953;175.094;41.810;1309.130;187.046;89.718;1234.536;243.882;35.224;1163.210;248.859;-20.002;991.092;296.913;-44.591;1042.903;296.328;-137.333;1069.053;242.419;-214.806;1198.190;199.633;-235.979;1144.964;252.079;-214.611;1146.379;-157.580;-30.882;1261.710;-148.896;42.639;1315.814;-161.922;100.548;1240.829;-230.222;-9.904;1181.847;-237.784;-23.222;995.678;-276.472;-45.713;1055.198;-240.370;-74.594;1116.083;-201.634;-184.217;1214.143;-162.409;-213.489;1163.357;-209.586;-192.364;1166.186;127.186;-94.548;867.371;-139.090;-66.837;867.663;108.159;103.768;942.257;-86.303;119.136;951.137
29.857;60.105;1598.286;93.718;-17.465;1543.158;-54.348;-7.220;1551.695;82.693;91.962;1442.804;-41.078;98.938;1455.830;13.611;126.893;1278.883;27.662;126.356;1112.717;78.546;137.382;1192.775;-46.542;138.992;1175.895;17.368;-53.470;1276.785;8.342;-119.624;1084.372;62.251;-90.352;1203.752;-55.372;-79.961;1214.680;173.435;-39.614;1256.636;174.850;43.908;1309.764;187.242;90.011;1233.658;242.760;31.028;1163.893;246.175;-32.882;994.800;295.010;-55.031;1046.709;294.962;-147.334;1075.785;243.053;-221.636;1208.289;199.438;-244.029;1156.331;252.079;-222.807;1156.088;-155.872;-29.223;1264.344;-148.700;45.127;1316.497;-162.556;101.719;1240.488;-229.003;-13.221;1184.920;-235.394;-34.102;999.874;-274.325;-56.007;1059.247;-238.760;-84.107;1120.132;-201.975;-195.633;1219.412;-161.336;-223.880;1169.357;-209.049;-203.292;1171.211;127.235;-92.791;867.712;-139.138;-65.422;867.956;107.915;105.622;942.111;-86.596;120.844;950.941
