UPHD;UPHD;UPHD;LFHD;LFHD;LFHD;RFHD;RFHD;RFHD;LBHD;LBHD;LBHD;RBHD;RBHD;RBHD;C7;C7;C7;T10;T10;T10;LBAC;LBAC;LBAC;RBAC;RBAC;RBAC;CLAV;CLAV;CLAV;STRN;STRN;STRN;LCLAV;LCLAV;LCLAV;RCLAV;RCLAV;RCLAV;LFSHO;LFSHO;LFSHO;LSHOULD;LSHOULD;LSHOULD;LBSHO;LBSHO;LBSHO;LUPA;LUPA;LUPA;LELB;LELB;LELB;LELBEXT;LELBEXT;LELBEXT;LFRM;LFRM;LFRM;LWRA;LWRA;LWRA;LWRB;LWRB;LWRB;LWRC;LWRC;LWRC;RFSHO;RFSHO;RFSHO;RSHOULD;RSHOULD;RSHOULD;RBSHO;RBSHO;RBSHO;RUPA;RUPA;RUPA;RELB;RELB;RELB;RELBEXT;RELBEXT;RELBEXT;RFRM;RFRM;RFRM;RWRA;RWRA;RWRA;RWRB;RWRB;RWRB;RWRC;RWRC;RWRC;LFWT;LFWT;LFWT;RFWT;RFWT;RFWT;LBWT;LBWT;LBWT;RBWT;RBWT;RBWT
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12.981;46.214;1596.203;89.451;-20.496;1542.767;-59.292;-28.206;1540.815;71.883;91.598;1446.289;-52.460;83.351;1450.681;11.663;122.049;1275.684;24.156;118.487;1108.983;74.811;135.128;1189.064;-46.555;132.980;1172.472;18.544;-57.877;1273.781;8.589;-130.687;1083.997;63.928;-95.404;1201.654;-55.047;-86.083;1212.488;179.682;-32.110;1232.203;176.461;42.993;1300.425;184.269;103.163;1236.644;235.802;73.688;1154.025;199.397;99.015;983.176;250.735;48.410;1005.234;247.368;-43.286;965.608;180.024;-177.144;1024.266;176.900;-181.292;954.433;206.766;-152.842;988.544;-163.383;-28.841;1239.865;-151.915;36.795;1308.185;-160.260;107.019;1248.697;-219.991;24.790;1156.416;-201.447;102.334;990.398;-242.439;47.434;1017.873;-214.818;-25.962;1030.902;-183.196;-170.752;1010.211;-165.188;-166.067;944.038;-198.714;-142.984;975.368;125.123;-107.848;865.568;-141.618;-83.253;866.397;103.554;90.622;938.963;-90.866;103.944;948.235
13.078;46.507;1596.203;89.548;-20.203;1542.669;-59.195;-27.865;1540.766;71.931;91.891;1446.240;-52.363;83.692;1450.681;11.663;122.439;1275.635;24.156;118.779;1108.934;74.859;135.420;1189.015;-46.604;133.273;1172.472;18.544;-57.438;1273.781;8.589;-130.394;1084.046;63.928;-95.063;1201.703;-55.047;-85.644;1212.536;179.584;-31.818;1232.496;176.461;43.383;1300.523;184.318;103.456;1236.644;235.997;73.542;1154.074;200.178;98.039;982.932;251.174;47.190;1005.478;246.392;-45.043;968.097;176.949;-176.364;1029.975;173.777;-182.220;960.240;204.180;-153.379;993.570;-163.285;-28.597;1240.060;-151.915;37.137;1308.282;-160.260;107.311;1248.697;-219.942;24.888;1156.563;-201.935;102.236;990.350;-242.732;47.385;1018.214;-214.574;-25.376;1032.562;-181.829;-170.215;1014.310;-163.432;-166.408;948.186;-197.445;-143.082;978.979;125.123;-107.751;865.616;-141.618;-83.058;866.446;103.554;90.719;938.963;-90.866;104.139;948.235
13.225;46.653;1596.203;89.646;-19.910;1542.572;-58.999;-27.670;1540.766;71.980;92.281;1446.289;-52.314;83.985;1450.779;11.614;122.927;1275.586;24.107;119.170;1108.885;74.859;135.762;1188.868;-46.799;133.664;1172.472;18.544;-56.901;1273.781;8.589;-129.955;1084.143;63.928;-94.526;1201.752;-54.998;-85.107;1212.536;179.438;-31.525;1232.788;176.412;43.920;1300.669;184.318;103.749;1236.546;236.193;73.054;1154.123;201.642;96.478;982.542;251.955;45.238;1005.917;244.928;-47.824;971.366;172.313;-175.436;1037.002;169.044;-183.196;967.462;200.178;-154.160;999.963;-163.139;-28.353;1240.450;-151.866;37.527;1308.575;-160.357;107.555;1248.844;-219.991;24.742;1156.953;-202.716;101.504;990.301;-243.171;46.604;1018.800;-214.233;-25.132;1035.002;-179.926;-169.971;1020.118;-160.552;-167.092;954.237;-195.298;-143.716;984.103;125.075;-107.555;865.665;-141.667;-82.863;866.495;103.505;90.963;938.914;-90.915;104.383;948.186
13.322;46.604;1596.252;89.792;-19.764;1542.376;-58.853;-27.621;1540.620;71.931;92.671;1446.435;-52.314;84.229;1450.925;11.614;123.562;1275.537;24.058;119.755;1108.885;74.957;136.152;1188.771;-46.995;134.152;1172.472;18.495;-56.071;1273.781;8.638;-129.369;1084.241;63.879;-93.794;1201.849;-54.998;-84.375;1212.585;179.048;-31.183;1233.472;176.364;44.603;1301.011;184.416;103.993;1236.595;236.681;71.883;1154.318;203.984;93.696;982.102;253.077;41.626;1006.551;242.781;-51.972;975.953;165.725;-174.900;1046.128;162.260;-183.732;976.539;194.420;-155.477;1008.357;-162.895;-28.060;1241.036;-151.866;38.113;1308.868;-160.455;107.799;1248.795;-220.089;24.107;1157.539;-204.472;99.308;990.057;-244.147;44.311;1019.727;-213.696;-25.815;1038.564;-176.168;-170.117;1028.999;-156.356;-168.897;963.217;-191.882;-145.473;992.009;125.026;-107.263;865.763;-141.716;-82.619;866.544;103.505;91.256;938.914;-90.963;104.676;948.186
13.469;46.214;1596.398;89.987;-19.715;1542.084;-58.658;-27.816;1540.473;71.834;93.208;1446.777;-52.411;84.522;1451.413;11.663;124.489;1275.440;24.156;120.439;1108.836;75.103;136.738;1188.673;-47.043;134.932;1172.276;18.398;-55.095;1273.927;8.638;-128.637;1084.485;63.733;-93.013;1202.044;-55.047;-83.448;1212.780;178.462;-30.939;1234.350;176.266;45.287;1301.353;184.611;104.188;1236.449;237.217;69.931;1154.464;207.352;89.353;981.419;254.493;36.112;1007.332;239.462;-57.779;981.175;156.258;-173.972;1056.474;152.500;-184.562;987.031;186.172;-157.332;1017.922;-162.260;-27.377;1241.817;-151.720;39.235;1309.258;-160.650;108.336;1248.453;-220.333;22.546;1158.417;-207.937;94.526;989.130;-246.050;39.284;1020.703;-213.012;-28.158;1043.444;-169.336;-170.947;1041.687;-149.182;-171.825;975.953;-186.075;-148.792;1003.282;124.977;-106.921;865.909;-141.764;-82.228;866.690;103.456;91.695;938.914;-90.963;105.164;948.186
13.615;45.579;1596.545;90.036;-19.862;1541.596;-58.560;-28.060;1540.132;71.687;93.794;1447.265;-52.558;85.059;1451.999;11.810;125.660;1275.293;24.254;121.268;1108.690;75.347;137.665;1188.527;-46.995;135.957;1171.984;18.251;-53.875;1274.073;8.345;-127.710;1084.680;63.489;-92.135;1202.240;-55.193;-82.326;1213.073;177.291;-30.793;1235.131;176.217;46.067;1301.450;184.952;104.139;1235.912;237.754;66.856;1154.220;211.597;82.863;980.199;255.957;28.109;1008.015;234.875;-65.441;986.690;144.253;-172.508;1067.405;140.056;-185.684;998.353;175.534;-159.528;1028.170;-161.431;-26.547;1242.890;-151.524;40.797;1309.600;-160.894;108.971;1247.721;-220.674;19.910;1159.491;-212.817;86.474;987.666;-248.393;30.988;1022.070;-211.353;-32.208;1049.788;-157.868;-171.337;1059.011;-139.520;-175.583;992.741;-176.998;-153.037;1018.995;124.879;-106.482;866.056;-141.862;-81.594;866.788;103.505;92.232;938.914;-90.915;105.847;948.137
13.469;44.945;1596.691;89.939;-19.959;1541.205;-58.658;-28.304;1539.741;71.492;94.428;1447.753;-52.753;85.498;1452.487;11.810;127.027;1275.196;24.254;122.488;1108.641;75.396;139.032;1188.478;-47.092;137.226;1171.886;18.202;-52.607;1274.317;8.150;-126.441;1084.875;63.294;-91.012;1202.435;-55.291;-81.155;1213.366;175.436;-30.158;1236.156;176.120;47.190;1301.597;185.196;104.432;1235.228;238.242;62.757;1153.684;216.233;73.298;978.637;257.079;17.080;1009.138;229.019;-75.494;993.034;130.687;-170.849;1079.263;125.270;-187.197;1011.090;162.846;-162.553;1039.345;-160.064;-25.815;1244.501;-151.280;42.358;1310.185;-161.382;109.215;1246.794;-220.869;15.909;1161.199;-218.673;74.713;986.250;-251.028;19.569;1024.558;-208.962;-37.527;1058.035;-141.960;-169.239;1081.508;-129.076;-178.950;1014.262;-165.676;-156.697;1040.272;124.733;-105.896;866.153;-142.008;-80.862;866.885;103.603;92.915;938.817;-90.817;106.677;948.040
13.127;44.067;1596.935;89.792;-20.106;1540.864;-58.804;-28.646;1539.107;71.248;95.258;1448.583;-52.997;86.035;1453.072;11.907;128.735;1275.049;24.058;123.855;1108.543;75.347;140.544;1188.283;-47.287;138.641;1171.788;18.202;-51.045;1274.757;8.052;-125.221;1085.266;63.196;-89.646;1202.776;-55.193;-79.983;1213.952;173.533;-29.573;1237.669;176.071;48.800;1301.597;185.538;104.627;1234.057;238.340;57.877;1153.000;220.040;61.049;977.027;257.128;3.953;1010.650;222.480;-86.913;1000.549;117.657;-168.604;1092.879;110.923;-189.296;1025.974;150.353;-165.676;1052.472;-158.356;-24.888;1247.136;-150.744;44.408;1311.161;-161.870;109.410;1245.574;-220.918;10.931;1164.029;-224.725;59.439;985.909;-253.468;5.368;1028.804;-206.132;-44.262;1067.893;-124.587;-164.066;1104.883;-118.731;-182.171;1038.418;-153.476;-158.991;1064.184;124.733;-105.067;866.397;-142.008;-80.032;867.080;103.554;93.843;938.768;-90.817;107.555;947.991
12.737;42.798;1597.179;89.499;-20.594;1540.327;-59.048;-29.134;1538.277;71.053;95.990;1449.607;-53.143;86.669;1453.755;12.298;130.882;1274.903;23.961;125.221;1108.543;75.494;142.204;1187.892;-47.336;140.349;1171.837;18.398;-49.386;1275.391;7.857;-123.806;1085.998;63.050;-88.279;1203.313;-54.998;-78.715;1214.830;171.240;-28.646;1239.572;176.120;50.655;1301.889;185.977;104.725;1232.496;238.242;52.948;1152.659;221.211;48.068;976.051;255.615;-8.784;1012.993;216.331;-97.454;1010.162;106.872;-165.579;1108.446;100.675;-191.882;1043.395;140.593;-167.970;1068.479;-155.819;-23.619;1250.649;-149.670;46.995;1312.577;-162.016;109.995;1244.354;-220.577;5.563;1168.275;-230.971;41.773;987.617;-255.810;-10.102;1035.685;-203.252;-51.484;1079.166;-106.775;-155.282;1126.404;-111.069;-184.708;1064.672;-142.350;-158.698;1089.853;124.831;-104.188;866.641;-142.008;-79.300;867.276;103.456;94.819;938.768;-90.915;108.434;947.942
